Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Name Adopted,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Lythrum alatum,accepted,128998,Lythrum alatum,Lythrum alatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Lythraceae,,,Lythrum,alatum
Malus baccata,accepted,165104,Malus baccata,Malus baccata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Malus,baccata
Malus hupehensis,accepted,133352,Malus hupehensis,Malus hupehensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Malus,hupehensis
Malus prunifolia,accepted,58735,Malus prunifolia,Malus prunifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Malus,prunifolia
Malva alcea,accepted,146876,Malva alcea,Malva alcea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Malveae,Malva,alcea
Malva verticillata,accepted,77954,Malva verticillata,Malva verticillata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Malveae,Malva,verticillata
Matthiola incana,accepted,77966,Matthiola incana,Matthiola incana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Anchonieae,Matthiola,incana
Medicago minima,accepted,77971,Medicago minima,Medicago minima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Medicago,minima
Melilotus indica,unaccepted,57065,Melilotus indicus,Melilotus indicus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Melilotus,indicus
Melilotus sulcatus,accepted,165290,Melilotus sulcatus,Melilotus sulcatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Melilotus,sulcatus
Mentha cervina,accepted,326747,Mentha cervina,Mentha cervina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,cervina
Mentha longifolia,accepted,77992,Mentha longifolia,Mentha longifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,longifolia
Mentha longifolia subsp. longifolia,accepted,555478,Mentha longifolia longifolia,Mentha longifolia longifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,longifolia
Mentha requienii,accepted,346986,Mentha requienii,Mentha requienii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,requienii
Mibora minima,accepted,165369,Mibora minima,Mibora minima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Mibora,minima
Micromeria graeca,accepted,467566,Micromeria graeca,Micromeria graeca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Micromeria,graeca
Micromeria graeca subsp. fruticulosa,accepted,467568,Micromeria graeca fruticulosa,Micromeria graeca fruticulosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Micromeria,graeca
Miscanthus sinensis,accepted,165474,Miscanthus sinensis,Miscanthus sinensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Andropogoneae,Miscanthus,sinensis
Miscanthus sinensis,accepted,165474,Miscanthus sinensis,Miscanthus sinensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Andropogoneae,Miscanthus,sinensis
Misopates orontium,accepted,59270,Misopates orontium,Misopates orontium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Misopates,orontium
Molinia caerulea,accepted,165499,Molinia caerulea,Molinia caerulea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Arundinoideae,Molinieae,Molinia,caerulea
Narcissus x incomparabilis,accepted,993276,Narcissus,Narcissus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,
Nassella tenuissima,accepted,165660,Nassella tenuissima,Nassella tenuissima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Stipeae,Nassella,tenuissima
Schizonepeta tenuifolia,unknown,,,Nepeta tenuifolia,,,,,,,,,,,,,,,,
Pysalis peruviana,unknown,,,Nicandra physalodes,,,,,,,,,,,,,,,,
Nicandra physalodes,accepted,78217,Nicandra physalodes,Nicandra physalodes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Nicandreae,Nicandra,physalodes
Nicotiana alata,accepted,165703,Nicotiana alata,Nicotiana alata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,alata
Nicotiana langsdorffii,accepted,204365,Nicotiana langsdorffii,Nicotiana langsdorffii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,langsdorffii
Nicotiana quadrivalvis,accepted,58336,Nicotiana quadrivalvis,Nicotiana quadrivalvis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,quadrivalvis
Nicotiana rustica,accepted,165707,Nicotiana rustica,Nicotiana rustica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,rustica
Nicotiana sylvestris,accepted,78221,Nicotiana sylvestris,Nicotiana sylvestris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Nicotianoideae,,Nicotiana,sylvestris
Nigella damascena,accepted,62313,Nigella damascena,Nigella damascena,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Nigelleae,Nigella,damascena
Nonea vesicaria,accepted,165730,Nonea vesicaria,Nonea vesicaria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Nonea,vesicaria
Nothoscordum bivalve,accepted,125462,Nothoscordum bivalve,Nothoscordum bivalve,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Gilliesieae,Nothoscordum,bivalve
Nymphaea x marliacea,accepted,51122,Nymphaea,Nymphaea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,,Nymphaeaceae,,,Nymphaea,
Gaura mollis,unaccepted,78241,Oenothera curtiflora,Oenothera curtiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,curtiflora
Oenothera curtiflora,accepted,78241,Oenothera curtiflora,Oenothera curtiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,curtiflora
Gaura lindheimeri,unaccepted,590726,Oenothera lindheimeri,Oenothera lindheimeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,lindheimeri
Oenothera macrocarpa subsp. macrocarpa,accepted,237522,Oenothera macrocarpa macrocarpa,Oenothera macrocarpa macrocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,macrocarpa
Oenothera stricta subsp. stricta,accepted,80080,Oenothera stricta stricta,Oenothera stricta stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,stricta
Ophioglossum petiolatum,accepted,165861,Ophioglossum petiolatum,Ophioglossum petiolatum,Plantae,Tracheophyta,,,Polypodiopsida,Ophioglossidae,,Ophioglossales,,,,Ophioglossaceae,Ophioglossoideae,,Ophioglossum,petiolatum
Origanum heracleoticum,unaccepted,362402,Origanum vulgare viridulum,Origanum vulgare viridulum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Origanum,vulgare
Ornithopus perpusillus,accepted,55668,Ornithopus perpusillus,Ornithopus perpusillus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Ornithopus,perpusillus
Oxalis debilis var. corymbosa,unaccepted,61963,Oxalis debilis,Oxalis debilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,,Oxalidaceae,,,Oxalis,debilis
Oxalis exilis,accepted,57865,Oxalis exilis,Oxalis exilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,,Oxalidaceae,,,Oxalis,exilis
Thlaspi macrophyllum,unaccepted,371906,Pachyphragma macrophyllum,Pachyphragma macrophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Thlaspideae,Pachyphragma,macrophyllum
Papaver atlanticum,accepted,347013,Papaver atlanticum,Papaver atlanticum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Papaver,atlanticum
Papaver orientale,accepted,166114,Papaver orientale,Papaver orientale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Papaver,orientale
Parietaria hespera,accepted,58338,Parietaria hespera,Parietaria hespera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Parietaria,hespera
Parietaria hespera var. hespera,accepted,81178,Parietaria hespera hespera,Parietaria hespera hespera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Parietaria,hespera
Paspalum dilatatum,accepted,60295,Paspalum dilatatum,Paspalum dilatatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paspaleae,Paspalum,dilatatum
Perilla frutescens var. crispa,accepted,242111,Perilla frutescens crispa,Perilla frutescens crispa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Elsholtzieae,Perilla,frutescens
Perilla frutescens var. frutescens,accepted,242112,Perilla frutescens frutescens,Perilla frutescens frutescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Elsholtzieae,Perilla,frutescens
Persicaria orientalis,accepted,78454,Persicaria orientalis,Persicaria orientalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,orientalis
Polygonum perfoliatum,unaccepted,131249,Persicaria perfoliata,Persicaria perfoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,perfoliata
Persicaria perfoliata,accepted,131249,Persicaria perfoliata,Persicaria perfoliata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,perfoliata
Petrorhagia nanteuilii,accepted,78464,Petrorhagia nanteuilii,Petrorhagia nanteuilii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Petrorhagia,nanteuilii
Petroselinum crispum,accepted,78465,Petroselinum crispum,Petroselinum crispum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Apieae,Petroselinum,crispum
Petunia x atkinsiana,accepted,55406,Petunia,Petunia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Petunioideae,,Petunia,
Phacelia tanacetifolia,accepted,58185,Phacelia tanacetifolia,Phacelia tanacetifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Hydrophylloideae,,Phacelia,tanacetifolia
Phalaris minor,accepted,57194,Phalaris minor,Phalaris minor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Phalaris,minor
Phaseolus vulgaris,accepted,122850,Phaseolus vulgaris,Phaseolus vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Phaseoleae,Phaseolus,vulgaris
Phyllostachys aurea,accepted,78563,Phyllostachys aurea,Phyllostachys aurea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Bambusoideae,Arundinarieae,Phyllostachys,aurea
Physalis grisea,accepted,166805,Physalis grisea,Physalis grisea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,grisea
Physalis longifolia var. longifolia,accepted,242210,Physalis longifolia longifolia,Physalis longifolia longifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,longifolia
Physalis peruviana,accepted,51988,Physalis peruviana,Physalis peruviana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,peruviana
Physalis pubescens,accepted,78570,Physalis pubescens,Physalis pubescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Physalis,pubescens
Phytolacca americana,accepted,48599,Phytolacca americana,Phytolacca americana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Phytolaccaceae,,,Phytolacca,americana
Hieracium lactucella,unaccepted,451913,Pilosella lactucella,Pilosella lactucella,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,lactucella
Pinus sylvestris,accepted,58722,Pinus sylvestris,Pinus sylvestris,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Pinus,sylvestris
Pisum sativum,accepted,54522,Pisum sativum,Pisum sativum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Pisum,sativum
Plantago aristata,accepted,78616,Plantago aristata,Plantago aristata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,aristata
Plantago ovata,accepted,58230,Plantago ovata,Plantago ovata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,ovata
Polygala vulgaris,accepted,167210,Polygala vulgaris,Polygala vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Polygalaceae,,Polygaleae,Polygala,vulgaris
Polypogon fugax,accepted,405144,Polypogon fugax,Polypogon fugax,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Polypogon,fugax
Polypogon viridis,accepted,64144,Polypogon viridis,Polypogon viridis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Polypogon,viridis
Pontederia cordata,accepted,52599,Pontederia cordata,Pontederia cordata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Commelinales,,,,Pontederiaceae,,,Pontederia,cordata
Populus x canescens,accepted,1430522,Populus,Populus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,
Populus alba,accepted,47570,Populus alba,Populus alba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,alba
Populus grandidentata,accepted,54839,Populus grandidentata,Populus grandidentata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,grandidentata
Populus tremula,accepted,47571,Populus tremula,Populus tremula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,tremula
Potentilla reptans,accepted,167373,Potentilla reptans,Potentilla reptans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Potentilla,reptans
Potentilla verna,accepted,204391,Potentilla verna,Potentilla verna,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Potentilla,verna
Prunus domestica,accepted,63735,Prunus domestica,Prunus domestica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,domestica
Prunus lusitanica,accepted,127529,Prunus lusitanica,Prunus lusitanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,lusitanica
Prunus persica,accepted,78755,Prunus persica,Prunus persica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,persica
Prunus persica var. persica,accepted,600844,Prunus persica persica,Prunus persica persica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,persica
Gypsophila muralis,unaccepted,1092837,Psammophiliella muralis,Psammophiliella muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Psammophiliella,muralis
Centaurea dealbata,unaccepted,522029,Psephellus dealbatus,Psephellus dealbatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Psephellus,dealbatus
Minuartia macrocarpa,unaccepted,836924,Pseudocherleria macrocarpa,Pseudocherleria macrocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sclerantheae,Pseudocherleria,macrocarpa
Pseudognaphalium luteoalbum,accepted,53083,Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,luteoalbum
Arundinaria humilis,unknown,,,Pseudosasa humilis,,,,,,,,,,,,,,,,
Pseudosasa japonica,accepted,167508,Pseudosasa japonica,Pseudosasa japonica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Bambusoideae,Arundinarieae,Pseudosasa,japonica
Pyracantha fortuneana,accepted,78791,Pyracantha fortuneana,Pyracantha fortuneana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Pyracantha,fortuneana
Quercus rubra,accepted,49005,Quercus rubra,Quercus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,rubra
Ranunculus x heimburgerae,accepted,1365503,Ranunculus,Ranunculus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,
Ranunculus arvensis,accepted,78818,Ranunculus arvensis,Ranunculus arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,arvensis
Ranunculus eschscholtzii var. eximius,unaccepted,167721,Ranunculus eximius,Ranunculus eximius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,eximius
Ranunculus flammula var. flammula,accepted,81329,Ranunculus flammula flammula,Ranunculus flammula flammula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,flammula
Ranunculus hebecarpus,accepted,57239,Ranunculus hebecarpus,Ranunculus hebecarpus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,hebecarpus
Ranunculus occidentalis var. brevistylis,accepted,242563,Ranunculus occidentalis brevistylis,Ranunculus occidentalis brevistylis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,occidentalis
Rapistrum rugosum,accepted,78835,Rapistrum rugosum,Rapistrum rugosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Rapistrum,rugosum
Reseda luteola,accepted,78839,Reseda luteola,Reseda luteola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Resedaceae,,,Reseda,luteola
Reseda odorata,accepted,78840,Reseda odorata,Reseda odorata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Resedaceae,,,Reseda,odorata
Rhexia virginica,accepted,130690,Rhexia virginica,Rhexia virginica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Melastomataceae,Melastomatoideae,Rhexieae,Rhexia,virginica
Rhus typhina,accepted,167829,Rhus typhina,Rhus typhina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Anacardiaceae,Anacardioideae,,Rhus,typhina
Ribes nigrum,accepted,54430,Ribes nigrum,Ribes nigrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,nigrum
Ribes watsonianum,accepted,167921,Ribes watsonianum,Ribes watsonianum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,watsonianum
Robinia viscosa,accepted,167943,Robinia viscosa,Robinia viscosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Robinieae,Robinia,viscosa
Rorippa austriaca,accepted,78874,Rorippa austriaca,Rorippa austriaca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,austriaca
Rorippa microsperma,unknown,,,Rorippa cantoniensis,,,,,,,,,,,,,,,,
Rorippa cantoniensis,accepted,167960,Rorippa cantoniensis,Rorippa cantoniensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,cantoniensis
Rorippa heterophylla,unaccepted,359574,Rorippa dubia,Rorippa dubia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,dubia
Rorippa globosa,accepted,204397,Rorippa globosa,Rorippa globosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,globosa
Rorippa indica var.  indica,invalid,167965,Rorippa indica,Rorippa indica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,indica
Dracopis amplexicaulis,unaccepted,200073,Rudbeckia amplexicaulis,Rudbeckia amplexicaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Rudbeckia,amplexicaulis
Rumex x pratensis,accepted,1540581,Rumex,Rumex,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,
Rumex flexuosus,accepted,405775,Rumex flexuosus,Rumex flexuosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,flexuosus
Rumex hydrolapathum,accepted,371574,Rumex hydrolapathum,Rumex hydrolapathum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,hydrolapathum
Rumex pseudonatronatus,accepted,168249,Rumex pseudonatronatus,Rumex pseudonatronatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,pseudonatronatus
Rumex rugosus,accepted,622883,Rumex rugosus,Rumex rugosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,rugosus
Salix x sepulcralis,accepted,1237164,Salix,Salix,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,
Salix cinerea,accepted,168326,Salix cinerea,Salix cinerea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,cinerea
Salix viminalis,accepted,55822,Salix viminalis,Salix viminalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,viminalis
Salpichroa origanifolia,accepted,78954,Salpichroa origanifolia,Salpichroa origanifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Physaleae,Salpichroa,origanifolia
Salpiglossis sinuata,accepted,204406,Salpiglossis sinuata,Salpiglossis sinuata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Cestroideae,Salpiglossideae,Salpiglossis,sinuata
Salsola collina,accepted,168371,Salsola collina,Salsola collina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salsoloideae,Salsoleae,Salsola,collina
Salvia x sylvestris,accepted,50644,Salvia,Salvia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,
Salvia plebeia,accepted,460319,Salvia plebeia,Salvia plebeia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,plebeia
Salvia pratensis,accepted,85338,Salvia pratensis,Salvia pratensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,pratensis
Salvia reflexa,accepted,128693,Salvia reflexa,Salvia reflexa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Salvia,reflexa
