Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Tribe,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Hapalogaster mertensii,"J.F. Brandt, 1850",,hairy crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Hapalogaster,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,,,,,51635,ART
Oedignathus inermis,"(Stimpson, 1860)",,granular claw crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Oedignathus,native,unlisted,confirmed,observed,2008-08-29,Andy Lamb,PMLS,,,1978-03-19,Rick Harbo,https://www.inaturalist.org/observations/31752288,,194566,ART
Placetron wosnessenskii,"Schalfeew, 1892",,scaled crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Placetron,native,unlisted,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,,,,,,459657,ART
Cryptolithodes sitchensis,"J.F. Brandt, 1853",,umbrella crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,native,unlisted,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,47395,ART
Cryptolithodes typicus,"J.F. Brandt, 1848",,butterfly crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,native,unlisted,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,53845,ART
Lopholithodes foraminatus,"(Stimpson, 1859)",,brown box crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Lopholithodes,native,unlisted,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60467710,,459606,ART
Lopholithodes mandtii,"J.F. Brandt, 1848",,Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Lopholithodes,native,unlisted,confirmed,observed,1994-02-27,Charlie Gibbs,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797301,,459608,ART
Phyllolithodes papillosus,"J.F. Brandt, 1848",,heart crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Phyllolithodes,native,unlisted,reported,unobserved,1969-02-21,Andy Lamb,PMLS,,,,,,,424896,ART
Rhinolithodes wosnessenskii,"J.F. Brandt, 1848",,rhinoceros crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Rhinolithodes,native,unlisted,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,459660,ART
Munida quadrispina,"Benedict, 1902",,squat lobster,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,,Munida,native,unlisted,confirmed,observed,2008-05-21,Jackson Chu,Chu (2010),,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60468460,,334674,ART
Hyas lyratus,"Dana, 1851",,Pacific lyre crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,,Oregoniinae,Hyas,native,unlisted,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-001,1898319325,,,,,459591,ART
Oregonia gracilis,"Dana, 1851",,graceful decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,,Oregoniinae,Oregonia,native,unlisted,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7647272,,84267,ART
Discorsopagurus schmitti,"(Stevens, 1925)",,tubeworm hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Discorsopagurus,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-025,,,,,,459564,ART
Elassochirus gilli,"(Benedict, 1892)",,orange hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,459568,ART
Elassochirus tenuimanus,"(Dana, 1851)",,widehand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,459569,ART
Pagurus armatus,"(Dana, 1851)",,blackeyed hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,1969-02-21,Andy Lamb,PMLS,,,,,,,459543,ART
Pagurus beringanus,"(Benedict, 1892)",,Bering hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-005,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854421,,362749,ART
Pagurus caurinus,"Hart, 1971",,Greenmark hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,confirmed,observed,2005-12-10,Andy Lamb,PMLS,,,,,,,180026,ART
Pagurus granosimanus,"(Stimpson, 1859)",,grainy hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,confirmed,observed,1986-09-30,,RBCM,986-00197-039,,2013-05-09,Karolle Wall,http://www.inaturalist.org/observations/3910074,,127555,ART
Pagurus hirsutiusculus,"(Dana, 1851)",,hairy hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,confirmed,observed,2016-01-23,Andy Lamb,PMLS,,,2016-08-26,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3971319,,63219,ART
Pagurus kennerlyi,"(Stimpson, 1864)",,bluespine hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,459637,ART
Pagurus ochotensis,"Brandt, 1851",,Alaskan hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,202044,ART
Pagurus quaylei,"Hart, 1971",,Quayle's hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,2008-06-21,Andy Lamb,PMLS,,,,,,,366957,ART
Pagurus samuelis,"(Stimpson, 1857)",,blueband hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,2009-03-19,Andy Lamb,PMLS,,,,,,,49095,ART
Pagurus stevensae,"Hart, 1971",,Stevens' hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,native,unlisted,reported,unobserved,2008-03-01,Andy Lamb,PMLS,,,,,,,459640,ART
Pandalus borealis,"Krøyer, 1838",,northern shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,reported,unobserved,1956-01-29,W. Barraclough,RBCM,978-00057-001,1898295012,,,,,437504,ART
Pandalus danae,"Stimpson, 1857",,coonstripe shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2015-04-22,Karolle Wall,http://www.inaturalist.org/observations/3706255,,154708,ART
Pandalus eous,"Makarov, 1935",,spiny pink shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,459644,ART
Pandalus lucidirimicolus,"(Jensen, 1998)",,sparkling shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,reported,unobserved,1995-11-24,Daniel Kent,RBCM,997-00068-001,1898318861,,,,"reported as Pandalopsis lucidirimicola Jensen, 1998",459643,ART
Pandalus platyceros,"J.F. Brandt in von Middendorf, 1851",,Pacific prawn,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60468464,,180394,ART
Pandalus stenolepis,"Rathbun, 1902",,rough patch shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,native,unlisted,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,459645,ART
Lophopanopeus bellus,"(Stimpson, 1860)",,black-clawed crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Xanthoidea,Panopeidae,,,Lophopanopeus,native,unlisted,confirmed,observed,2007-10-21,Andy Lamb,PMLS,,,2016-04-08,Karolle Wall,http://www.inaturalist.org/observations/2909657,,50818,ART
Fabia subquadrata,"Dana, 1851",,pea crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pinnotheroidea,Pinnotheridae,,Pinnotherinae,Fabia,native,unlisted,reported,unobserved,1934-09-06,Joesphine F.L. Hart,RBCM,985-00143-001,1898269203,,,,,117669,ART
Petrolisthes eriomerus,"Stimpson, 1871",,flattop crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,Petrolisthes,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2017-05-26,Kris Krüg,http://inaturalist.ca/observations/6371780,,47803,ART
Eusergestes similis,"(Hansen, 1903)",,Pacific sergestid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Dendrobranchiata,Sergestoidea,Sergestidae,,,Eusergestes,native,unlisted,reported,unobserved,1965-01-29,W. Barraclough,RBCM,015-00030-001,1898267324,,,,,459581,ART
Eualus butleri,"Jensen, 2004",,sponge eualid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,native,unlisted,reported,unobserved,2016-01-23,Andy Lamb,PMLS,,,,,,,459508,ART
