Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Rugathodes sexpunctatus,"Emerton, 1882",,common six-spotted orb-weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Rugathodes,native,S5 (2018),reported,unobserved,1983-04-30,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0071,,,,,,230328,ART
Steatoda grossa,"(C. L. Koch, 1838)",,false black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Steatoda,exotic,unlisted,new 2016,observed,,,,,,2016-09-03,Andrew Simon,http://www.inaturalist.org/observations/4313614,,61997,ART
Theridion sp.,,,cobweb spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Theridion,,,new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512992,,82081,ART
Bassaniana cf utahensis,"(Gertsch, 1932)",,common bark crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Bassaniana,native,S5 (2018),new 2016,observed,,,,,,2016-11-03,Andrew Simon,http://www.inaturalist.org/observations/4491284,,298120,ART
Coriarachne brunneipes,"Banks, 1893",,dark bark crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Coriarachne,native,S4 (2018),new 2017,observed,,,,,,2017-05-27,Andrew Simon,https://www.inaturalist.org/observations/6465012,,217594,ART
Misumena vatia,"(Clerck, 1757)",,goldenrod crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Misumena,native,S5 (2018),new 2016,observed,,,,,,2016-06-23,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3562082,,55746,ART
Xysticus pretiosus,"Gertsch, 1934",,western ground crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Xysticus,native,S4S5 (2018),confirmed,observed,2012-05-09,Robb Bennett,RBCM,ENT012-017154,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/6464872,,233894,ART
Colomerus holodisci,,,,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Cecidophyinae,Colomerini,Colomerus,,,new 2018,observed,,,,,,2018-05-20,Kevin Toomer,https://www.inaturalist.org/observations/12654973,,1109531,ART
Eriophyes emarginatae,"Keifer, 1939",,leaf gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,,,Eriophyes,,,new 2015,observed,,,,,,2015-08-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3735293,,322964,ART
Eriophyes laevis,,,alder leaf gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,Eriophyini,Eriophyes,,,new 2021,observed,,,,,,2021-06-11,Kevin Toomer,https://www.inaturalist.org/observations/82595489,,464223,ART
