"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode","verbatimScientificName","assignedNameForReview","originalScientificName","taxonRank_review","firstReported_review","recordedBy_review","source_review","gbifID_review","Join_Count","TARGET_FID","taxonID","Latitude","Longitude","order_","Source","Join_Count_1","TARGET_FID_1","CPCAD_ID","TEIS_ID","Source_Ref","TA_LandCov","BEC_Label","BEC_SS1","BEC_MC1","SS1_Dec","SS1_StrSta","SS1_Elemen","SS1_Scient","SS1_Englis","SS1_CDC_Re","SS1_Provin","SS1_BCList","SS1_Global","BEC_SS2","BEC_MC2","SS2_Dec","SS2_StrSta","SS2_Elemen","SS2_Scient","SS2_Englis","SS2_CDC_Re","SS2_Provin","SS2_BCList","SS2_Global","BEC_SS3","BEC_MC3","SS3_Dec","SS3_StrSta","SS3_Elemen","SS3_Scient","SS3_Englis","SS3_CDC_Re","SS3_Provin","SS3_BCList","SS3_GLobal","SS1_ProvRa","SS2_ProvRa","SS3_ProvRa","IUCN_CAT","IPCA","IUCN_Categ","Shape_Leng","record_taxonID","assigned_name","verbatim_name","rank_for_review","eventDate_review","gbifID_sort","records_scientificName","match_taxonID"
"Cotoneaster divaricatus","Rehder & E.H. Wils.","","spreading cotoneaster","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","Rosaceae","Amygdaloideae","","Cotoneaster","Cotoneaster divaricatus","","","","","","","11/13/2007","","","","","","","","","","","confirmed","","","160947","","Cotoneaster divaricatus","Cotoneaster divaricatus","Cotoneaster divaricatus","","11/13/2007","P. F. Zika","AndrewSimon_June_2025","","","","160947","49.364722000000000","-123.270972000000000","Rosales","AndrewSimon_June_2025","0","16263","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160947","Cotoneaster divaricatus","Cotoneaster divaricatus","","11/13/2007","","Cotoneaster divaricatus","160947"
"Cotoneaster rehderi","Pojark.","","bullate cotoneaster","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","Rosaceae","Amygdaloideae","","Cotoneaster","Cotoneaster rehderi","","","","","","","9/7/2016","","","","","","","","","","","new 2016","","RBCM: West Vancouver","160951","","Cotoneaster rehderi","Cotoneaster rehderi","Cotoneaster rehderi","","9/7/2016","Vanessa","AndrewSimon_June_2025","","","","160951","49.340813333299998","-123.262946666700003","Rosales","AndrewSimon_June_2025","0","16341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160951","Cotoneaster rehderi","Cotoneaster rehderi","","9/7/2016","","Cotoneaster rehderi","160951"
"Dichanthelium oligosanthes","(Schult.) Gould","","Scribner's witchgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Panicoideae","","Dichanthelium","Dichanthelium oligosanthes","","","","","","","8/3/2022","","","","","","","","","","","new 2022","","","161798","","Dichanthelium oligosanthes","Dichanthelium oligosanthes","Dichanthelium oligosanthes","","8/3/2022","Wendy Seale-Bakes","AndrewSimon_June_2025","","0","109307","161798","49.392216666700001","-123.458770000000001","Poales","AndrewSimon_June_2025","1","18223","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHxm1/02","CWHxm1/DC","10","6","C2A2BPMPC1","Pseudotsuga menziesii - Pinus contorta - Cladina sp.","FdPl - Cladina","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C2A2BPMPC1","S3S4 (Jul 2004)","Yellow","GNR","","","0","1","","","","","","","","","","0","0","","","","","","","","4.000000000000000","0.000000000000000","0.000000000000000","0","0","","1819.055738380000093","161798","Dichanthelium oligosanthes","Dichanthelium oligosanthes","","8/3/2022","","Dichanthelium oligosanthes","161798"
"Draba aurea","Vahl","","golden draba","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","Brassicaceae","","","Draba","Draba aurea","","","","","","","7/1/2020","","","","","","","","","","","new 2020","","","162008","","Draba aurea","Draba aurea","Draba aurea","","7/1/2020","LGL Limited, Environmental Research Associates, Sidney, BC","AndrewSimon_June_2025","","","","162008","","","Brassicales","AndrewSimon_June_2025","0","19085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162008","Draba aurea","Draba aurea","","7/1/2020","","Draba aurea","162008"
"Draba incerta","Pays.","","yellowstone draba","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","Brassicaceae","","","Draba","Draba incerta","","","","","","","7/30/1913","","","","","","","","","","","reported","","","162030","","Draba incerta","Draba incerta","Draba incerta","","7/30/1913","W. Taylor","AndrewSimon_June_2025","","","","162030","49.954166999071099","-123.014167000000000","Brassicales","AndrewSimon_June_2025","0","19086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162030","Draba incerta","Draba incerta","","7/30/1913","","Draba incerta","162030"
"Draba stenoloba","Ledeb.","","Alaska draba","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Brassicales","","","Brassicaceae","","","Draba","Draba stenoloba","","","","","","","7/30/1913","","","","","","","","","","","reported","","UBC: Sphinx Gl. Forelands, Garibaldi PP","162069","","Draba stenoloba","Draba stenoloba","Draba stenoloba","","7/30/1913","John Davidson","AndrewSimon_June_2025","","","","162069","49.954166999071099","-123.014167000000000","Brassicales","AndrewSimon_June_2025","0","19092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162069","Draba stenoloba","Draba stenoloba","","7/30/1913","","Draba stenoloba","162069"
"Eleocharis uniglumis","(Link) Schult.","","creeping spike-rush","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Cyperaceae","Cyperoideae","","Eleocharis","Eleocharis uniglumis","","","","","","","7/14/2018","","","","","","","","","","","new 2018","","","162264","","Eleocharis uniglumis","Eleocharis uniglumis","Eleocharis uniglumis","","7/14/2018","Frank Lomer","AndrewSimon_June_2025","","2","114019","162264","49.688916999069598","-123.183971999999997","Poales","AndrewSimon_June_2025","1","19915","227","0","","","","CWHdm/Em05","CWHdm/Em05","5","2b","CEBC003024","Carex lyngbyei Estuarine Marsh","Lyngbye's sedge estuarine marsh","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=CEBC003024","S1 (Apr 2022)","Red","GNR","CWHdm/Ed01","CWHdm/Ed01","3","2b","CEBC003028","Deschampsia cespitosa ssp. beringensis - Hordeum brachyantherum","tufted hairgrass - meadow barley","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=CEBC003028","S2 (May 2013)","Red","G3","CWHdm/OC","CWHdm/OC","2","","","Coastal Western Hemlock, Drier Maritime subzone","Ocean","","","","","9.000000000000000","8.000000000000000","0.000000000000000","5","0","IV: Habitat/Species Management Area","2317.936561559999973","162264","Eleocharis uniglumis","Eleocharis uniglumis","","7/14/2018","","Eleocharis uniglumis","162264"
"Elymus hirsutus","J. Presl","","boreal wild rye","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Elymus","Elymus hirsutus","","","","","","","9/19/1964","","","","","","","","","","","reported","","UBC: Cypress Bowl Howe Sound Crest Trail","162281","","Elymus hirsutus","Elymus hirsutus","Elymus hirsutus","","9/19/1964","Vladimir J. Krajina","AndrewSimon_June_2025","","","","162281","49.399999999999999","-123.216667000000001","Poales","AndrewSimon_June_2025","0","20320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162281","Elymus hirsutus","Elymus hirsutus","","9/19/1964","","Elymus hirsutus","162281"
"Epilobium leptocarpum","Hausskn.","","small-fruited willowherb","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Myrtales","","","Onagraceae","","","Epilobium","Epilobium leptocarpum","","","","","","","7/1/2020","","","","","","","","","","","new 2020","","? E-Flora describes this sp as rare throughout BC, with montane to alpine habitat","162362","","Epilobium leptocarpum","Epilobium leptocarpum","Epilobium leptocarpum","","7/1/2020","LGL Limited, Environmental Research Associates, Sidney, BC","AndrewSimon_June_2025","","","","162362","","","Myrtales","AndrewSimon_June_2025","0","20481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162362","Epilobium leptocarpum","Epilobium leptocarpum","","7/1/2020","","Epilobium leptocarpum","162362"
"Epilobium obscurum","Schreb.","","short-fruited willowherb","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Myrtales","","","Onagraceae","","","Epilobium","Epilobium obscurum","","","","","","","7/1/1995","","","","","","","","","","","reported","","UBC: West Vancouver Whytecliff Park","162366","","Epilobium obscurum","Epilobium obscurum","Epilobium obscurum","","7/1/1995","Frank Lomer","AndrewSimon_June_2025","","","","162366","49.371667000000002","-123.291667000000004","Myrtales","AndrewSimon_June_2025","0","20509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162366","Epilobium obscurum","Epilobium obscurum","","7/1/1995","","Epilobium obscurum","162366"
"Eriophorum chamissonis","C.A.Mey.","","Chamisso's cotton-grass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Cyperaceae","Cyperoideae","","Eriophorum","Eriophorum chamissonis","","","","","","","7/10/2016","","","","","","","","","","","new 2016","","","162678","","Eriophorum chamissonis","Eriophorum chamissonis","Eriophorum chamissonis","","7/10/2016","Riley Pollom","AndrewSimon_June_2025","","","","162678","49.400581000000003","-123.209834999999998","Poales","AndrewSimon_June_2025","0","21122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162678","Eriophorum chamissonis","Eriophorum chamissonis","","7/10/2016","","Eriophorum chamissonis","162678"
"Festuca roemeri","(Pavlick) E.B.Alexeev","","Roemer's fescue","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","","","Festuca","Festuca roemeri","","","","","","","5/11/2023","","","","","","","","","","","new 2023","","","162962","","Festuca roemeri","Festuca roemeri","Festuca roemeri","","5/11/2023","Dawn Hanna","AndrewSimon_June_2025","","0","109484","162962","49.336624999999998","-123.408730000000006","Poales","AndrewSimon_June_2025","1","22131","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHxm1/01","CWHxm1/HK","10","3","C1A9CTHKO1","Tsuga heterophylla - Pseudotsuga menziesii / Kindbergia oregana","western hemlock - Douglas-fir / Oregon beaked-moss","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTHKO1","S2 (2013)","Red","G3G4","","","0","0","","","","","","","","","","0","0","","","","","","","","8.000000000000000","0.000000000000000","0.000000000000000","0","0","","1767.967642049999995","162962","Festuca roemeri","Festuca roemeri","","5/11/2023","","Festuca roemeri","162962"
"Gentiana douglasiana","Bong.","","swamp gentian","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Gentianales","","","Gentianaceae","","","Gentiana","Gentiana douglasiana","","","","","","","7/16/2023","","","","","","","","","","","new 2023","","","163228","","Gentiana douglasiana","Gentiana douglasiana","Gentiana douglasiana","","7/16/2023","wildbreans","AndrewSimon_June_2025","","","","163228","49.428179999999998","-123.206903333300005","Gentianales","AndrewSimon_June_2025","0","24448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163228","Gentiana douglasiana","Gentiana douglasiana","","7/16/2023","","Gentiana douglasiana","163228"
"Geocaulon lividum","(Richardson) Fernald","","false toad-flax","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Santalales","","","Santalaceae","","","Geocaulon","Geocaulon lividum","","","","","","","7/6/2019","","","","","","","","","","","new 2019","","","163253","","Geocaulon lividum","Geocaulon lividum","Geocaulon lividum","","7/6/2019","Keegan Durovich","AndrewSimon_June_2025","","0","101360","163253","49.737606570200001","-123.101336835100000","Santalales","AndrewSimon_June_2025","1","24470","340","0","","","","CWHdm/UR","CWHdm/UR","10","","","Coastal Western Hemlock, Drier Maritime subzone","Urban/suburban neighbourhood","","","","","","","0","","","","","","","","","","","0","","","","","","","","","0.000000000000000","0.000000000000000","0.000000000000000","0","0","","2088.951548550000098","163253","Geocaulon lividum","Geocaulon lividum","","7/6/2019","","Geocaulon lividum","163253"
"Geum calthifolium","Menzies ex Sm.","","calthaleaf avens","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","Rosaceae","","","Geum","Geum calthifolium","","","","","","","7/1/2020","","","","","","","","","","","new 2020","","UBC: The Lions","163269","","Geum calthifolium","Geum calthifolium","Geum calthifolium","","7/1/2020","LGL Limited, Environmental Research Associates, Sidney, BC","AndrewSimon_June_2025","","","","163269","","","Rosales","AndrewSimon_June_2025","0","24975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163269","Geum calthifolium","Geum calthifolium","","7/1/2020","","Geum calthifolium","163269"
"Hedera hibernica","(G.Kirchn.) Bean","","Atlantic ivy","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","Araliaceae","","","Hedera","Hedera hibernica","","","","","","","3/25/2022","","","","","","","","","","","new 2022","","","163549","","Hedera hibernica","Hedera hibernica","Hedera hibernica","","3/25/2022","chriscts","AndrewSimon_June_2025","","","","163549","49.340427777800002","-123.263602777800003","Apiales","AndrewSimon_June_2025","0","26639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163549","Hedera hibernica","Hedera hibernica","","3/25/2022","","Hedera hibernica","163549"
"Heracleum sphondylium","L.","","Eurasian cow parsnip","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","Apiaceae","Apioideae","","Heracleum","Heracleum sphondylium","","","","","","","7/21/1965","","","","","","","","","","","confirmed","","","163682","","Heracleum sphondylium","Heracleum sphondylium","Heracleum sphondylium","","7/21/1965","Vladimir J. Krajina","AndrewSimon_June_2025","","","","163682","49.866667000000000","-123.000000000000000","Apiales","AndrewSimon_June_2025","0","26818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163682","Heracleum sphondylium","Heracleum sphondylium","","7/21/1965","","Heracleum sphondylium","163682"
"Hieracium lachenalii","Suter","","European hawkweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","Asteraceae","Cichorioideae","","Hieracium","Hieracium lachenalii","","","","","","","6/15/2020","","","","","","","","","","","new 2020","","","163785","","Hieracium lachenalii","Hieracium lachenalii","Hieracium lachenalii","","6/15/2020","judith holm","AndrewSimon_June_2025","","0","101129","163785","49.691048000000002","-123.147165999999999","Asterales","AndrewSimon_June_2025","1","27292","106","0","","","","CWHdm/UR","CWHdm/UR","10","","","Coastal Western Hemlock, Drier Maritime subzone","Urban/suburban neighbourhood","","","","","","","0","","","","","","","","","","","0","","","","","","","","","0.000000000000000","0.000000000000000","0.000000000000000","0","0","","2276.888882839999951","163785","Hieracium lachenalii","Hieracium lachenalii","","6/15/2020","","Hieracium lachenalii","163785"
"Hieracium maculatum","Sm.","","spotted hawkweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","Asteraceae","Cichorioideae","","Hieracium","Hieracium maculatum","","","","","","","5/20/2018","","","","","","","","","","","new 2018","","","163791","","Hieracium maculatum","Hieracium maculatum","Hieracium maculatum","","5/20/2018","Gwen L'Hirondelle","AndrewSimon_June_2025","","0","109416","163791","49.392513000000001","-123.441519000000000","Asterales","AndrewSimon_June_2025","1","27305","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHxm1/01","CWHxm1/HK","7","6","C1A9CTHKO1","Tsuga heterophylla - Pseudotsuga menziesii / Kindbergia oregana","western hemlock - Douglas-fir / Oregon beaked-moss","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTHKO1","S2 (2013)","Red","G3G4","CWHxm1/02","CWHxm1/DC","3","6","C2A2BPMPC1","Pseudotsuga menziesii - Pinus contorta - Cladina sp.","FdPl - Cladina","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C2A2BPMPC1","S3S4 (Jul 2004)","Yellow","GNR","","","0","0","","","","","","","","8.000000000000000","4.000000000000000","0.000000000000000","0","0","","1180.660542240000041","163791","Hieracium maculatum","Hieracium maculatum","","5/20/2018","","Hieracium maculatum","163791"
"Hieracium murorum","L.","","wall hawkweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","Asteraceae","Cichorioideae","","Hieracium","Hieracium murorum","","","","","","","6/1/1989","","","","","","","","","","","confirmed","","","163793","","Hieracium murorum","Hieracium murorum","Hieracium murorum","","6/1/1989","Frank Lomer","AndrewSimon_June_2025","","","","163793","49.366667000000000","-123.266666999999998","Asterales","AndrewSimon_June_2025","0","27314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163793","Hieracium murorum","Hieracium murorum","","6/1/1989","","Hieracium murorum","163793"
"Hippuris montana","Ledeb. ex Rchb.","","mountain mare's-tail","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","Plantaginaceae","","","Hippuris","Hippuris montana","","","","","","","8/2/2023","","","","","","","","","","","new 2023","","","163814","","Hippuris montana","Hippuris montana","Hippuris montana","","8/2/2023","Andrew Simon","AndrewSimon_June_2025","","1","99274","163814","49.673383333300002","-123.110647222200001","Lamiales","AndrewSimon_June_2025","1","27344","0","23258583","https://catalogue.data.gov.bc.ca/dataset/4e71fd99-09a0-4573-aecd-b8030b48f0b7","","MHmm1","MHmm1/01","MHmm1/MB","4","7","C2A2BAAVA1","Pseudotsuga menziesii - Gaultheria shallon","Fd - Salal","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C2A2BAAVA1","S3S4 (Sep 2005)","Yellow","G4G5","MHmm1/06","MHmm1/MD","4","7","PDMNY01010","Thuja plicata - Abies grandis - Tiarella trifoliata","CwBg - Foamflower","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=PDMNY01010","S5 (Apr 2019)","Yellow","G5 (May 2016)","MHmm1/01","MHmm1/MB","2","7","C2A2BAAVA1","Pseudotsuga menziesii - Gaultheria shallon","Fd - Salal","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C2A2BAAVA1","S3S4 (Sep 2005)","Yellow","G4G5","4.000000000000000","1.000000000000000","4.000000000000000","9","0","OECMs (Natural Areas, Municipal Parks,Nature Reserve, Old Growth Management Area)","3016.152851180000198","163814","Hippuris montana","Hippuris montana","","8/2/2023","","Hippuris montana","163814"
"Hypericum maculatum","Crantz","","imperforate St. John's-wort","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Malpighiales","","","Hypericaceae","","","Hypericum","Hypericum maculatum","","","","","","","7/22/2020","","","","","","","","","","","new 2020","","","163978","","Hypericum maculatum","Hypericum maculatum","Hypericum maculatum","","7/22/2020","Ben Keen","AndrewSimon_June_2025","","","","163978","49.372883000000002","-123.374200000000002","Malpighiales","AndrewSimon_June_2025","0","28127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163978","Hypericum maculatum","Hypericum maculatum","","7/22/2020","","Hypericum maculatum","163978"
"Juncus albescens","(Lange) Fern.","","northern white rush","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fagales","","","Juglandaceae","","","Juncus","Juncus albescens","","","","","","","7/1/2020","","","","","","","","","","","new 2020","","","164251","","Juncus albescens","Juncus albescens","Juncus albescens","","7/1/2020","LGL Limited, Environmental Research Associates, Sidney, BC","AndrewSimon_June_2025","","","","164251","","","Fagales","AndrewSimon_June_2025","0","29684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164251","Juncus albescens","Juncus albescens","","7/1/2020","","Juncus albescens","164251"
"Juncus alpinoarticulatus","chaix","","northern green rush","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Juncaceae","","","Juncus","Juncus alpinoarticulatus","","","","","","","8/21/1942","","","","","","","","","","","reported","","","164252","","Juncus alpinoarticulatus","Juncus alpinoarticulatus","Juncus alpinoarticulatus","","8/21/1942","John W. Eastham","AndrewSimon_June_2025","","","","164252","49.933332999999998","-123.016666999999998","Poales","AndrewSimon_June_2025","0","29685","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164252","Juncus alpinoarticulatus","Juncus alpinoarticulatus","","8/21/1942","","Juncus alpinoarticulatus","164252"
"Juncus filiformis","L.","","thread rush","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Juncaceae","","","Juncus","Juncus filiformis","","","","","","","9/19/2024","","","","","","","","","","","new 2024","","","164262","","Juncus filiformis","Juncus filiformis","Juncus filiformis","","9/19/2024","Terry M","AndrewSimon_June_2025","","","","164262","49.815824139900002","-122.933561056900004","Poales","AndrewSimon_June_2025","0","29910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164262","Juncus filiformis","Juncus filiformis","","9/19/2024","","Juncus filiformis","164262"
"Juniperus maritima","R.P. Adams","","seaside juniper","Plantae","Tracheophyta","","","Pinopsida","","","Pinales","","","Cupressaceae","Cupressoideae","","Juniperus","Juniperus maritima","","","","","","","4/1/2008","","","","","","","","","","","confirmed","","Reported by P. Dicer as Juniperus scopulorum (NY: 1104983)","164313","","Juniperus maritima","Juniperus maritima","Juniperus maritima","","4/1/2008","P. Dicer","AndrewSimon_June_2025","","3","110181","164313","49.336824999999997","-123.426627999999994","Pinales","AndrewSimon_June_2025","1","30047","0","0","https://islandstrust.bc.ca/programs/ecosystem-inventories/","","","CWHxm1/02","CWHxm1/DC","4","5","C2A2BPMPC1","Pseudotsuga menziesii - Pinus contorta - Cladina sp.","FdPl - Cladina","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C2A2BPMPC1","S3S4 (Jul 2004)","Yellow","GNR","CWHxm1/00","CWHxm1/AM","3","1","","Coastal Western Hemlock very wet maritime subzone","Unclassified","","","","","CWHxm1/00","CWHxm1/AM","3","0","","Coastal Western Hemlock very wet maritime subzone","Unclassified","","","","","4.000000000000000","0.000000000000000","0.000000000000000","5","0","IV: Habitat/Species Management Area","3218.356715270000223","164313","Juniperus maritima","Juniperus maritima","","4/1/2008","","Juniperus maritima","164313"
"Lolium arundinaceum","(Schreb.) Darbysh.","","tall fescue","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Lolium","Lolium arundinaceum","","","","","","","9/2/2020","","","","","","","","","","","new 2020","","","164708","","Lolium arundinaceum","Lolium arundinaceum","Lolium arundinaceum","","9/2/2020","John D Reynolds","AndrewSimon_June_2025","","","","164708","49.399916666700001","-123.205405555599995","Poales","AndrewSimon_June_2025","0","31931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164708","Lolium arundinaceum","Lolium arundinaceum","","9/2/2020","","Lolium arundinaceum","164708"
"Lotus pedunculatus","Cav.","","greater bird's-foot-trefoil","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","Fabaceae","Faboideae","","Lotus","Lotus pedunculatus","","","","","","","6/11/2020","","","","","","","","","","","new 2020","","","164834","","Lotus pedunculatus","Lotus pedunculatus","Lotus pedunculatus","","6/11/2020","jaeldridge","AndrewSimon_June_2025","","0","81840","164834","49.752958999999997","-122.943106000000000","Fabales","AndrewSimon_June_2025","1","32599","0","23255393","https://catalogue.data.gov.bc.ca/dataset/4e71fd99-09a0-4573-aecd-b8030b48f0b7","","CWHvm2","CWHvm2/01","CWHvm2/AB","7","4","C1A9CAAVA1","Tsuga heterophylla - Abies amabilis - Vaccinium alaskense","HwBa - Blueberry","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1A9CAAVA1","S3S4 (Jun 2019)","Yellow","GNR","CWHvm2/03","CWHvm2/HS","3","4","C1A9CTHGS3","Tsuga heterophylla - Thuja plicata - Gaultheria shallon","HwCw - Salal","https://a100.gov.bc.ca/pub/eswp/reports.do?elcode=C1A9CTHGS3","S3 (Jan 2020)","Blue","G3 (Mar 2005)","","","0","4","","","","","","","","4.000000000000000","5.000000000000000","0.000000000000000","0","0","","2069.911524350000036","164834","Lotus pedunculatus","Lotus pedunculatus","","6/11/2020","","Lotus pedunculatus","164834"
"Luzula glabrata","(Hoppe) Desv.","","smooth woodrush","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Juncaceae","","","Luzula","Luzula glabrata","","","","","","","8/22/1979","","","","","","","","","","","reported","","","164944","","Luzula glabrata","Luzula glabrata","Luzula glabrata","","8/22/1979","Ted Lea","AndrewSimon_June_2025","","0","101620","164944","49.799999999999997","-123.150000000000006","Poales","AndrewSimon_June_2025","1","33369","600","0","","","","CWHdm/01","CWHdm/HM","5","5","C1A9CTHPU1","Tsuga heterophylla / Buckiella undulata","western hemlock / flat-moss","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTHPU1","S3 (2016)","Blue","G3G4","CWHdm/05","CWHdm/RS","5","5","C1A9CTPTT1","Thuja plicata / Polystichum munitum Dry Maritime subzone","western redcedar / sword fern Dry Maritime","https://a100.gov.bc.ca//pub/eswp/reports.do?elcode=C1A9CTPTT1","S2? (2016)","Red","G2G3","","","0","","","","","","","","","5.000000000000000","8.000000000000000","0.000000000000000","0","0","","3849.239169120000042","164944","Luzula glabrata","Luzula glabrata","","8/22/1979","","Luzula glabrata","164944"
"Luzula wahlenbergii","Rupr.","","reindeer wood-rush","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Juncaceae","","","Luzula","Luzula wahlenbergii","","","","","","","8/1/1913","","","","","","","","","","","reported","","","164951","","Luzula wahlenbergii","Luzula wahlenbergii","Luzula wahlenbergii","","8/1/1913","John Davidson","AndrewSimon_June_2025","","","","164951","49.936943999070998","-123.025555999999995","Poales","AndrewSimon_June_2025","0","33457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164951","Luzula wahlenbergii","Luzula wahlenbergii","","8/1/1913","","Luzula wahlenbergii","164951"
"Pentaglottis sempervirens","(L.) Tausch ex L.H.Bailey","","green alkanet","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Boraginales","","","Boraginaceae","Boraginoideae","Boragineae","Pentaglottis","Pentaglottis sempervirens","","","","","","","7/30/2019","","","","","","","","","","","new 2019","","","166466","","Pentaglottis sempervirens","Pentaglottis sempervirens","Pentaglottis sempervirens","","7/30/2019","Caitlin Robinson","AndrewSimon_June_2025","","","","166466","49.338561666700002","-123.251083333300002","Boraginales","AndrewSimon_June_2025","0","40854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166466","Pentaglottis sempervirens","Pentaglottis sempervirens","","7/30/2019","","Pentaglottis sempervirens","166466"
