"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date","residencyStatus"
"Chondestes grammacus","Say","Lark Sparrow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Passerellidae",NA,NA,"Chondestes","grammacus",NA,NA,NA,"S2S4B","Mar 2022","Blue",NA,NA,NA,NA,NA,"accidental"
"Chordeiles minor","J..R. Forster","Common Nighthawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Caprimulgiformes",NA,NA,NA,"Caprimulgidae",NA,NA,"Chordeiles","minor",NA,NA,NA,"S3S5B","Mar 2022","Blue","Special Concern","May 2018","1","Special Concern","Feb 2023","breeding"
"Chroicocephalus philadelphia","Ord.","Bonaparte's Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Chroicocephalus","philadelphia",NA,NA,NA,"S5?","Apr 2023","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Cinclus mexicanus","Swainson","American Dipper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Cinclidae",NA,NA,"Cinclus","mexicanus",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Circus cyaneus",NA,"Hen Harrier","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Accipitrinae",NA,"Circus","cyaneus",NA,NA,NA,"S4B","2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Circus hudsonius","L.","Northern Harrier","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Accipitrinae",NA,"Circus","hudsonius",NA,NA,NA,"S4B","Mar 2015","Yellow","Not at Risk","May 1993",NA,NA,NA,"permanent"
"Cistothorus palustris","Wilson","Marsh Wren","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Troglodytidae",NA,NA,"Cistothorus","palustris",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Clangula hyemalis","L.","Long-tailed Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Clangula","hyemalis",NA,NA,NA,"S2S3B,S4N","Mar 2015","Blue",NA,NA,NA,NA,NA,"winter"
"Coccyzus americanus","L.","Yellow-billed Cuckoo","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Cuculiformes",NA,NA,NA,"Cuculidae","Cuculinae",NA,"Coccyzus","americanus",NA,NA,NA,"SXB","Mar 2022","Red",NA,NA,NA,NA,NA,"accidental"
"Colaptes auratus cafer","Gmelin","Northern Red-shafted Flicker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,NA,"Picidae","Picinae","Picini","Colaptes","auratus",NA,"Colaptes auratus cafer",NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Colaptes auratus luteus × cafer","L.","Yellow-shafted × Red-shafted Flicker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,NA,"Picidae","Picinae","Picini","Colaptes","auratus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Columba livia","Gmelin","Rock Pigeon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Columbiformes",NA,NA,NA,"Columbidae",NA,NA,"Columba","livia",NA,NA,NA,"SNA","Mar 2015","Exotic",NA,NA,NA,NA,NA,"introduced"
"Contopus cooperi","Swainson","Olive-sided Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Contopus","cooperi",NA,NA,NA,"S4B","Mar 2022","Yellow","Special Concern","May 2018","1","Special Concern","Feb 2023","breeding"
"Contopus sordidulus","Slater","Western Wood-Pewee","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Contopus","sordidulus",NA,NA,NA,"S5?B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding"
"Corthylio calendula",NA,"Ruby-crowned Kinglet","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Regulidae",NA,NA,"Corthylio","calendula",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Corvus brachyrhynchos caurinus",NA,"Northwestern Crow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Corvidae",NA,NA,"Corvus","brachyrhynchos",NA,"Corvus brachyrhynchos caurinus",NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Cyanocitta cristata","L.","Blue Jay","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Corvidae",NA,NA,"Cyanocitta","cristata",NA,NA,NA,"S4S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"accidental"
"Cyanocitta stelleri","(Gmelin)","Steller's Jay","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Corvidae",NA,NA,"Cyanocitta","stelleri",NA,NA,NA,"S3","Feb 2019","Blue",NA,NA,NA,NA,NA,"permanent"
"Cygnus buccinator","Richardson","Trumpeter Swan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Cygnus","buccinator",NA,NA,NA,"S4B,S5N","Mar 2015","Yellow","Not at Risk","May 1996",NA,NA,NA,"winter"
"Cygnus columbianus","Ord.","Tundra Swan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Cygnus","columbianus",NA,NA,NA,"S3N","Mar 2015","Blue",NA,NA,NA,NA,NA,"winter"
"Cygnus olor","Gmelin","Mute Swan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Cygnus","olor",NA,NA,NA,"SNA","Mar 2015","Exotic",NA,NA,NA,NA,NA,"accidental"
"Cypseloides niger","Gmelin","Black Swift","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Apodiformes",NA,NA,NA,"Apodidae",NA,NA,"Cypseloides","niger",NA,NA,NA,"S2S4B","Mar 2022","Blue","Endangered","May 2015","1","Endangered","May 2019","breeding"
"Dendragapus fuliginosus","Ridgway","Sooty Grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Dendragapus","fuliginosus",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Dendragapus obscurus",NA,"Dusky Grouse","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Dendragapus","obscurus",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Dolichonyx oryzivorus","L.","Bobolink","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteridae",NA,NA,"Dolichonyx","oryzivorus",NA,NA,NA,"S2?B","Mar 2022","Red","Special Concern","May 2022","1","Threatened","Nov 2017","accidental"
"Dryobates pubescens","L.","Downy Woodpecker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,NA,"Picidae","Picinae","Melanerpini","Dryobates","pubescens",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Dryocopus pileatus","L.","Pileated Woodpecker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,NA,"Picidae","Picinae","Picini","Dryocopus","pileatus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Dumetella carolinensis","L.","Gray Catbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Mimidae",NA,NA,"Dumetella","carolinensis",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding (rare)?"
"Empidonax difficilis","Baird","Western Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Empidonax","difficilis",NA,NA,NA,"S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding"
"Empidonax hammondii","X. de Vesey","Hammond's Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Empidonax","hammondii",NA,NA,NA,"S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding"
"Empidonax minimus","Baird","Least Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Empidonax","minimus",NA,NA,NA,"S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding (rare)?"
"Empidonax oberholseri","Phillips","Dusky Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Empidonax","oberholseri",NA,NA,NA,"S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"passage migrant (rare)"
"Empidonax traillii","Audubon","Willow Flycatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Tyrannidae",NA,NA,"Empidonax","traillii",NA,NA,NA,"S4S5B","Mar 2022","Yellow",NA,NA,NA,NA,NA,"breeding"
"Eremophila alpestris","L.","Horned Lark","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Alaudidae",NA,NA,"Eremophila","alpestris",NA,NA,NA,"S3S5","Mar 2022","Blue",NA,NA,NA,NA,NA,"passage migrant, breeding?"
"Euphagus carolinus","Muller","Rusty Blackbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteridae",NA,NA,"Euphagus","carolinus",NA,NA,NA,"S3S4","Apr 2025","Blue","Special Concern","Apr 2017","1","Special Concern","Mar 2009","winter (rare)"
"Euphagus cyanocephalus","Wagler","Brewer's Blackbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteridae",NA,NA,"Euphagus","cyanocephalus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Falco columbarius","L.","Merlin","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","columbarius",NA,NA,NA,"S5","Mar 2015","Yellow","Not at Risk","May 1985",NA,NA,NA,"permanent"
"Falco peregrinus","Tunstall","Peregrine Falcon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","peregrinus",NA,NA,NA,"S3","Mar 2015","No Status",NA,NA,NA,NA,NA,"permanent"
"Falco peregrinus anatum","Bonaparte","North American Peregrine Falcon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","peregrinus",NA,"Falco peregrinus anatum",NA,"S2?","Jan 2011","Red","Not at Risk","Dec 2017",NA,NA,NA,"permanent"
"Falco peregrinus tundrius","C.M. White","American Tundra Peregrine Falcon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","peregrinus",NA,"Falco peregrinus tundrius",NA,"SUM","Apr 2019","Unknown","Not at Risk","Dec 2017",NA,NA,NA,"passage migrant"
"Falco rusticolus","L.","Gyrfalcon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","rusticolus",NA,NA,NA,"S3S4B,SNRN","Mar 2015","Blue","Not at Risk","May 1987",NA,NA,NA,"winter (rare)"
"Falco sparverius","L.","American Kestrel","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Falconiformes",NA,NA,NA,"Falconidae",NA,NA,"Falco","sparverius",NA,NA,NA,"S4S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Fringilla montifringilla","L.","Brambling","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Fringilla","montifringilla",NA,NA,NA,"SNA","Apr 2023","Accidental",NA,NA,NA,NA,NA,"accidental"
"Fulica americana","Gmelin","American Coot","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gruiformes",NA,NA,NA,"Rallidae",NA,NA,"Fulica","americana",NA,NA,NA,"S4S5B","Mar 2015","Yellow","Not at Risk","May 1991",NA,NA,NA,"permanent"
"Fulmarus glacialis","L.","Northern Fulmar","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Procellariiformes",NA,NA,NA,"Procellariidae",NA,NA,"Fulmarus","glacialis",NA,NA,NA,"S1B,S4N","Mar 2015","Red",NA,NA,NA,NA,NA,"accidental"
"Gallinago delicata","Ord.","Wilson's Snipe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Scolopacidae",NA,NA,"Gallinago","delicata",NA,NA,NA,"S5","Apr 2023","Yellow",NA,NA,NA,NA,NA,"permanent"
"Gallinula galeata","Lichenstein","Common Gallinule","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gruiformes",NA,NA,NA,"Rallidae",NA,NA,"Gallinula","galeata",NA,NA,NA,"SNA","Mar 2015","Accidental",NA,NA,NA,NA,NA,"accidental"
"Gavia adamsii","Gray","Yellow-billed Loon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gaviiformes",NA,NA,NA,"Gaviidae",NA,NA,"Gavia","adamsii",NA,NA,NA,"S2S3N","Mar 2015","Blue","Not at Risk","May 1997",NA,NA,NA,"winter (rare)"
"Gavia immer","Brunnich","Common Loon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gaviiformes",NA,NA,NA,"Gaviidae",NA,NA,"Gavia","immer",NA,NA,NA,"S5","Mar 2015","Yellow","Not at Risk","May 1997",NA,NA,NA,"permanent"
"Gavia pacifica","Lawrence","Pacific Loon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gaviiformes",NA,NA,NA,"Gaviidae",NA,NA,"Gavia","pacifica",NA,NA,NA,"S4B,S3S4N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Gavia stellata","Pontoppidan","Red-throated Loon","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Gaviiformes",NA,NA,NA,"Gaviidae",NA,NA,"Gavia","stellata",NA,NA,NA,"S4","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter"
"Geothlypis tolmiei","Townsend","MacGillivray's Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Geothlypis","tolmiei",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding"
"Geothlypis trichas","L.","Common Yellowthroat","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Geothlypis","trichas",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding"
"Glaucidium gnoma swarthi","Wagler","Vancouver Island Pygmy-Owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,NA,"Strigidae",NA,NA,"Glaucidium","gnoma",NA,"Glaucidium gnoma swarthi",NA,"S3S4","Mar 2018","Blue",NA,NA,NA,NA,NA,"permanent"
"Haematopus bachmani","Audubon","Black Oystercatcher","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Haematopodidae",NA,NA,"Haematopus","bachmani",NA,NA,NA,"S4","Apr 2023","Yellow",NA,NA,NA,NA,NA,"permanent"
"Haemorhous cassinii","Baird","Cassin's Finch","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Haemorhous","cassinii",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter (rare)"
"Haemorhous mexicanus","Muller","House Finch","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Haemorhous","mexicanus",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Haemorhous purpureus","Gmelin","Purple Finch","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Haemorhous","purpureus",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Haliaeetus leucocephalus","L.","Bald Eagle","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,NA,"Accipitridae","Buteoninae",NA,"Haliaeetus","leucocephalus",NA,NA,NA,"S5B,S5N","Mar 2015","Yellow","Not at Risk","May 1984",NA,NA,NA,"permanent"
"Hesperiphona vespertina",NA,"Evening Grosbeak","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Fringillidae",NA,NA,"Hesperiphona","vespertina",NA,NA,NA,"S5","Mar 2022","Yellow","Special Concern","Nov 2016","1","Special Concern","May 2019","permanent"
"Hirundo rustica","L.","Barn Swallow","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Hirundinidae",NA,NA,"Hirundo","rustica",NA,NA,NA,"S4B","Mar 2022","Yellow","Special Concern","May 2021","1","Threatened","Nov 2017","breeding"
"Histrionicus histrionicus","L.","Harlequin Duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,NA,"Anatidae",NA,NA,"Histrionicus","histrionicus",NA,NA,NA,"S4B,S3N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Hydrobates furcatus",NA,"Fork-tailed Storm-Petrel","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Procellariiformes",NA,NA,NA,"Hydrobatidae",NA,NA,"Hydrobates","furcatus",NA,NA,NA,"S4B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"winter (rare)"
"Hydroprogne caspia","Pallas","Caspian Tern","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Sterninae",NA,"Hydroprogne","caspia",NA,NA,NA,"S2S4B","Apr 2024","Blue","Not at Risk","May 1999",NA,NA,NA,"passage migrant, breeding?"
"Icteria virens","L.","Yellow-breasted Chat","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteriidae",NA,NA,"Icteria","virens",NA,NA,NA,"S2B","Mar 2018","Red","Endangered","Nov 2011","1","Endangered","Jun 2003","accidental"
"Icterus bullockii","Swainson","Bullock's Oriole","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Icteridae",NA,NA,"Icterus","bullockii",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding (rare)?"
"Ixoreus naevius","Gmelin","Varied Thrush","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Turdidae",NA,NA,"Ixoreus","naevius",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Junco hyemalis","L.","Dark-eyed Junco","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Passerellidae",NA,NA,"Junco","hyemalis",NA,NA,NA,"S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Lagopus leucura saxatilis","Richardson","Vancouver Island White-tailed Ptarmigan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Lagopus","leucura",NA,"Lagopus leucura saxatilis",NA,"S3S4","Mar 2018","Blue",NA,NA,NA,NA,NA,"permanent"
"Lagopus muta",NA,"Rock Ptarmigan","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Galliformes",NA,NA,NA,"Phasianidae",NA,NA,"Lagopus","muta",NA,NA,NA,"S4S5","Mar 2015","Yellow",NA,NA,NA,NA,NA,"accidental"
"Lanius borealis","Vieillot","Northern Shrike","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Laniidae",NA,NA,"Lanius","borealis",NA,NA,NA,"S4B,S4N","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant, winter"
"Lanius ludovicianus","L.","Loggerhead Shrike","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Laniidae",NA,NA,"Lanius","ludovicianus",NA,NA,NA,"SNA","Apr 2024","Accidental",NA,NA,NA,NA,NA,"accidental"
"Larus argentatus","Pontoppidan","European Herring Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","argentatus",NA,NA,NA,"S5?B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant, winter"
"Larus brachyrhynchus",NA,"Short-billed Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","brachyrhynchus",NA,NA,NA,"S4B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding?, winter"
"Larus californicus","Lawrence","California Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","californicus",NA,NA,NA,"S1B,SNRN","Mar 2022","Red",NA,NA,NA,NA,NA,"passage migrant, winter"
"Larus canus","L.","Common Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","canus",NA,NA,NA,"S4B","2015","Yellow",NA,NA,NA,NA,NA,"breeding?, winter"
"Larus delawarensis","Ord.","Ring-billed Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","delawarensis",NA,NA,NA,"S4?B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant, winter"
"Larus glaucescens","Nauman","Glaucous-winged Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","glaucescens",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA,"permanent"
"Larus glaucescens × occidentalis",NA,"Olympic gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,NA,NA,NA,NA,"Larus glaucescens × occidentalis","S4S5","2023","Yellow",NA,NA,NA,NA,NA,"resident"
"Larus glaucoides thayeri","Brooks","Thayer's Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","glaucoides",NA,"Larus glaucoides thayeri",NA,"S5N","Apr 2023","Yellow",NA,NA,NA,NA,NA,"passage migrant, winter"
"Larus heermanni","Cassin","Heermann's Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","heermanni",NA,NA,NA,"S4M","Apr 2025","Yellow",NA,NA,NA,NA,NA,"passage migrant"
"Larus hyperboreus","Gunnerus","Glaucous Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","hyperboreus",NA,NA,NA,"SNRM","Mar 2015","Not Reviewed",NA,NA,NA,NA,NA,"winter (rare)"
"Larus occidentalis","Audubon","Western Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","occidentalis",NA,NA,NA,"S3S4N","May 2025","Blue",NA,NA,NA,NA,NA,"winter"
"Larus smithsonianus",NA,"American Herring Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Larus","smithsonianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"passage migrant, winter"
"Leiothlypis celata","Say","Orange-crowned Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Leiothlypis","celata",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding, winter (rare)"
"Leiothlypis celata lutescens",NA,"Pacific Orange-crowned Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Leiothlypis","celata",NA,"Leiothlypis celata lutescens",NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding, winter (rare)"
"Leiothlypis peregrina",NA,"Tennessee Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Leiothlypis","peregrina",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"passage migrant (rare)"
"Leiothlypis ruficapilla",NA,"Nashville Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Leiothlypis","ruficapilla",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding (rare)"
"Leiothlypis ruficapilla","A. Wilson","Nashville Warbler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,NA,"Parulidae",NA,NA,"Leiothlypis","ruficapilla",NA,NA,NA,"S5B","Mar 2015","Yellow",NA,NA,NA,NA,NA,"breeding (rare)"
"Leuconotopicus villosus",NA,"Hairy Woodpecker","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Piciformes",NA,NA,NA,"Picidae","Picinae","Melanerpini","Leuconotopicus","villosus",NA,NA,NA,"S5","2015","Yellow",NA,NA,NA,NA,NA,"permanent"
"Leucophaeus pipixcan","Wagler","Franklin's Gull","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Laridae","Larinae",NA,"Leucophaeus","pipixcan",NA,NA,NA,"SUN","Mar 2015","Unknown",NA,NA,NA,NA,NA,"accidental"
