"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Salvia rosmarinus","Spenn.","Rosemary","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Lamiaceae","Nepetoideae","Mentheae","Salvia","rosmarinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanguisorba minor","Scop.","Fodder Burnet","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Rosoideae","Agrimonieae","Sanguisorba","minor",NA,NA,NA,"SNA","Apr 2019","Exotic",NA,NA,NA,NA,NA
"Sarracenia purpurea ssp. purpurea","L.","northern purple pitcher plant","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ericales",NA,NA,NA,"Sarraceniaceae",NA,NA,"Sarracenia","purpurea",NA,"purpurea",NA,"S2?","Apr 2019","Red",NA,NA,NA,NA,NA
"Sedum sexangulare","L.","Tasteless Stonecrop","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Saxifragales",NA,NA,NA,"Crassulaceae","Sempervivoideae","Sedeae","Sedum","sexangulare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sequoia sempervirens","(D. Don) Endl.","coast redwood","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Cupressaceae","Sequoioideae",NA,"Sequoia","sempervirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sequoiadendron giganteum","(Lindl.) J. Buchh.","giant sequoia","Plantae","Tracheophyta",NA,NA,"Pinopsida",NA,NA,"Pinales",NA,NA,NA,"Cupressaceae","Sequoioideae",NA,"Sequoiadendron","giganteum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene × hampeana","Meusel & K. Werner","Hybrid Campion","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Caryophyllales",NA,NA,NA,"Caryophyllaceae","Caryophylloideae","Sileneae","Silene",NA,NA,NA,"Silene × hampeana",NA,NA,NA,NA,NA,NA,NA,NA
"Silene flos-cuculi","(L.) Greuter & Burdet","ragged-robin","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Caryophyllales",NA,NA,NA,"Caryophyllaceae","Caryophylloideae","Sileneae","Silene","flos-cuculi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spiraea × hitchcockii","W.J.Hess","Hitchcock's Spirea","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Spiraeeae","Spiraea",NA,NA,NA,"Spiraea × hitchcockii",NA,NA,NA,NA,NA,NA,NA,NA
"Spiraea × pyramidata","Greene","Pyramidal Spirea","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Spiraeeae","Spiraea",NA,NA,NA,"Spiraea × pyramidata",NA,NA,NA,NA,NA,NA,NA,NA
