"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObserved","Observer","iNatObsID","notes","ID","statsCode","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount"
"Clytia gregaria",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1976-06-19","O'Clair, Rita M.","CMN","CMNI 1900-1132",,,,,,,,"2023-07-22","","iNaturalist","",30
"Cnemidocarpa finmarkiensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",208
"Coanicardita ventricosa",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-006",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-006",1
"Compsomyax subdiaphana",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-012",,,,,,,,"1961-06-22","","RBCM","976-01146-006",3
"Corella inflata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2021-12-16","","iNaturalist","",6
"Corella willmeriana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",124
"Coryphella trilineata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",68
"Coryphella trophina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2019-05-05","Stefania Gorgopa","PMLS","",42
"Coryphella verrucosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",41
"Crangon nigricauda",,,,,,,,,,,,,,,,,,,,,,,,,"new 2018","observed","2018-05-31","","iNaturalist","",,,,,,,,"2020-08-01","","iNaturalist","",2
"Craniella villosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2016-02-18","Andy Lamb","PMLS","",32
"Crassadoma gigantea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",236
"Crenella decussata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-013",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-013",1
"Crepidula cf. nummaria",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2009-03-07","Andy Lamb","PMLS","",3
"Crepidula norrisiarum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1995-02-26","Charlie Gibbs","PMLS","",,,,,,,,"2009-10-10","Andy Lamb","PMLS","",7
"Cribrilina sp.",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-04","","iNaturalist","",,,,,,,,"2019-05-04","","iNaturalist","",1
"Cribrinopsis fernaldi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",44
"Cribrinopsis rubens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-11-11","Andy Lamb","PMLS","",,,,,,,,"2010-07-17","Andy Lamb","PMLS","",19
"Crisia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",110
"Crossaster papposus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2014-01-03","Andy Lamb","PMLS","",89
"Crucigera zygophora",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-067",,,,,,,,"1986-09-30","","RBCM","986-00197-067",1
"Cryptochiton stelleri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",118
"Cryptolithodes sitchensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-10-02","Andy Lamb","PMLS","",,,,,,,,"2007-10-14","Andy Lamb","PMLS","",2
"Cryptolithodes typicus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",38
"Cryptonatica aleutica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2009-01-30","Andy Lamb","PMLS","",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",5
"Cucumaria miniata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",236
"Cucumaria pallida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",,,,,,,,"2021-03-02","","iNaturalist","",49
"Cucumaria piperata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-10-07","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",29
"Cumanotus fernaldi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1975-06-17","Philip Lambert","RBCM","975-00224-006",,,,,,,,"1975-06-17","Philip Lambert","RBCM","975-00224-006",1
"Cuthona divae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",4
"Cuthonella concinna",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-08","","iNaturalist","",,,,,,,,"2014-04-08","","iNaturalist","",1
"Cyanea ferruginea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-10-02","Andy Lamb","PMLS","",,,,,,,,"2022-10-10","","iNaturalist","",45
"Cyanoplax dentiens",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-05-14","","iNaturalist","",,,,,,,,"2023-06-27","","iNaturalist","",3
"Cylichna attonsa",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03321",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03321",1
"Cymatogaster aggregata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2023-08-25","","iNaturalist","",94
"Cystodytes lobatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",21
"Dendraster excentricus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1964-12-07","","RBCM","976-01146-014",,,,,,,,"2022-04-04","","iNaturalist","",7
"Dendrobeania lichenoides",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2008-11-09","","iNaturalist","",8
"Dendrobeania murrayana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",43
"Dendronotus albopunctatus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2015-04-22","","iNaturalist","",,,,,,,,"2015-04-22","","iNaturalist","",1
"Dendronotus albus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",15
"Dendronotus iris",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",71
"Dendronotus kamchaticus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-09","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",1
"Dendronotus robilliardi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2014-04-08","","iNaturalist","",2
"Dendronotus rufus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2022-08-16","","iNaturalist","",28
"Dendronotus subramosus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",3
"Dendronotus venustus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-07-09","","iNaturalist","",,,,,,,,"2018-05-18","","iNaturalist","",4
"Dermasterias imbricata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",339
"Desdimelita californica",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",,,,,,,,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",1
"Desdimelita microdentata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",,,,,,,,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",1
"Desmacella austini",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-23","","iNaturalist","",,,,,,,,"2011-10-30","","iNaturalist","",4
"Diadumene lineata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1859-01-01","Alexander Agassiz","McMurrich (1921)","AGASSIZGI:1",,,,,,,,"2023-08-24","","iNaturalist","",11
"Diaperoforma californica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",111
"Diaphoreolis viridis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-09","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",1
"Diaphorodoris lirulatocauda",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-30","Andy Lamb","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",3
"Diaulula odonoghuei",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",89
"Didemnum carnulentum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2006-12-02","Charlie Gibbs","PMLS","",18
"Didemnum vexillum",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2013-10-23","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",1
"Diodora aspera",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",105
"Diopatra ornata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-10-02","Andy Lamb","PMLS","",,,,,,,,"2020-06-07","","iNaturalist","",14
"Diplosoma listerianum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",4
"Dirona albolineata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",137
"Dirona pellucida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",27
"Discophyton rudyi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1995-02-24","Charlie Gibbs","PMLS","",,,,,,,,"1996-09-29","Charlie Gibbs","PMLS","",3
"Discorsopagurus schmitti",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-025",,,,,,,,"1986-09-30","","RBCM","986-00197-025",1
"Disporella separata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1997-04-15","Donna Gibbs","PMLS","",,,,,,,,"2008-04-27","Andy Lamb","PMLS","",3
"Distaplia occidentalis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-07-30","","iNaturalist","",78
"Dodecaceria concharum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",7
"Dodecaceria pacifica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-07-30","","iNaturalist","",199
"Doris montereyensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",128
"Doris odhneri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",63
"Doryteuthis opalescens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-02-06","","iNaturalist","",,,,,,,,"2023-07-22","","iNaturalist","",4
"Doto amyra",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-08","","iNaturalist","",,,,,,,,"2014-04-08","","iNaturalist","",1
"Doto columbiana",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2014-04-09","","iNaturalist","",,,,,,,,"2014-04-09","","iNaturalist","",1
"Echidnocerus cibarius",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-02-27","Charlie Gibbs","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",93
"Echidnocerus foraminatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2008-05-25","","iNaturalist","",8
"Ectopleura crocea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",67
"Ectopleura marina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",25
"Elassochirus gilli",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2010-07-17","Andy Lamb","PMLS","",6
"Elassochirus tenuimanus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",51
"Embiotoca lateralis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",206
"Emplectonema gracile",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2021-03-17","","iNaturalist","",2
"Engraulis mordax",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-12-02","Charlie Gibbs","PMLS","",,,,,,,,"2023-07-03","","iNaturalist","",5
"Ennucula tenuis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-007",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03318",2
"Enophrys bison",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-07-09","","iNaturalist","",30
"Enteroctopus dofleini",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",40
"Entodesma navicula",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",109
"Epiactis lisbethae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",6
"Epiactis prolifera",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2022-08-14","","iNaturalist","",10
"Epigamia cf. alexandri",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-018",,,,,,,,"1986-09-30","","RBCM","986-00197-018",1
"Epigamia magna",,,,,,,,,,,,,,,,,,,,,,,,,"new 2022","observed","2022-02-22","","iNaturalist","",,,,,,,,"2022-02-22","","iNaturalist","",1
"Epitonium hindsii",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-019",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-019",1
"Epitonium indianorum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-07-19","Andy Lamb","PMLS","",,,,,,,,"2010-05-30","Andy Lamb","PMLS","",3
"Epizoanthus scotinus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-09-04","","iNaturalist","",113
"Eschrichtius robustus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2001-04-14","","BCCSN","20035",,,,,,,,"2017-06-18","","BCCSN","122218",5
"Eualus butleri",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","unobserved","2016-01-23","Andy Lamb","PMLS","",,,,,,,,"2016-01-23","Andy Lamb","PMLS","",1
"Eubranchus rupium",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2012-10-06","Andy Lamb","PMLS","",,,,,,,,"2012-10-06","Andy Lamb","PMLS","",1
"Eubranchus rustyus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2019-05-04","","iNaturalist","",5
"Eubranchus sanjuanensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2014-04-08","","iNaturalist","",,,,,,,,"2019-05-04","","iNaturalist","",2
"Eudistoma molle",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",2
"Eudistoma purpuropunctatum",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2008-11-12","Andy Lamb","PMLS","",,,,,,,,"2008-11-12","Andy Lamb","PMLS","",1
"Eudistylia vancouveri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-06-02","","iNaturalist","",98
"Eulalia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-024",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-024",1
"Eumetopias jubatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-08","","iNaturalist","",58
"Eupentacta quinquesemita",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",146
"Euphausia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2011-11-25","Andy Lamb","PMLS","",5
"Euphysa sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2021-04-11","","iNaturalist","",4
"Euplokamis dunlapae",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-25","Charlie Gibbs","PMLS","",,,,,,,,"2021-02-19","","iNaturalist","",2
"Eurylepta leoparda",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-09-28","Charlie Gibbs","PMLS","",,,,,,,,"2016-01-23","Andy Lamb","PMLS","",5
"Eusergestes similis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1965-01-29","W. Barraclough","RBCM","015-00030-001",,,,,,,,"2022-12-04","","iNaturalist","",2
"Euspira pallida",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","","RBCM","976-01146-003",,,,,,,,"1996-09-29","Charlie Gibbs","PMLS","",3
"Eutonina indicans",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","",,,,,,,,"2023-05-06","","iNaturalist","",28
"Evasterias troschelii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",279
"Fabia subquadrata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1934-09-06","Josephine Hart","RBCM","985-00143-001",,,,,,,,"1934-09-06","Josephine Hart","RBCM","985-00143-001",1
"Florometra serratissima",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1960-06-21","Dan Quayle","RBCM","009-00308-001",,,,,,,,"2023-09-09","","iNaturalist","",135
"Fusinus sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-021",,,,,,,,"1959-12-11","Dan Quayle","RBCM","989-00278-021",1
"Fusitriton oregonensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",19
"Gadila aberrans",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03327",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03327",1
"Gadus chalcogrammus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2009-10-03","Jackson W.F. Chu","Chu & Leys (2010)","",13
"Gadus macrocephalus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-02-26","Charlie Gibbs","PMLS","",,,,,,,,"2018-05-29","","iNaturalist","",4
"Gari californica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2005-12-10","Andy Lamb","PMLS","",,,,,,,,"2019-03-11","Andy Lamb","PMLS","",45
"Garveia annulata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",23
"Gasterosteus aculeatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2000-01-01","Keith Erickson","Erickson (2000)","",,,,,,,,"2023-07-21","","iNaturalist","",11
"Gastropteron pacificum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-02-27","Charlie Gibbs","PMLS","",,,,,,,,"2009-07-26","","iNaturalist","",7
"Geitodoris heathi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",41
"Glebocarcinus oregonensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",74
"Glycymeris septentrionalis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00294",,,,,,,,"1958-09-05","Ian McTaggart-Cowan","RBCM","979-00294",1
"Gnathopleustes pachychaetus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-0232",,,,,,,,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2004-0232",1
"Gnorimosphaeroma oregonense",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1976-06-19","O'Clair, Rita M.","CMN","CMNC 1987-0202",,,,,,,,"2023-05-27","","iNaturalist","",5
"Gobiesox maeandricus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"2022-08-20","","iNaturalist","",4
"Golfingia vulgaris",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",,,,,,,,"2007-12-15","Andy Lamb","PMLS","",1
"Gonionemus vertens",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-07-09","","iNaturalist","",,,,,,,,"2023-07-09","","iNaturalist","",5
"Gorgonocephalus eucnemis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",48
"Grammaria sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-04-13","Andy Lamb","PMLS","",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",1
"Grimothea quadrispina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-21","","iNaturalist","",,,,,,,,"2019-07-05","","iNaturalist","",19
"Halcampa decemtentaculata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-06-21","Andy Lamb","PMLS","",,,,,,,,"2016-07-24","Andy Lamb","PMLS","",3
"Halecium beanii",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2010-04-18","Andy Lamb","PMLS","",,,,,,,,"2010-04-18","Andy Lamb","PMLS","",1
"Halecium densum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-06-30","Andy Lamb","PMLS","",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",5
"Halichondria (Eumastia) sitiens",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",,,,,,,,"2009-11-14","Andy Lamb","PMLS","",3
"Halichondria (Halichondria) bowerbanki",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",38
"Halichondria (Halichondria) panicea",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"1969-02-22","Andy Lamb","PMLS","",2
"Haliclona (Haliclona) sp.1",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2006-11-11","Andy Lamb","PMLS","",,,,,,,,"2012-10-09","Andy Lamb","PMLS","",5
