Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Lecanora bicincta,Ramond,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,bicincta,,,,native,unlisted,,new 2017,observed,,,,,,2017-05-18,Andrew Simon,iNat:22641977,,222826,LIC,accepted,222826,Lecanora bicincta,Lecanora bicincta
Lecanora campestris,(Schaer.) Hue,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,campestris,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35939,,,,,,222833,LIC,accepted,222833,Lecanora campestris,Lecanora campestris
Lecanora chlarotera,Nyl.,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,chlarotera,,,,native,unlisted,,new 2016,observed,,,,,,2016-10-07,Andrew Simon,iNat:4296044,,222838,LIC,accepted,222838,Lecanora chlarotera,Lecanora chlarotera
Lecanora confusa,Almb.,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,confusa,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L2377,,2016-10-07,Andrew Simon,iNat:4296044,,222844,LIC,accepted,222844,Lecanora confusa,Lecanora confusa
Lecanora hybocarpa,(Tuck.) Brodo,,bumpy rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,hybocarpa,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2018-12-25,Andrew Simon,iNat:19876215,,155095,LIC,accepted,155095,Lecanora hybocarpa,Lecanora hybocarpa
Lecanora pacifica,Tuck.,,multicolored rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,pacifica,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-10-16,Andrew Simon,iNat:4390097,,117970,LIC,accepted,117970,Lecanora pacifica,Lecanora pacifica
Lecanora polytropa,(Hoffm.) Rabenh.,,granite-speck rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,polytropa,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36216,,,,,,182558,LIC,accepted,182558,Lecanora polytropa,Lecanora polytropa
Lecanora rupicola,(L.) Zahlbr. ,,white rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,rupicola,,,,native,S5 (2020),,new 2016,observed,,,,,,2016-04-23,Andrew Simon,iNat:3027508,,222936,LIC,accepted,222936,Lecanora rupicola,Lecanora rupicola
Lecanora sulphurea,(Hoffm.) Ach.,,brimstone tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,sulphurea,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L20699,,,,,,222956,LIC,accepted,222956,Lecanora sulphurea,Lecanora sulphurea
Lecanora symmicta,(Ach.) Ach.,,fused rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,symmicta,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36195,,,,,,222957,LIC,accepted,222957,Lecanora symmicta,Lecanora symmicta
Lecanora xylophila,Hue,,driftwood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecanora,xylophila,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L12448,,2017-05-19,Andrew Simon,iNat:9199365,syn. Lecanora grantii,117966,LIC,accepted,117966,Lecanora xylophila,Lecanora xylophila
Lecidella asema,(Nyl.) Knoph & Hertel,,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecidella,asema,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L36167,,2016-11-04,Andrew Simon,iNat:4497768,,205694,LIC,accepted,205694,Lecidella asema,Lecidella asema
Lecidella stigmatea,(Ach.) Hertel & Leuckert,,rock disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Lecidella,stigmatea,,,,native,unlisted,,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35919,,2016-10-16,Andrew Simon,iNat:9263649,,179366,LIC,accepted,179366,Lecidella stigmatea,Lecidella stigmatea
Myriolecis dispersa,"(Pers.) Śliwa, Zhao Xin & Lumbsch",,mortar rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,dispersa,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35914,,2017-12-22,Andrew Simon,iNat:9237202,reported as Lecanora dispersa,532146,LIC,accepted,532146,Myriolecis dispersa,Myriolecis dispersa
Myriolecis hagenii,(Ach.) Ach.,,Hagen’s rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,hagenii,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,532149,LIC,accepted,532149,Myriolecis hagenii,Myriolecis hagenii
Myriolecis schofieldii,"Brodo) Śliwa, Zhao Xin & Lumbsch",,Schofield’s rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Myriolecis,schofieldii,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L26791,,,,,,532156,LIC,accepted,532156,Myriolecis schofieldii,Myriolecis schofieldii
Protoparmeliopsis muralis s. lat.,(Schreb.) M. Choisy,,stonewall rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,Protoparmeliopsis,muralis,,,,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36191,,2015-08-05,Andrew Simon,iNat:2599414,reported as Lecanora muralis,632126,LIC,accepted,632126,Protoparmeliopsis muralis,Protoparmeliopsis muralis
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D. Hawksw. ,,witch’s hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Alectoria,vancouverensis,,,,native,S4 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L14347,,2019-05-05,Geneviève Reynolds,iNat: 24702321,coastal chemomorph of A sarmentosa,205455,LIC,accepted,205455,Alectoria vancouverensis,Alectoria vancouverensis
Bryoria fremontii,(G. Merr.) Brodo & D. Hawksw.,,inedible horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Bryoria,fremontii,,,,native,S5 (2018),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36179,,,,,reported as Bryoria tortuosa (colour morph),205663,LIC,accepted,205663,Bryoria fremontii,Bryoria fremontii
Bryoria glabra,(Motyka) Brodo & D. Hawksw.,,wire horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Bryoria,glabra,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-06-07,Andrew Simon,iNat:13225111,,205668,LIC,accepted,205668,Bryoria glabra,Bryoria glabra
Bryoria pseudofuscescens,(Gyeln.) Brodo & D. Hawksw.,,mountain horsehair lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Bryoria,pseudofuscescens,,,,native,S3S4 (2010); G3G4 Globally vulnerable,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35911,,2020-02-23,Andrew Simon,iNat:39126265,reported as Bryoria friabilis,205673,LIC,accepted,205673,Bryoria pseudofuscescens,Bryoria pseudofuscescens
Cetraria aculeata,(Schreber) Fr.,,spiny heath,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Cetraria,aculeata,,,,native,S5 (2018),,new 2021,observed,,,,,,2021-04-15,Andrew Simon,iNat:74104772,,54351,LIC,accepted,54351,Cetraria aculeata,Cetraria aculeata
Cetrelia cetrarioides,(Delise) W.L. Culb. & C.F. Culb.,,downside sea-storm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Cetrelia,cetrarioides,,,,native,S4 (2010),,reported,unobserved,2009-05-16,Kent Brothers,VMS,,,,,,,154457,LIC,accepted,154457,Cetrelia cetrarioides,Cetrelia cetrarioides
Evernia prunastri,(L.) Ach.,,antlered oakmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,,,,native,S4S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L10843,,2016-02-13,"Alison Colwell, Laura Colwell, & Malcolm Colwell",iNat:3041034,,123175,LIC,accepted,123175,Evernia prunastri,Evernia prunastri
Flavoparmelia cf caperata,(L.) Hale,,common greenshield lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Flavoparmelia,caperata,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-10-24,Natasha Lavdovsky,iNat:99307471,,117943,LIC,accepted,117943,Flavoparmelia caperata,Flavoparmelia caperata
Flavopunctelia flaventior,(Stirton) Hale.,,speckled mantle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Flavopunctelia,flaventior,,,,native,S2? (2019),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35877,,2016-10-16,Andrew Simon,iNat:4381669,,69436,LIC,accepted,69436,Flavopunctelia flaventior,Flavopunctelia flaventior
Flavopunctelia soredica,(Nyl.) Hale.,,powder-edged speckled mantle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Flavopunctelia,soredica,,,,native,unlisted,,new 2016,observed,,,,,,2016-10-16,Andrew Simon,iNat:4381669,,220115,LIC,accepted,220115,Flavopunctelia soredica,Flavopunctelia soredica
Hypogymnia apinnata,Goward & McCune,,beaded sleeve,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,apinnata,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-06-20,Andrew Simon,iNat:7280589,,222045,LIC,accepted,222045,Hypogymnia apinnata,Hypogymnia apinnata
Hypogymnia enteromorpha,(Ach.) Nyl.,,inflatable bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,enteromorpha,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36168,,2016-03-22,Andrew Simon,iNat:2819286,,222048,LIC,accepted,222048,Hypogymnia enteromorpha,Hypogymnia enteromorpha
Hypogymnia imshaugii,Krog,,forking bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,imshaugii,,,,native,S5 (2018),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L37597,,2016-03-22,Andrew Simon,iNat:2819332,,179042,LIC,accepted,179042,Hypogymnia imshaugii,Hypogymnia imshaugii
Hypogymnia inactiva,(Krog) Ohlsson,,wish bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,inactiva,,,,native,S4 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36199,,2017-03-30,Andrew Simon,iNat:5525983,,126597,LIC,accepted,126597,Hypogymnia inactiva,Hypogymnia inactiva
Hypogymnia occidentalis,L.H. Pike,,budding bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,occidentalis,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-06-20,Andrew Simon,iNat:7280579,,222055,LIC,accepted,222055,Hypogymnia occidentalis,Hypogymnia occidentalis
Hypogymnia physodes,(L.) Nyl.,,monk’s hood,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,physodes,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L37601,,2016-01-22,Andrew Simon,iNat:2608952,,117971,LIC,accepted,117971,Hypogymnia physodes,Hypogymnia physodes
Hypogymnia tubulosa,(Schaer.) Hav.,,dog bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Hypogymnia,tubulosa,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-02-13,Andrew Simon,iNat:2679358,,179720,LIC,accepted,179720,Hypogymnia tubulosa,Hypogymnia tubulosa
Letharia vulpina,(L.) Hue,,timber wolf,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Letharia,vulpina,,,,native,S5 (2018),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2018-05-08,Andrew Simon,iNat:12287790,,54613,LIC,accepted,54613,Letharia vulpina,Letharia vulpina
Melanelixia fuliginosa,(Fr. ex Duby) Essl.,,shiny camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Melanelixia,fuliginosa,,,,native,S4 (2010),,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36185,,,,,reported as Melanelia fuliginosa,345339,LIC,accepted,345339,Melanelixia fuliginosa,Melanelixia fuliginosa
Melanelixia glabratula,(Lamy) Sandler & Arup,,camouflage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Melanelixia,glabratula,,,,native,unlisted,,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36218,,2015-10-08,Lauren Magner & Andrew Simon,iNat:2647572,,463479,LIC,accepted,463479,Melanelixia glabratula,Melanelixia glabratula
Melanelixia subaurifera,"(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch",,abraded camouflage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Melanelixia,subaurifera,,,,native,S5 (2010),,new 2015,observed,,,,,,2015-10-08,Lauren Magner & Andrew Simon,iNat:2647580,,194686,LIC,accepted,194686,Melanelixia subaurifera,Melanelixia subaurifera
Melanohalea exasperatula,"(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch",,lustrous camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Melanohalea,exasperatula,,,,native,S5 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36186,,2019-01-11,Andrew Simon,iNat:19600899,,463485,LIC,accepted,463485,Melanohalea exasperatula,Melanohalea exasperatula
Menegazzia subsimilis,(H. Magn.) R. Sant.,,tragic flute,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Menegazzia,subsimilis,,,,native,S4 (2010),,new 2018,observed,,,,,,2018-07-01,Andrew Simon,iNat:13974445,,194700,LIC,accepted,194700,Menegazzia subsimilis,Menegazzia subsimilis
Menegazzia terebrata,(Hoffm.) A. Massal.,,magic flute,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Menegazzia,terebrata,,,,native,S4 (2010),,new 2018,observed,,,,,,2018-07-01,Andrew Simon,iNat:13974450,,123677,LIC,accepted,123677,Menegazzia terebrata,Menegazzia terebrata
Montanelia panniformis,(Nyl.) Vainio.,,overlapping camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Montanelia,panniformis,,,,native,S5 (2018),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:81146972,,463542,LIC,accepted,463542,Montanelia panniformis,Montanelia panniformis
Parmelia hygrophila,Goward & Ahti,,granulating crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmelia,hygrophila,,,,native,S5 (2010),,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2017-04-30,Andrew Simon,iNat:6047538,,194661,LIC,accepted,194661,Parmelia hygrophila,Parmelia hygrophila
Parmelia saxatilis,(L.) Ach.,,salted crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmelia,saxatilis,,,,native,S5 (2010),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35923,,2015-05-14,Andrew Simon,iNat:2617727,,117860,LIC,accepted,117860,Parmelia saxatilis,Parmelia saxatilis
Parmelia squarrosa,Hale,,bottlebrush crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmelia,squarrosa,,,,native,S3S4 (2010),,new 2017,observed,,,,,,2017-02-11,Andrew Simon,iNat:5094708,,125728,LIC,accepted,125728,Parmelia squarrosa,Parmelia squarrosa
Parmelia sulcata,Taylor,,hammered crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmelia,sulcata,,,,native,S5 (2010),,confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36214,,2016-04-23,Andrew Simon,iNat:3031163,,54734,LIC,accepted,54734,Parmelia sulcata,Parmelia sulcata
Parmeliopsis ambigua,(Wulfen) Nyl.,,green starburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmeliopsis,ambigua,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-06-09,Andrew Simon,iNat:13296686,,182652,LIC,accepted,182652,Parmeliopsis ambigua,Parmeliopsis ambigua
Parmotrema arnoldii,(Du Rietz) Hale,,king ruffle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Parmotrema,arnoldii,,,,native,S4 (2010),,confirmed,observed,1974-06-13,Willa J. Noble,UBC,L36498,,2015-03-09,Andrew Simon,iNat:2572195,,123349,LIC,accepted,123349,Parmotrema arnoldii,Parmotrema arnoldii
Platismatia glauca,(L.) W.L. Culb. & C.F. Culb.,,rag bags,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Platismatia,glauca,,,,native,S5 (2018),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L37600,,2016-04-23,Andrew Simon,iNat:3031180,,117874,LIC,accepted,117874,Platismatia glauca,Platismatia glauca
Platismatia herrei,(Imshaug) W.L. Culb. & C.F. Culb.,,tattered rags,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Platismatia,herrei,,,,native,S5 (2018),,confirmed,observed,1974-04-21,Willa J. Noble,UBC,L14276,,2015-03-04,Andrew Simon,iNat:2566412,,117876,LIC,accepted,117876,Platismatia herrei,Platismatia herrei
Protoparmelia ochrococca,(Nyl.) P.M. Jørg.,,lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Protoparmelioideae,,Protoparmelia,ochrococca,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36170,,,,,Cottage Road,228872,LIC,accepted,228872,Protoparmelia ochrococca,Protoparmelia ochrococca
Punctelia jeckeri,(Roum.) Kalb,,galactic speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Punctelia,jeckeri,,,,native,unlisted,,confirmed,observed,1977-07-24,Teuvo Ahti & Willa J. Noble,UBC,L39737,,2016-04-23,Andrew Simon,iNat:3031127,reported as P. perreticulata,341601,LIC,accepted,341601,Punctelia jeckeri,Punctelia jeckeri
Punctelia stictica,(Delise ex Duby) Krog,,blueshift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Punctelia,stictica,,,,native,S4 (2018),,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L14344,,2016-09-28,Andrew Simon,iNat:4239749,,117879,LIC,accepted,117879,Punctelia stictica,Punctelia stictica
Tuckermanopsis chlorophylla,(Willd.) Hale,,powdered wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,chlorophylla,,,,native,S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L14348,,2017-04-01,Andrew Simon,iNat:5537571,,1019557,LIC,accepted,1019557,Tuckermanopsis chlorophylla,Tuckermanopsis chlorophylla
Tuckermanopsis ciliaris,(Ach.) Gyeln.,,eyelashed wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,ciliaris,,,,native,S5 (2018),,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L881,,,,,"initially reported as Tuckermannopsis americana; note: I cannot trace this record on the UBC herbarium database, though it is still included on CPNWH under Cetraria ciliaris; this record should be double-checked; top of Mt. Galiano, fir twigs",,LIC,accepted,1019560,Tuckermanopsis ciliaris,
Tuckermanopsis orbata,(Nyl.) M.J. Lai,,shape-shifting wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Tuckermanopsis,orbata,,,,native,S5 (2018),,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L14346,,2015-03-04,Lauren Magner & Andrew Simon,iNat:2569000,,813868,LIC,accepted,813868,Tuckermanopsis orbata,Tuckermanopsis orbata
Usnea barbata,Motyka,,scruffy beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,barbata,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-10,Andrew Simon,iNat:5280677,,352781,LIC,accepted,352781,Usnea barbata,Usnea barbata
Usnea cavernosa,Tuck.,,pitted beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,cavernosa,,,,native,S3S4 (2018),,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35883,,2017-02-11,Andrew Simon,iNat:5109885,,182690,LIC,accepted,182690,Usnea cavernosa,Usnea cavernosa
Usnea cornuta,Körb.,,crab's beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,cornuta,,,,native,S4S5 (2019),,new 2021,observed,,,,,,2021-11-03,Andrew Simon,iNat:100205985,,117901,LIC,accepted,117901,Usnea cornuta,Usnea cornuta
Usnea dasopoga,(Ach.) Nyl.,,fish net beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,dasopoga,,,,native,S4S5 (2010),,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-04-23,Andrew Simon,iNat:3031254,,532452,LIC,accepted,532452,Usnea dasopoga,Usnea dasopoga
Usnea flavocardia,Räsänen,,blood-splattered beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,flavocardia,,,,native,S4 (2010),,new 2015,observed,,,,,,2015-10-15,Andrew Simon,iNat:33819226,,127146,LIC,accepted,127146,Usnea flavocardia,Usnea flavocardia
Usnea glabrata,(Ach.) Vain.,,lustrous beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,glabrata,,,,native,S3S5 (2019),,new 2017,observed,,,,,,2017-06-20,Andrew Simon,iNat:7280592,,233312,LIC,accepted,233312,Usnea glabrata,Usnea glabrata
Usnea glabrescens,(Nyl. ex Vain.) Vain.,,spotted beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Usnea,glabrescens,,,,native,S4 (2018),,new 2017,observed,,,,,,2017-02-16,Andrew Simon,iNat:5125230,,233313,LIC,accepted,233313,Usnea glabrescens,Usnea glabrescens
