"","period","cell_id","record_count"
"448","1890-1980",489,29
"449","1890-1980",536,1
"450","1890-1980",541,8
"451","1890-1980",542,117
"452","1890-1980",544,4
"453","1890-1980",545,4
"454","1890-1980",546,109
"455","1890-1980",547,1
"456","1890-1980",549,1
"457","1890-1980",590,2
"458","1890-1980",597,1
"459","1890-1980",653,1
"460","1890-1980",654,3
"461","1890-1980",656,6
"462","1890-1980",657,86
"463","1890-1980",658,1
"464","1890-1980",661,16
"465","1890-1980",756,1
"466","1890-1980",774,77
"467","1890-1980",775,1
"468","1890-1980",871,1
"469","1890-1980",882,1
"470","1890-1980",883,1
"471","1890-1980",941,90
"472","1890-1980",985,4
"473","1890-1980",995,1
"474","1890-1980",1041,1
"475","1890-1980",1107,43
"476","1890-1980",1146,1
"477","1890-1980",1159,1
"478","1890-1980",1213,1
"479","1890-1980",1214,2
"480","1890-1980",1219,14
"481","1890-1980",1259,6
"482","1890-1980",1261,1
"483","1890-1980",1262,1
"484","1890-1980",1263,19
"485","1890-1980",1264,4
"486","1890-1980",1275,2
"487","1890-1980",1278,1
"488","1890-1980",1331,33
"489","1890-1980",1366,1
"490","1890-1980",1375,1
"491","1890-1980",1376,4
"492","1890-1980",1378,1
"493","1890-1980",1386,14
"494","1890-1980",1387,2
"495","1890-1980",1389,1
"496","1890-1980",1392,1
"497","1890-1980",1395,2
"498","1890-1980",1488,32
"499","1890-1980",1492,1
"500","1890-1980",1496,2
"501","1890-1980",1499,1
"502","1890-1980",1501,5
"503","1890-1980",1502,1
"504","1890-1980",1599,21
"505","1890-1980",1602,1
"506","1890-1980",1603,1
"507","1890-1980",1613,6
"508","1890-1980",1658,1
"509","1890-1980",1664,2
"510","1890-1980",1711,1
"511","1890-1980",1712,4
"512","1890-1980",1714,1
"513","1890-1980",1720,6
"514","1890-1980",1721,13
"515","1890-1980",1768,1
"516","1890-1980",1826,14
"517","1890-1980",1831,1
"518","1890-1980",1880,1
"519","1890-1980",1883,1
"520","1890-1980",1991,4
"521","1890-1980",1992,3
"522","1890-1980",1993,1
"523","1890-1980",1996,2
"524","1890-1980",1998,1
"525","1890-1980",2103,1
"526","1890-1980",2104,2
"527","1890-1980",2214,1
"528","1890-1980",2215,27
"529","1890-1980",2216,1
"530","1890-1980",2217,2
"531","1890-1980",2328,4
"532","1890-1980",2436,1
"533","1890-1980",2437,1
"534","1890-1980",2549,1
"535","1890-1980",2550,4
"536","1890-1980",2555,1
"537","1890-1980",2560,1
"538","1890-1980",2587,4
"539","1890-1980",2605,1
"540","1890-1980",2827,2
"541","1890-1980",2828,1
"542","1890-1980",3026,1
"543","1890-1980",3140,1
"544","1890-1980",3158,5
"545","1890-1980",3161,6
"546","1890-1980",3270,2
"547","1890-1980",3273,1
"548","1890-1980",3310,1
"549","1890-1980",3311,3
"550","1890-1980",3322,1
"551","1890-1980",3324,1
"552","1890-1980",3326,4
"553","1890-1980",3329,4
"554","1890-1980",3330,3
"555","1890-1980",3382,1
"556","1890-1980",3421,3
"557","1890-1980",3427,1
"558","1890-1980",3432,4
"559","1890-1980",3438,1
"560","1890-1980",3440,1
"561","1890-1980",3445,7
"562","1890-1980",3498,19
"563","1890-1980",3541,1
"564","1890-1980",3553,1
"565","1890-1980",3607,2
"566","1890-1980",3662,1
"567","1890-1980",3666,3
"568","1890-1980",3669,7
"569","1890-1980",3765,1
"570","1890-1980",3769,1
"571","1890-1980",3824,3
"572","1890-1980",3880,1
"573","1890-1980",3882,1
"574","1890-1980",3889,1
"575","1890-1980",3941,1
"576","1890-1980",3983,5
"577","1890-1980",3990,1
"578","1890-1980",3992,1
"579","1890-1980",3996,1
"580","1890-1980",3998,2
"581","1890-1980",4004,6
"582","1890-1980",4005,3
"583","1890-1980",4049,4
"584","1890-1980",4051,3
"585","1890-1980",4055,2
"586","1890-1980",4056,5
"587","1890-1980",4060,6
"588","1890-1980",4111,3
"589","1890-1980",4112,1
"590","1890-1980",4160,1
"591","1890-1980",4161,8
"592","1890-1980",4163,1
"593","1890-1980",4167,2
"594","1890-1980",4168,27
"595","1890-1980",4172,1
"596","1890-1980",4269,2
"597","1890-1980",4274,2
"598","1890-1980",4279,1
"599","1890-1980",4280,2
"600","1890-1980",4281,33
"601","1890-1980",4336,1
"602","1890-1980",4387,3
"603","1890-1980",4390,1
"604","1890-1980",4392,5
"605","1890-1990",368,3
"606","1890-1990",369,1
"607","1890-1990",479,1
"608","1890-1990",480,53
"609","1890-1990",482,1
"610","1890-1990",488,21
"611","1890-1990",489,29
"612","1890-1990",536,1
"613","1890-1990",541,8
"614","1890-1990",542,117
"615","1890-1990",544,4
"616","1890-1990",545,4
"617","1890-1990",546,109
"618","1890-1990",547,1
"619","1890-1990",549,1
"620","1890-1990",590,2
"621","1890-1990",597,1
"622","1890-1990",653,1
"623","1890-1990",654,3
"624","1890-1990",656,6
