Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Observation Taxon Name
Peromyscus maniculatus,Wagner,,deer mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,maniculatus,,,,native,S5 (Feb 2015),,reported,observed,1800-01-01,Joan A. Dragavon,UWBM,36034,1702675146,,,,,44396,MAM,accepted,44396,Peromyscus maniculatus,
Peromyscus sonoriensis,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,sonoriensis,,,,,,,new 2007,observed,,,,,,2007-05-26,Jamie Fenneman,https://www.inaturalist.org/observations/156328567,,,MAM,accepted,1431239,Peromyscus sonoriensis,error
Phenacomys intermedius,Merriam,,western heather vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Pliophenacomyini,Phenacomys,intermedius,,,,native,S5,,reported,observed,1928-08-03,I.McT. Cowan,UBCBBM,M017361,1292012538,,,,,45714,MAM,accepted,45714,Phenacomys intermedius,
Procyon lotor,L.,,common  raccoon,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Procyonidae,,,Procyon,lotor,,,,native,S5 (2015),,confirmed,observed,1910-04-01,,MVZ,12467,1145692800,1995-05-07,Christopher J. Earle,https://www.inaturalist.org/observations/23196938,,41663,MAM,accepted,41663,Procyon lotor,error
Puma concolor,L.,,cougar,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Felinae,,Puma,concolor,,,,native,S4,,confirmed,observed,1989-05-15,Scott McNab,UVIC,89.20,3329069816,2013-10-11,Jason Addy,https://www.inaturalist.org/observations/126301481,,42007,MAM,accepted,42007,Puma concolor,error
Rattus norvegicus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,norvegicus,,,,,,,confirmed,observed,1921-11-28,,UWBM,UWBM:Mamm:18818,1702667079,1999-04-10,graeme45,https://www.inaturalist.org/observations/69736666,,,MAM,accepted,44576,Rattus norvegicus,error
Rattus rattus,L.,,black rat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattini,Rattus,rattus,,,,exotic,S (2020),,confirmed,observed,1921-11-24,"Racey, K",ROM,2704140104,1211858945,2004-01-04,Jukka Jantunen,https://www.inaturalist.org/observations/13763658,,44575,MAM,accepted,44575,Rattus rattus,error
Scapanus orarius,,,coast mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,orarius,,,,native,S4?,,confirmed,observed,1895-04-15,Allan Cyril Brooks,MCZ,BANGS-3557,476808078,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642543,,47007,MAM,accepted,47007,Scapanus orarius,error
Scapanus townsendii,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,townsendii,,,,,,,confirmed,observed,1995-01-01,Tim Sheehan,UBCBBM,M016889,1292012079,2021-02-28,John D Reynolds,https://www.inaturalist.org/observations/106049168,,,MAM,accepted,47010,Scapanus townsendii,error
Sciurus carolinensis,Gmelin,,eastern grey squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,carolinensis,,,,exotic,S (2006),,confirmed,observed,1944-11-05,I.McT. Cowan,UBCBBM,M001164,1291996450,1997-12-30,Ken Harris EntSocVic,https://www.inaturalist.org/observations/108297760,,46017,MAM,accepted,46017,Sciurus carolinensis,error
Sciurus griseus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,griseus,,,,,,,reported,unobserved,1978-08-28,33304576,naturgucker,-1933592076,3388580002,,,,,,MAM,accepted,46023,Sciurus griseus,
Sciurus niger,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Sciurus,niger,,,,,,,confirmed,observed,2005-07-23,User 114585,,OBS.202707086,3727087315,2019-11-13,gshank,https://www.inaturalist.org/observations/43109099,,,MAM,accepted,46020,Sciurus niger,error
Sorex bendirii,Merriam,,Bendire's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,bendirii,,,,native,S2? (Feb 2015),,reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3563,476822562,,,,,46446,MAM,accepted,46446,Sorex bendirii,
Sorex cinereus,Kerr,,masked shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,cinereus,,,,native,S5 (2015),,confirmed,observed,1895-05-11,Allan Cyril Brooks,MCZ,BANGS-3587,476820925,2011-03-03,Daniel Stewart,https://www.inaturalist.org/observations/146664571,,59815,MAM,accepted,59815,Sorex cinereus,error
Sorex monticola,Merriam,,dusky shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,monticola,,,,native,S5,,reported,unobserved,1800-01-01,I. Whitehouse; Preparator(s): I. Whitehouse,UWBM,71511,1702709668,,,,,46456,MAM,accepted,46456,Sorex monticola,
Sorex navigator,Baird,,western water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,navigator,,,,native,S5 (2018),,reported,unobserved,1916-07-22,"Spreadborough, William",CMN,CMNMA 2680,1804079443,,,,,0,MAM,accepted,1370755,Sorex navigator,
Sorex palustris,Richardson,,American water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,palustris,,,,native,S2S4,,reported,unobserved,1923-09-03,"Racey, K",ROM,2704140063,1211860584,,,,,46335,MAM,accepted,46355,Sorex palustris,
Sorex rohweri,"Rausch, Feagin, & Rausch",,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,rohweri,,,,native,S2?,,reported,unobserved,1931-08-31,K. Racey,UBCBBM,M006457,1292001587,,,,,46342,MAM,accepted,75088,Sorex rohweri,
Sorex trowbridgii,Baird,,Trowbridge's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,trowbridgii,,,,native,S3,,confirmed,observed,1906-05-05,"Spreadborough, William",CMN,CMNMA 1240,1804075313,2020-06-08,ladyb1rd,https://www.inaturalist.org/observations/48919289,,46503,MAM,accepted,46503,Sorex trowbridgii,error
Sorex vagrans vagrans,Baird,,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,vagrans,,,,native,S5,,reported,unobserved,1893-11-03,William C. Colt,MCZ,BANGS-1832,476808257,,,,,46348,MAM,accepted,345876,Sorex vagrans vagrans,
Spermophilus columbianus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Urocitellus,columbianus,,,,,,,new 2002,observed,2002-08-14,881932368,naturgucker,-976380426,2330223144,,,,,,MAM,unaccepted,179998,Urocitellus columbianus,
Spilogale gracilis,Merriam,,western spotted skunk,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Mephitidae,Mephitinae,,Spilogale,gracilis,,,,,SU,,reported,unobserved,1904-04-01,William Bebb; Preparator(s): William Bebb,BYU,BYU:Mamm:31789,3356351662,,,,,58393,MAM,accepted,58393,Spilogale gracilis,
Sus scrofa,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Suina,,Suidae,Suinae,Suini,Sus,scrofa,,,,,,,reported,unobserved,1943-01-01,I.McT. Cowan,UBCBBM,M000899,1291996164,,,,,,MAM,accepted,42134,Sus scrofa,
Sylvilagus floridanus,J.A. Allen,,eastern cottontail,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Sylvilagus,floridanus,,,,exotic,S (2011),,reported,unobserved,1941-08-04,J. Waskey; Preparator(s): J. Waskey,UWBM,51266,1702689149,,,,,43111,MAM,accepted,43111,Sylvilagus floridanus,
Synaptomys borealis,Richardson,,northern bog lemming,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Lemmini,Synaptomys,borealis,,,,native,S5,,reported,unobserved,1927-08-17,"Racey, Kenneth",CMN,CMNMA 11626,1804091484,,,,,45760,MAM,accepted,45760,Synaptomys borealis,
Tamiasciurus douglasii,Bachman,,soft-haired squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,douglasii,,,,native,S4S5 (2015),,confirmed,observed,1800-01-01,,UWBM,18658,1702666864,2005-06-10,Soile Mottisenkangas,https://www.inaturalist.org/observations/106175982,,46259,MAM,accepted,46259,Tamiasciurus douglasii,error
Tamiasciurus hudsonicus,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,hudsonicus,,,,,,,,,1910-04-26,Collector(s): Louise Kellogg,MVZ,12067,1145688420,2008-06-11,Adam Jackson,https://www.inaturalist.org/observations/56521021,,,MAM,accepted,46260,Tamiasciurus hudsonicus,error
Urocitellus columbianus,,,Columbian ground squirrel,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,Urocitellus,columbianus,,,,native,S5? (2015),,new 2023,observed,,,,,,2023-07-12,tadamcochran,https://www.inaturalist.org/observations/173983720,,,MAM,accepted,179998,Urocitellus columbianus,error
Ursus americanus,Pallas,,American black bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,americanus,,,,native,S4S5 (2015),,,,1909-06-20,,MVZ,12458,1145692696,1990-07-27,zihuadean,https://www.inaturalist.org/observations/65697751,,41638,MAM,accepted,41638,Ursus americanus,error
Ursus arctos,Ord.,,grizzly bear,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,Ursus,arctos,,,,native,S3? (Feb 2015),,confirmed,observed,1800-01-01,P. Sisson; Preparator(s): Ernest S. Booth,UWBM,58757,1702696723,2005-10-18,hbread,https://www.inaturalist.org/observations/72691647,,125461,MAM,accepted,41641,Ursus arctos,error
Vulpes vulpes,L.,,red fox,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,Vulpes,vulpes,,,,native,S5,,confirmed,observed,1943-11-07,R.E. Luscher,UBCBBM,M000790,1291995985,2006-08-01,Ken Kneidel,https://www.inaturalist.org/observations/27891216,,42069,MAM,accepted,42069,Vulpes vulpes,error
Zapus hudsonius,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,hudsonius,,,,,,,reported,unobserved,1937-08-22,"Munro, JA",ROM,30599,1211863040,,,,,,MAM,accepted,43840,Zapus hudsonius,
Zapus princeps,,,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,princeps,,,,,,,reported,unobserved,1935-08-21,"Munro, JA",ROM,30596,1211863036,,,,,,MAM,accepted,43846,Zapus princeps,
Zapus trinotatus,Rhoads,,Pacific jumping mouse,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,Zapus,trinotatus,,,,native,S4,,confirmed,observed,1922-04-22,,UWBM,19661,1702667482,2015-07-13,John D Reynolds,https://www.inaturalist.org/observations/20335529,,43844,MAM,accepted,43844,Zapus trinotatus,error
