scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Myotis californicus,Audubon & Bachman,,California myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,,,,native,S4S5,,confirmed,observed,1889-04-19,"Macoun, John",CMN,152,1804090427,2011-11-11,bps921,https://www.inaturalist.org/observations/50747235,,40342,MAM
Myotis evotis,H. Allen,,Miller's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,,,,native,S5? (2015),,confirmed,observed,1936-06-26,"Laing, Hamilton M.",CMN,14151,1804084476,2018-08-18,carl1986,https://www.inaturalist.org/observations/15715775,,40354,MAM
Myotis keenii,,,Keen's myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,keenii,,,,native,S4?,,reported,unobserved,1941-09-14,K. Racey,UBCBBM,M005485,1292000762,,,,,40345,MAM
Myotis lucifugus,LeConte,,little brown bat,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,,,,native,S4,,confirmed,observed,1916-08-30,"Spreadborough, William",CMN,2741,1804081278,2019-05-05,susanlundahl,https://www.inaturalist.org/observations/65991287,,40346,MAM
Myotis thysanodes,,,fringed myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,thysanodes,,,,native,S2S3 (2022),,new 2022,observed,,,,,,2022-07-26,Jason Headley,https://www.inaturalist.org/observations/132671608,,40347,MAM
Myotis volans,H. Allen,,long-legged myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,volans,,,,native,S4S5,,reported,unobserved,1910-08-31,Harry S. Swarth,MVZ,12588,1145694155,,,,,40344,MAM
Myotis yumanensis,H. Allen,,yuma myotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,,,,native,S5,,confirmed,observed,1911-06-12,"Spreadborough, William",CMN,1594,1804046037,2017-08-12,piercestudio,https://www.inaturalist.org/observations/7472865,,40325,MAM
Didelphis virginiana,,,Virginia opossum,Animalia,Chordata,Vertebrata,,Mammalia,Theria,,Didelphimorphia,,,Didelphidae,Didelphinae,Didelphini,Didelphis,virginiana,,,,exotic,SNA (2020),,confirmed,observed,1983-10-27,"Sullivan, S. L.",OMNH,35891,202063525,2017-01-01,Mark Wynja,https://www.inaturalist.org/observations/124810603,,42652,MAM
Sorex bendirii,Merriam,,Bendire's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,bendirii,,,,native,S2? (2015),1-E (2003),reported,unobserved,1895-05-01,Allan Cyril Brooks,MCZ,BANGS-3563,476822562,,,,,46446,MAM
Sorex cinereus,Kerr,,masked shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,cinereus,,,,native,S5 (2015),,confirmed,observed,1895-05-11,Allan Cyril Brooks,MCZ,BANGS-3587,476820925,2011-03-03,Daniel Stewart,https://www.inaturalist.org/observations/146664571,,59815,MAM
Sorex monticola,Merriam,,dusky shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,monticola,,,,native,S5,,reported,unobserved,1800-01-01,I. Whitehouse; Preparator(s): I. Whitehouse,UWBM,71511,1702709668,,,,,46456,MAM
Sorex navigator,Baird,,western water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,navigator,,,,native,S5 (2018),,reported,unobserved,1916-07-22,"Spreadborough, William",CMN,2680,1804079443,,,,,1370755,MAM
Sorex palustris,Richardson,,American water shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,palustris,,,,native,S2S4 (2015),,reported,unobserved,1923-09-03,"Racey, K",ROM,2704140063,1211860584,,,,,46355,MAM
Sorex rohweri,"Rausch, Feagin, & Rausch",,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,rohweri,,,,native,S2?,,reported,unobserved,1931-08-31,K. Racey,UBCBBM,M006457,1292001587,,,,,75088,MAM
Sorex trowbridgii,Baird,,Trowbridge's shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,trowbridgii,,,,native,S3 (2015),,confirmed,observed,1906-05-05,"Spreadborough, William",CMN,1240,1804075313,2020-06-08,ladyb1rd,https://www.inaturalist.org/observations/48919289,,46503,MAM
Sorex vagrans vagrans,Baird,,vagrant shrew,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,Sorex,vagrans,,,,native,S5,,reported,unobserved,1893-11-03,William C. Colt,MCZ,BANGS-1832,476808257,,,,,345876,MAM
Neurotrichus gibbsii,Baird,,American shrew mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Talpinae,Neurotrichini,Neurotrichus,gibbsii,,,,native,S4,,confirmed,observed,1896-05-26,Allan Cyril Brooks,MCZ,BANGS-5505,1849037791,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642325,,47051,MAM
Scapanus orarius,,,coast mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,orarius,,,,native,S4?,,confirmed,observed,1895-04-15,Allan Cyril Brooks,MCZ,BANGS-3557,476808078,2008-04-27,Steve Ansell,https://www.inaturalist.org/observations/146642543,,47007,MAM
Scapanus townsendii,,,Townsend's mole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Talpidae,Scalopinae,Scalopini,Scapanus,townsendii,,,,native,S1 (2015),1-E (2005),confirmed,observed,1995-01-01,Tim Sheehan,UBCBBM,M016889,1292012079,2021-02-28,John D Reynolds,https://www.inaturalist.org/observations/106049168,,47010,MAM
Lepus americanus,Erxleben,,snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,,,native,S5 (2015),,confirmed,observed,1916-07-15,"Spreadborough, William",CMN,2674,1804070550,2012-07-13,onyxrat,https://www.inaturalist.org/observations/67885414,,43132,MAM
Lepus americanus washingtonii,Erxleben,Baird,Washington snowshoe hare,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Lepus,americanus,,washingtonii,,native,S1 (2011),,confirmed,observed,1894-12-13,Allan Cyril Brooks,MCZ,BANGS-2435,476815461,2011-07-09,Lee E. Harding,https://www.inaturalist.org/observations/7617644,,236660,MAM
Oryctolagus cuniculus,,,European rabbit,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Oryctolagus,cuniculus,,,,exotic,SNA (2020),,confirmed,observed,1800-01-01,,UWBM,30115,1702669245,2007-09-07,queenb1960s,https://www.inaturalist.org/observations/129503894,,43151,MAM
Sylvilagus floridanus,J.A. Allen,,eastern cottontail,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Leporidae,,,Sylvilagus,floridanus,,,,exotic,SNA (2020),,reported,unobserved,1941-08-04,J. Waskey; Preparator(s): J. Waskey,UWBM,51266,1702689149,,,,,43111,MAM
Ochotona princeps,Richardson,,American pika,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,Ochotonidae,,,Ochotona,princeps,,,,native,S4S5 (2015),,confirmed,observed,1916-08-09,"Young, Charles H.",CMN,2696,1804076307,2003-07-05,Steve Ansell,https://www.inaturalist.org/observations/108401818,,43188,MAM
Aplodontia rufa,,,mountain beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Aplodontiidae,,,Aplodontia,rufa,,,,native,S4,,reported,unobserved,1925-11-25,,UWBM,18838,1702667031,,,,,43736,MAM
Castor canadensis,Kuhl,,Canadian beaver,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,Castor,canadensis,,,,native,S5,,confirmed,observed,1800-01-01,Woodland Park Zoo,UWBM,19682,1702667440,2004-06-13,Pål A. Olsvik,https://www.inaturalist.org/observations/117708688,,43794,MAM
Clethrionomys gapperi,,,southern red-backed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,,,native,S5 (2015),,confirmed,observed,1910-04-22,Annie M. Alexander,MVZ,12310,1145691035,2013-06-18,Sean Daniels,https://www.inaturalist.org/observations/103183981,,1431274,MAM
Clethrionomys gapperi occidentalis,Merriam,,southern red-backed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Clethrionomyini,Clethrionomys,gapperi,,occidentalis,,native,S1 (2006),,reported,unobserved,1946-09-30,M.J. Carter  H.D. Fisher,UBCBBM,M001974,1291997252,,,,,1431805,MAM
Microtus longicaudus,Merriam,,long-tailed vole,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,longicaudus,,,,native,S5 (2015),,reported,unobserved,1916-06-26,"Spreadborough, William",CMN,2655,1804069078,,,,,44307,MAM
