Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Order_std,Reporting_raw_std,Reporting_simple_std,Historical_date_std,First_observed_std,Observer_std,Collector_std,new_year_std,status_std,historical_year,observed_year,contribution_year,Order_label
Otiorhynchus rugosostriatus,,,rough strawberry root weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Otiorhynchini,Otiorhynchus,rugosostriatus,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-04,Scott Gilmore,iNat:26072005,,604471,ART,2019,new,Otiorhynchus rugosostriatus,Coleoptera,new 2019,new,NA,2019-05-04,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Otiorhynchus singularis,"(Linnaeus, 1767)",,clay-coloured weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Otiorhynchini,Otiorhynchus,singularis,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-05-12,Scott Gilmore,iNat:6203492,,226717,ART,2017,new,Otiorhynchus singularis,Coleoptera,new 2017,new,NA,2017-05-12,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Panscopus sp.,,,broad-nosed weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Tropiphorini,Panscopus,,,,NA,,,,new 2016,observed,NA,NA,,,,2016-06-23,"Alison, Laura and Malcolm Colwell",iNat:3561865,,176093,ART,2016,new,Panscopus sp.,Coleoptera,new 2016,new,NA,2016-06-23,"Alison, Laura and Malcolm Colwell",NA,2016,new,NA,2016,2016,Beetles (Coleoptera)
Pissodes fasciatus,"LeConte, 1876",,bark weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Pissodini,Pissodes,fasciatus,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-28,Scott Gilmore,iNat:12913440,,228178,ART,2018,new,Pissodes fasciatus,Coleoptera,new 2018,new,NA,2018-05-28,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Pissodes radiatae,"Hopkins, 1911",,Monterey pine weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Pissodini,Pissodes,radiatae,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-28,Scott Gilmore,iNat:12913441,,345154,ART,2018,new,Pissodes radiatae,Coleoptera,new 2018,new,NA,2018-05-28,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Pseudips mexicanus,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,,Pseudips,mexicanus,,,NA,,,,new 2024,observed,NA,NA,,,,2024-06-17,Chris Ratzlaff,iNat:243269491,,456040,ART,2024,new,Pseudips mexicanus,Coleoptera,new 2024,new,NA,2024-06-17,Chris Ratzlaff,NA,2024,new,NA,2024,2024,Beetles (Coleoptera)
Rhinocyllus conicus,,,nodding thistle receptacle weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Lixinae,Lixini,Rhinocyllus,conicus,,,NA,,,,new 2021,observed,NA,NA,,,,2021-06-26,Kevin Toomer,iNat:84574932,,229899,ART,2021,new,Rhinocyllus conicus,Coleoptera,new 2021,new,NA,2021-06-26,Kevin Toomer,NA,2021,new,NA,2021,2021,Beetles (Coleoptera)
Rhyncolus sp.,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Cossoninae,Rhyncolini,Rhyncolus,,,,NA,,,,new 2017,observed,2017-05-27,Joel Gibson,RBCM,ENT017-002302,,2016-06-23,Andrew Simon,iNat:3512976,,211714,ART,2017,new,Rhyncolus sp.,Coleoptera,new 2017,new,2017-05-27,2016-06-23,Andrew Simon,Joel Gibson,2017,new,2017,2016,2017,Beetles (Coleoptera)
Sciaphilus asperatus,"(Bonsdorff, 1785)",,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Sciaphilini,Sciaphilus,asperatus,,,NA,exotic,unlisted,,new 2016,observed,NA,NA,,,,2016-06-23,Andrew Simon,iNat:3516432,,200015,ART,2016,new,Sciaphilus asperatus,Coleoptera,new 2016,new,NA,2016-06-23,Andrew Simon,NA,2016,new,NA,2016,2016,Beetles (Coleoptera)
Sciopithes obscurus,,,obscure root weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Otiorhynchini,Sciopithes,obscurus,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-03,Scott Gilmore,iNat:24732966,,366563,ART,2019,new,Sciopithes obscurus,Coleoptera,new 2019,new,NA,2019-05-03,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Steremnius carinatus,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Molytini,Steremnius,carinatus,,,NA,,,,new 2023,observed,NA,NA,,,,2023-05-04,Kevin Toomer,iNat:159725905,,361532,ART,2023,new,Steremnius carinatus,Coleoptera,new 2023,new,NA,2023-05-04,Kevin Toomer,NA,2023,new,NA,2023,2023,Beetles (Coleoptera)
Sthereus horridus,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Molytini,Sthereus,horridus,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-04,Scott Gilmore,iNat:26071998,,361533,ART,2019,new,Sthereus horridus,Coleoptera,new 2019,new,NA,2019-05-04,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Strophosoma melanogrammum,"(Forster, 1771)",,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Brachyderini,Strophosoma,melanogrammum,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6203491,,231837,ART,2017,new,Strophosoma melanogrammum,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Tanysphyrus lemnae,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Brachycerinae,,Tanysphyrus,lemnae,,,NA,,,,new 2024,observed,NA,NA,,,,2024-06-15,Chris Ratzlaff,iNat:243269464,,232287,ART,2024,new,Tanysphyrus lemnae,Coleoptera,new 2024,new,NA,2024-06-15,Chris Ratzlaff,NA,2024,new,NA,2024,2024,Beetles (Coleoptera)
Anthrenus lepidus,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Dermestidae,Megatominae,,Anthrenus,lepidus,,,NA,,,,new 2024,observed,NA,NA,,,,2024-06-15,Andrew Simon,iNat:222971453,,210052,ART,2024,new,Anthrenus lepidus,Coleoptera,new 2024,new,NA,2024-06-15,Andrew Simon,NA,2024,new,NA,2024,2024,Beetles (Coleoptera)
Anthrenus verbasci,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Dermestidae,Megatominae,Anthrenini,Anthrenus,verbasci,,,NA,,,,new 2023,observed,2023-05-27,Chris G. Ratzlaff,CGR,CREC-12262,,2023-04-25,Kendall McLaughlin,iNat:156581653,,120113,ART,2023,new,Anthrenus verbasci,Coleoptera,new 2023,new,2023-05-27,2023-04-25,Kendall McLaughlin,Chris G. Ratzlaff,2023,new,2023,2023,2023,Beetles (Coleoptera)
Acilius abbreviatus,"Aubé, 1838",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,Aciliini,Acilius,abbreviatus,,,NA,native,SNR,,reported,unobserved,1987-03-29,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02044,,NA,NA,,,212321,ART,NA,reported,Acilius abbreviatus,Coleoptera,reported,reported,1987-03-29,NA,NA,Geoffrey G.E. Scudder,NA,reported,1987,NA,NA,Beetles (Coleoptera)
Agabus anthracinus,"Mannerheim, 1852",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Agabinae,Agabini,Agabus,anthracinus,,,NA,native,SNR,,reported,unobserved,1984-09-01,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02395,,NA,NA,,,212593,ART,NA,reported,Agabus anthracinus,Coleoptera,reported,reported,1984-09-01,NA,NA,Geoffrey G.E. Scudder,NA,reported,1984,NA,NA,Beetles (Coleoptera)
Colymbetes densus,"LeConte, 1959",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Colymbetinae,Colymbetini,Colymbetes,densus,,,NA,native,SNR,,reported,unobserved,?,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24007,,NA,NA,,,217479,ART,NA,reported,Colymbetes densus,Coleoptera,reported,reported,?,NA,NA,Geoffrey G.E. Scudder,NA,reported,NA,NA,NA,Beetles (Coleoptera)
Desmopachria convexa,"(Aube, 1838)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hyphydrini,Desmopachria,convexa,,,NA,native,SNR,,reported,unobserved,1984-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24015,,NA,NA,,,218285,ART,NA,reported,Desmopachria convexa,Coleoptera,reported,reported,1984-09-02,NA,NA,Geoffrey G.E. Scudder,NA,reported,1984,NA,NA,Beetles (Coleoptera)
Dytiscus cordieri,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,,Dytiscus,cordieri,,,NA,,,,new 2024,observed,NA,NA,,,,2024-02-24,Kevin Toomer,iNat:200855782,,218849,ART,2024,new,Dytiscus cordieri,Coleoptera,new 2024,new,NA,2024-02-24,Kevin Toomer,NA,2024,new,NA,2024,2024,Beetles (Coleoptera)
Dytiscus marginicollis,,,giant green water beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,Dytiscini,Dytiscus,marginicollis,,,NA,,,,new 2020,observed,NA,NA,,,,2020-12-20,Christian Adler,iNat:66860687,,218855,ART,2020,new,Dytiscus marginicollis,Coleoptera,new 2020,new,NA,2020-12-20,Christian Adler,NA,2020,new,NA,2020,2020,Beetles (Coleoptera)
Hydroporus longiusculus,"Gemminger & Harold, 1868",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hydroporini,Hydroporus,longiusculus,,,NA,native,SNR,,reported,unobserved,1975-04-16,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24044,,NA,NA,,,221667,ART,NA,reported,Hydroporus longiusculus,Coleoptera,reported,reported,1975-04-16,NA,NA,Geoffrey G.E. Scudder,NA,reported,1975,NA,NA,Beetles (Coleoptera)
Hydroporus striola,"(Gyllenhal, 1826)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Hydroporini,Hydroporus,striola,,,NA,native,SNR,,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24055,,NA,NA,,,221685,ART,NA,reported,Hydroporus striola,Coleoptera,reported,reported,1984-03-05,NA,NA,Geoffrey G.E. Scudder,NA,reported,1984,NA,NA,Beetles (Coleoptera)
Laccornis pacificus,"Leech, 1940",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Hydroporinae,Laccornini,Laccornis,pacificus,,,NA,native,SNR,,reported,unobserved,1979-04-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24091,,NA,NA,,,222575,ART,NA,reported,Laccornis pacificus,Coleoptera,reported,reported,1979-04-14,NA,NA,Geoffrey G.E. Scudder,NA,reported,1979,NA,NA,Beetles (Coleoptera)
Rhantus consimilis,"Motschulsky, 1859",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Colymbetinae,Colymbetini,Rhantus,consimilis,,,NA,native,SNR,,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24110,,NA,NA,,,229889,ART,NA,reported,Rhantus consimilis,Coleoptera,reported,reported,1984-03-05,NA,NA,Geoffrey G.E. Scudder,NA,reported,1984,NA,NA,Beetles (Coleoptera)
Agriotes lineatus,"Linnaeus, 1767",,lined click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotes,lineatus,,,NA,exotic,unlisted,,new 2017,observed,NA,NA,,,,2017-05-26,Ayla Malcolm,iNat:6482385,,456217,ART,2017,new,Agriotes lineatus,Coleoptera,new 2017,new,NA,2017-05-26,Ayla Malcolm,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Agriotes sparsus,"LeConte, 1884",,western wireworm,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotes,sparsus,,,NA,native,SU (2017),,new 2017,observed,NA,NA,,,,2017-05-14,Scott Gilmore,iNat:8925810,,456220,ART,2017,new,Agriotes sparsus,Coleoptera,new 2017,new,NA,2017-05-14,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Agriotes thevenetii,"G. Horn, 1872",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotes,thevenetii,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-20,Scott Gilmore,iNat:12958127,,456223,ART,2018,new,Agriotes thevenetii,Coleoptera,new 2018,new,NA,2018-05-20,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Ampedus atripennis,"(Schaeffer, 1916)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Ampedini,Ampedus,atripennis,,,NA,native,unlisted,,new 2018,observed,NA,NA,,,,2018-05-20,Scott Gilmore,iNat:12958124,,456225,ART,2018,new,Ampedus atripennis,Coleoptera,new 2018,new,NA,2018-05-20,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Ampedus behrensi,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Ampedini,Ampedus,behrensi,,,NA,,,,new 2018,observed,NA,NA,,,,2018-05-20,Scott Gilmore,iNat:20946469,,456226,ART,2018,new,Ampedus behrensi,Coleoptera,new 2018,new,NA,2018-05-20,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Ampedus rhodopus,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Ampedini,Ampedus,rhodopus,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-04,Scott Gilmore,iNat:26071962,,456234,ART,2019,new,Ampedus rhodopus,Coleoptera,new 2019,new,NA,2019-05-04,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Athous imitans,"Fall, 1910",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Dendrometrini,Athous,imitans,,,NA,native,S4S5 (2017),,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6337895,,456245,ART,2017,new,Athous imitans,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Athous rufiventris,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Dendrometrini,Athous,rufiventris,,,NA,,,,new 2023,observed,NA,NA,,,,2023-06-06,Kevin Toomer,iNat:165916154,,456247,ART,2023,new,Athous rufiventris,Coleoptera,new 2023,new,NA,2023-06-06,Kevin Toomer,NA,2023,new,NA,2023,2023,Beetles (Coleoptera)
Cardiophorus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Cardiophorinae,,Cardiophorus,,,,NA,,,,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6333087,,87231,ART,2017,new,Cardiophorus sp.,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Corymbitodes sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Corymbitodes,,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-04,Scott Gilmore,iNat:27516536,,320978,ART,2019,new,Corymbitodes sp.,Coleoptera,new 2019,new,NA,2019-05-04,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Ctenicera angularis,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Ctenicera,angularis,,,NA,,,,new 2019,observed,NA,NA,,,,2019-05-04,Scott Gilmore,iNat:26071983,,456282,ART,2019,new,Ctenicera angularis,Coleoptera,new 2019,new,NA,2019-05-04,Scott Gilmore,NA,2019,new,NA,2019,2019,Beetles (Coleoptera)
Dalopius corvinus,"Brown, 1934",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Agriotini,Dalopius,corvinus,,,NA,native,SU (2017),,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:8930330,,456297,ART,2017,new,Dalopius corvinus,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Dalopius tristis,"Brown, 1934",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Agriotini,Dalopius,tristis,,,NA,native,SU (2017),,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6337900,,456308,ART,2017,new,Dalopius tristis,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Danosoma brevicorne,"(LeConte, 1853)",,short-horned click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,Agrypnini,Danosoma,brevicorne,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-04-27,Sarah Tweedale,iNat:11540332,,218133,ART,2018,new,Danosoma brevicorne,Coleoptera,new 2018,new,NA,2018-04-27,Sarah Tweedale,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Hadromorphus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Hadromorphus,,,,NA,,,,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6337894,,452442,ART,2017,new,Hadromorphus sp.,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Hemicrepidius sp.,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Dendrometrini,Hemicrepidius,,,,NA,,,,new 2023,observed,NA,NA,,,,2023-08-15,Kevin Toomer,iNat:178604511,,177909,ART,2023,new,Hemicrepidius sp.,Coleoptera,new 2023,new,NA,2023-08-15,Kevin Toomer,NA,2023,new,NA,2023,2023,Beetles (Coleoptera)
Idolus columbiana,"Brown, 1933",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Pomachiliini,Idolus,columbiana,,,NA,native,unlisted,,new 2017,observed,2023-05-27,Chris G. Ratzlaff,CGR,CREC-12304,,2017-05-13,Scott Gilmore,iNat:6241728,,456346,ART,2017,new,Idolus columbiana,Coleoptera,new 2017,new,2023-05-27,2017-05-13,Scott Gilmore,Chris G. Ratzlaff,2017,new,2023,2017,2017,Beetles (Coleoptera)
Lacon sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,Agrypnini,Lacon,,,,NA,,,,reported,unobserved,1980-05-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-30276,,NA,NA,,,177576,ART,NA,reported,Lacon sp.,Coleoptera,reported,reported,1980-05-18,NA,NA,Geoffrey G.E. Scudder,NA,reported,1980,NA,NA,Beetles (Coleoptera)
Limonius infuscatus,"(Mannerheim, 1843)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Dendrometrini,Limonius,infuscatus,,,NA,,,,new 2017,observed,NA,NA,,,,2017-05-13,Scott Gilmore,iNat:6337897,,322899,ART,2017,new,Limonius infuscatus,Coleoptera,new 2017,new,NA,2017-05-13,Scott Gilmore,NA,2017,new,NA,2017,2017,Beetles (Coleoptera)
Megapenthes nigriventris,"LeConte, 1884",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Megapenthini,Megapenthes,nigriventris,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-20,Scott Gilmore,iNat:12958624,,456375,ART,2018,new,Megapenthes nigriventris,Coleoptera,new 2018,new,NA,2018-05-20,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Melanotus longulus oregonensis,"(LeConte, 1853)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Melanotini,Melanotus,longulus,,oregonensis,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-20,Scott Gilmore,iNat:12722510,,456378,ART,2018,new,Melanotus longulus oregonensis,Coleoptera,new 2018,new,NA,2018-05-20,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Melanotus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,Melanotini,Melanotus,,,,NA,,,,new 2018,observed,NA,NA,,,,2018-05-14,Andrew Simon,iNat:29010521,,177079,ART,2018,new,Melanotus sp.,Coleoptera,new 2018,new,NA,2018-05-14,Andrew Simon,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Prosternon bombycinum,"(Germar, 1843)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Prosternon,bombycinum,,,NA,native,SU (2017),,confirmed,observed,1972-05-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-30240,,2017-05-13,Scott Gilmore,iNat:6223421,,456412,ART,NA,confirmed,Prosternon bombycinum,Coleoptera,confirmed,confirmed,1972-05-14,2017-05-13,Scott Gilmore,Geoffrey G.E. Scudder,NA,confirmed,1972,2017,2017,Beetles (Coleoptera)
Pseudanostirus tigrinus,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Pseudanostirus,tigrinus,,,NA,,,,new 2018,observed,NA,NA,,,,2018-05-19,Scott Gilmore,iNat:12944164,,493867,ART,2018,new,Pseudanostirus tigrinus,Coleoptera,new 2018,new,NA,2018-05-19,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Selatosomus festivus,,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Selatosomus,festivus,,,NA,,,,new 2023,observed,NA,NA,,,,2023-05-26,Chris Ratzlaff,iNat:186894386,,456432,ART,2023,new,Selatosomus festivus,Coleoptera,new 2023,new,NA,2023-05-26,Chris Ratzlaff,NA,2023,new,NA,2023,2023,Beetles (Coleoptera)
Selatosomus lateralis,"(LeConte, 1853)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Selatosomus,lateralis,,,NA,native,SU (2017),,new 2018,observed,NA,NA,,,,2018-05-19,Scott Gilmore,iNat:12722946,,456434,ART,2018,new,Selatosomus lateralis,Coleoptera,new 2018,new,NA,2018-05-19,Scott Gilmore,NA,2018,new,NA,2018,2018,Beetles (Coleoptera)
Selatosomus nigricans,"(Germar, 1844)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Selatosomus,nigricans,,,NA,native,SU (2017),,new 2016,observed,NA,NA,,,,2016-09-12,Andrew Simon,iNat:4308475,,456437,ART,2016,new,Selatosomus nigricans,Coleoptera,new 2016,new,NA,2016-09-12,Andrew Simon,NA,2016,new,NA,2016,2016,Beetles (Coleoptera)
