Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Family_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Family_label
Charadrius semipalmatus,"(Bonaparte, 1825)",,semi-palmated plover,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Charadriidae,,NA,Charadrius,semipalmatus,NA,,NA,native,S4S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Charadriidae,Charadrius semipalmatus,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Plovers (Charadriidae)
Charadrius vociferus,"Linnaeus, 1758",,killdeer,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Charadriidae,,NA,Charadrius,vociferus,NA,,NA,native,S4S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-10-16,Sarah Tweedale,iNat:2929529,,4793,BIR,NA,confirmed,Charadriidae,Charadrius vociferus,confirmed,confirmed,Galiano Naturalist,Sarah Tweedale,2016,2015-10-16,iNat:2929529,4793,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Plovers (Charadriidae)
Chen caerulescens,"(Linnaeus, 1758)",,snow goose,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Chen,caerulescens,NA,,NA,native,S4M (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Chen caerulescens,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Ducks, geese & swans (Anatidae)"
Chordeiles minor,"(J.R. Foster, 1771)",,common nighthawk,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Caprimulgiformes,NA,NA,Caprimulgidae,,NA,Chordeiles,minor,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-07-28,Andrew Simon,iNat:3767319,,19577,BIR,NA,confirmed,Caprimulgidae,Chordeiles minor,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2016-07-28,iNat:3767319,19577,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Nightjars (Caprimulgidae)
Chroicocephalus philadelphia,"(Ord, 1815)",,Bonaparte's gull,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Laridae,Larinae,NA,Chroicocephalus,philadelphia,NA,,NA,native,S5? (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B. J. Stacey,iNat:167227,,144502,BIR,NA,confirmed,Laridae,Chroicocephalus philadelphia,confirmed,confirmed,Galiano Naturalist,B. J. Stacey,2016,2012-04-19,iNat:167227,144502,Galiano Bird Checklist,NA,NA,confirmed,2016,2012,"Gulls, terns & skimmers (Laridae)"
Cinclus mexicanus,"Swainson, 1827",,American dipper,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Cinclidae,,NA,Cinclus,mexicanus,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-02-01,Christopher King,iNat:5815600,,7643,BIR,NA,confirmed,Cinclidae,Cinclus mexicanus,confirmed,confirmed,Galiano Naturalist,Christopher King,2016,2017-02-01,iNat:5815600,7643,Galiano Bird Checklist,NA,NA,confirmed,2016,2017,Dippers (Cinclidae)
Circus hudsonius,"(Linnaeus, 1766)",,northern harrier,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Circus,hudsonius,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-07-16,Kevin Toomer,iNat:14433258,,558446,BIR,NA,confirmed,Accipitridae,Circus hudsonius,confirmed,confirmed,Galiano Naturalist,Kevin Toomer,2016,2018-07-16,iNat:14433258,558446,Galiano Bird Checklist,NA,NA,confirmed,2016,2018,"Hawks, eagles & allies (Accipitridae)"
Cistothorus palustris,"(Wilson, A, 1810)",,marsh wren,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Troglodytidae,,NA,Cistothorus,palustris,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-01-24,Lauren Magner,iNat:2616528,,7601,BIR,NA,confirmed,Troglodytidae,Cistothorus palustris,confirmed,confirmed,Galiano Naturalist,Lauren Magner,2016,2016-01-24,iNat:2616528,7601,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Wrens (Troglodytidae)
Clangula hyemalis,"(Linnaeus, 1758)",,long-tailed duck,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Clangula,hyemalis,NA,,NA,native,"S2S3B,S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2022-02-19,Ellyne Geurts,iNat:110922024,,7170,BIR,NA,confirmed,Anatidae,Clangula hyemalis,confirmed,confirmed,Galiano Naturalist,Ellyne Geurts,2016,2022-02-19,iNat:110922024,7170,Galiano Bird Checklist,NA,NA,confirmed,2016,2022,"Ducks, geese & swans (Anatidae)"
Colaptes auratus,"(Linnaeus, 1758)",,northern flicker,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Piciformes,NA,NA,Picidae,,NA,Colaptes,auratus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-12,Lauren Magner,iNat:2565721,,18236,BIR,NA,confirmed,Picidae,Colaptes auratus,confirmed,confirmed,Galiano Naturalist,Lauren Magner,2016,2015-02-12,iNat:2565721,18236,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Woodpeckers (Picidae)
Columba livia domestica,"Gmelin, 1789",,rock pigeon,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Columbiformes,NA,NA,Columbidae,,NA,Columba,livia,NA,domestica,NA,exotic,unlisted,NA,confirmed,observed,2012-05-12,NA,VMS,,NA,2017-02-10,Christian Adler,iNat:5179014,,122767,BIR,NA,confirmed,Columbidae,Columba livia domestica,confirmed,confirmed,NA,Christian Adler,2012-05-12,2017-02-10,iNat:5179014,122767,VMS,NA,NA,confirmed,2012,2017,Pigeons & doves (Columbidae)
Contopus cooperi,"(Swainson, 1832)",,olive-sided flycatcher,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Tyrannidae,,NA,Contopus,cooperi,NA,,NA,native,S3S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-05-20,Michael Hoebel,iNat:4046887,,16110,BIR,NA,confirmed,Tyrannidae,Contopus cooperi,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2012-05-20,iNat:4046887,16110,Galiano Bird Checklist,NA,NA,confirmed,2016,2012,Tyrant flycatchers (Tyrannidae)
Contopus sordidulus,"(Sclater, 1859)",,western wood-pewee,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Tyrannidae,,NA,Contopus,sordidulus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2020-08-02,Liam Steele,iNat:70325775,,16079,BIR,NA,confirmed,Tyrannidae,Contopus sordidulus,confirmed,confirmed,Galiano Naturalist,Liam Steele,2016,2020-08-02,iNat:70325775,16079,Galiano Bird Checklist,NA,NA,confirmed,2016,2020,Tyrant flycatchers (Tyrannidae)
Corthylio calendula,"(Linnaeus, 1766)",,ruby-crowned kinglet,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Regulidae,,NA,Corthylio,calendula,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Kristian Sigvardsen,iNat:2926950,,1289388,BIR,NA,confirmed,Regulidae,Corthylio calendula,confirmed,confirmed,Galiano Naturalist,Kristian Sigvardsen,2016,2016-03-26,iNat:2926950,1289388,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Kinglets (Regulidae)
Corvus brachyrhynchos caurinus,"Baird, 1858",,northwestern crow,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Corvidae,,NA,Corvus,brachyrhynchos,NA,caurinus,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-07-23,lesfreck,iNat:86523788,reported as Corvus brachyrhynchos,1290036,BIR,NA,confirmed,Corvidae,Corvus brachyrhynchos caurinus,confirmed,confirmed,Galiano Naturalist,lesfreck,2016,2012-07-23,iNat:86523788,1290036,Galiano Bird Checklist,NA,NA,confirmed,2016,2012,"Crows, ravens & jays (Corvidae)"
Corvus corax principalis,"Linnaeus, 1758","Ridgway, R 1887",common raven,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Corvidae,,NA,Corvus,corax,NA,principalis,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-02-12,Lauren Magner,iNat:2565259,,8010,BIR,NA,confirmed,Corvidae,Corvus corax principalis,confirmed,confirmed,Galiano Naturalist,Lauren Magner,2016,2015-02-12,iNat:2565259,8010,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,"Crows, ravens & jays (Corvidae)"
Cyanocitta stelleri,"(Gmelin, 1788)",,Steller's jay,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Corvidae,,NA,Cyanocitta,stelleri,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-03-29,Michael Hoebel,iNat:4046909,,8234,BIR,NA,confirmed,Corvidae,Cyanocitta stelleri,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2015-03-29,iNat:4046909,8234,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,"Crows, ravens & jays (Corvidae)"
Cygnus buccinator,"Richardson, 1832",,trumpeter swan,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Cygnus,buccinator,NA,,NA,native,"S4B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2018-01-25,Jen Kovach,iNat:9616415,,6915,BIR,NA,confirmed,Anatidae,Cygnus buccinator,confirmed,confirmed,Galiano Naturalist,Jen Kovach,2016,2018-01-25,iNat:9616415,6915,Galiano Bird Checklist,NA,NA,confirmed,2016,2018,"Ducks, geese & swans (Anatidae)"
Cygnus olor,"(Gmelin, 1789)",,mute swan,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Cygnus,olor,NA,,NA,exotic,unlisted,NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Anatidae,Cygnus olor,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,"Ducks, geese & swans (Anatidae)"
Cypseloides niger,"(Gmelin, 1789)",,black swift,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Caprimulgiformes,NA,NA,Apodidae,,NA,Cypseloides,niger,NA,,NA,native,S2S3B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Apodidae,Cypseloides niger,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Swifts (Apodidae)
Dendragapus fuliginosus,"(Ridgway, 1873)",,sooty grouse,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Galliformes,NA,NA,Phasianidae,,NA,Dendragapus,fuliginosus,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-04-28,Andrew Simon,iNat:6019290,,72797,BIR,NA,confirmed,Phasianidae,Dendragapus fuliginosus,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2017-04-28,iNat:6019290,72797,Galiano Bird Checklist,NA,NA,confirmed,2016,2017,"Pheasants, grouse & allies (Phasianidae)"
Dryobates pubescens,"(Linnaeus, 1766)",,downy woodpecker,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Piciformes,NA,NA,Picidae,,NA,Dryobates,pubescens,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Kristian Sigvardsen,iNat:2926951,,792988,BIR,NA,confirmed,Picidae,Dryobates pubescens,confirmed,confirmed,Galiano Naturalist,Kristian Sigvardsen,2016,2016-03-26,iNat:2926951,792988,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Woodpeckers (Picidae)
Dryocopus pileatus,"(Linnaeus, 1758)",,pileated woodpecker,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Piciformes,NA,NA,Picidae,,NA,Dryocopus,pileatus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-05-22,Burl Jantzen,iNat:69729558,,17855,BIR,NA,confirmed,Picidae,Dryocopus pileatus,confirmed,confirmed,Galiano Naturalist,Burl Jantzen,2016,2010-05-22,iNat:69729558,17855,Galiano Bird Checklist,NA,NA,confirmed,2016,2010,Woodpeckers (Picidae)
Empidonax difficilis,"Baird, 1858",,Pacific-slope flycatcher,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Tyrannidae,,NA,Empidonax,difficilis,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-06-20,Bridgit Spencer,iNat:2380925,,16598,BIR,NA,confirmed,Tyrannidae,Empidonax difficilis,confirmed,confirmed,Galiano Naturalist,Bridgit Spencer,2016,2015-06-20,iNat:2380925,16598,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Tyrant flycatchers (Tyrannidae)
Empidonax hammondii,"(Xantus de Vesey, 1858)",,Hammond’s flycatcher,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Tyrannidae,,NA,Empidonax,hammondii,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2023-06-01,Richard Harrigan,iNat:165757864,,16624,BIR,NA,confirmed,Tyrannidae,Empidonax hammondii,confirmed,confirmed,Galiano Naturalist,Richard Harrigan,2016,2023-06-01,iNat:165757864,16624,Galiano Bird Checklist,NA,NA,confirmed,2016,2023,Tyrant flycatchers (Tyrannidae)
Empidonax traillii,"(Audubon, 1828)",,willow flycatcher,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Tyrannidae,,NA,Empidonax,traillii,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-07-15,Michael Hoebel,iNat:4046901,,16611,BIR,NA,confirmed,Tyrannidae,Empidonax traillii,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2015-07-15,iNat:4046901,16611,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Tyrant flycatchers (Tyrannidae)
Eremophila alpestris,"(Linnaeus, 1758)",,horned lark,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Alaudidae,,NA,Eremophila,alpestris,NA,,NA,native,S5?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-09-16,Michael Hoebel,iNat:19548104,,7294,BIR,NA,confirmed,Alaudidae,Eremophila alpestris,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2017-09-16,iNat:19548104,7294,Galiano Bird Checklist,NA,NA,confirmed,2016,2017,Larks (Alaudidae)
Euphagus cyanocephalus,"(Wagler, 1829)",,Brewer’s blackbird,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Icteridae,,NA,Euphagus,cyanocephalus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2023-06-10,Andrew Simon,iNat:166619002,,10325,BIR,NA,confirmed,Icteridae,Euphagus cyanocephalus,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2023-06-10,iNat:166619002,10325,Galiano Bird Checklist,NA,NA,confirmed,2016,2023,"Blackbirds, orioles & meadowlarks (Icteridae)"
Falco columbarius,"Linnaeus, 1758",,merlin,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Falconiformes,NA,NA,Falconidae,,NA,Falco,columbarius,NA,,NA,native,S5 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Falconidae,Falco columbarius,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Falcons (Falconidae)
Falco peregrinus,"Tunstall, 1771",,peregrine falcon,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Falconiformes,NA,NA,Falconidae,,NA,Falco,peregrinus,NA,,NA,native,1-SC (SARA),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-08-15,Michael Hoebel,iNat:4046871,,4647,BIR,NA,confirmed,Falconidae,Falco peregrinus,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2009-08-15,iNat:4046871,4647,Galiano Bird Checklist,NA,NA,confirmed,2016,2009,Falcons (Falconidae)
Falco sparverius,"Linnaeus, 1758",,American kestrel,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Falconiformes,NA,NA,Falconidae,,NA,Falco,sparverius,NA,,NA,native,S4S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2019-09-16,Peter Thompson & Michael Hoebel,iNat:34346539,,4665,BIR,NA,confirmed,Falconidae,Falco sparverius,confirmed,confirmed,Galiano Naturalist,Peter Thompson & Michael Hoebel,2016,2019-09-16,iNat:34346539,4665,Galiano Bird Checklist,NA,NA,confirmed,2016,2019,Falcons (Falconidae)
Gallinago delicata,"Ord, 1825",,Wilson’s snipe,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Scolopacidae,,NA,Gallinago,delicata,NA,,NA,native,S5B (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Scolopacidae,Gallinago delicata,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Sandpipers & allies (Scolopacidae)
Gavia immer,"(Brunnich, 1764)",,common loon,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Gaviiformes,NA,NA,Gaviidae,,NA,Gavia,immer,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2012-04-19,B.J. Stacey,iNat:167230,,4626,BIR,NA,confirmed,Gaviidae,Gavia immer,confirmed,confirmed,Galiano Naturalist,B.J. Stacey,2016,2012-04-19,iNat:167230,4626,Galiano Bird Checklist,NA,NA,confirmed,2016,2012,Loons (Gaviidae)
Gavia pacifica,"(Lawrence, 1858)",,Pacific loon,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Gaviiformes,NA,NA,Gaviidae,,NA,Gavia,pacifica,NA,,NA,native,"S4B,S3S4N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-11-28,bobmcd’,iNat:2437268,,4621,BIR,NA,confirmed,Gaviidae,Gavia pacifica,confirmed,confirmed,Galiano Naturalist,bobmcd’,2016,2015-11-28,iNat:2437268,4621,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Loons (Gaviidae)
Gavia stellata,"(Pontoppidan, 1763)",,red-throated loon,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Gaviiformes,NA,NA,Gaviidae,,NA,Gavia,stellata,NA,,NA,native,S4 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,NA,NA,,,NA,BIR,NA,reported,Gaviidae,Gavia stellata,reported,reported,Galiano Naturalist,NA,2016,NA,NA,NA,Galiano Bird Checklist,NA,NA,reported,2016,NA,Loons (Gaviidae)
Geothlypis tolmiei,"(Townsend, 1839)",,MacGillivray's warbler,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Parulidae,,NA,Geothlypis,tolmiei,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-05-17,Michael Hoebel,iNat:4046991,,145223,BIR,NA,confirmed,Parulidae,Geothlypis tolmiei,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2013-05-17,iNat:4046991,145223,Galiano Bird Checklist,NA,NA,confirmed,2016,2013,Wood-warblers (Parulidae)
Geothlypis trichas,"(Linnaeus, 1766)",,common yellowthroat,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Parulidae,,NA,Geothlypis,trichas,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-10,Michael Hoebel,iNat:4046958,,9721,BIR,NA,confirmed,Parulidae,Geothlypis trichas,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2011-05-10,iNat:4046958,9721,Galiano Bird Checklist,NA,NA,confirmed,2016,2011,Wood-warblers (Parulidae)
Glaucidium californicum,"(PL Sclater, 1857)",,northern pygmy owl,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Strigiformes,NA,NA,Strigidae,,NA,Glaucidium,californicum,NA,,NA,native,S4B (2015),NA,reported,unobserved,1994-03-25,Aziza Cooper,eBird,,NA,NA,NA,,,NA,BIR,NA,reported,Strigidae,Glaucidium californicum,reported,reported,Aziza Cooper,NA,1994-03-25,NA,NA,NA,eBird,NA,NA,reported,1994,NA,Typical owls (Strigidae)
Haematopus bachmani,"Audubon, 1838",,black oystercatcher,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Charadriiformes,NA,NA,Haematopodidae,,NA,Haematopus,bachmani,NA,,NA,native,S4 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2008-07-26,hdcooper,iNat:67005477,,4838,BIR,NA,confirmed,Haematopodidae,Haematopus bachmani,confirmed,confirmed,Galiano Naturalist,hdcooper,2016,2008-07-26,iNat:67005477,4838,Galiano Bird Checklist,NA,NA,confirmed,2016,2008,Oystercatchers (Haematopodidae)
Haemorhous mexicanus,"(Müller, 1776)",,house finch,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Fringillidae,,NA,Haemorhous,mexicanus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-05-28,Sarah Tweedale,iNat:4041658,,199840,BIR,NA,confirmed,Fringillidae,Haemorhous mexicanus,confirmed,confirmed,Galiano Naturalist,Sarah Tweedale,2016,2016-05-28,iNat:4041658,199840,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Finches (Fringillidae)
Haemorhous purpureus,"(Gmelin, 1789)",,purple finch,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Fringillidae,,NA,Haemorhous,purpureus,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2009-04-25,Michael Hoebel,iNat:4046920,,199841,BIR,NA,confirmed,Fringillidae,Haemorhous purpureus,confirmed,confirmed,Galiano Naturalist,Michael Hoebel,2016,2009-04-25,iNat:4046920,199841,Galiano Bird Checklist,NA,NA,confirmed,2016,2009,Finches (Fringillidae)
Haliaeetus leucocephalus washingtoniensis,"(Linnaeus, 1766)","(Audubon, JJ 1827)",bald eagle,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Accipitriformes,NA,NA,Accipitridae,,NA,Haliaeetus,leucocephalus,NA,washingtoniensis,NA,native,"S5B,S5N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-05-17,lesfreck,iNat:86514778,,NA,BIR,NA,confirmed,Accipitridae,Haliaeetus leucocephalus washingtoniensis,confirmed,confirmed,Galiano Naturalist,lesfreck,2016,2010-05-17,iNat:86514778,NA,Galiano Bird Checklist,NA,NA,confirmed,2016,2010,"Hawks, eagles & allies (Accipitridae)"
Hesperiphona vespertina,"(W. Cooper, 1825)",,evening grosbeak,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Fringillidae,,NA,Hesperiphona,vespertina,NA,,NA,native,S5 (2015); SC (2016),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-05-21,Sarah Tweedale,iNat:4039972,reported as Coccothraustes vespertinus,9800,BIR,NA,confirmed,Fringillidae,Hesperiphona vespertina,confirmed,confirmed,Galiano Naturalist,Sarah Tweedale,2016,2015-05-21,iNat:4039972,9800,Galiano Bird Checklist,NA,NA,confirmed,2016,2015,Finches (Fringillidae)
Hirundo rustica erythrogaster,"(Linnaeus, 1758)","Boddaert, P 1783",barn swallow,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Passeriformes,NA,NA,Hirundinidae,,NA,Hirundo,rustica,NA,erythrogaster,NA,native,S3S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-08-08,Andrew Simon,iNat:3840481,reported as Hirundo rustica,342169,BIR,NA,confirmed,Hirundinidae,Hirundo rustica erythrogaster,confirmed,confirmed,Galiano Naturalist,Andrew Simon,2016,2016-08-08,iNat:3840481,342169,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,Swallows & martins (Hirundinidae)
Histrionicus histrionicus,"(Linnaeus, 1758)",,harlequin duck,Animalia,Chordata,Vertebrata,NA,Aves,NA,NA,Anseriformes,NA,NA,Anatidae,,NA,Histrionicus,histrionicus,NA,,NA,native,"S4B,S3N (2015)",NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-16,Sarah Tweedale,iNat:4041645,,7111,BIR,NA,confirmed,Anatidae,Histrionicus histrionicus,confirmed,confirmed,Galiano Naturalist,Sarah Tweedale,2016,2016-03-16,iNat:4041645,7111,Galiano Bird Checklist,NA,NA,confirmed,2016,2016,"Ducks, geese & swans (Anatidae)"
