"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"168","Stropharia ambigua","(Peck) Zeller",NA,"questionable stropharia","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Stropharia",NA,NA,"confirmed","observed","2010-04-17","Paul Kroeger","UBC","F22070",NA,"2016-03-24","Tyson Ehlers","https://www.inaturalist.org/observations/8944209","",53284,"FUN"
"169","Suillus caerulescens","A.H. Sm. & Thiers",NA,"Douglas-fir suillus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Suillaceae","","","Suillus",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-10-31","Christopher Heffley","https://www.inaturalist.org/observations/17991523","",63505,"FUN"
"170","Suillus lakei","",NA,"western painted Suillus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Suillaceae","","","Suillus",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-10-21","Andrew Simon","https://www.inaturalist.org/observations/17730177","",118159,"FUN"
"171","Tarzetta catinus","(Holmsk.) Korf & J.K. Rogers",NA,"elf cup","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Pyronemataceae","","","Tarzetta",NA,NA,"confirmed","observed","2017-05-06","Kent Brothers","VMS","",NA,"2019-05-04","Andrew Simon, Harvey Janszen and Pam Janszen","https://www.inaturalist.org/observations/24653178","",244489,"FUN"
"172","Thelephora terrestris","Ehrh.",NA,"earth fan","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Thelephorales","",NA,"Thelephoraceae","","","Thelephora",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2016-10-12","Andrew Simon","http://www.inaturalist.org/observations/4337456","",118102,"FUN"
"173","Trametes hirsuta","(Wulfen) Lloyd",NA,"hairy turkey-tail","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Trametes",NA,NA,"confirmed","observed","2010-04","Kent Brothers","VMS","",NA,"2020-10-14","Sylvie Hawkes","https://www.inaturalist.org/observations/62719455","",116695,"FUN"
"174","Trametes versicolor","(L.) Lloyd",NA,"turkey-tail","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Trametes",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2014-02-21","Ian Guthrie","http://www.inaturalist.org/observations/4171809","",54134,"FUN"
"175","Tremella mesenterica","",NA,"witch’s butter","Fungi","Basidiomycota","Agaricomycotina",NA,"Tremellomycetes",NA,NA,"Tremellales","",NA,"Tremellaceae","","","Tremella",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2005-11-06","Ian Guthrie","http://www.inaturalist.org/observations/4209528","",48529,"FUN"
"176","Trichoglossum hirsutum","(Pers.) Boud.",NA,"black earth tongue","Fungi","Ascomycota","Pezizomycotina",NA,"Geoglossomycetes",NA,NA,"Geoglossales","",NA,"Geoglossaceae","","","Trichoglossum",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2019-01-14","Kevin Toomer","https://www.inaturalist.org/observations/19645080","Possible misidentification (Kent Brothers, pers. comm 2018)",55240,"FUN"
"177","Tubaria punicea","(A.H.Sm. & Hesler) Ammirati, Matheny & P.-A.Moreau",NA,"Christmas naucoria","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Tubariaceae","","","Tubaria",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2021-01-16","Christian Adler","https://www.inaturalist.org/observations/68199160","",120971,"FUN"
"178","Turbinellus floccosus","(Schwein.) Earle",NA,"scaly chanterelle","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Gomphales","",NA,"Gomphaceae","","","Turbinellus",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-10-26","Ian Guthrie","http://www.inaturalist.org/observations/4209885","reported as Gomphus floccosus",417398,"FUN"
"179","Verpa conica","(Müller) Swartz",NA,"thimble morel","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Morchellaceae","","","Verpa",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2015-02-21","Lauren Magner","http://inaturalist.ca/observations/2605609","",118002,"FUN"
"180","Xeromphalina campanella","(Batsch) Maire",NA,"orange fuzzyfoot","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pleurotineae",NA,"Typhulaceae","","","Xeromphalina",NA,NA,"confirmed","observed","2011-10-29","Kent Brothers","VMS","",NA,"2020-10-20","Patrick Harrigan","https://www.inaturalist.org/observations/69904614","",56251,"FUN"
"181","Xylaria hypoxylon","(L.) Gray",NA,"candlesnuff fungus","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Xylariales","",NA,"Xylariaceae","","","Xylaria",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2010-11-05","Ian Guthrie","http://www.inaturalist.org/observations/4208511","",55267,"FUN"
"182","Chlorociboria sp.","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Helotiales","",NA,"Chlorociboriaceae","","","Chlorociboria",NA,NA,"new 2006","observed","","","","",NA,"2006-05-23","Ian Guthrie","http://www.inaturalist.org/observations/4209529","",54595,"FUN"
"183","Cudonia monticola","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Rhytismatales","",NA,"Cudoniaceae","","","Cudonia",NA,NA,"new 2011","observed","2011-05-14","VMS","UBC","F22507",NA,"2011-05-14","Emma Harrower ","https://www.inaturalist.org/observations/78650046","",217906,"FUN"
"184","Cortinarius smithii","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Cortinariaceae","","","Cortinarius",NA,NA,"new 2013","observed","","","","",NA,"2013-10-26","Ian Guthrie","http://www.inaturalist.org/observations/4210102","",348842,"FUN"
"185","Galerina vittiformis","(Fr.) Singer",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Galerina",NA,NA,"new 2015","observed","","","","",NA,"2015-03-21","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2608938","requires microscopy for confirmation (Shannon Berch, pers. comm.)",118289,"FUN"
"186","Hebeloma sp.","",NA,"poison pie","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Hebeloma",NA,NA,"new 2015","observed","","","","",NA,"2015-03-21","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2608508","",192716,"FUN"
"187","Inocybe whitei","(Berk. & Broome) Sacc.",NA,"blushing inocybe","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Inocybaceae","","","Inocybe",NA,NA,"new 2015","observed","","","","",NA,"2015-03-21","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2608732","",118342,"FUN"
"188","Nolanea sp.","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Entolomataceae","","","Nolanea",NA,NA,"new 2015","observed","","","","",NA,"2015-03-21","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2608526","",205894,"FUN"
"189","Agaricus xanthodermus","Genev.",NA,"yellow stainer","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"new 2016","observed","","","","",NA,"2016-10-10","Graham Barber","http://inaturalist.ca/observations/4315697","",118394,"FUN"
"190","Geoglossum umbratile","Sacc.",NA,"earth tongue","Fungi","Ascomycota","Pezizomycotina",NA,"Geoglossomycetes",NA,NA,"Geoglossales","",NA,"Geoglossaceae","","","Geoglossum",NA,NA,"new 2016","observed","2015-03-21","Paul Kroeger","UBC","F31148",NA,"2016-03-22","Andrew Simon","http://www.inaturalist.org/observations/2822886","",350847,"FUN"
"191","Gliophorus psittacinus","(Schaeff.) Herink",NA,"parrot mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Gliophorus",NA,NA,"new 2016","observed","","","","",NA,"2013-10-26","Ian Guthrie","http://www.inaturalist.org/observations/4209523","",348711,"FUN"
"192","Gymnopilus ventricosus","",NA,"Western Jumbo Gym","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Gymnopilus",NA,NA,"new 2016","observed","","","","",NA,"2016-10-23","Graham Barber","http://inaturalist.ca/observations/4428045","the taxonomy and ID of this species, G. junonius, G. spectabilis, and G. ventricuosus are uncertain (Shannon Berch, pers. comm.)",348809,"FUN"
"193","Helvella maculata","N.S. Weber",NA,"fluted brown elfin sadle","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Helvellaceae","","","Helvella",NA,NA,"new 2016","observed","","","","",NA,"2016-11-12","Shera Street","http://www.inaturalist.org/observations/4571716","",118003,"FUN"
"194","Lactarius subviscidus","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Russulaceae","","","Lactarius",NA,NA,"new 2016","observed","","","","",NA,"2016-11-05","Andrew Simon","http://www.inaturalist.org/observations/4503918","",118220,"FUN"
"195","Lycoperdon umbrinum","",NA,"umber-brown puffball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Lycoperdaceae","","","Lycoperdon",NA,NA,"new 2016","observed","","","","",NA,"2016-10-07","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/4296039","",118139,"FUN"
"196","Naematelia aurantia","",NA,"golden ear","Fungi","Basidiomycota","Agaricomycotina",NA,"Tremellomycetes",NA,NA,"Tremellales","",NA,"Naemateliaceae","","","Naematelia",NA,NA,"new 2016","observed","","","","",NA,"2013-10-11","Ian Guthrie","http://www.inaturalist.org/observations/4209534","",1109245,"FUN"
"197","Scleroderma cepa","",NA,"onion earthball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Sclerodermataceae","","","Scleroderma",NA,NA,"new 2016","observed","","","","",NA,"2016-07-19","Adam Huggins","http://www.inaturalist.org/observations/3707251","",118147,"FUN"
"198","Astraeus sp.","",NA,"Barometer Earthstars","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Astraeaceae","","","Astraeus",NA,NA,"new 2017","observed","","","","",NA,"2017-04-06","Andrew Simon","https://www.inaturalist.org/observations/5619969","",48774,"FUN"
"199","Coccomyces cf tumidus","(Fr.) De Not.",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Rhytismatales","",NA,"Rhytismataceae","","","Coccomyces",NA,NA,"new 2017","observed","","","","",NA,"2018-07-28","Kevin Toomer","https://www.inaturalist.org/observations/14859281","https://static.inaturalist.org/photos/22183086/original.jpg?1532825439",747608,"FUN"
"200","Coniophora puteana","(Schumach.) P. Karst",NA,"wet rot fungus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Coniophoraceae","","","Coniophora",NA,NA,"new 2017","observed","","","","",NA,"2017-12-08","Kevin Toomer","https://www.inaturalist.org/observations/9094382","",154741,"FUN"
"201","Dasyscyphella sp.","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Helotiales","",NA,"Lachnaceae","","","Dasyscyphella",NA,NA,"new 2017","observed","","","","",NA,"2017-05-27","Pam Janszen","https://www.inaturalist.org/observations/7150086","",374674,"FUN"
"202","Lentinellus ursinus","",NA,"bear lentinus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Auriscalpiaceae","","","Lentinellus",NA,NA,"new 2017","observed","","","","",NA,"2017-10-22","Kevin Toomer","https://www.inaturalist.org/observations/8514259","",118231,"FUN"
"203","Mollisia sp.","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Helotiales","",NA,"Mollisiaceae","","","Mollisia",NA,NA,"new 2017","observed","","","","",NA,"2017-05-27","Pam Janszen","https://www.inaturalist.org/observations/7150090","not Mollisia cinerea",118025,"FUN"
"204","Panus conchatus","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Panaceae","","","Panus",NA,NA,"new 2017","observed","","","","",NA,"2017-05-27","Pam Janszen","https://www.inaturalist.org/observations/7150092","",59249,"FUN"
"205","Rhizopogon parksii","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Rhizopogonaceae","","","Rhizopogon",NA,NA,"new 2017","observed","","","","",NA,"2019-02-24","Kath Boake Wüthrich","https://www.inaturalist.org/observations/20748243","",384120,"FUN"
"206","Taphrina occidentalis","W.W. Ray",NA,"alder tongue gall","Fungi","Ascomycota","Taphrinomycotina",NA,"Taphrinomycetes",NA,NA,"Taphrinales","",NA,"Taphrinaceae","","","Taphrina",NA,NA,"new 2017","observed","","","","",NA,"2017-03-21","Andrew Simon","https://www.inaturalist.org/observations/5419998","",334077,"FUN"
"207","Trametes ochracea","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Trametes",NA,NA,"new 2017","observed","","","","",NA,"2017-03-19","Sarah Tweedale","https://www.inaturalist.org/observations/5412451","",118111,"FUN"
"208","Trametes pubescens","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Trametes",NA,NA,"new 2017","observed","","","","",NA,"2017-05-27","Pam Janszen","https://www.inaturalist.org/observations/7150095","",203711,"FUN"
"209","Xeromphalina cornui","(Quél.) J.Favre",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pleurotineae",NA,"Typhulaceae","","","Xeromphalina",NA,NA,"new 2017","observed","","","","",NA,"2017-10-26","Andrew Simon","https://www.inaturalist.org/observations/8593724","",194470,"FUN"
"210","Abortiporus biennis","",NA,"Blushing Rosette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Podoscyphaceae","","","Abortiporus",NA,NA,"new 2018","observed","","","","",NA,"2018-10-31","Christopher Heffley","https://www.inaturalist.org/observations/17996751","",118041,"FUN"
"211","Brunneoporus malicola","",NA,"polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Fomitopsidaceae","","","Brunneoporus",NA,NA,"new 2018","observed","2015-03-21","Paul Kroeger","UBC","F31147",NA,"2018-03-18","Andrew Simon","https://www.inaturalist.org/observations/10306146","requires microscopy to confirm; consider striking (Shannon Berch, pers. comm.)",1031378,"FUN"
"212","Clavaria fragilis var. vermicularis","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Clavariineae",NA,"Clavariaceae","","","Clavaria",NA,NA,"new 2018","observed","","","","",NA,"2018-10-26","Kevin Toomer","https://www.inaturalist.org/observations/18033205","",53888,"FUN"
"213","Coccomyces tumidus","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Rhytismatales","",NA,"Rhytismataceae","","","Coccomyces",NA,NA,"new 2018","observed","","","","",NA,"2018-07-28","Kevin Toomer","https://www.inaturalist.org/observations/14859281","",747608,"FUN"
"214","Crucibulum laeve","",NA,"common bird's nest fungus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Nidulariaceae","","","Crucibulum",NA,NA,"new 2018","observed","","","","",NA,"2018-03-25","Andrew Simon","https://www.inaturalist.org/observations/14548360","",120030,"FUN"
"215","Exidia glandulosa","",NA,"Black Witches' Butter","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Auriculariales","",NA,"Auriculariaceae","","","Exidia",NA,NA,"new 2018","observed","","","","",NA,"2018-04-08","Andrew Simon","https://www.inaturalist.org/observations/10771431","",55568,"FUN"
"216","Kuehneromyces lignicola","(Peck) Redhead",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Kuehneromyces",NA,NA,"new 2018","observed","","","","",NA,"2018-12-16","Adam Huggins","https://www.inaturalist.org/observations/19130373","",495391,"FUN"
"217","Lepista irina","",NA,"Flowery Blewit","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Tricholomataceae","","","Lepista",NA,NA,"new 2018","observed","","","","",NA,"2018-10-31","Christopher Heffley","https://www.inaturalist.org/observations/17997145","",118368,"FUN"
"218","Marasmius calhouniae","",NA,"Calhoun's Pinwheel","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Marasmiineae",NA,"Marasmiaceae","","","Marasmius",NA,NA,"new 2018","observed","","","","",NA,"2018-11-02","Lauren Magner & Andrew Simon","https://www.inaturalist.org/observations/18050363","",118241,"FUN"
"219","Mycena robusta","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Marasmiineae",NA,"Mycenaceae","","","Mycena",NA,NA,"new 2018","observed","","","","",NA,"2018-12-17","Adam Huggins","https://www.inaturalist.org/observations/19130378","",791071,"FUN"
"220","Phaeotremella foliacea","",NA,"leafy brain","Fungi","Basidiomycota","Agaricomycotina",NA,"Tremellomycetes",NA,NA,"Tremellales","",NA,"Tremellaceae","","","Phaeotremella",NA,NA,"new 2018","observed","","","","",NA,"2018-01-04","Kevin Toomer","https://www.inaturalist.org/observations/9477733","",994056,"FUN"
"221","Ramaria cyaneigranosa","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Gomphales","",NA,"Gomphaceae","","","Ramaria",NA,NA,"new 2018","observed","","","","",NA,"2018-05-04","Andrew Simon","https://www.inaturalist.org/observations/12407133","",229790,"FUN"
"222","Sparassis radicata","",NA,"western cauliflower mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Sparassidaceae","","","Sparassis",NA,NA,"new 2018","observed","","","","",NA,"2018-10-26","Jesse Keefer","https://www.inaturalist.org/observations/17980341","",486226,"FUN"
"223","Urnula padeniana","M. Carbone, Agnello, A.D. Parker & P. Alvarado",NA,"cup fungus","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Sarcosomataceae","","","Urnula",NA,NA,"new 2018","observed","","","","",NA,"2018-01-19","Andrew Simon","https://www.inaturalist.org/observations/9617448","",448147,"FUN"
"224","Amanita pantherinoides","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"new 2019","observed","","","","",NA,"2019-11-23","Caitlin Robinson","https://www.inaturalist.org/observations/36069671","",738406,"FUN"
"225","Annulohypoxylon thouarsianum","",NA,"cramp balls","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Xylariales","",NA,"Hypoxylaceae","","","Annulohypoxylon",NA,NA,"new 2019","observed","","","","",NA,"2019-05-05","Jason Headley","https://www.inaturalist.org/observations/24699114","",55516,"FUN"
"226","Chlorophyllum rhacodes","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Chlorophyllum",NA,NA,"new 2019","","","","","",NA,"2019-10-06","Sarah Tweedale","https://www.inaturalist.org/observations/33974478","",56535,"FUN"
"227","Gloeophyllum sepiarium","",NA,"Conifer Mazegill","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Gloeophyllales","",NA,"Gloeophyllaceae","","","Gloeophyllum",NA,NA,"new 2019","observed","","","","",NA,"2019-09-21","Gwen Janz","https://www.inaturalist.org/observations/33436066","",67338,"FUN"
"228","Hydnellum conigenum","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Thelephorales","",NA,"Bankeraceae","","","Hydnellum",NA,NA,"new 2019","observed","","","","",NA,"2019-12-01","Andrew Simon, Harvey Janszen, & Pam Janszen","https://www.inaturalist.org/observations/36297449","",351027,"FUN"
"229","Inocybe lanuginosa","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Inocybaceae","","","Inocybe",NA,NA,"new 2019","observed","","","","",NA,"2019-05-04","Pam Janszen","https://www.inaturalist.org/observations/24652655","",127548,"FUN"
"230","Lactarius rubidus","",NA,"Candy Cap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Russulaceae","","","Lactarius",NA,NA,"new 2019","observed","","","","",NA,"2019-11-24","Caitlin Robinson","https://www.inaturalist.org/observations/36051709","",55276,"FUN"
"231","Phycomyces sp.","",NA,"","Fungi","Zygomycota","Mucoromycotina",NA,"Mucoromycetes",NA,NA,"Mucorales","",NA,"Phycomycetaceae","","","Phycomyces",NA,NA,"new 2019","observed","","","","",NA,"2019-02-28","Michael Beach","https://www.inaturalist.org/observations/20882850","",319606,"FUN"
"232","Phylloporus arenicola","",NA,"western gilled bolete","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Boletaceae","Xerocomoideae","","Phylloporus",NA,NA,"new 2019","observed","","","","",NA,"2019-05-04","Kevin Toomer","https://www.inaturalist.org/observations/29190599","",118155,"FUN"
"233","Phyllosticta cf pyrolae","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Dothideomycetes",NA,NA,"Botryosphaeriales","",NA,"Phyllostictaceae","","","Phyllosticta",NA,NA,"new 2019","observed","","","","",NA,"2019-07-12","Kevin Toomer","https://www.inaturalist.org/observations/28694020","",NA,"FUN"
"234","Puccinia urticata","",NA,"","Fungi","Basidiomycota","Pucciniomycotina",NA,"Pucciniomycetes",NA,NA,"Pucciniales","",NA,"Pucciniaceae","","","Puccinia",NA,NA,"new 2019","observed","","","","",NA,"2019-05-04","Andrew Simon","https://www.inaturalist.org/observations/24653225","",418616,"FUN"
"235","Xerocomellus atropurpureus","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Boletaceae","","","Xerocomellus",NA,NA,"new 2019","observed","","","","",NA,"2019-05-03","Charlene Wood","https://www.inaturalist.org/observations/24570060","",1020294,"FUN"
"236","Agaricus deardorffensis","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"new 2020","observed","","","","",NA,"2020-10-10","Adam Huggins","https://www.inaturalist.org/observations/62307250","",521662,"FUN"
"237","Ampulloclitocybe sp.","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","Cuphophylloideae","","Ampulloclitocybe",NA,NA,"new 2020","observed","","","","",NA,"2020-10-14","Sylvie Hawkes","https://www.inaturalist.org/observations/67147418","",194738,"FUN"
"238","Bjerkandera adusta","",NA,"Smoky polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Phanerochaetaceae","","","Bjerkandera",NA,NA,"new 2020","observed","","","","",NA,"2020-02-08","ssilverman","https://www.inaturalist.org/observations/38440421","",118038,"FUN"
"239","Clavulinopsis laeticolor","",NA,"Handsome Club","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Clavariineae",NA,"Clavariaceae","","","Clavulinopsis",NA,NA,"new 2020","observed","","","","",NA,"2020-12-14","Christian Adler","https://www.inaturalist.org/observations/66628680","",55273,"FUN"
"240","Epichloe typhina","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Hypocreales","",NA,"Clavicipitaceae","","","Epichloe",NA,NA,"new 2020","observed","","","","",NA,"2020-06-30","Andrew Simon","https://www.inaturalist.org/observations/51544697","",960510,"FUN"
"241","Hemipholiota populnea","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Hemipholiota",NA,NA,"new 2020","observed","","","","",NA,"2020-09-27","Austin Tahiliani ","https://www.inaturalist.org/observations/61073518","",786894,"FUN"
"242","Ramaria rasilispora","",NA,"Yellow Coral Mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Gomphales","",NA,"Gomphaceae","","","Ramaria",NA,NA,"new 2020","observed","","","","",NA,"2020-10-10","Christian Adler","https://www.inaturalist.org/observations/62361137","",179764,"FUN"
"243","Sorocybe resinae","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Eurotiomycetes",NA,NA,"Chaetothyriales","",NA,"Herpotrichiellaceae","","","Sorocybe",NA,NA,"new 2020","observed","","","","",NA,"2020-08-16","Andrew Simon","https://www.inaturalist.org/observations/57225200","",866707,"FUN"
"244","Tubaria furfuracea","",NA,"scurfy twiglet","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Tubariaceae","","","Tubaria",NA,NA,"new 2020","observed","","","","",NA,"2020-10-20","catiemac","https://www.inaturalist.org/observations/63135637","",55573,"FUN"
"245","Arthophacopsis parmeliarum","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Arthoniomycetes",NA,NA,"Arthoniales","",NA,"","","","Arthophacopsis",NA,NA,"new 2021","observed","","","","",NA,"2021-10-23","Alejandro Huereca Delgado and Andrew Simon","https://www.inaturalist.org/observations/99510061","",462358,"FUN"
