"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Genus","Tribe","Origin","Status","Reporting.Status","iNat.Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"169","Elassochirus tenuimanus","(Dana, 1851)",NA,"widehand hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Elassochirus",NA,"native","unlisted","reported","unobserved","1993-08-16","Andy Lamb","PMLS","",NA,"","","","",459569,"ART"
"170","Pagurus armatus","(Dana, 1851)",NA,"blackeyed hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","1969-02-21","Andy Lamb","PMLS","",NA,"","","","",459543,"ART"
"171","Pagurus beringanus","(Benedict, 1892)",NA,"Bering hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","confirmed","observed","1986-04-08","","RBCM","986-00191-005",NA,"2015-05-16","Peter Luckham","http://www.inaturalist.org/observations/2854421","",362749,"ART"
"172","Pagurus caurinus","Hart, 1971",NA,"Greenmark hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","confirmed","observed","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",180026,"ART"
"173","Pagurus granosimanus","(Stimpson, 1859)",NA,"grainy hermit crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","confirmed","observed","1986-09-30","","RBCM","986-00197-039",NA,"2013-05-09","Karolle Wall","http://www.inaturalist.org/observations/3910074","",127555,"ART"
"174","Pagurus hirsutiusculus","(Dana, 1851)",NA,"hairy hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","confirmed","observed","2016-01-23","Andy Lamb","PMLS","",NA,"2016-08-26","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3971319","",63219,"ART"
"175","Pagurus kennerlyi","(Stimpson, 1864)",NA,"bluespine hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","1999-10-02","Andy Lamb","PMLS","",NA,"","","","",459637,"ART"
"176","Pagurus ochotensis","Brandt, 1851",NA,"Alaskan hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",202044,"ART"
"177","Pagurus quaylei","Hart, 1971",NA,"Quayle's hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","2008-06-21","Andy Lamb","PMLS","",NA,"","","","",366957,"ART"
"178","Pagurus samuelis","(Stimpson, 1857)",NA,"blueband hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","2009-03-19","Andy Lamb","PMLS","",NA,"","","","",49095,"ART"
"179","Pagurus stevensae","Hart, 1971",NA,"Stevens' hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","Pagurus",NA,"native","unlisted","reported","unobserved","2008-03-01","Andy Lamb","PMLS","",NA,"","","","",459640,"ART"
"180","Pandalus borealis","Krøyer, 1838",NA,"northern shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","reported","unobserved","1956-01-29","W. Barraclough","RBCM","978-00057-001",1898295012,"","","","",437504,"ART"
"181","Pandalus danae","Stimpson, 1857",NA,"coonstripe shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2015-04-22","Karolle Wall","http://www.inaturalist.org/observations/3706255","",154708,"ART"
"182","Pandalus eous","Makarov, 1935",NA,"spiny pink shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",NA,"","","","",459644,"ART"
"183","Pandalus lucidirimicolus","(Jensen, 1998)",NA,"sparkling shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","reported","unobserved","1995-11-24","Daniel Kent","RBCM","997-00068-001",1898318861,"","","","reported as Pandalopsis lucidirimicola Jensen, 1998",459643,"ART"
"184","Pandalus platyceros","J.F. Brandt in von Middendorf, 1851",NA,"Pacific prawn","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","confirmed","observed","1995-02-25","Charlie Gibbs","PMLS","",NA,"2008-05-24","Jackson Chu","https://www.inaturalist.org/observations/60468464","",180394,"ART"
"185","Pandalus stenolepis","Rathbun, 1902",NA,"rough patch shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pandaloidea","Pandalidae","","Pandalus",NA,"native","unlisted","reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",NA,"","","","",459645,"ART"
"186","Lophopanopeus bellus","(Stimpson, 1860)",NA,"black-clawed crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Xanthoidea","Panopeidae","","Lophopanopeus",NA,"native","unlisted","confirmed","observed","2007-10-21","Andy Lamb","PMLS","",NA,"2016-04-08","Karolle Wall","http://www.inaturalist.org/observations/2909657","",50818,"ART"
"187","Fabia subquadrata","Dana, 1851",NA,"pea crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Pinnotheroidea","Pinnotheridae","Pinnotherinae","Fabia",NA,"native","unlisted","reported","unobserved","1934-09-06","Joesphine F.L. Hart","RBCM","985-00143-001",1898269203,"","","","",117669,"ART"
"188","Petrolisthes eriomerus","Stimpson, 1871",NA,"flattop crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Galatheoidea","Porcellanidae","","Petrolisthes",NA,"native","unlisted","confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2017-05-26","Kris Krüg","http://inaturalist.ca/observations/6371780","",47803,"ART"
"189","Eusergestes similis","(Hansen, 1903)",NA,"Pacific sergestid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Dendrobranchiata","Sergestoidea","Sergestidae","","Eusergestes",NA,"native","unlisted","reported","unobserved","1965-01-29","W. Barraclough","RBCM","015-00030-001",1898267324,"","","","",459581,"ART"
"190","Eualus butleri","Jensen, 2004",NA,"sponge eualid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Eualus",NA,"native","unlisted","reported","unobserved","2016-01-23","Andy Lamb","PMLS","",NA,"","","","",459508,"ART"
"191","Heptacarpus brevirostris","(Dana, 1852)",NA,"stout coastal shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Heptacarpus",NA,"native","unlisted","confirmed","observed","1976-06-20","Rita M. O'Clair","CMN","CMNC 2004-3237",NA,"2017-05-26","Karolle Wall","https://www.inaturalist.org/observations/7674355","",63679,"ART"
"192","Heptacarpus kincaidi","(Rathbun, 1902)",NA,"Kincaid's shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Heptacarpus",NA,"native","unlisted","reported","unobserved","1996-09-28","Charlie Gibbs","PMLS","",NA,"","","","",459524,"ART"
"193","Heptacarpus stylus","(Stimpson, 1864)",NA,"stiletto shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Heptacarpus",NA,"native","unlisted","reported","unobserved","2006-03-05","Andy Lamb","PMLS","",NA,"","","","",458674,"ART"
"194","Heptacarpus sitchensis","(J.F. Brandt in von Middendorf, 1851)",NA,"red-banded transparent shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Heptacarpus",NA,"native","unlisted","new 2017","observed","","","","",NA,"2017-05-26","Karolle Wall","https://www.inaturalist.org/observations/7674367","",67627,"ART"
"195","Heptacarpus tridens","(Rathbun, 1902)",NA,"threespine shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Heptacarpus",NA,"native","unlisted","reported","unobserved","1999-10-02","Andy Lamb","PMLS","",NA,"","","","",459522,"ART"
"196","Lebbeus eludus","Jensen, 2006",NA,"elusive lebbeid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Lebbeus",NA,"native","unlisted","reported","unobserved","2009-05-30","Andy Lamb","PMLS","",NA,"","","","",459480,"ART"
"197","Lebbeus grandimanus","(Bražnikov, 1907)",NA,"candy stripe shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Lebbeus",NA,"native","unlisted","reported","unobserved","1996-09-28","Charlie Gibbs","PMLS","",NA,"","","","",459598,"ART"
"198","Lebbeus mundus","Jensen, 2006",NA,"cleaner lebbeid","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Lebbeus",NA,"native","unlisted","reported","unobserved","2008-02-16","Andy Lamb","PMLS","",NA,"","","","",459601,"ART"
"199","Spirontocaris prionota","(Stimpson, 1864)",NA,"deep blade shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Alpheoidea","Thoridae","","Spirontocaris",NA,"native","unlisted","reported","unobserved","1986-09-30","","RBCM","986-00197-023",1898324901,"","","","",424249,"ART"
"200","Hemigrapsus nudus","(Dana, 1851)",NA,"purple shore crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Grapsoidea","Varunidae","Varuninae","Hemigrapsus",NA,"native","unlisted","confirmed","observed","1948-06-05","","RBCM","976-01171-005",1898278739,"2011-08-10","Nancy Woodham","http://www.inaturalist.org/observations/4021637","",48342,"ART"
"201","Hemigrapsus oregonensis","(Dana, 1851)",NA,"yellow shore crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Grapsoidea","Varunidae","Varuninae","Hemigrapsus",NA,"native","unlisted","new 2016","observed","","","","",NA,"2015-08-28","Andrew Simon","http://www.inaturalist.org/observations/2580697","",69170,"ART"
"202","Euphausia spp.","",NA,"krill","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","","","Euphausiidae","","Euphausia",NA,"","","reported","unobserved","1973-09-21","Andy Lamb","PMLS","",NA,"","","","",195136,"ART"
"203","Bopyroides hippolytes","(Kröyer, 1838)",NA,"shrimp parasitic isopod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Cymothoida","Bopyroidea","Bopyridae","Bopyrinae","Bopyroides",NA,"native","unlisted","reported","unobserved","2010-07-17","Andy Lamb","PMLS","",NA,"","","","",873867,"ART"
"204","Pentidotea resecata","(Stimpson, 1857)",NA,"eelgrass isopod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Valvifera","","Idoteidae","","Pentidotea",NA,"native","unlisted","new 2016","observed","","","","",NA,"2016-05-08","Karolle Wall","http://www.inaturalist.org/observations/4078193","",141842,"ART"
"205","Pentidotea wosnesenskii","(Brandt, 1851)",NA,"rockweed isopod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Valvifera","","Idoteidae","","Pentidotea",NA,"native","unlisted","confirmed","observed","1960-12-22","Donald E. McAllister & M.O Yesaki","CMN","CMNC 1987-0102",NA,"2017-04-08","Tyrel Froese","https://www.inaturalist.org/observations/5620541","",126295,"ART"
"206","Gnorimosphaeroma oregonense","(Dana, 1853)",NA,"Oregon pillbug","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Sphaeromatidea","Sphaeromatoidea","Sphaeromatidae","","Gnorimosphaeroma",NA,"native","unlisted","confirmed","observed","1976-06-20","Rita M. O'Clair","CMN","CMNC 1987-0202",NA,"2019-05-04","David Metzger","https://www.inaturalist.org/observations/24633050","",123798,"ART"
"207","Argulus pugettensis","Dana, 1853",NA,"surfperch fish louse","Animalia","Arthropoda","Crustacea","Oligostraca","Ichthyostraca","Branchiura","","Arguloida","","","Argulidae","","Argulus",NA,"native","unlisted","reported","unobserved","2007-09-29","Andy Lamb","PMLS","",NA,"","","","",873865,"ART"
"208","Panomya ampla","Dall, 1898",NA,"ample roughmya","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Hiatelloidea","Hiatellidae","","Panomya",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00316",1898318849,"","","","",865774,"MOL"
"209","Panopea generosa","(Gould, 1850)",NA,"Pacific geoduck","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Hiatelloidea","Hiatellidae","","Panopea",NA,"native","unlisted","confirmed","observed","1994-10-23","Andy Lamb","PMLS","",NA,"2019-05-04","Isabelle Côte","https://www.inaturalist.org/observations/24792030","",117618,"MOL"
"210","Solen sicarius","Gould, 1850",NA,"sickle jackknife-clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Solenoidea","Solenidae","","Solen",NA,"native","unlisted","reported","unobserved","2007-12-09","Andy Lamb","PMLS","",NA,"","","","",54529,"MOL"
"211","Glycymeris septentrionalis","(Middendorff, 1849)",NA,"western bittersweet","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Arcida","","Arcoidea","Glycymerididae","","Glycymeris",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00294",1898292826,"","","","",479438,"MOL"
"212","Ciliatocardium ciliatum","(Fabricius, 1780)",NA,"hairy cockle","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","Ciliatocardium",NA,"native","unlisted","reported","unobserved","2008-10-10","Andy Lamb","PMLS","",NA,"","","","",940646,"MOL"
"213","Clinocardium nuttallii","(Conrad, 1837)",NA,"Nuttall's cockle","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","Clinocardium",NA,"native","unlisted","confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",NA,"2009-07-08","Shera Street","http://www.inaturalist.org/observations/2635143","",69925,"MOL"
"214","Keenaea centifilosa","(Carpenter, 1864)",NA,"cockle","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","","Keenaea",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00327",1898273217,"","","","Reported as Nemocardium centifilosum (RBCM 979-00327)",962184,"MOL"
"215","Keenocardium blandum","(Gould, 1850)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","Keenocardium",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-017",1898304642,"","","","",940598,"MOL"
"216","Gari californica","(Conrad, 1849)",NA,"California sunsetclam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Psammobiidae","","Gari",NA,"native","unlisted","reported","unobserved","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",354323,"MOL"
"217","Nuttallia obscurata","(Reeve, 1857)",NA,"purple mahogany clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Psammobiidae","","Nuttallia",NA,"non-native","unlisted","new 2016","observed","","","","",NA,"2016-08-21","Tyrel Froese","http://www.inaturalist.org/observations/4005286","",430211,"MOL"
"218","Semele rubropicta","Dall, 1871",NA,"rose-painted clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Semelidae","","Semele",NA,"native","unlisted","reported","unobserved","1999-05-05","Andy Lamb","PMLS","",NA,"","","","",371110,"MOL"
"219","Macoma brota","Dall, 1916",NA,"heavy macoma","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","Macoma",NA,"native","unlisted","new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","http://www.inaturalist.org/observations/3910109","",504353,"MOL"
"220","Macoma calcarea","(Gmelin, 1791)",NA,"chalky macoma","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","Macoma",NA,"native","unlisted","reported","unobserved","1961-06-22","","RBCM","976-01146-008",1898275200,"","","","",861604,"MOL"
"221","Macoma carlottensis","Whiteaves, 1880",NA,"Charlotte macoma","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","Macoma",NA,"native","unlisted","reported","unobserved","1961-06-22","","RBCM","976-01146-009",1898266087,"","","","",957354,"MOL"
"222","Macoma nasuta","(Conrad, 1857)",NA,"bent-nose macoma","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","Macoma",NA,"native","unlisted","confirmed","observed","2009-11-14","Andy Lamb","PMLS","",NA,"2016-08-21","Tyrel Froese","http://www.inaturalist.org/observations/4005328","",117612,"MOL"
"223","Macoma obliqua","(J. Sowerby, 1817)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","Macoma",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-002",1898316814,"","","","",861605,"MOL"
"224","Coanicardita ventricosa","(Gould, 1850)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Carditida","","Carditoidea","Carditidae","Scalaricarditinae","Cyclocardia",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-006",1898313988,"","","","",492137,"MOL"
"225","Kellia suborbicularis","(Montagu, 1803)",NA,"suborbicular kellyclam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Galeommatida","","Galeommatoidea","Lasaeidae","","Kellia",NA,"native","unlisted","reported","unobserved","2006-06-30","Andy Lamb","PMLS","",NA,"","","","",253475,"MOL"
"226","Parvilucina tenuisculpta","(Carpenter, 1864)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Lucinida","","Lucinoidea","Lucinidae","Lucininae","Parvilucina",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-005",1898273623,"","","","",493882,"MOL"
"227","Axinopsida serricata","(Carpenter, 1864)",NA,"lenticular axinopsid","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Lucinida","","Thyasiroidea","Thyasiridae","","Axinopsida",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03315",1898280832,"","","","",977317,"MOL"
"228","Mya arenaria","Linnaeus, 1758",NA,"soft-shelled clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","Mya",NA,"non-native","unlisted","new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","http://www.inaturalist.org/observations/3910084","",81634,"MOL"
"229","Mya truncata","Linnaeus, 1758",NA,"truncated softshell-clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","Mya",NA,"native","unlisted","reported","unobserved","2008-04-27","Andy Lamb","PMLS","",NA,"","","","",447416,"MOL"
"230","Zirfaea pilsbryi","Lowe, 1931",NA,"rough piddock","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Myida","","Pholadoidea","Pholadidae","Pholadinae","Zirfaea",NA,"native","unlisted","reported","unobserved","2016-07-24","Andy Lamb","PMLS","",NA,"","","","",117472,"MOL"
"231","Bankia setacea","(Tryon, 1863)",NA,"feathery shipworm","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Myida","","Pholadoidea","Teredinidae","Bankiinae","Bankia",NA,"native","unlisted","reported","unobserved","1999-10-02","Andy Lamb","PMLS","",NA,"","","","",347368,"MOL"
"232","Crenella decussata","(Montagu, 1808)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Crenellinae","Crenella",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-013",1898267985,"","","","",193939,"MOL"
"233","Modiolus modiolus","(Linnaeus, 1758)",NA,"northern horsemussel","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","Modiolus",NA,"native","unlisted","reported","unobserved","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",123772,"MOL"
"234","Modiolus rectus","(Conrad, 1837)",NA,"","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","Modiolus",NA,"native","unlisted","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-015",1898316253,"","","","",196218,"MOL"
"235","Musculus discors","(Linnaeus, 1767)",NA,"discord mussel","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Musculinae","Musculus",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",1898284913,"","","","",482998,"MOL"
"236","Mytilus edulis complex","",NA,"blue mussel","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Mytilinae","Mytilus",NA,"native","unlisted","confirmed","observed","1982-05-28","Philip Lambert","RBCM","982-00155-001",1898293540,"2015-08-05","Andrew Simon","https://www.inaturalist.org/observations/2599512","",62807,"MOL"
"237","Musculus niger","(J.E. Gray, 1824)",NA,"black mussel","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae ","Musculinae","Musculus",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00347",1898295371,"","","","",483000,"MOL"
"238","Nuculana leonina","(Dall, 1896)",NA,"nuculanid clam","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Nuculanidae","Nuculaninae","Nuculana",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03316",1898319922,"","","","",957348,"MOL"
"239","Megayoldia thraciaeformis","(Storer, 1838)",NA,"broad yoldia","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","Megayoldia",NA,"native","unlisted","reported","unobserved","1942-06-01","Dan Quayle","RBCM","991-00500-001",1898270739,"","","","",957355,"MOL"
"240","Yoldia aeolica","Dall, 1897",NA,"yoldia clam","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","Yoldia",NA,"native","unlisted","reported","unobserved","1917-06-29","","RBCM","991-00498-001",1898316827,"","","","",957342,"MOL"
"241","Yoldia hyperborea","(Gould, 1841)",NA,"yoldia clam","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","Yoldia",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03304",NA,"","","","",996928,"MOL"
"242","Yoldia amygdalea","(Valenciennes, 1846)",NA,"yoldia clam","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae ","","Yoldia",NA,"native","unlisted","reported","unobserved","1962-09-14","John Fleury","RBCM","991-00464-001",1898322652,"","","","",957338,"MOL"
"243","Ennucula tenuis","(Montagu, 1808)",NA,"smooth nutclam","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculida","","Nuculoidea","Nuculidae","","Ennucula",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03318",1898321136,"","","","",202045,"MOL"
"244","Acila castrensis","(Hinds, 1843)",NA,"nutclam or nutshell","Animalia","Mollusca",NA,NA,"Bivalvia","Protobranchia","","Nuculida ","","Nuculoidea","Nuculidae","","Acila",NA,"native","unlisted","reported","unobserved","1961-05-13","Dan B. Quayle","RBCM","982-00207-002",1898323311,"","","","",339158,"MOL"
