lichen.genera,life.habit,reference.taxa,in.cephalodia,photobiont.domain,photobiont.kingdom,photobiont.phylum,photobiont.class,photobiont.order,photobionts,reference,note
Coccotrema,lichenized,,,,,,,,,,
Coelocaulon,lichenized,,,,,,,,,,
Coenogonium,lichenized,Coenogonium linkii,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,"Nelsen et al. (2011). ‘Printzina’ clades occur scattered throughout Trentepohlia. Mycobionts represent Arthoniomycetes, Dothideomycetes and Lecanoromycetes.",
Collema,lichenized,Collema crispum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,O’Brien et al. (2005),
Collema,lichenized,Collema multipartitum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,Oksanen et al. (2002),
Collemopsidium,lichenized,Collemopsidium spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales ,Hyella sp.,see Ahmadjian (1967). id: LM,
Coniocybe,lichenized,,,,,,,,,,syn. Chaenotheca
Cornicularia,lichenized,,,,,,,,,,
Corticifraga,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cratiria,lichenized,,,,,,,,,,
Cresponea,lichenized,,,,,,,,,,
Crutarndina,lichenized,,,,,,,,,,
Cryptothele,lichenized,,,,,,,,,,
Cybebe,lichenized,,,,,,,,,,syn. Chaenotheca
Cypheliopsis,lichenized,,,,,,,,,,syn. Thelomma?
Cyphelium,lichenized,,,,,,,,,,
Cyphobasidium,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cystobasidium,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cystocoleus,lichenized,Cystocoleus ebeneus,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Dactylina,lichenized,,,,,,,,,,
Dactylospora,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dendriscocaulon,lichenized,,,,,,,,,,syn. Sticta
Dendriscosticta,lichenized,Dendriscosticta platyphylla,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Symbiochloris sp.,Škaloud et al. (2016). All known photobionts previously included in Dictyochloropsis s. lat.,
Dendriscosticta,lichenized,Dendriscosticta wrightii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Symbiochloris sp.,Škaloud et al. (2016). All known photobionts previously included in Dictyochloropsis s. lat.,
Dendriscosticta,lichenized,,,,,,,,,,
Dermatocarpon,lichenized,Dermatocarpon hepaticum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Tschermak-Woess (1988a),
Dermatocarpon,lichenized,Dermatocarpon luridum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Dermatocarpon,lichenized,Dermatocarpon luridum var. luridum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera chodatii,Fontaine et al. (2012); Doering et al. (2020).,
Dermatocarpon,lichenized,Dermatocarpon miniatum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Dermatocarpon,lichenized,Dermatocarpon tuckermani,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Tschermak-Woess (1988a),
Dermatocarpon,lichenized,Dermatocarpon velebiticum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Tschermak-Woess (1988a),
Dibaeis,lichenized,Dibaeis baeomyces,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa icmadophilae ,Beck (2002),
Dimelaena,lichenized,Dimelaena oreina,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Helms et al. (2001),
Dimerella,lichenized,Dimerella pineti,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Diploschistes,lichenized,Diploschistes diacapsis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia vagua,Voytsekhovich & Beck (2016),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris glomerata,Škaloud & Peksa (2010),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris italiana clade,Rola et al. (2021),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris lobophora,Škaloud et al. (2015),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris lobophora/phycobiontica clade,Rola et al. (2021),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris sp.,Nelsen & Gargas (2008). Formal emendation of genus by Škaloud & Peksa (2010) to include Trebouxia subgen. Eleutherococcus Tschermak-Woess.,
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Asterochloris woessiae,Rola et al. (2021),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola/Trebouxia gigantea clade,Osyczka et al. (2021),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa/Trebouxia gelatinosa  ,Osyczka et al. (2021),
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia irregularis,Friedl (1989). Photobiont taken from parasitized Cladonia; later substituted by T. showmanii. id: LM,
Diploschistes,lichenized,Diploschistes muscorum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia showmanii,Friedl (1989). id: LM,
Diplotomma,lichenized,,,,,,,,,,
Echinothecium,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Eiglera,lichenized,,,,,,,,,,
Elixia,lichenized,,,,,,,,,,
Enchylium,lichenized,,,,,,,,,,
Endocarpon,lichenized,Endocarpon adscendens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Endocarpon,lichenized,Endocarpon diffractellum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Endocarpon,lichenized,Endocarpon pallidulum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Endocarpon,lichenized,Endocarpon pusillum,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Diplosphaera sp.,"Thüs et al. (2011). Morphologically similar to Stichococcus, but not close to type sp. Stereocaulon bacillaris.",
Enterographa,lichenized,,,,,,,,,,
Eopyrenula,lichenized,,,,,,,,,,
Ephebe,lichenized,Ephebe spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Stigonema sp.,Henssen & Jahns (1974). id: LM,
Epicladonia,lichenized,Epigloea bactrospora,,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Gloeocystis sp.,Tschermak-Woess (1988a). Gloeocystis s. lat. highly polyphyletic (Neustupa 2015).,
Epigloea,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Epilichen,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Erioderma,lichenized,Erioderma pedicellatum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rhizonema sp.,Cornejo & Scheidegger (2016); Cornejo et al. (2016). Boreal env. (Newfoundland). Also symbiotic among liverwort Frullania asagrayana.,
Erioderma,lichenized,Erioderma sorediatum,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rhizonema sp.,Cornejo & Scheidegger (2016); Cornejo et al. (2016). Boreal env. (Newfoundland). Also symbiotic among liverwort Frullania asagrayana.,
Esslingeriana,lichenized,,,,,,,,,,
Euopsis,lichenized,,,,,,,,,,
Evernia,lichenized,Evernia divaricata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,‘Trebouxia hypogymniae’,Piercey-Normore (2009),
Evernia,lichenized,Evernia divaricata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Tschaikner et al. (2007),
Evernia,lichenized,Evernia mesomorpha,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,‘Trebouxia hypogymniae’,Piercey-Normore (2009),
Evernia,lichenized,Evernia mesomorpha,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,"Piercey-Normore (2006, 2009). Multiple clades within.",
Evernia,lichenized,Evernia mesomorpha,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Piercey-Normore (2009),
Evernia,lichenized,Evernia mesomorpha,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Doering & Piercey-Normore (2009),
Evernia,lichenized,Evernia prunastri,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Tschaikner et al. (2007),
Farnoldia,lichenized,,,,,,,,,,
Fellhanera,lichenized,,,,,,,,,,
Fellhaneropsis,lichenized,,,,,,,,,,
Fissurina,lichenized,,,,,,,,,,
Fistulariella,lichenized,,,,,,,,,,
Flavocetraria,lichenized,Flavocetraria cucullata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Flavocetraria,lichenized,Flavocetraria nivalis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex/suecica (Clade S),Xu et al. (2020),
Flavoparmelia,lichenized,Flavoparmelia caperata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia gelatinosa,Doering & Piercey-Normore (2009),
Flavoplaca,lichenized,,,,,,,,,,
Flavopunctelia,lichenized,,,,,,,,,,
Frutidella,lichenized,,,,,,,,,,
Fulgensia,lichenized,Fulgensia bracteata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. clade 1,"Schaper & Ott (2003). Götland, Sweden.",
Fulgensia,lichenized,Fulgensia fulgens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp. clade 1,"Schaper & Ott (2003). Götland, Sweden.",
Fulgensia,lichenized,Fulgensia fulgida,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia asymmetrica,Beck et al. (2002),
Fuscidea,lichenized,Fuscidea arboricola,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus fuscideae,Zahradníková et al. (2017),
Fuscidea,lichenized,Fuscidea cyathoides,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus fuscideae,Zahradníková et al. (2017),
Fuscidea,lichenized,Fuscidea cyathoides var. japonica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus lobatus,Watanabe et al. (1997). Maritime lichens. id: LM.,
Fuscidea,lichenized,Fuscidea cyathoides var. japonica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris bilobata,"Watanabe et al. (1997). Maritime lichens. id: LM, culture.",
Fuscidea,lichenized,Fuscidea cyathoides var. japonica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris reniformis,"Watanabe et al. (1997); Darienko et al. (2016). Maritime. id: LM, culture.",
Fuscidea,lichenized,Fuscidea cyathoides var. japonica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Elliptochloris subsphaerica,"Watanabe et al. (1997). Maritime lichens. id: LM, culture. (=Chlorella reisiglii Watanabe; Darienko et al. 2016)",
Fuscidea,lichenized,Fuscidea cyathoides var. japonica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Myrmecia biatorellae,Watanabe et al. (1997). Maritime lichens. id: LM,
Fuscidea,lichenized,Fuscidea kochiana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus fuscideae,Zahradníková et al. (2017),
Fuscidea,lichenized,Fuscidea lightfootii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus sp.,Zahradníková et al. (2017),
Fuscidea,lichenized,Fuscidea pusilla ,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Apatococcus fuscideae,Zahradníková et al. (2017),
Fuscopannaria,lichenized,Fuscopannaria spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostoc sp.,"Magain & Sérusiaux (2014). Homoiomerous (gelatinous) vs stratified anatomy correlated with Nostoc strain, not fungal family, across Pannariaceae and Collemataceae.",
Gowardia,lichenized,,,,,,,,,,
Graphis,lichenized,Graphis aperiens,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis aphanes,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis batanensis,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis cognata,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis connectans,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis dupaxana,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis endoxantha,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,Green (2012). Photobiont of one Strigula sp. included.,
Graphis,lichenized,Graphis handelii,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis intricata,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis propinqua,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Graphis,lichenized,Graphis proserpens,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis pulverulenta,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,Green (2012). Photobiont of one Strigula sp. included.,
Graphis,lichenized,Graphis rikuzensis,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis rufla,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis scripta,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Graphis,lichenized,Graphis scripta,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis scripta,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,"Nelsen et al. (2011). ‘Printzina’ clades occur scattered throughout Trentepohlia. Mycobionts represent Arthoniomycetes, Dothideomycetes and Lecanoromycetes.",
Graphis,lichenized,Graphis scripta,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,Green (2012). Photobiont of one Strigula sp. included.,
Graphis,lichenized,Graphis sp.,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia/‘Printzina’,"Nelsen et al. (2011). ‘Printzina’ clades occur scattered throughout Trentepohlia. Mycobionts represent Arthoniomycetes, Dothideomycetes and Lecanoromycetes.",
Graphis,lichenized,Graphis subdura,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis submarginata,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Graphis,lichenized,Graphis subtropica,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis subvirginea,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Graphis,lichenized,Graphis tenella,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia lagenifera,"Nakano (1988). id: LM, culture.",
Guignardia,non-lichenized,,,,,,,,,,
Gyalecta,lichenized,Gyalecta jenensis,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohlia ‘Printzina’,"Hametner et al. (2014a, b)",
Gyalectaria,lichenized,,,,,,,,,,
Gyalidea,lichenized,Gyalidea spp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Watanabeales,Chloroidium sp.,Sanders et al. (2016),
Gyalideopsis,lichenized,Gyalideopsis sessilis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Watanabeales,Heveochlorella sp.,Sanders et al. (2016). Mainly foliicolous.,
Gyalideopsis,lichenized,Gyalideopsis sp. (Gomphillaceae),,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Watanabeales,Heveochlorella sp.,Sanders et al. (2016). Mainly foliicolous.,
Gyalolechia,lichenized,,,,,,,,,,
Gypsoplaca,lichenized,,,,,,,,,,
Gyrographa,lichenized,,,,,,,,,,
Haematomma,lichenized,,,,,,,,,,
Halecania,lichenized,,,,,,,,,,
Haplocarpon,non-lichenized,,,,,,,,,,
Hawksworthia,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Henrica,lichenized,,,,,,,,,,
Heppia,lichenized,Heppia lutosa,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Scytonema sp.,"Võ (2016). A 16s rRNA sequence suggests true Scytonema, not Rhizonema.",
Heppia,lichenized,Heppia spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcidiopsidales ,Gloeocapsa sp.,Numerous LM reports summarized by Tschermak-Woess (1988a). Friedl & Büdel (2008); Brodo et al. (2001). id: LM,
Heppia,lichenized,Heppia spp.,,Bacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Scytonema sp.,"Henssen (1994). DNA sequence data needed. Might be Rhizonema, but see Võ (2016) concerning Heppia.",
Herteliana,lichenized,,,,,,,,,,
Hertelidea,lichenized,,,,,,,,,,
Heterocarpon,lichenized,,,,,,,,,,
Heterodermia,lichenized,,,,,,,,,,
Homostegia,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Huilia,lichenized,,,,,,,,,,
Hydropunctaria,lichenized,Hydropunctaria adriatica,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,(Dilabifilum) sp.,"Tschermak-Woess (1976). id: LM, culture.",
Hydropunctaria,lichenized,Hydropunctaria amphibia,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Halofilum ramosum,Darienko & Pröschold (2017); Gasulla et al. (2019).,
Hydropunctaria,lichenized,Hydropunctaria maura,,Eukaryota,Chromista,Heterokontophyta,Xanthophyceae,Tribonematales,Heterococcus sp.,Parra & Redón (1977). id: LM,
Hydropunctaria,lichenized,Hydropunctaria maura,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,(Dilabifilum) sp.,Thüs et al. (2011),
Hydropunctaria,lichenized,Hydropunctaria maura,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Halofilum ramosum,Darienko & Pröschold (2017); Gasulla et al. (2019).,
Hydropunctaria,lichenized,Hydropunctaria maura,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Pseudendoclonium commune,"Dilabifilum, reclassified in Darienko & Pröschold (2017).",
Hydropunctaria,lichenized,Hydropunctaria rheitrophila,,Eukaryota,Chromista,Heterokontophyta,Xanthophyceae,Tribonematales,Heterococcus sp.,Thüs et al. (2011),
Hydropunctaria,lichenized,Hydropunctaria rheitrophila,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,(Dilabifilum) sp.,Thüs et al. (2011),
Hydropunctaria,lichenized,Hydropunctaria rheitrophila,,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Lithotrichon pulchrum,Darienko & Pröschold (2017). Submerged lichen.,
Hydrothyria,lichenized,,,,,,,,,,
Hymenelia,lichenized,Hymenelia sp.,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia higginsiae,Watanabe et al. (1997). Maritime lichens. id: LM,
Hymenelia,lichenized,,,,,,,,,,
Hyperphyscia,lichenized,,,,,,,,,,
Hypocenomyce,lichenized,,,,,,,,,,
Hypogymnia,lichenized,Hypogymnia physodes,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,‘Trebouxia hypogymniae’,Hauck et al. (2007),
Hypotrachyna,lichenized,,,,,,,,,,
Icmadophila,lichenized,Icmadophila aversa,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Ludwig (2015),
Icmadophila,lichenized,Icmadophila ericetorum,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Ludwig (2015),
Icmadophila,lichenized,Icmadophila japonica,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Ludwig (2015),
Icmadophila,lichenized,Icmadophila splachnirima,,Eukaryota,Chromista,Heterokontophyta,Trebouxiophyceae, incertae sedis,Coccomyxa sp.,Ludwig (2015),
Illosporium,lichenicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Immersaria,lichenized,Immersaria athroocarpa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia suecica,Beck (2002),
Imshaugia,lichenized,Imshaugia aleurites,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Piercey-Normore (2009),
Imshaugia,lichenized,Imshaugia placorodia,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Doering & Piercey-Normore (2009),
Ionaspis,lichenized,,,,,,,,,,
Jamesiella,lichenized,,,,,,,,,,
Japewia,lichenized,,,,,,,,,,
Kaernefeltia,lichenized,,,,,,,,,,
Koerberiella,lichenized,,,,,,,,,,
Kohlmeyera,lichenized,,,,,,,,,,
Lasallia,lichenized,Lasallia hispanica,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Hestmark et al. (2016); Dal Grande et al. (2018).,
Lasallia,lichenized,Lasallia pustulata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Hestmark et al. (2016); Dal Grande et al. (2018).,
Lasallia,lichenized,Lasallia pustulata,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,Sadowksa-Deś et al. (2014),
Lathagrium,lichenized,,,,,,,,,,
Lecanactis,lichenized,,,,,,,,,,
Lecania,lichenized,Lecania cyrtella,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia arboricola,Beck et al. (1998),
Lecania,lichenized,Lecania naegelii,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,incertae sedis,Dictyochloropsis symbiontica,Beck et al. (1998),
Lecanora,lichenized,Lecanora albescens,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Near Trebouxia vagua,Voytsekhovich & Beck (2016),
Lecanora,lichenized,Lecanora cancriformis,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Lecanora,lichenized,Lecanora conizaeoides,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Hauck et al. (2007),
Lecanora,lichenized,Lecanora conizaeoides,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia simplex,Doering & Piercey-Normore (2009),
Lecanora,lichenized,Lecanora farinacea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia australis,Beck (2002),
Lecanora,lichenized,Lecanora flotowiana,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
Lecanora,lichenized,Lecanora frustulosa,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Voytsekhovich & Beck (2016),
Lecanora,lichenized,Lecanora fuscobrunnea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia impressa,Ruprecht et al. (2012),
Lecanora,lichenized,Lecanora fuscobrunnea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia jamesii,Ruprecht et al. (2012),
Lecanora,lichenized,Lecanora fuscobrunnea,,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxia sp.,"Pérez-Ortega et al. (2012). Crustose lichens of McMurdo Dry Valleys, probably representing at least two undescribed clades.",
