scientificName,genus,specificEpithet,subspecies,variety
Chaenothecopsis pusilla,Chaenothecopsis,pusilla,,
Chaenothecopsis pusiola,Chaenothecopsis,pusiola,,
Chaenothecopsis savonea,Chaenothecopsis,savonea,,
Chaenothecopsis savonica,Chaenothecopsis,savonica,,
Chaenothecopsis stemonea,Chaenothecopsis,stemonea,,
Chaenothecopsis subpusilla,Chaenothecopsis,subpusilla,,
Chaenothecopsis tasmanica,Chaenothecopsis,tasmanica,,
Chaenothecopsis trichoides,Chaenothecopsis,trichoides,,
Chaenothecopsis tsugae,Chaenothecopsis,tsugae,,
Chaenothecopsis viridialba,Chaenothecopsis,viridialba,,
Chaenothecopsis viridireagens,Chaenothecopsis,viridireagens,,
Cheiromycina flabelliformis,Cheiromycina,flabelliformis,,
Cheiromycina petri,Cheiromycina,petri,,
Cheiromycina roemeri,Cheiromycina,roemeri,,
Chrismofulvea dialyta,Chrismofulvea,dialyta,,
Chrysothrix candelaria,Chrysothrix,candelaria,,
Chrysothrix candelaris,Chrysothrix,candelaris,,
Chrysothrix chlorina,Chrysothrix,chlorina,,
Chrysothrix chrysophthalma,Chrysothrix,chrysophthalma,,
Chrysothrix granulosa,Chrysothrix,granulosa,,
Chrysothrix megaspora,Chrysothrix,megaspora,,
Chrysothrix xanthina,Chrysothrix,xanthina,,
Circinaria arida,Circinaria,arida,,
Circinaria aspera,Circinaria,aspera,,
Circinaria caesiocinerea,Circinaria,caesiocinerea,,
Circinaria hispida,Circinaria,hispida,,
Cladina alpestris,Cladina,alpestris,,
Cladina arbuscula,Cladina,arbuscula,,
Cladina arbuscula subsp. beringiana,Cladina,arbuscula,beringiana,
Cladina ciliata,Cladina,ciliata,,
Cladina impexa,Cladina,impexa,,
Cladina mitis,Cladina,mitis,,
Cladina pacifica,Cladina,pacifica,,
Cladina portentosa,Cladina,portentosa,,
Cladina portentosa subsp. pacifica,Cladina,portentosa,pacifica,
Cladina prolifica,Cladina,prolifica,,
Cladina rangiferina,Cladina,rangiferina,,
Cladina rangiferina subsp. grisea,Cladina,rangiferina,grisea,
Cladina stellaris,Cladina,stellaris,,
Cladina stellaris var. sarmentoa,Cladina,stellaris,,sarmentoa
Cladina stygia,Cladina,stygia,,
Cladina tenuis,Cladina,tenuis,,
Cladina uncialis,Cladina,uncialis,,
Cladonia acuminata,Cladonia,acuminata,,
Cladonia acuminata var. acuminata,Cladonia,acuminata,,acuminata
Cladonia acuminata var. norrlinii,Cladonia,acuminata,,norrlinii
Cladonia alaskana,Cladonia,alaskana,,
Cladonia albonigra,Cladonia,albonigra,,
Cladonia alinii,Cladonia,alinii,,
Cladonia alpestris,Cladonia,alpestris,,
Cladonia alpestris f. aberrans,Cladonia,alpestris,,
Cladonia amaurocraea,Cladonia,amaurocraea,,
Cladonia apodocarpa,Cladonia,apodocarpa,,
Cladonia arbuscula,Cladonia,arbuscula,,
Cladonia arbuscula subsp. berengeriana,Cladonia,arbuscula,berengeriana,
Cladonia arbuscula subsp. beringiana,Cladonia,arbuscula,beringiana,
Cladonia arbuscula subsp. mitis,Cladonia,arbuscula,mitis,
Cladonia arbuscula var. intermedia,Cladonia,arbuscula,,intermedia
Cladonia artuata,Cladonia,artuata,,
Cladonia asahinae,Cladonia,asahinae,,
Cladonia bacillaris,Cladonia,bacillaris,,
Cladonia bacillaris?,Cladonia,bacillaris?,,
Cladonia bacilliformis,Cladonia,bacilliformis,,
Cladonia bellidiflora,Cladonia,bellidiflora,,
Cladonia borealis,Cladonia,borealis,,
Cladonia botrytes,Cladonia,botrytes,,
Cladonia caespiticia,Cladonia,caespiticia,,
Cladonia calcarea,Cladonia,calcarea,,
Cladonia carassensis,Cladonia,carassensis,,
Cladonia cariosa,Cladonia,cariosa,,
Cladonia carneola,Cladonia,carneola,,
Cladonia carrassensis,Cladonia,carrassensis,,
Cladonia cenotea,Cladonia,cenotea,,
Cladonia cenotes,Cladonia,cenotes,,
Cladonia cenothea,Cladonia,cenothea,,
Cladonia cervicornis,Cladonia,cervicornis,,
Cladonia cervicornis subsp. cervicornis,Cladonia,cervicornis,cervicornis,
Cladonia cervicornis subsp. verticillata,Cladonia,cervicornis,verticillata,
Cladonia cervicornis var. verticillata,Cladonia,cervicornis,,verticillata
Cladonia chlorophaea,Cladonia,chlorophaea,,
Cladonia ciliata,Cladonia,ciliata,,
Cladonia coccifera,Cladonia,coccifera,,
Cladonia concinna,Cladonia,concinna,,
Cladonia coniocraea,Cladonia,coniocraea,,
Cladonia coniocrea,Cladonia,coniocrea,,
Cladonia conista,Cladonia,conista,,
Cladonia cornuta,Cladonia,cornuta,,
Cladonia cornuta Form cornuta,Cladonia,cornuta,,
Cladonia cornuta subsp. cornuta,Cladonia,cornuta,cornuta,
Cladonia cornuta subsp. groenlandica,Cladonia,cornuta,groenlandica,
Cladonia cornuta var. cornuta,Cladonia,cornuta,,cornuta
Cladonia crispa,Cladonia,crispa,,
Cladonia crispata,Cladonia,crispata,,
Cladonia crispata Race squamatic acid chemotype,Cladonia,crispata,,
Cladonia crispata subsp. crispata,Cladonia,crispata,crispata,
Cladonia crispata var. cetrariiformis,Cladonia,crispata,,cetrariiformis
Cladonia crispata var. crispata,Cladonia,crispata,,crispata
Cladonia cryptochlorophaea,Cladonia,cryptochlorophaea,,
Cladonia cyanipes,Cladonia,cyanipes,,
Cladonia dahliana,Cladonia,dahliana,,
Cladonia decorticata,Cladonia,decorticata,,
Cladonia deformis,Cladonia,deformis,,
Cladonia digitata,Cladonia,digitata,,
Cladonia dimorpha,Cladonia,dimorpha,,
Cladonia ecmocyna,Cladonia,ecmocyna,,
Cladonia ecmocyna subsp. intermedia,Cladonia,ecmocyna,intermedia,
Cladonia ecmocyna subsp. occidentalis,Cladonia,ecmocyna,occidentalis,
Cladonia ecmocyna var. intermedia,Cladonia,ecmocyna,,intermedia
Cladonia ecmoycna,Cladonia,ecmoycna,,
Cladonia fimbriata,Cladonia,fimbriata,,
Cladonia fimbriata var. ochrochlora,Cladonia,fimbriata,,ochrochlora
Cladonia fimbriata var. radiata,Cladonia,fimbriata,,radiata
Cladonia fimbriata var. simplex,Cladonia,fimbriata,,simplex
Cladonia fimbriata var. subulata,Cladonia,fimbriata,,subulata
Cladonia firma,Cladonia,firma,,
Cladonia furc,Cladonia,furc,,
Cladonia furcata,Cladonia,furcata,,
Cladonia furcata var. corymbosa,Cladonia,furcata,,corymbosa
Cladonia furcata var. pinnata,Cladonia,furcata,,pinnata
Cladonia furcata var. racemosa,Cladonia,furcata,,racemosa
Cladonia gonecha,Cladonia,gonecha,,
Cladonia gracilis,Cladonia,gracilis,,
Cladonia gracilis subsp. elongata,Cladonia,gracilis,elongata,
Cladonia gracilis subsp. gracilis,Cladonia,gracilis,gracilis,
Cladonia gracilis subsp. nigripes,Cladonia,gracilis,nigripes,
Cladonia gracilis subsp. turbinata,Cladonia,gracilis,turbinata,
Cladonia gracilis subsp. vulnerata,Cladonia,gracilis,vulnerata,
Cladonia gracilis var. chordalis,Cladonia,gracilis,,chordalis
Cladonia gracilis var. elongata,Cladonia,gracilis,,elongata
Cladonia gracilis var. gracilis,Cladonia,gracilis,,gracilis
Cladonia gracilis var. turbinata,Cladonia,gracilis,,turbinata
Cladonia grayi,Cladonia,grayi,,
Cladonia groenlandica,Cladonia,groenlandica,,
Cladonia herrei,Cladonia,herrei,,
Cladonia homosekikaica,Cladonia,homosekikaica,,
Cladonia humilis,Cladonia,humilis,,
Cladonia imbricaria,Cladonia,imbricaria,,
Cladonia imbricarica,Cladonia,imbricarica,,
Cladonia impexa,Cladonia,impexa,,
Cladonia japonica,Cladonia,japonica,,
Cladonia kanewskii,Cladonia,kanewskii,,
Cladonia macilenta,Cladonia,macilenta,,
Cladonia macilenta var. bacillaris,Cladonia,macilenta,,bacillaris
Cladonia macroceras,Cladonia,macroceras,,
Cladonia macrophylla,Cladonia,macrophylla,,
Cladonia macrophyllodes,Cladonia,macrophyllodes,,
Cladonia maxima,Cladonia,maxima,,
Cladonia merochlorophaea,Cladonia,merochlorophaea,,
Cladonia metacorallifera,Cladonia,metacorallifera,,
Cladonia mitis,Cladonia,mitis,,
Cladonia monochlorophaea,Cladonia,monochlorophaea,,
Cladonia mucilenta,Cladonia,mucilenta,,
Cladonia multiformis,Cladonia,multiformis,,
Cladonia nipponica,Cladonia,nipponica,,
Cladonia nitens,Cladonia,nitens,,
Cladonia norvegica,Cladonia,norvegica,,
Cladonia novochlorophaea,Cladonia,novochlorophaea,,
Cladonia ochrochlora,Cladonia,ochrochlora,,
Cladonia pacifica,Cladonia,pacifica,,
Cladonia parasitica,Cladonia,parasitica,,
Cladonia phyllophora,Cladonia,phyllophora,,
Cladonia phyllophora var. frigida,Cladonia,phyllophora,,frigida
Cladonia pityrea,Cladonia,pityrea,,
Cladonia pleurota,Cladonia,pleurota,,
Cladonia pocillum,Cladonia,pocillum,,
Cladonia polydactyla,Cladonia,polydactyla,,
Cladonia polydactyla var. tubaeformis,Cladonia,polydactyla,,tubaeformis
Cladonia polydactyla var. umbricola,Cladonia,polydactyla,,umbricola
Cladonia portentosa,Cladonia,portentosa,,
Cladonia portentosa subsp. pacifica,Cladonia,portentosa,pacifica,
Cladonia prolifera,Cladonia,prolifera,,
Cladonia prolifica,Cladonia,prolifica,,
Cladonia pseudalcicornis,Cladonia,pseudalcicornis,,
Cladonia pseudomacilenta,Cladonia,pseudomacilenta,,
Cladonia pseudorangiformis,Cladonia,pseudorangiformis,,
Cladonia pseudostellata,Cladonia,pseudostellata,,
Cladonia pyxidata,Cladonia,pyxidata,,
Cladonia pyxidata var. neglecta,Cladonia,pyxidata,,neglecta
Cladonia ramulosa,Cladonia,ramulosa,,
Cladonia rangiferina,Cladonia,rangiferina,,
Cladonia rei,Cladonia,rei,,
Cladonia scabriucula,Cladonia,scabriucula,,
Cladonia scabriuscula,Cladonia,scabriuscula,,
Cladonia scabriuscula f. sublaevis,Cladonia,scabriuscula,,
Cladonia scotteri,Cladonia,scotteri,,
Cladonia scrobiculata,Cladonia,scrobiculata,,
Cladonia signata,Cladonia,signata,,
Cladonia singularis,Cladonia,singularis,,
Cladonia squamosa,Cladonia,squamosa,,
Cladonia squamosa var. subsquamosa,Cladonia,squamosa,,subsquamosa
Cladonia stellaris,Cladonia,stellaris,,
Cladonia stellaris var. aberrans,Cladonia,stellaris,,aberrans
Cladonia stricta,Cladonia,stricta,,
Cladonia stygia,Cladonia,stygia,,
Cladonia subfurcata,Cladonia,subfurcata,,
Cladonia subrangiformis,Cladonia,subrangiformis,,
Cladonia subsquamosa,Cladonia,subsquamosa,,
Cladonia subulata,Cladonia,subulata,,
Cladonia sulphurina,Cladonia,sulphurina,,
Cladonia symphocarpa,Cladonia,symphocarpa,,
Cladonia symphycarpa,Cladonia,symphycarpa,,
Cladonia symphycarpia,Cladonia,symphycarpia,,
Cladonia tenuis,Cladonia,tenuis,,
Cladonia transcendens,Cladonia,transcendens,,
Cladonia transcendens f. squamulosa,Cladonia,transcendens,,
Cladonia trassii,Cladonia,trassii,,
Cladonia umbricola,Cladonia,umbricola,,
Cladonia uncialis,Cladonia,uncialis,,
Cladonia verruculosa,Cladonia,verruculosa,,
Cladonia verruculosa var. norrlinii,Cladonia,verruculosa,,norrlinii
Cladonia verticillata,Cladonia,verticillata,,
Cladonia vulcani,Cladonia,vulcani,,
Cladonia wainii,Cladonia,wainii,,
Cladonia wainioi,Cladonia,wainioi,,
Cladonia zopfii,Cladonia,zopfii,,
Clauzadea monticola,Clauzadea,monticola,,
Clavascidium lacinulatum,Clavascidium,lacinulatum,,
Cleptogium tennuissimum,Cleptogium,tennuissimum,,
Cliostomum corrugatum,Cliostomum,corrugatum,,
Cliostomum flavidulum,Cliostomum,flavidulum,,
Cliostomum griffithii,Cliostomum,griffithii,,
Cliostomum indet f. griffithii,Cliostomum,indet,,
Cliostomum leprosum,Cliostomum,leprosum,,
Cliostomum pulchellum,Cliostomum,pulchellum,,
Cliostomum spribillei,Cliostomum,spribillei,,
Cliostomum spriblleanum,Cliostomum,spriblleanum,,
Cliostomum toensbergii,Cliostomum,toensbergii,,
Cliostomum usnicum,Cliostomum,usnicum,,
Cliostomum vitellinum,Cliostomum,vitellinum,,
Clypeococcum hypocenomycis,Clypeococcum,hypocenomycis,,
Coccocarpia maritimum,Coccocarpia,maritimum,,
Coccocarpia pocillarium,Coccocarpia,pocillarium,,
Coccotrema cucurbitula,Coccotrema,cucurbitula,,
Coccotrema maritimum,Coccotrema,maritimum,,
Coccotrema pocillaria,Coccotrema,pocillaria,,
Coccotrema pocillarium,Coccotrema,pocillarium,,
Coelocaulon aculeatum,Coelocaulon,aculeatum,,
Coelocaulon divergens,Coelocaulon,divergens,,
Coelocaulon muricatum,Coelocaulon,muricatum,,
Coenogonium luteum,Coenogonium,luteum,,
Coenogonium pineti,Coenogonium,pineti,,
Collema aphanes,Collema,aphanes,,
Collema auriforme,Collema,auriforme,,
Collema bachmanianum,Collema,bachmanianum,,
Collema callopismum,Collema,callopismum,,
Collema ceraniscum,Collema,ceraniscum,,
Collema coccophorum,Collema,coccophorum,,
Collema coniophilum,Collema,coniophilum,,
Collema crispum,Collema,crispum,,
Collema cristatum,Collema,cristatum,,
Collema cristatum var. marginale,Collema,cristatum,,marginale
Collema curtisporum,Collema,curtisporum,,
Collema fecundum,Collema,fecundum,,
Collema flaccidum,Collema,flaccidum,,
Collema furfuracea,Collema,furfuracea,,
Collema furfuraceum,Collema,furfuraceum,,
Collema furfuraceum var. luzonense,Collema,furfuraceum,,luzonense
Collema fuscovirens,Collema,fuscovirens,,
Collema glebulentum,Collema,glebulentum,,
Collema limosum,Collema,limosum,,
Collema multipartitum,Collema,multipartitum,,
Collema nigrescens,Collema,nigrescens,,
Collema occultatum,Collema,occultatum,,
Collema polycarpon,Collema,polycarpon,,
Collema quadrifidum,Collema,quadrifidum,,
Collema striatum,Collema,striatum,,
Collema subflaccidum,Collema,subflaccidum,,
Collema subparvum,Collema,subparvum,,
Collema tanax var. expansum,Collema,tanax,,expansum
Collema tenax,Collema,tenax,,
Collema tenax var. coralinum,Collema,tenax,,coralinum
Collema tenax var. crustaceum,Collema,tenax,,crustaceum
Collema tenax var. diffractoareolatum,Collema,tenax,,diffractoareolatum
Collema tenax var. substellatum,Collema,tenax,,substellatum
Collema tenax var. vulgare,Collema,tenax,,vulgare
Collema undulatum,Collema,undulatum,,
Collema undulatum var. granulosum,Collema,undulatum,,granulosum
Collemopsidium halodytes,Collemopsidium,halodytes,,
Collemopsidium sublittorale,Collemopsidium,sublittorale,,
Coniocybe furfuracea,Coniocybe,furfuracea,,
Coniocybe gracillima,Coniocybe,gracillima,,
Cornicularia aculeata,Cornicularia,aculeata,,
Cornicularia californica,Cornicularia,californica,,
Cornicularia divergens,Cornicularia,divergens,,
Cornicularia normoerica,Cornicularia,normoerica,,
Cornicularia pseudosatoana,Cornicularia,pseudosatoana,,
Corticifraga fuckelii,Corticifraga,fuckelii,,
Corticifraga peltigerae,Corticifraga,peltigerae,,
Corticifraga santessonii,Corticifraga,santessonii,,
Cratiria lauri-cassiae,Cratiria,lauri-cassiae,,
Cresponea chloroconia,Cresponea,chloroconia,,
Crutarndina petractoides,Crutarndina,petractoides,,
Cryptothele granuliforme,Cryptothele,granuliforme,,
Cryptothele iivaarense,Cryptothele,iivaarense,,
Cybebe gracilenta,Cybebe,gracilenta,,
Cypheliopsis bolanderi,Cypheliopsis,bolanderi,,
Cyphelium caliciforme,Cyphelium,caliciforme,,
Cyphelium inquinans,Cyphelium,inquinans,,
Cyphelium karelicum,Cyphelium,karelicum,,
Cyphelium pinicola,Cyphelium,pinicola,,
Cyphelium tigillare,Cyphelium,tigillare,,
Cyphelium trachylioides,Cyphelium,trachylioides,,
Cyphelium trichialis,Cyphelium,trichialis,,
Cyphobasidium hypogymniicola,Cyphobasidium,hypogymniicola,,
Cystobasidium hypogymniicola,Cystobasidium,hypogymniicola,,
Cystobasidium usneicola,Cystobasidium,usneicola,,
Cystocoleus ebeneus,Cystocoleus,ebeneus,,
Dactylina arctica,Dactylina,arctica,,
Dactylina arctica subsp. arctica,Dactylina,arctica,arctica,
Dactylina arctica subsp. beringica,Dactylina,arctica,beringica,
Dactylina beringica,Dactylina,beringica,,
Dactylina madreporiformis,Dactylina,madreporiformis,,
Dactylina ramulosa,Dactylina,ramulosa,,
Dactylospora attendenda,Dactylospora,attendenda,,
Dactylospora lobariella,Dactylospora,lobariella,,
Dendriscocaulon intricatulum,Dendriscocaulon,intricatulum,,
Dendriscosticta gelida,Dendriscosticta,gelida,,
Dendriscosticta oroborealis,Dendriscosticta,oroborealis,,
Dendrosticta oroborealis (Goward 6 tønsberg) Moncada & Lücking,Dendrosticta,oroborealis,,
Dermatocarpon americanum,Dermatocarpon,americanum,,
Dermatocarpon atrogrannulosum,Dermatocarpon,atrogrannulosum,,
Dermatocarpon atrogranulosum,Dermatocarpon,atrogranulosum,,
Dermatocarpon bachmannii,Dermatocarpon,bachmannii,,
Dermatocarpon heppioides,Dermatocarpon,heppioides,,
Dermatocarpon intestiniforme,Dermatocarpon,intestiniforme,,
Dermatocarpon leptophyllodes,Dermatocarpon,leptophyllodes,,
Dermatocarpon luridum,Dermatocarpon,luridum,,
Dermatocarpon meiophyllizum,Dermatocarpon,meiophyllizum,,
Dermatocarpon miniatum,Dermatocarpon,miniatum,,
Dermatocarpon miniatum var. complicatum,Dermatocarpon,miniatum,,complicatum
Dermatocarpon miniatum var. miniatum,Dermatocarpon,miniatum,,miniatum
Dermatocarpon moulinsii,Dermatocarpon,moulinsii,,
Dermatocarpon muhlenbergii,Dermatocarpon,muhlenbergii,,
Dermatocarpon polyphyllizum,Dermatocarpon,polyphyllizum,,
Dermatocarpon reticulatum,Dermatocarpon,reticulatum,,
Dermatocarpon rivulorum,Dermatocarpon,rivulorum,,
Dermatocarpon schaechtelinii,Dermatocarpon,schaechtelinii,,
Dibaeis baeomyces,Dibaeis,baeomyces,,
Dimelaena oreina,Dimelaena,oreina,,
Dimelaena thysanota,Dimelaena,thysanota,,
Dimerella pinastri,Dimerella,pinastri,,
Dimerella pineti,Dimerella,pineti,,
Diploschistes actinostomus,Diploschistes,actinostomus,,
Diploschistes bisporus,Diploschistes,bisporus,,
Diploschistes canadensis,Diploschistes,canadensis,,
Diploschistes muscorum,Diploschistes,muscorum,,
Diploschistes muscorum subsp. muscorum,Diploschistes,muscorum,muscorum,
Diploschistes scruposa,Diploschistes,scruposa,,
Diploschistes scruposus,Diploschistes,scruposus,,
Diplotomma alboatrum,Diplotomma,alboatrum,,
Diplotomma penichrum,Diplotomma,penichrum,,
Echinothecium reticulatum,Echinothecium,reticulatum,,
Eiglera flavida,Eiglera,flavida,,
Elixia flexella,Elixia,flexella,,
Enchylium polycarpon,Enchylium,polycarpon,,
Enchylium tenax,Enchylium,tenax,,
Endocarpon loscoi,Endocarpon,loscoi,,
Endocarpon pallidulum,Endocarpon,pallidulum,,
Endocarpon pulvinatum,Endocarpon,pulvinatum,,
Endocarpon pusillum,Endocarpon,pusillum,,
Endocarpon pusillum var. pallidum,Endocarpon,pusillum,,pallidum
Enterographa pallidella,Enterographa,pallidella,,
Enterographe oregonensis,Enterographe,oregonensis,,
Eopyrenula intermedia,Eopyrenula,intermedia,,
Eopyrenula parvispora,Eopyrenula,parvispora,,
Ephebe hispidula,Ephebe,hispidula,,
Ephebe lanata,Ephebe,lanata,,
Ephebe pubescens,Ephebe,pubescens,,
Epicladonia sandstedei,Epicladonia,sandstedei,,
Epigloea pleiospora,Epigloea,pleiospora,,
Epilichen scabrosus,Epilichen,scabrosus,,
Erioderma sorediatum,Erioderma,sorediatum,,
Esslingeriana idahoenis,Esslingeriana,idahoenis,,
Esslingeriana idahoensis,Esslingeriana,idahoensis,,
Euopsis granatina,Euopsis,granatina,,
Euopsis pulvinata,Euopsis,pulvinata,,
Evernia divaricata,Evernia,divaricata,,
Evernia mesomorpha,Evernia,mesomorpha,,
Evernia prunastri,Evernia,prunastri,,
Evernia vulpina,Evernia,vulpina,,
Farnoldia hypocrita,Farnoldia,hypocrita,,
Farnoldia jurana,Farnoldia,jurana,,
Fellhanera bouteillei,Fellhanera,bouteillei,,
Fellhaneropsis vezdae,Fellhaneropsis,vezdae,,
Fissurina insidiosa,Fissurina,insidiosa,,
Fistulariella roesleri,Fistulariella,roesleri,,
Flavocetraria cucullata,Flavocetraria,cucullata,,
Flavocetraria nivalis,Flavocetraria,nivalis,,
Flavoplaca citrina,Flavoplaca,citrina,,
Flavoplaca marina,Flavoplaca,marina,,
Flavoplaca marina subsp. americana,Flavoplaca,marina,americana,
Flavopunctelia flaventior,Flavopunctelia,flaventior,,
Flavopunctelia soredica,Flavopunctelia,soredica,,
Frutidella caesioatra,Frutidella,caesioatra,,
Frutidella furfuracea,Frutidella,furfuracea,,
Fulgensia bracteata,Fulgensia,bracteata,,
Fulgensia bracteata subsp. bracteata,Fulgensia,bracteata,bracteata,
Fulgensia desertorum,Fulgensia,desertorum,,
Fulgensia subbracteata,Fulgensia,subbracteata,,
Fuscidea aleutica,Fuscidea,aleutica,,
Fuscidea arboricola,Fuscidea,arboricola,,
Fuscidea mollis,Fuscidea,mollis,,
Fuscidea mollis var. mollis,Fuscidea,mollis,,mollis
Fuscidea praeruptorum,Fuscidea,praeruptorum,,
Fuscidea pusilla,Fuscidea,pusilla,,
Fuscidea thomsonii,Fuscidea,thomsonii,,
Fuscopannaria abscondita,Fuscopannaria,abscondita,,
Fuscopannaria ahlneri,Fuscopannaria,ahlneri,,
Fuscopannaria alaskana,Fuscopannaria,alaskana,,
Fuscopannaria aurita,Fuscopannaria,aurita,,
Fuscopannaria californica,Fuscopannaria,californica,,
Fuscopannaria cheiroloba,Fuscopannaria,cheiroloba,,
Fuscopannaria confusa,Fuscopannaria,confusa,,
Fuscopannaria convexa,Fuscopannaria,convexa,,
Fuscopannaria coralloidea,Fuscopannaria,coralloidea,,
Fuscopannaria crustacea,Fuscopannaria,crustacea,,
Fuscopannaria cyanolepra,Fuscopannaria,cyanolepra,,
Fuscopannaria incisa,Fuscopannaria,incisa,,
Fuscopannaria laceratula,Fuscopannaria,laceratula,,
Fuscopannaria leprosa,Fuscopannaria,leprosa,,
Fuscopannaria leucosticta,Fuscopannaria,leucosticta,,
Fuscopannaria leucostictoides,Fuscopannaria,leucostictoides,,
Fuscopannaria maritima,Fuscopannaria,maritima,,
Fuscopannaria mediterranea,Fuscopannaria,mediterranea,,
Fuscopannaria pacifica,Fuscopannaria,pacifica,,
Fuscopannaria praetermissa,Fuscopannaria,praetermissa,,
Fuscopannaria pulvinata,Fuscopannaria,pulvinata,,
Fuscopannaria ramulina,Fuscopannaria,ramulina,,
Fuscopannaria saubinetii,Fuscopannaria,saubinetii,,
Gowardia caespiticia,Gowardia,caespiticia,,
Gowardia nigricans,Gowardia,nigricans,,
Graphis elegans,Graphis,elegans,,
Graphis insidiosa,Graphis,insidiosa,,
Graphis scripta,Graphis,scripta,,
Guignardia alaskana,Guignardia,alaskana,,
Gyalecta cupularis,Gyalecta,cupularis,,
Gyalecta diluta,Gyalecta,diluta,,
Gyalecta friesii,Gyalecta,friesii,,
Gyalecta jenensis,Gyalecta,jenensis,,
Gyalectaria diluta,Gyalectaria,diluta,,
Gyalidea astericus,Gyalidea,astericus,,
Gyalidea asteriscus,Gyalidea,asteriscus,,
Gyalidea hyalinescens,Gyalidea,hyalinescens,,
Gyalidea roseola,Gyalidea,roseola,,
Gyalideopsis alnicola,Gyalideopsis,alnicola,,
Gyalideopsis epicorticis,Gyalideopsis,epicorticis,,
Gyalideopsis muscicola,Gyalideopsis,muscicola,,
Gyalideopsis piceicola,Gyalideopsis,piceicola,,
Gyalolechia flavorubescens,Gyalolechia,flavorubescens,,
Gyalolechia flavovirescens,Gyalolechia,flavovirescens,,
Gyalolechia xanthostigmoidea,Gyalolechia,xanthostigmoidea,,
Gypsoplaca macrophylla,Gypsoplaca,macrophylla,,
Gyrographa gyrocarpa,Gyrographa,gyrocarpa,,
Haematomma elatinum,Haematomma,elatinum,,
Haematomma lapponicum,Haematomma,lapponicum,,
Haematomma ochroleuceum,Haematomma,ochroleuceum,,
Haematomma ochroleucum,Haematomma,ochroleucum,,
Halecania alpivaga,Halecania,alpivaga,,
Halecania argentea,Halecania,argentea,,
Haplocarpon crustulatum,Haplocarpon,crustulatum,,
Haplocarpon macrocarpum,Haplocarpon,macrocarpum,,
Hawksworthia peltigericola,Hawksworthia,peltigericola,,
Henrica theleodes,Henrica,theleodes,,
Heppia lutosa,Heppia,lutosa,,
Herteliana alaskensis,Herteliana,alaskensis,,
Hertelidea botryosa,Hertelidea,botryosa,,
Heterocarpon ochroleucum,Heterocarpon,ochroleucum,,
Heteroderia leucomela,Heteroderia,leucomela,,
Heterodermia galactophylla,Heterodermia,galactophylla,,
Heterodermia japonica,Heterodermia,japonica,,
Heterodermia leucomela,Heterodermia,leucomela,,
Heterodermia sitchensis,Heterodermia,sitchensis,,
Heterodermia speciosa,Heterodermia,speciosa,,
Heterodermis sitchensis,Heterodermis,sitchensis,,
Homostegia dermatocarpae,Homostegia,dermatocarpae,,
Huilia albocaerulescens,Huilia,albocaerulescens,,
Hydropunctaria maura,Hydropunctaria,maura,,
Hydrothyria venosa,Hydrothyria,venosa,,
Hymenelia epulotica,Hymenelia,epulotica,,
Hymenelia heteromorpha,Hymenelia,heteromorpha,,
Hyperphyscia adglutinata,Hyperphyscia,adglutinata,,
Hypocenomyce anthracophila,Hypocenomyce,anthracophila,,
Hypocenomyce caracodensis,Hypocenomyce,caracodensis,,
Hypocenomyce castaneocinerea,Hypocenomyce,castaneocinerea,,
Hypocenomyce friesii,Hypocenomyce,friesii,,
Hypocenomyce scalaris,Hypocenomyce,scalaris,,
Hypogymnia amplexa,Hypogymnia,amplexa,,
Hypogymnia angustata,Hypogymnia,angustata,,
Hypogymnia apinnata,Hypogymnia,apinnata,,
Hypogymnia austerodes,Hypogymnia,austerodes,,
Hypogymnia bitteri,Hypogymnia,bitteri,,
Hypogymnia canadensis,Hypogymnia,canadensis,,
Hypogymnia dichroma,Hypogymnia,dichroma,,
Hypogymnia duplicata,Hypogymnia,duplicata,,
Hypogymnia enteromorpha,Hypogymnia,enteromorpha,,
Hypogymnia heterophylla,Hypogymnia,heterophylla,,
Hypogymnia hultenii,Hypogymnia,hultenii,,
Hypogymnia imshaugii,Hypogymnia,imshaugii,,
Hypogymnia imshaugii cfr.,Hypogymnia,imshaugii,,
Hypogymnia imshaugii group,Hypogymnia,imshaugii,,
Hypogymnia imshaugii s. lato,Hypogymnia,imshaugii,,
Hypogymnia imshauguu,Hypogymnia,imshauguu,,
Hypogymnia inactiva,Hypogymnia,inactiva,,
Hypogymnia lophyrea,Hypogymnia,lophyrea,,
Hypogymnia metaphysodes,Hypogymnia,metaphysodes,,
Hypogymnia occidentalis,Hypogymnia,occidentalis,,
Hypogymnia oceanica,Hypogymnia,oceanica,,
Hypogymnia physodes,Hypogymnia,physodes,,
Hypogymnia physodes var. sarmentoa,Hypogymnia,physodes,,sarmentoa
Hypogymnia protea,Hypogymnia,protea,,
Hypogymnia recurva,Hypogymnia,recurva,,
Hypogymnia rugosa,Hypogymnia,rugosa,,
Hypogymnia rugosa subsp. `,Hypogymnia,rugosa,,`
Hypogymnia subobscura,Hypogymnia,subobscura,,
Hypogymnia tubulosa,Hypogymnia,tubulosa,,
Hypogymnia tumidula,Hypogymnia,tumidula,,
Hypogymnia verruculosa,Hypogymnia,verruculosa,,
Hypogymnia vinosa,Hypogymnia,vinosa,,
Hypogymnia vittata,Hypogymnia,vittata,,
Hypogymnia vittata var. sarmentoa,Hypogymnia,vittata,,sarmentoa
