Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Order_std,Taxon_std,Reporting_raw_std,Reporting_simple_std,Collector_std,Observer_std,Historical_date_std,First_observed_std,iNat_URL_raw_std,iNat_ID_raw_std,Collection_std,Accession_std,new_year_std,status_std,historical_year,observed_year,Order_label
Salix sitchensis,Sanson ex Bong.,,Sitka willow,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Malpighiales,,NA,Salicaceae,,,Salix,sitchensis,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,NA,2016-06-05,Andrew Simon,iNat:3414591,"""The SGI have a very distinctive morphotype ofS. scouleriana that has a unique haplotype, small leaves and is very drought tolerant"" (QC).",61100,VAS,NA,confirmed,Malpighiales,Salix sitchensis,confirmed,confirmed,Harvey Janszen,Andrew Simon,1980-04-12,2016-06-05,iNat:3414591,61100,ER 128 Inventory,NA,NA,confirmed,1980,2016,Spurge & violets (Malpighiales)
Juncus balticus,Willd.,(Rydb.) Snogerup,Baltic rush,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Juncaceae,,,Juncus,balticus,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,NA,2022-05-29,Adam Huggins,iNat:119972209,,58347,VAS,NA,confirmed,Poales,Juncus balticus,confirmed,confirmed,Harvey Janszen,Adam Huggins,1980-04-12,2022-05-29,iNat:119972209,58347,ER 128 Inventory,NA,NA,confirmed,1980,2022,Grasses (Poales)
Castilleja hispida,Benth. ex Hook.,,harsh indian paintbrush,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Orobanchaceae,,Pedicularideae,Castilleja,hispida,,,,native,S5,,confirmed,observed,1980-05-04,V. J. Krajina,UBC,V243019,NA,2010-06-14,Shera Street,iNat:2635119,,128204,VAS,NA,confirmed,Lamiales,Castilleja hispida,confirmed,confirmed,V. J. Krajina,Shera Street,1980-05-04,2010-06-14,iNat:2635119,128204,UBC,V243019,NA,confirmed,1980,2010,Mints (Lamiales)
Equisetum hyemale ssp. affine,L.,(Engelm.) Calder & Roy L. Taylor,scouring-rush,Plantae,Tracheophyta,,NA,Polypodiopsida,Equisetidae,NA,Equisetales,,NA,Equisetaceae,,,Equisetum,hyemale,,affine,,native,S5,,confirmed,observed,1981-01-01,Harvey Janszen,RBCM,V113848,NA,2015-07-02,Lauren Magner,iNat:2561787,,53910,VAS,NA,confirmed,Equisetales,Equisetum hyemale ssp. affine,confirmed,confirmed,Harvey Janszen,Lauren Magner,1981-01-01,2015-07-02,iNat:2561787,53910,RBCM,V113848,NA,confirmed,1981,2015,Horsetails (Equisetales)
Aira praecox,L.,,early hairgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Aira,praecox,,,,exotic,unlisted,,confirmed,observed,1981-04-27,Harvey Janszen,RBCM,V113537,1949562644,2016-07-10,Andrew Simon,iNat:3664526,,61058,VAS,NA,confirmed,Poales,Aira praecox,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-04-27,2016-07-10,iNat:3664526,61058,RBCM,V113537,NA,confirmed,1981,2016,Grasses (Poales)
Poa secunda,J. Presl,,Sandberg's Bluegrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Poa,secunda,,,,native,S5,,confirmed,observed,1981-04-27,Harvey Janszen,RBCM,V113790,1949562792,2022-05-07,Andrew Simon,iNat:116033725,reported as Poa secunda ssp. secunda (V113790),57198,VAS,NA,confirmed,Poales,Poa secunda,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-04-27,2022-05-07,iNat:116033725,57198,RBCM,V113790,NA,confirmed,1981,2022,Grasses (Poales)
Delphinium menziesii,DC.,,Menzies' larkspur,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Ranunculaceae,Ranunculoideae,Delphinieae,Delphinium,menziesii,,,,native,S5,,confirmed,observed,1981-05-07,Harvey Janszen,RBCM,V113531,NA,2013-04-27,Felix Erhard,iNat:2588491,,153479,VAS,NA,confirmed,Ranunculales,Delphinium menziesii,confirmed,confirmed,Harvey Janszen,Felix Erhard,1981-05-07,2013-04-27,iNat:2588491,153479,RBCM,V113531,NA,confirmed,1981,2013,Buttercups (Ranunculales)
Trifolium subterraneum,L.,,subterranean clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Trifolieae,Trifolium,subterraneum,,,,exotic,unlisted,,confirmed,observed,1981-05-11,Harvey Janszen,RBCM,V113439,1949562469,2017-05-09,Sarah Tweedale,iNat:6154854,,60201,VAS,NA,confirmed,Fabales,Trifolium subterraneum,confirmed,confirmed,Harvey Janszen,Sarah Tweedale,1981-05-11,2017-05-09,iNat:6154854,60201,RBCM,V113439,NA,confirmed,1981,2017,Legumes (Fabales)
Lepidium virginicum ssp. menziesii,L.,(DC.) Thell.,Menzies' pepperweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,virginicum,,menziesii,,native,S5,,confirmed,observed,1981-05-11,Harvey Janszen,RBCM,V113447,1949562524,2020-05-31,Andrew Simon,iNat:48091418,"Mt. Sutil, open bluffs; extinct? Good subspecies? –QC",79971,VAS,NA,confirmed,Brassicales,Lepidium virginicum ssp. menziesii,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-05-11,2020-05-31,iNat:48091418,79971,RBCM,V113447,NA,confirmed,1981,2020,Mustard (Brassicales)
Trifolium dichotomum,Hook. & Arn.,,Macrae's clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Trifolieae,Trifolium,dichotomum,,,,native,S2 (2021),,confirmed,observed,1981-05-11,Harvey Janszen,RBCM,V113443,NA,2022-05-11,Andrew Simon,iNat:116636297,,61179,VAS,NA,confirmed,Fabales,Trifolium dichotomum,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-05-11,2022-05-11,iNat:116636297,61179,RBCM,V113443,NA,confirmed,1981,2022,Legumes (Fabales)
Sagina decumbens ssp. occidentalis,(Elliott) Torr. & A. Gray,(S. Watson) G.E. Crow,western pearlwort,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Sagineae,Sagina,decumbens,,occidentalis,,native,S5,,confirmed,observed,1981-05-21,Harvey Janszen,RBCM,V113486,1949562575,2017-05-19,Andrew Simon,iNat:6425199,,57000,VAS,NA,confirmed,Caryophyllales,Sagina decumbens ssp. occidentalis,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-05-21,2017-05-19,iNat:6425199,57000,RBCM,V113486,NA,confirmed,1981,2017,Pink & cactus (Caryophyllales)
Lupinus arboreus,Sims,,tree lupine,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Genisteae,Lupinus,arboreus,,,,exotic,unlisted,,reported,unobserved,1981-05-21,Harvey Janszen,RBCM,V113484,1949562547,NA,NA,,,61010,VAS,NA,reported,Fabales,Lupinus arboreus,reported,reported,Harvey Janszen,NA,1981-05-21,NA,NA,61010,RBCM,V113484,NA,reported,1981,NA,Legumes (Fabales)
Brodiaea coronaria,(Salisb.) Jeps.,,harvest brodiaea,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Asparagaceae,Brodiaeoideae,,Brodiaea,coronaria,,,,native,S5,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113756,1949562769,2012-06-21,Brian Starzomski,iNat:7641848,,57126,VAS,NA,confirmed,Asparagales,Brodiaea coronaria,confirmed,confirmed,Harvey Janszen,Brian Starzomski,1981-07-07,2012-06-21,iNat:7641848,57126,RBCM,V113756,NA,confirmed,1981,2012,Asparagus & orchids (Asparagales)
Anthoxanthum aristatum ssp. aristatum,Boiss.,,annual vernalgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Anthoxanthum,aristatum,,aristatum,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113759,1949562820,2015-05-04,Lauren Magner,iNat:2569330,,79576,VAS,NA,confirmed,Poales,Anthoxanthum aristatum ssp. aristatum,confirmed,confirmed,Harvey Janszen,Lauren Magner,1981-07-07,2015-05-04,iNat:2569330,79576,RBCM,V113759,NA,confirmed,1981,2015,Grasses (Poales)
Barbarea orthoceras,Ledeb.,,American wintercress,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Cardamineae,Barbarea,orthoceras,,,,native,S5,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113761,1949562682,2016-07-09,Andrew Simon,iNat:3652873,Cain Peninsula; salt marsh,52976,VAS,NA,confirmed,Brassicales,Barbarea orthoceras,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-07,2016-07-09,iNat:3652873,52976,RBCM,V113761,NA,confirmed,1981,2016,Mustard (Brassicales)
Bromus sitchensis,Trin.,,Alaska brome,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Bromeae,Bromus,sitchensis,,,,native,S5,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113828,1949562785,2017-05-29,Andrew Simon & Alexander J. Wright,iNat:6434822,Reported as Bromus sitchensis var. sitchensis (V113828),75912,VAS,NA,confirmed,Poales,Bromus sitchensis,confirmed,confirmed,Harvey Janszen,Andrew Simon & Alexander J. Wright,1981-07-07,2017-05-29,iNat:6434822,75912,RBCM,V113828,NA,confirmed,1981,2017,Grasses (Poales)
Spergularia marina,(L.) Besser,,saltmarsh sand spurry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Sperguleae,Spergularia,marina,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113522,1949562537,2017-08-04,Tyson Ehlers,iNat:8848751,,79169,VAS,NA,confirmed,Caryophyllales,Spergularia marina,confirmed,confirmed,Harvey Janszen,Tyson Ehlers,1981-07-07,2017-08-04,iNat:8848751,79169,RBCM,V113522,NA,confirmed,1981,2017,Pink & cactus (Caryophyllales)
Trifolium campestre,Schreb.,,low hop-clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Trifolieae,Trifolium,campestre,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113767,NA,2018-06-03,Andrew Simon,iNat:13102174,,57076,VAS,NA,confirmed,Fabales,Trifolium campestre,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-07,2018-06-03,iNat:13102174,57076,RBCM,V113767,NA,confirmed,1981,2018,Legumes (Fabales)
Platanthera unalascensis,(Spreng.) Kurtz.,,Alaska rein orchid,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Orchidaceae,Orchidoideae,Orchideae,Platanthera,unalascensis,,,,native,S5,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113772,1949562893,2021-06-19,Audrey Irvine-Broque,iNat:85091348,Stockade Hill; dry ridge,840638,VAS,NA,confirmed,Asparagales,Platanthera unalascensis,confirmed,confirmed,Harvey Janszen,Audrey Irvine-Broque,1981-07-07,2021-06-19,iNat:85091348,840638,RBCM,V113772,NA,confirmed,1981,2021,Asparagus & orchids (Asparagales)
Erysimum cheiranthoides,L.,,wormseed mustard,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Erysimeae,Erysimum,cheiranthoides,,,,exotic,unlisted,,reported,unobserved,1981-07-07,Harvey Janszen,RBCM,V113824,1949562959,NA,NA,,sedge fen,77068,VAS,NA,reported,Brassicales,Erysimum cheiranthoides,reported,reported,Harvey Janszen,NA,1981-07-07,NA,NA,77068,RBCM,V113824,NA,reported,1981,NA,Mustard (Brassicales)
Agrostis exarata,Trin.,,spike bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Agrostis,exarata,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113799,1949562759,2016-06-26,Andrew Simon,iNat:6677554,Reported asAgrostis exaratassp.minor (Hook.) C.L. Hitchc.(V113799),59088,VAS,NA,confirmed,Poales,Agrostis exarata,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-16,2016-06-26,iNat:6677554,59088,RBCM,V113799,NA,confirmed,1981,2016,Grasses (Poales)
Carex cusickii,Mack.,,Cusick's sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,cusickii,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113796,1949562862,2017-05-27,Judith Holm,iNat:6452705,,76028,VAS,NA,confirmed,Poales,Carex cusickii,confirmed,confirmed,Harvey Janszen,Judith Holm,1981-07-16,2017-05-27,iNat:6452705,76028,RBCM,V113796,NA,confirmed,1981,2017,Grasses (Poales)
Danthonia californica,Bol.,,California oatgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Danthonioideae,Danthonieae,Danthonia,californica,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113798,1949562663,2017-05-29,Andrew Simon,iNat:6434812,,57165,VAS,NA,confirmed,Poales,Danthonia californica,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-16,2017-05-29,iNat:6434812,57165,RBCM,V113798,NA,confirmed,1981,2017,Grasses (Poales)
Symphytum officinale,L.,,hybrid comfrey,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Boraginales,,NA,Boraginaceae,Boraginoideae,Boragineae,Symphytum,officinale,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113510,1949562542,2018-05-14,Andrew Simon,iNat:14524696,,1247945,VAS,NA,confirmed,Boraginales,Symphytum officinale,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-16,2018-05-14,iNat:14524696,1247945,RBCM,V113510,NA,confirmed,1981,2018,Borage (Boraginales)
Agrostis capillaris,L.,,colonial bentgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Agrostis,capillaris,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113800,1949562802,2018-06-27,Andrew Simon,iNat:13845807,,75312,VAS,NA,confirmed,Poales,Agrostis capillaris,confirmed,confirmed,Harvey Janszen,Andrew Simon,1981-07-16,2018-06-27,iNat:13845807,75312,RBCM,V113800,NA,confirmed,1981,2018,Grasses (Poales)
Alopecurus pratensis,L.,,meadow-foxtail,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Alopecurus,pratensis,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113802,1949562841,2022-07-07,Adam Huggins,iNat:125219486,Meadow and farm fields,71141,VAS,NA,confirmed,Poales,Alopecurus pratensis,confirmed,confirmed,Harvey Janszen,Adam Huggins,1981-07-16,2022-07-07,iNat:125219486,71141,RBCM,V113802,NA,confirmed,1981,2022,Grasses (Poales)
Avena sativa,L.,,common oat,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Avena,sativa,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113801,1949562868,2022-07-08,Adam Huggins,iNat:125381639,ruderal waif,57156,VAS,NA,confirmed,Poales,Avena sativa,confirmed,confirmed,Harvey Janszen,Adam Huggins,1981-07-16,2022-07-08,iNat:125381639,57156,RBCM,V113801,NA,confirmed,1981,2022,Grasses (Poales)
Arrhenatherum elatius ssp. elatius,(L.) P. Beauv. ex J. Presl & C. Presl,,tall oatgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Arrhenatherum,elatius,,elatius,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113797,1949562858,2023-05-01,Myung Jin (John) Kang,iNat:158696896,reported as Arrhenatherum elatius var. elatius (V113797); Retreat Cove; meadow,239373,VAS,NA,confirmed,Poales,Arrhenatherum elatius ssp. elatius,confirmed,confirmed,Harvey Janszen,Myung Jin (John) Kang,1981-07-16,2023-05-01,iNat:158696896,239373,RBCM,V113797,NA,confirmed,1981,2023,Grasses (Poales)
Phragmites australis ssp. australis,(Cav.) Trin. ex Steud.,,common reed,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Arundinoideae,Molinieae,Phragmites,australis,,australis,,exotic,unlisted,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113795,1949562830,NA,NA,,"could not be confirmed based on D analysis; morphologically indeterminate (most traits intermediate, some suggest the introduced ssp.) –AS, HJ",556361,VAS,NA,reported,Poales,Phragmites australis ssp. australis,reported,reported,Harvey Janszen,NA,1981-07-16,NA,NA,556361,RBCM,V113795,NA,reported,1981,NA,Grasses (Poales)
Hemitomes congestum,A. Gray,,gnome-plant,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ericales,,NA,Ericaceae,Monotropoideae,,Hemitomes,congestum,,,,native,S4S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113511,1949562560,NA,NA,,Stockade Hill,54663,VAS,NA,reported,Ericales,Hemitomes congestum,reported,reported,Harvey Janszen,NA,1981-07-16,NA,NA,54663,RBCM,V113511,NA,reported,1981,NA,Heath & blueberries (Ericales)
Actaea rubra,(Aiton) Willd.,,baneberry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Ranunculaceae,Ranunculoideae,Actaeeae,Actaea,rubra,,,,native,S5,,reported,unobserved,1981-07-16,Harvey Janszen,RBCM,V113804,NA,NA,NA,,"E. P. Morgan collected 1935 (see Addendum to Henry’s Flora); creek north side of Georgeson Bay Road; Active Pass Drive neighbourhood (confirmed by Harvey, date unknown);",49870,VAS,NA,reported,Ranunculales,Actaea rubra,reported,reported,Harvey Janszen,NA,1981-07-16,NA,NA,49870,RBCM,V113804,NA,reported,1981,NA,Buttercups (Ranunculales)
Hordeum jubatum,L.,,foxtail barley,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Triticeae,Hordeum,jubatum,,,,native,S5 (2020),,reported,unobserved,1981-07-28,Harvey Janszen,RBCM,V113543,NA,NA,NA,,,60287,VAS,NA,reported,Poales,Hordeum jubatum,reported,reported,Harvey Janszen,NA,1981-07-28,NA,NA,60287,RBCM,V113543,NA,reported,1981,NA,Grasses (Poales)
Leptosiphon minimus,(H. Mason) R. Battaglia,,bicoloured linanthus,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ericales,,NA,Polemoniaceae,,,Leptosiphon,minimus,,,,native,S4,,confirmed,observed,1982-05-10,Harvey Janszen,RBCM,V119986,1949569035,2017-05-27,Judith Holm,iNat:6671733,Reported as Leptosiphon bicolor var. bicolor (V119986)– not a valid synonym; problematic morphological treatment,77693,VAS,NA,confirmed,Ericales,Leptosiphon minimus,confirmed,confirmed,Harvey Janszen,Judith Holm,1982-05-10,2017-05-27,iNat:6671733,77693,RBCM,V119986,NA,confirmed,1982,2017,Heath & blueberries (Ericales)
Microsteris gracilis,(Douglas ex Hook.) Greene,,pink twink,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ericales,,NA,Polemoniaceae,,,Microsteris,gracilis,,,,native,S5,,confirmed,observed,1982-05-10,Harvey Janszen,RBCM,V119985,1949568896,2018-05-11,Andrew Simon,iNat:12373997,reported as Phlox gracilis (V119985),61210,VAS,NA,confirmed,Ericales,Microsteris gracilis,confirmed,confirmed,Harvey Janszen,Andrew Simon,1982-05-10,2018-05-11,iNat:12373997,61210,RBCM,V119985,NA,confirmed,1982,2018,Heath & blueberries (Ericales)
Ranunculus sardous,Crantz,,hairy buttercup,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,sardous,,,,exotic,unlisted,,confirmed,observed,1982-06-05,Harvey Janszen,RBCM,V119243,NA,2016-05-13,Andrew Simon,iNat:3319983,,78832,VAS,NA,confirmed,Ranunculales,Ranunculus sardous,confirmed,confirmed,Harvey Janszen,Andrew Simon,1982-06-05,2016-05-13,iNat:3319983,78832,RBCM,V119243,NA,confirmed,1982,2016,Buttercups (Ranunculales)
Allotropa virgata,Torr. & A. Gray,,candystick,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ericales,,NA,Ericaceae,Monotropoideae,,Allotropa,virgata,,,,native,S4,,confirmed,observed,1982-06-05,Harvey Janszen,RBCM,V119983,1949568884,2018-05-10,Andrew Simon,iNat:12345119,matsutake associate,62481,VAS,NA,confirmed,Ericales,Allotropa virgata,confirmed,confirmed,Harvey Janszen,Andrew Simon,1982-06-05,2018-05-10,iNat:12345119,62481,RBCM,V119983,NA,confirmed,1982,2018,Heath & blueberries (Ericales)
Glyceria leptostachya,Buckley,,slender-spiked mannagrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Meliceae,Glyceria,leptostachya,,,,native,S4,,confirmed,observed,1982-07-20,Harvey Janszen,RBCM,V120299,1949569404,2018-06-07,Andrew Simon,iNat:13224813,,77292,VAS,NA,confirmed,Poales,Glyceria leptostachya,confirmed,confirmed,Harvey Janszen,Andrew Simon,1982-07-20,2018-06-07,iNat:13224813,77292,RBCM,V120299,NA,confirmed,1982,2018,Grasses (Poales)
Lomatium papilioniferum,J.A. Alexander & W. Whaley,,butterfly bearing lomatium,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Apiales,,NA,Apiaceae,Apioideae,Selineae,Lomatium,papilioniferum,,,,native,S2 (2019),1-T (2011),confirmed,observed,1982-07-23,Harvey Janszen,RBCM,V120298,1949569357,2016-03-06,Andrew Simon,iNat:2762301,reported as Lomatium grayi,1234070,VAS,NA,confirmed,Apiales,Lomatium papilioniferum,confirmed,confirmed,Harvey Janszen,Andrew Simon,1982-07-23,2016-03-06,iNat:2762301,1234070,RBCM,V120298,NA,confirmed,1982,2016,Carrot & ginseng (Apiales)
Rorippa palustris ssp. palustris,(L.) Besser,,marsh yellowcress,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Cardamineae,Rorippa,palustris,,palustris,,native,S5,,reported,unobserved,1982-08-14,Harvey Janszen,RBCM,V120104,1949569203,NA,NA,,reported as Rorippa islandica var. occidentalis (V120104); L1; fenny field; very wet,64157,VAS,NA,reported,Brassicales,Rorippa palustris ssp. palustris,reported,reported,Harvey Janszen,NA,1982-08-14,NA,NA,64157,RBCM,V120104,NA,reported,1982,NA,Mustard (Brassicales)
Sisymbrium altissimum,L.,,tall tumble-mustard,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Sisymbrieae,Sisymbrium,altissimum,,,,exotic,unlisted,,reported,unobserved,1982-08-14,Harvey Janszen,RBCM,V120266,1949569193,NA,NA,,waste ground and garden,56996,VAS,NA,reported,Brassicales,Sisymbrium altissimum,reported,reported,Harvey Janszen,NA,1982-08-14,NA,NA,56996,RBCM,V120266,NA,reported,1982,NA,Mustard (Brassicales)
Crassula connata,(Ruiz & Pav.) A. Berger,,erect pigmyweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Saxifragales,,NA,Crassulaceae,Crassuloideae,,Crassula,connata,,,,native,S2S3 (2019),,reported,unobserved,1983-03-27,Harvey Janszen,RBCM,V129552,NA,NA,NA,,,57016,VAS,NA,reported,Saxifragales,Crassula connata,reported,reported,Harvey Janszen,NA,1983-03-27,NA,NA,57016,RBCM,V129552,NA,reported,1983,NA,Saxifrages (Saxifragales)
Triphysaria pusilla,(Benth.) T.I. Chuang & Heckard,,dwarf owl-clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Orobanchaceae,,Pedicularideae,Triphysaria,pusilla,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178677,NA,2017-03-23,Sarah Tweedale,iNat:5437942,,57276,VAS,NA,confirmed,Lamiales,Triphysaria pusilla,confirmed,confirmed,Gerald B. Straley,Sarah Tweedale,1983-05-01,2017-03-23,iNat:5437942,57276,UBC,V178677,NA,confirmed,1983,2017,Mints (Lamiales)
Stellaria nitens,Nutt.,,shining starwort,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,,Alsineae,Stellaria,nitens,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178685,NA,2017-04-20,Andrew Simon,iNat:5886028,,57007,VAS,NA,confirmed,Caryophyllales,Stellaria nitens,confirmed,confirmed,Gerald B. Straley,Andrew Simon,1983-05-01,2017-04-20,iNat:5886028,57007,UBC,V178685,NA,confirmed,1983,2017,Pink & cactus (Caryophyllales)
Montia dichotoma,(Nutt.) Howell,,dwarf montia,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Montiaceae,,,Montia,dichotoma,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178676,NA,2017-04-24,Andrew Simon,iNat:5964573,Sticks West; wet mossy area above sea,78119,VAS,NA,confirmed,Caryophyllales,Montia dichotoma,confirmed,confirmed,Gerald B. Straley,Andrew Simon,1983-05-01,2017-04-24,iNat:5964573,78119,UBC,V178676,NA,confirmed,1983,2017,Pink & cactus (Caryophyllales)
Trifolium variegatum,Nutt.,,white-tipped clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Trifolieae,Trifolium,variegatum,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178686,NA,2017-05-19,Andrew Simon,iNat:6425074,,57080,VAS,NA,confirmed,Fabales,Trifolium variegatum,confirmed,confirmed,Gerald B. Straley,Andrew Simon,1983-05-01,2017-05-19,iNat:6425074,57080,UBC,V178686,NA,confirmed,1983,2017,Legumes (Fabales)
