Taxon,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,PERIOD,Richness
Cynosurus cristatus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Cytisus scoparius,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Datura stramonium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Daucus carota,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Daucus pusillus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Deschampsia danthonioides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Digitalis purpurea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Distichlis spicata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Dryopteris expansa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Dulichium arundinaceum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Elodea canadensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Elymus repens,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Epilobium brachycarpum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Equisetum arvense,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Erigeron canadensis,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Eriocoma lemmonii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Eriophyllum lanatum var. leucophyllum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Erythranthe alsinoides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Erythronium oregonum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Eschscholzia californica,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Euphorbia peplus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Euphrasia nemorosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Fallopia convolvulus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Festuca bromoides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Festuca myuros,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Festuca occidentalis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Festuca roemeri var. roemeri,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Festuca subulata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Festuca subuliflora,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Filago germanica,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Fragaria vesca ssp. bracteata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Fritillaria affinis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Galium aparine,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Galium mollugo,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Geranium bicknellii,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Geranium carolinianum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Geranium dissectum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Geranium molle,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Geranium pusillum,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Geranium robertianum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Geum macrophyllum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Glechoma hederacea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Glyceria striata,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Gnaphalium uliginosum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hedera helix,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Heuchera micrantha var. diversifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hieracium albiflorum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Holodiscus discolor var. discolor,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hordeum brachyantherum ssp. brachyantherum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hordeum murinum ssp. leporinum,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Hypericum anagalloides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hypericum calycinum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hypericum perforatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hypochaeris glabra,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Hypochaeris radicata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Ilex aquifolium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Iris pseudacorus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Jacobaea vulgaris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Juncus effusus ssp. effusus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Juncus oxymeris,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Laburnum anagyroides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lactuca serriola,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lathyrus japonicus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lathyrus latifolius,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lathyrus nevadensis var. pilosellus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Leymus mollis ssp. mollis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lilium columbianum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Linaria purpurea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lithophragma glabrum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lolium arundinaceum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lolium multiflorum,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Lolium perenne,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lolium pratense,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lomatium nudicaule,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lomatium utriculatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lonicera ciliosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lonicera hispidula,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lotus corniculatus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lupinus bicolor,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lupinus polycarpus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lycopodium clavatum,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Lysimachia arvensis,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Lysimachia latifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Lysimachia maritima,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Madia glomerata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Madia gracilis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Madia sativa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Maianthemum dilatatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Maianthemum racemosum ssp. amplexicaule,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Malus domestica,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Malus fusca,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Malva moschata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Malva neglecta,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Matricaria discoidea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Medicago lupulina,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Medicago sativa ssp. sativa,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Melilotus albus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Melissa officinalis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Mentha suaveolens,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Micranthes integrifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Monotropa hypopitys,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Montia parvifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Mycelis muralis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Navarretia squarrosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Nemophila pedunculata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Nuttallanthus texanus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Papaver somniferum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Paxistima myrsinites,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Persicaria maculosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Petasites frigidus var. palmatus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Petasites japonicus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Phacelia linearis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Philadelphus lewisii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Phleum pratense,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Physocarpus capitatus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Pinus ponderosa var. ponderosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plantago elongata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plantago lanceolata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plantago major,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plantago maritima,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Platanthera elegans,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plectritis congesta ssp. congesta,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Plectritis macrocera,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Poa annua,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Polygonum aviculare,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Polygonum douglasii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Polygonum fowleri,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Polypogon monspeliensis,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Populus trichocarpa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Potamogeton berchtoldii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Potamogeton oakesianus,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Potentilla norvegica,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Primula hendersonii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Prunella vulgaris var. vulgaris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Prunus emarginata var. emarginata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Puccinellia nutkaensis,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Pyrola asarifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Pyrola picta,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Ranunculus acris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Raphanus sativus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Ribes bracteosum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Ribes divaricatum var. divaricatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Ribes sanguineum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rosa gymnocarpa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rosa nutkana ssp. nutkana,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rubus leucodermis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rubus parviflorus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rumex acetosella,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rumex conglomeratus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rumex crispus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rumex obtusifolius,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Rumex transitorius,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Salicornia pacifica,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sambucus racemosa var. arborescens,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sanicula crassicaulis var. crassicaulis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Saxifraga cespitosa,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Schoenoplectus acutus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Secale cereale,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Sedum album,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sedum lanceolatum var. nesioticum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sedum spathulifolium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Senecio vulgaris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Silene vulgaris,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Solanum americanum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Solanum sarrachoides,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Solidago canadensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sonchus arvensis ssp. arvensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sonchus asper,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Sonchus oleraceus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Spergula arvensis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Spiranthes romanzoffiana,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Spirodela polyrhiza,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Stellaria media,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Struthiopteris spicant,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Symphoricarpos albus var. laevigatus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Symphoricarpos mollis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Tanacetum vulgare,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Taraxacum erythrospermum agg.,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Tellima grandiflora,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Tiarella trifoliata var. trifoliata,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Torreyochloa pallida var. pauciflora,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Toxicodendron diversilobum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Toxicoscordion venenosum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Tragopogon porrifolius,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium dubium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium hybridum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium incarnatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium microdon,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium oliganthum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium pratense,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium repens,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium willdenovii,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Trifolium wormskioldii,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Triglochin concinna var. concinna,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Triglochin maritima,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Triodanis perfoliata,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Triteleia hyacinthina,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Utricularia macrorhiza,reported,unobserved,2001-08-26,Harvey Janszen,2000,562
Vaccinium ovatum,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vaccinium parvifolium,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Verbascum thapsus,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Veronica filiformis,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Veronica serpyllifolia,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia americana,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia cracca,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia gigantea,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia hirsuta,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia sativa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vicia villosa var. villosa,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vinca major,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Vinca minor,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Viola palustris,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Viola sempervirens,confirmed,observed,2001-08-26,Harvey Janszen,2000,562
Montia howellii,confirmed,observed,2001-04-11,Frank Lomer,2001,564
Trifolium microcephalum,confirmed,observed,2001-04-11,Frank Lomer,2001,564
Potamogeton gramineus,reported,unobserved,2002-08-12,Keith Erickson & S. Gates,2002,566
Juncus supiniformis,reported,unobserved,2002-08-20,Keith Erickson & Steven Gates,2002,566
Uropappus lindleyi,confirmed,observed,2003-04-30,Frank Lomer,2003,572
Cardamine flexuosa,confirmed,observed,2003-05-01,Frank Lomer,2003,572
Festuca microstachys var. pauciflora,confirmed,observed,2003-05-01,Frank Lomer,2003,572
Sagina apetala,reported,unobserved,2003-05-01,Frank Lomer,2003,572
Sanguisorba minor,reported,unobserved,2003-05-01,Frank Lomer,2003,572
Yabea microcarpa,confirmed,observed,2003-05-01,Frank Lomer,2003,572
Clarkia amoena ssp. caurina,confirmed,observed,2004-07-12,Hans Roemer,2004,574
Impatiens glandulifera,reported,unobserved,2004-08-22,P. F. Zika,2004,574
Salicornia depressa,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,2006,575
Cardamine occidentalis,reported,unobserved,2010-05-22,,2010,579
Trisetum spicatum,reported,unobserved,2010-05-22,,2010,579
Viola adunca,reported,unobserved,2010-05-22,,2010,579
Cuscuta pacifica var. pacifica,new 2016,observed,2010-08-14,T. Abe Lloyd,2010,579
Juniperus maritima,new 2016,observed,2011-12-22,T. Abe Lloyd,2011,580
Fumaria officinalis,reported,unobserved,2012-04-21,Terry Taylor,2012,586
Lunaria annua,confirmed,observed,2012-04-21,Terry Taylor,2012,586
Luzula parviflora,reported,unobserved,2012-04-21,Terry Taylor,2012,586
Narcissus pseudonarcissus,confirmed,observed,2012-04-21,Terry Taylor,2012,586
Symphytum × uplandicum,reported,unobserved,2012-04-21,Terry Taylor,2012,586
Bidens amplissima,reported,unobserved,2012-09-05,Trudy Chatwin,2012,586
Claytonia exigua ssp. glauca,new 2017,observed,2013-03-22,Ryan Batten,2013,590
Opuntia fragilis,new 2013,observed,2013-04-08,Felix Erhard,2013,590
Carex macrocephala,new 2013,observed,2013-05-10,Felix Erhard,2013,590
Petrosedum forsterianum,new 2015,observed,2013-08-30,Felix Erhard,2013,590
Myosurus minimus,reported,unobserved,2014-05-13,Frank Lomer,2014,598
Petroselinum crispum,confirmed,observed,2014-05-13,Frank Lomer,2014,598
Poa infirma,reported,unobserved,2014-05-13,Frank Lomer,2014,598
Prunus × pugetensis,reported,unobserved,2014-05-13,Frank Lomer,2014,598
Sagina maxima ssp. maxima,reported,unobserved,2014-05-13,Frank Lomer,2014,598
Typha angustifolia,confirmed,observed,2014-05-14,Frank Lomer,2014,598
Vicia lathyroides,confirmed,observed,2014-05-14,Frank Lomer,2014,598
Wolffia columbiana,confirmed,observed,2014-05-14,Frank Lomer,2014,598
Populus tremuloides,confirmed,observed,2015-09-27,Andrew Simon,2015,607
Viburnum tinus,new 2015,observed,2015-02-12,Lauren Magner & Andrew Simon,2015,607
Muscari armeniacum,new 2015,observed,2015-03-13,Lauren Magner & Andrew Simon,2015,607
Kopsiopsis hookeri,new 2015,observed,2015-03-21,Lauren Magner & Andrew Simon,2015,607
Stellaria graminea,new 2015,observed,2015-05-14,Andrew Simon,2015,607
Gamochaeta ustulata,new 2015,observed,2015-05-28,Lauren Magner & Andrew Simon,2015,607
Corallorhiza maculata var. ozettensis,new 2015,observed,2015-06-05,Lauren Magner & Andrew Simon,2015,607
Pinus contorta ssp. contorta,new 2015,observed,2015-06-24,Lauren Magner & Andrew Simon,2015,607
Platanthera transversa,new 2015,observed,2015-07-02,Lauren Magner & Andrew Simon,2015,607
Atriplex prostrata,new 2015,observed,2015-08-05,Andrew Simon,2015,607
Idahoa scapigera,confirmed,observed,2016-01-01,Matt Fairbarns,2016,654
Lathyrus sylvestris,reported,unobserved,2016-01-01,Matt Fairbarns,2016,654
Pseudognaphalium stramineum,confirmed,observed,2016-01-01,Matt Fairbarns,2016,654
Sanicula graveolens,reported,unobserved,2016-01-01,Matt Fairbarns,2016,654
Taraxacum officinale agg.,confirmed,observed,2016-01-01,Matt Fairbarns,2016,654
Lamium purpureum,new 2015,observed,2016-02-12,Andrew Simon,2016,654
Prunus avium,new 2016,observed,2016-02-22,Lauren Magner & Andrew Simon,2016,654
Scilla luciliae,new 2016,observed,2016-03-04,"Alison, Laura and Malcolm Colwell",2016,654
Arceuthobium douglasii,new 2016,observed,2016-03-20,"Alison, Laura and Malcolm Colwell",2016,654
Claytonia exigua ssp. exigua,new 2016,observed,2016-04-12,Marlin Stewart,2016,654
Hyacinthoides hispanica,new 2016,observed,2016-04-15,"Alison, Laura and Malcolm Colwell",2016,654
Lepidium campestre,new 2016,observed,2016-04-23,Lauren Magner & Andrew Simon,2016,654
Plectritis congesta ssp. brachystemon,new 2016,observed,2016-05-03,Andrew Simon,2016,654
Lepidium heterophyllum,new 2020,observed,2016-05-06,Andrew Simon,2016,654
Sanicula crassicaulis var. tripartita,new 2017,observed,2016-05-06,Andrew Simon,2016,654
Epilobium foliosum,new 2017,observed,2016-05-09,Andrew Simon,2016,654
Aesculus hippocastanum,new 2016,observed,2016-05-13,Andrew Simon,2016,654
Pyrola aphylla,new 2018,observed,2016-05-14,Lauren Magner & Andrew Simon,2016,654
Erythronium revolutum × Erythronium oregonum,new 2016,observed,2016-05-23,Kristian Sigvardsen,2016,654
Epipactis helleborine,new 2016,observed,2016-05-29,"Alison, Laura and Malcolm Colwell",2016,654
Campanula persicifolia,new 2016,observed,2016-06-04,Andrew Simon,2016,654
Ambrosia chamissonis,new 2016,observed,2016-06-05,Andrew Simon,2016,654
Carex leptopoda,new 2016,observed,2016-06-05,Andrew Simon,2016,654
Potamogeton amplifolius,new 2016,observed,2016-06-05,Andrew Simon,2016,654
Phalaris canariensis,new 2016,observed,2016-06-11,Sarah Tweedale,2016,654
Centaurea cyanus,new 2016,observed,2016-06-12,salishsea,2016,654
Penstemon ovatus,new 2016,observed,2016-06-18,Jonah Timms,2016,654
Deschampsia cespitosa,new 2016,observed,2016-06-19,Andrew Simon,2016,654
Asplenium trichomanes ssp. trichomanes,new 2016,observed,2016-06-27,Adam Huggins,2016,654
Cakile edentula var. edentula,new 2016,observed,2016-06-28,Andrew Simon,2016,654
Cakile maritima ssp. maritima,new 2016,observed,2016-06-28,Andrew Simon,2016,654
Lycopus americanus,new 2016,observed,2016-06-28,Andrew Simon,2016,654
Pseudognaphalium thermale,new 2016,observed,2016-06-28,Andrew Simon,2016,654
Trifolium arvense,new 2016,observed,2016-06-28,Andrew Simon,2016,654
Zostera japonica,new 2016,observed,2016-07-03,Paz Touchburn,2016,654
Conioselinum gmelinii,new 2016,observed,2016-07-10,Andrew Simon,2016,654
Corylus cornuta ssp. californica,new 2016,observed,2016-07-13,Andrew Simon,2016,654
Reynoutria japonica,new 2016,observed,2016-07-13,Andrew Simon,2016,654
Pyrus communis,new 2016,observed,2016-07-18,Andrew Simon,2016,654
Epilobium densiflorum,new 2016,observed,2016-07-20,Adam Huggins,2016,654
Galinsoga quadriradiata,new 2016,observed,2016-07-31,Andrew Simon,2016,654
Pilosella aurantiaca,new 2016,observed,2016-08-10,Adam Huggins,2016,654
Bidens cernua,new 2016,observed,2016-08-13,Andrew Simon,2016,654
Menyanthes trifoliata,new 2016,observed,2016-08-13,Adam Huggins & Andrew Simon,2016,654
Sorbus aucuparia,new 2016,observed,2016-08-15,Adam Huggins,2016,654
Leontodon saxatilis ssp. saxatilis,new 2017,observed,2016-10-07,Lauren Magner & Andrew Simon,2016,654
Taraxacum lacistophyllum,reported,unobserved,2017-04-23,Andrew Simon,2017,690
Calystegia silvatica ssp. silvatica,new 2017,unobserved,2017-05-27,Alexander J. Wright,2017,690
Dipsacus fullonum,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Mentha spicata,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Prunus cerasifera,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Ribes lacustre,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Robinia pseudoacacia,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Sabulina macra,new 2017,unobserved,2017-05-27,Alexander J. Wright,2017,690
Salix hookeriana,new 2017,observed,2017-05-27,Harvey Janszen,2017,690
Danthonia intermedia,new 2017,unobserved,2017-05-27,J. & K. Miskelly,2017,690
Grindelia hirsutula,new 2016,observed,2017-05-27,Kristen and James Miskelly,2017,690
Rumex occidentalis,new 2017,observed,2017-05-27,Tyler Innes,2017,690
Sparganium angustifolium,new 2017,observed,2017-05-27,Tyler Innes,2017,690
Tolmiea menziesii,new 2017,unobserved,2017-05-27,Tyler Innes,2017,690
Galanthus nivalis,new 2017,observed,2017-02-22,Kris Krüg,2017,690
Claytonia rubra ssp. depressa,new 2017,observed,2017-03-25,Andrew Simon,2017,690
Prunus virginiana,new 2017,observed,2017-04-13,Kris Krüg,2017,690
Armeria maritima,new 2017,observed,2017-04-14,Kris Krüg,2017,690
Cerastium pumilum,new 2017,observed,2017-04-20,Andrew Simon,2017,690
Barbarea verna,new 2017,observed,2017-05-08,Andrew Simon,2017,690
Euphorbia cyparissias,new 2017,observed,2017-05-08,Andrew Simon,2017,690
Erythranthe microphylla,new 2017,observed,2017-05-13,Andrew Simon,2017,690
Adiantum aleuticum var. aleuticum,new 2017,observed,2017-05-19,Andrew Simon,2017,690
Carex laeviculmis,new 2017,observed,2017-05-27,Judith Holm,2017,690
Eriophorum gracile,new 2017,observed,2017-05-27,Judith Holm,2017,690
Hippuris vulgaris,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Juncus arcticus ssp. alaskanus,new 2017,observed,2017-05-27,Judith Holm,2017,690
Ornithogalum umbellatum,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Populus nigra,new 2017,observed,2017-05-27,Andrew Simon,2017,690
Veronica officinalis,new 2017,observed,2017-05-27,Alexander J. Wright,2017,690
Lemna turionifera,new 2017,observed,2017-05-28,Andrew Simon,2017,690
Clarkia amoena ssp. lindleyi,new 2017,observed,2017-05-29,Alexander J. Wright & Andrew Simon,2017,690
Carex pellita,new 2017,observed,2017-06-16,Andrew Simon,2017,690
Spergularia macrotheca var. macrotheca,new 2017,observed,2017-08-11,Tyson Ehlers,2017,690
Eleocharis obtusa,new 2017,observed,2017-08-13,Tyson Ehlers,2017,690
Cyclamen hederifolium,new 2017,observed,2017-10-01,Tiffany Moser,2017,690
Micranthes rufidula,new 2018,observed,2018-03-05,Andrew Simon,2018,709
Lamium hybridum,new 2018,observed,2018-04-17,Andrew Simon,2018,709
Ribes rubrum,new 2018,observed,2018-05-05,Christopher Heffley,2018,709
Rosa canina,new 2018,observed,2018-05-31,Andrew Simon,2018,709
Lobularia maritima,new 2018,observed,2018-06-01,Andrew Simon,2018,709
Triteleia grandiflora,new 2018,observed,2018-06-01,Sarah Tweedale,2018,709
