"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"153","Cerastium glomeratum","Thuill.","","sticky chickweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Caryophyllaceae","Alsinoideae","Alsineae","Cerastium","glomeratum","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-05-17","Andrew Simon","http://www.inaturalist.org/observations/2621726","","52973","VAS"
"154","Cerastium pumilum","Curtis","","dwarf mouse-ear","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Caryophyllaceae","Alsinoideae","Alsineae","Cerastium","pumilum","","","","exotic","unlisted","","new 2017","observed","","","","","","2017-04-20","Andrew Simon","https://www.inaturalist.org/observations/5885311","","160341","VAS"
"155","Cerastium tomentosum","L.","","snow-in-summer","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Caryophyllaceae","Alsinoideae","Alsineae","Cerastium","tomentosum","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-06-02","Andrew Simon","https://www.inaturalist.org/observations/26288932","","160347","VAS"
"156","Ceratophyllum echinatum","A. Gray","","spring hornwort","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ceratophyllales","","","Ceratophyllaceae","","","Ceratophyllum","echinatum","","","","native","S4?","","confirmed","observed","1996-05-01","Harvey Janszen, Jenifer Penny & Charlotte Norris","RBCM","V170227","1949618835","2019-05-04","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","https://www.inaturalist.org/observations/24653208","","160354","VAS"
"157","Chamaenerion angustifolium","(L.) Scop.","","fireweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Myrtales","","","Onagraceae","","","Chamaenerion","angustifolium","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-05-31","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2663711","","564969","VAS"
"158","Chenopodium album","L.","","common lamb's-quarters","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Amaranthaceae","Chenopodioideae","","Chenopodium","album","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-07-31","Andrew Simon","http://www.inaturalist.org/observations/3786976","","58127","VAS"
"159","Chimaphila umbellata ssp. umbellata","(L.) W.P.C. Barton","","common pipsissewa","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Ericaceae","Monotropoideae","","Chimaphila","umbellata","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2011-12-22","T. Abe Lloyd","https://www.inaturalist.org/observations/38191913","","62236","VAS"
"160","Cichorium intybus","L.","","chicory","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Cichorioideae","","Cichorium","intybus","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-07-14","Andrew Simon","http://www.inaturalist.org/observations/3681048","","52913","VAS"
"161","Cicuta douglasii","(DC.) J.M. Coult. & Rose","","Douglas' water-hemlock","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","","","Cicuta","douglasii","","","","native","S5","","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","","","2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296098","","76338","VAS"
"162","Cinna latifolia","(Trevir.) Griseb.","","nodding wood-reed","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Cinna","latifolia","","","","native","S5","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","","76340","VAS"
"163","Circaea alpina","L.","","enchanter’s nightshade","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Myrtales","","","Onagraceae","","","Circaea","alpina","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569342","","76342","VAS"
"164","Circaea alpina ssp. pacifica","L.","(Asch. & Magnus) P.H. Raven","Pacific enchanter's-nightshade","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Myrtales","","","Onagraceae","","","Circaea","alpina","","pacifica","","native","S5","","confirmed","observed","1980-04-12","Harvey Janszen","ER 128 Inventory","","","2015-06-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2561121","","79729","VAS"
"165","Cirsium arvense","(L.) Scop.","","Canada thistle","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Carduoideae","","Cirsium","arvense","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-06-06","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563918","Cirsium arvense var. horridum also reported; here taken as synonymous","60132","VAS"
"166","Cirsium brevistylum","Cronquist","","short-styled thistle","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Carduoideae","","Cirsium","brevistylum","","","","native","S5","","confirmed","observed","1986-08-16","William J. Crins","UBC","V190908","","2017-05-28","Alexander J. Wright & Andrew Simon","https://www.inaturalist.org/observations/6409663","","52993","VAS"
"167","Cirsium vulgare","(Savi) Ten.","","bull thistle","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Carduoideae","","Cirsium","vulgare","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-08-05","Andrew Simon","http://www.inaturalist.org/observations/2599922","","52989","VAS"
"168","Clarkia amoena var. caurina","(Lehm.) A.Nelson & J.F.Macbr.","(Abrams ex Piper) C.L. Hitchc.","farewell-to-spring","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Myrtales","","","Onagraceae","","","Clarkia","amoena","","","caurina","native","S3S4","","confirmed","observed","2004-07-12","Hans Roemer","RBCM","V192679","1949640990","2017-05-26","Andrew Simon","https://www.inaturalist.org/observations/6411597","","235283","VAS"
"169","Clarkia amoena var. lindleyi","(Lehm.) A.Nelson & J.F.Macbr.","(Douglas) C.L. Hitchc.","farewell-to-spring","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Myrtales","","","Onagraceae","","","Clarkia","amoena","","","lindleyi","native","S3S4","","new 2017","observed","","","","","","2017-05-29","Alexander J. Wright & Andrew Simon","https://www.inaturalist.org/observations/6434828","","235285","VAS"
"170","Claytonia exigua ssp. exigua","Torr. & A. Gray","","pale springbeauty","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","exigua","","","","native","S4","","new 2016","observed","","","","","","2016-04-12","Marlin Stewart","http://www.inaturalist.org/observations/2954039","","57233","VAS"
"171","Claytonia exigua ssp. glauca","Torr. & A. Gray","(Torr. & A. Gray) J.M.Mill. & K.L.Chambers","pallid claytonia","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","exigua","","glauca","","native","S4","","new 2017","observed","","","","","","2013-03-22","Ryan Batten","https://www.inaturalist.org/observations/9142506","","57229","VAS"
"172","Claytonia parviflora","Douglas ex Hook.","","streambank springbeauty","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","parviflora","","","","native","S5","","confirmed","observed","","Kent Brothers","VMS Private List","","","2015-03-21","Lauren Magner & Andrew Simon","http://inaturalist.ca/observations/2605634","","58294","VAS"
"173","Claytonia perfoliata","Donn ex Willd.","","miner's-lettuce","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","perfoliata","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2013-04-08","Felix Erhard","http://www.inaturalist.org/observations/2583372","","52994","VAS"
"174","Claytonia rubra ssp. depressa","(Howell) Tidestr.","(A. Gray) John M. Mill. & K.L. Chambers.","redstem springbeauty","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","rubra","","depressa","","native","S5","","new 2017","observed","","","","","","2017-03-25","Andrew Simon","https://www.inaturalist.org/observations/5472855","","79751","VAS"
"175","Claytonia rubra ssp. rubra","(Howell) Tidestr.","","redstem springbeauty","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","rubra","","","","native","S5?","","reported","unobserved","1974-04-21","Wilfred B. Schofield","UBC","V156682","","","","","","79752","VAS"
"176","Claytonia sibirica","L.","","Siberian miner's-lettuce","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Caryophyllanae","Caryophyllales","","","Montiaceae","","","Claytonia","sibirica","","","","native","S5","","confirmed","observed","1972-05-02","B. Schwartz","UBC","V139277","","2015-05-04","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2569360","","55767","VAS"
"177","Clematis ligusticifolia","Nutt.","","western white clematis","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales","","","Ranunculaceae","Ranunculoideae","Anemoneae","Clematis","ligusticifolia","","","","native","S5 (2019)","","new 2020","observed","","","","","","2020-07-20","Sylvie Hawkes","https://www.inaturalist.org/observations/54692240","","58996","VAS"
"178","Clematis vitalba","L.","","traveler's joy","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales","","","Ranunculaceae","Ranunculoideae","Anemoneae","Clematis","vitalba","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-07-10","Adam Huggins","https://www.inaturalist.org/observations/28650048","","160697","VAS"
"179","Clinopodium douglasii","(Benth.) Kuntze","","yerba buena","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Lamiaceae","","","Clinopodium","douglasii","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-03-26","Andrew Simon","http://www.inaturalist.org/observations/2588219","Reported as Satureja douglasii","53203","VAS"
"180","Collinsia grandiflora","Douglas ex Lindl.","","large-flowered blue-eyed Mary","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Plantaginaceae","","","Collinsia","grandiflora","","","","native","S4","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2011-05-14","Emma Harrower","https://www.inaturalist.org/observations/78656632","","76409","VAS"
"181","Collinsia parviflora","Douglas ex Lindl.","","small-flowered blue-eyed Mary","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Plantaginaceae","","","Collinsia","parviflora","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2013-04-05","Felix Erhard","http://www.inaturalist.org/observations/2628114","","59013","VAS"
"182","Collomia heterophylla","Hook.","","vari-leaved collomia","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Polemoniaceae","","","Collomia","heterophylla","","","","native","S5","","confirmed","observed","1976-07-17","Harvey Janszen","RBCM","V107081","1949555895","2016-05-03","Andrew Simon","http://www.inaturalist.org/observations/3094626","","52996","VAS"
"183","Comarum palustre","L.","","marsh cinquefoil","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","","","Comarum","palustre","","","","native","S5","","confirmed","observed","1975-07-24","Angela Wood","RBCM","V097752","","2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3296338","Reported as Potentilla palustris","62213","VAS"
"184","Conioselinum gmelinii","(Bray) Steud.","","Pacific hemlock-parsley","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","","","Conioselinum","gmelinii","","","","native","S5","","new 2016","observed","","","","","","2016-07-10","Andrew Simon","http://www.inaturalist.org/observations/3652970","","160830","VAS"
"185","Conium maculatum","L.","","poison-hemlock","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","Apioideae","","Conium","maculatum","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-06-15","Ed Andrusiak","https://www.inaturalist.org/observations/27254709","","52998","VAS"
"186","Consolida ajacis","(L.) Schur","","rocket larkspur","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales","","","Ranunculaceae","","","Consolida","ajacis","","","","exotic","unlisted","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","Reported as Consolida ambigua","76430","VAS"
"187","Convolvulus arvensis","L.","","field bindweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Solanales","","","Convolvulaceae","","","Convolvulus","arvensis","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-08-06","Sarah Tweedale","http://inaturalist.ca/observations/3816774","","53021","VAS"
"188","Conyza canadensis","(L.) Cronquist","","horseweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Conyza","canadensis","","","","native","S5","","reported","unobserved","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","","","","reported as Conyza canadensis var. glabrata","428399","VAS"
"189","Corallorhiza maculata var. occidentalis","(Raf.) Raf.","(Lindl.) Ames","western spotted coralroot","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Orchidaceae","Epidendroideae","Calypsoeae","Corallorhiza","maculata","","","occidentalis","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2013-05-17","Felix Erhard","http://www.inaturalist.org/observations/2604239","","80615","VAS"
"190","Corallorhiza maculata var. ozettensis","(Raf.) Raf.","Tischer","Ozette coralroot","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Orchidaceae","Epidendroideae","Calypsoeae","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","","new 2015","observed","","","","","","2015-06-05","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2563709","","452199","VAS"
"191","Corallorhiza mertensiana","Bong.","","Pacific coralroot","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Orchidaceae","Epidendroideae","Calypsoeae","Corallorhiza","mertensiana","","","","native","S5 (2019)","","new 2022","observed","","","","","","2022-06-07","Jenny Sterling & Andrew Simon","https://www.inaturalist.org/observations/120891212","","49444","VAS"
"192","Corallorhiza striata var. striata","Lindl.","","striped coralroot","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Orchidaceae","Epidendroideae","Calypsoeae","Corallorhiza","striata","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2018-05-24","Andrew Simon & Quirin Hohendorf","https://www.inaturalist.org/observations/12817512","","50708","VAS"
"193","Cornus nuttallii","Audubon ex Torr. & A. Gray","","western flowering dogwood","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Cornales","","","Cornaceae","","","Cornus","nuttallii","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-05-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3295934","","76447","VAS"
"194","Cornus sericea ssp. occidentalis","L.","(Torr. & A.Gray) Fosberg","red-osier dogwood","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Cornales","","","Cornaceae","","","Cornus","sericea","","occidentalis","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2018-07-22","Andrew Simon","https://www.inaturalist.org/observations/14633044","Cornus stoloniferareported (synonym)","53366","VAS"
"195","Corylus cornuta ssp. californica","Marshall","(A. DC.) A.E. Murray","beaked hazelnut","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Fagales","","","Betulaceae","","","Corylus","cornuta","","californica","","native","S5","","new 2016","observed","","","","","","2016-07-13","Andrew Simon","http://www.inaturalist.org/observations/3682332","","53374","VAS"
"196","Cotoneaster franchetii","Bois","","Franchet's cotoneaster","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Amygdaloideae","Maleae","Cotoneaster","franchetii","","","","exotic","unlisted","","new 2022","observed","","","","","","2022-06-12","Andrew Simon","https://www.inaturalist.org/observations/121538520","","1319212","VAS"
"197","Cotoneaster horizontalis","Decne.","","rock cotoneaster","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Amygdaloideae","Maleae","Cotoneaster","horizontalis","","","","exotic","unlisted","","new 2018","observed","","","","","","2018-06-04","Kevin Toomer","https://www.inaturalist.org/observations/13130562","","53771","VAS"
"198","Cotoneaster simonsii","Baker","","Himalayan cotoneaster","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Amygdaloideae","Maleae","Cotoneaster","simonsii","","","","exotic","unlisted","","confirmed","observed","1979-07-09","Harvey Janszen","RBCM","V097881","1949546798","2022-06-12","Andrew Simon","https://www.inaturalist.org/observations/121538499","HJ (2001) report of Cotoneaster dielsianusmisapplied to this material (AJ Wright notes these species are difficult to discriminate)","76461","VAS"
"199","Crassula connata","(Ruiz & Pav.) A. Berger","","erect pigmyweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Crassulaceae","","","Crassula","connata","","","","native","S2S3 (2019)","","reported","unobserved","1983-03-27","Harvey Janszen","RBCM","V129552","","","","","","57016","VAS"
"200","Crataegus douglasii","Lindl.","","black hawthorn","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Amygdaloideae","Maleae","Crataegus","douglasii","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-06-28","Andrew Simon","http://www.inaturalist.org/observations/3542848","","76469","VAS"
"201","Crataegus monogyna var. monogyna","Jacq.","","common hawthorn","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Rosales","","","Rosaceae","Amygdaloideae","Maleae","Crataegus","monogyna","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564074","","51147","VAS"
"202","Crepis capillaris","(L.) Wallr.","","smooth hawksbeard","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Cichorioideae","","Crepis","capillaris","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-06-24","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2564076","","54050","VAS"
"203","Crocidium multicaule","Hook.","","gold star","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Asterales","","","Asteraceae","Asteroideae","","Crocidium","multicaule","","","","native","S4","","confirmed","observed","1974-04-21","Wilfred B. Schofield","UBC","V156690","","2014-03-22","Ryan Batten","https://www.inaturalist.org/observations/9145124","","57524","VAS"
"204","Crocus × stellaris","Haw.","","dutch yellow crocus","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Iridaceae","Crocoideae","Croceae","Crocus","","Crocus × stellaris","","","exotic","unlisted","","new 2020","observed","","","","","","2020-02-08","ssilverman","https://www.inaturalist.org/observations/38469122","","487126","VAS"
"205","Crocus vernus","(L.) Hill","","spring crocus","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","Iridaceae","Crocoideae","Croceae","Crocus","vernus","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-03-16","grrrace","https://www.inaturalist.org/observations/21351316","","55769","VAS"
"206","Cuscuta pacifica var. pacifica","Costea & M.A.R. Wright","","Pacific goldenthread","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Solanales","","","Convolvulaceae","","Cuscuteae","Cuscuta","pacifica","","","","native","S4","","new 2016","observed","","","","","","2010-08-14","T. Abe Lloyd","https://www.inaturalist.org/observations/37239710","","76553","VAS"
"207","Cyclamen hederifolium","Aiton","","cyclamen","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Ericales","","","Primulaceae","","","Cyclamen","hederifolium","","","","exotic","unlisted","","new 2017","observed","","","","","","2017-10-01","Tiffany Moser","https://www.inaturalist.org/observations/8215351","not naturalized","127355","VAS"
"208","Cymbalaria muralis","P. Gaertn., B. Mey. & Scherb.","","ivy-leaved toadflax","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Lamiales","","","Plantaginaceae","","","Cymbalaria","muralis","","","","exotic","unlisted","","new 2019","observed","","","","","","2019-04-17","Larissa Marie","https://www.inaturalist.org/observations/22631582","","55727","VAS"
"209","Cynosurus cristatus","L.","","crested dogtail","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Cynosurus","cristatus","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2017-06-06","Andrew Simon","http://inaturalist.ca/observations/6531949","","76581","VAS"
"210","Cynosurus echinatus","L.","","hedgehog dogtail","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Cynosurus","echinatus","","","","exotic","unlisted","","confirmed","observed","1986-08-03","Gerald B. Straley","UBC","V190606","","2013-06-20","Felix Erhard","http://www.inaturalist.org/observations/2588511","","47695","VAS"
"211","Cystopteris fragilis","(L.) Bernh.","","fragile fern","Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","","","Cystopteridaceae","","","Cystopteris","fragilis","","","","native","S5","","confirmed","observed","1996-05-22","Harvey Janszen, Jenifer Penny & Charlotte Norris","RBCM","V175175","1949623931","2017-03-30","Andrew Simon","https://www.inaturalist.org/observations/5516498","","58755","VAS"
"212","Cytisus scoparius","(L.) Link","","Scotch broom","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Fabales","","","Fabaceae","Faboideae","","Cytisus","scoparius","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2009-04-23","Paul Abell","https://www.inaturalist.org/observations/38207181","","48538","VAS"
"213","Dactylis glomerata","L.","","orchard grass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Dactylis","glomerata","","","","exotic","unlisted","","confirmed","observed","1979-06-08","Harvey Janszen","RBCM","V097880","","2015-05-17","Andrew Simon","http://www.inaturalist.org/observations/2621743","","52720","VAS"
"214","Danthonia californica","Bol.","","California oatgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Danthonioideae","Danthonieae","Danthonia","californica","","","","native","S5","","confirmed","observed","1981-07-16","Harvey Janszen","RBCM","V113798","1949562663","2017-05-29","Andrew Simon","https://www.inaturalist.org/observations/6434812","","57165","VAS"
"215","Danthonia decumbens","(L.) DC.","","mountain heath grass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Danthonioideae","Danthonieae","Danthonia","decumbens","","","","exotic","unlisted","","new 2022","observed","","","","","","2022-06-12","Andrew Simon & Frank Lomer","https://www.inaturalist.org/observations/121538436","","76603","VAS"
"216","Danthonia intermedia","Vasey","","timber oatgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Danthonioideae","Danthonieae","Danthonia","intermedia","","","","native","S5","","new 2017","unobserved","2017-05-27","J. & K. Miskelly","Bioblitz Galiano2017","","","","","","","76604","VAS"
"217","Daphne laureola","L.","","spurge-laurel","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Rosanae","Malvales","","","Thymelaeaceae","","","Daphne","laureola","","","","exotic","unlisted","","confirmed","observed","1989-04-06","Gerald Straley & K. Nichols","RBCM","V144086","1949593139","2016-01-20","Andrew Simon","http://www.inaturalist.org/observations/2602959","","127391","VAS"
"218","Datura stramonium","L.","","jimsonweed","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Solanales","","","Solanaceae","","","Datura","stramonium","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-10-24","Colleen Doty","http://www.inaturalist.org/observations/4430121","","55854","VAS"
"219","Daucus carota","L.","","wild carrot","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","","","Daucus","carota","","","","exotic","unlisted","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2016-07-09","Andrew Simon","http://www.inaturalist.org/observations/3652719","","76610","VAS"
"220","Daucus pusillus","Michx.","","American wild carrot","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Asteranae","Apiales","","","Apiaceae","","","Daucus","pusillus","","","","native","S5","","confirmed","observed","2001-08-26","Harvey Janszen","Private List Aug 26 2001","","","2015-04-04","Andrew Simon","http://www.inaturalist.org/observations/2567452","","56726","VAS"
"221","Delphinium menziesii","DC.","","Menzies' larkspur","Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","Magnoliidae","Ranunculanae","Ranunculales","","","Ranunculaceae","","","Delphinium","menziesii","","","","native","S5","","confirmed","observed","1981-05-07","Harvey Janszen","RBCM","V113531","","2013-04-27","Felix Erhard","http://www.inaturalist.org/observations/2588491","","153479","VAS"
"222","Deschampsia cespitosa","(L.) P.Beauv.","","tufted hairgrass","Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","Poaceae","Pooideae","","Deschampsia","cespitosa","","","","native","S5 (2020)","","new 2016","observed","","","","","","2016-06-19","Andrew Simon","https://www.inaturalist.org/observations/3498298","","76639","VAS"
