Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Campanula rotundifolia,Campanula rotundifolia,984576,Campanula rotundifolia,62312,984576,L.,,common harebell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Campanulaceae,,,Campanula,rotundifolia,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,62312,VAS,accepted,984576,Campanula rotundifolia,Campanula rotundifolia
Campanula scouleri,Campanula scouleri,75991,Campanula scouleri,75991,75991,Hook. ex A. D.C.,,Scouler's harebell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Campanulaceae,,,Campanula,scouleri,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-14,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296703,,75991,VAS,accepted,75991,Campanula scouleri,Campanula scouleri
Capsella bursa-pastoris,Capsella bursa-pastoris,56121,Capsella bursa-pastoris,56121,56121,(L.) Medik.,,shepherd's purse,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Capsella,bursa-pastoris,,,,exotic,unlisted,,confirmed,observed,1975-06-04,Angela Wood,RBCM,V097405,1949546373,2016-05-06,Andrew Simon,http://www.inaturalist.org/observations/3116760,,56121,VAS,accepted,56121,Capsella bursa-pastoris,Capsella bursa-pastoris
Cardamine flexuosa,Cardamine flexuosa,69636,Cardamine flexuosa,69636,69636,With.,,wood bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,flexuosa,,,,exotic,unlisted,,confirmed,observed,2003-05-01,Frank Lomer,UBC,V231296,,2018-05-23,Andrew Simon,https://www.inaturalist.org/observations/12791467,,69636,VAS,accepted,69636,Cardamine flexuosa,Cardamine flexuosa
Cardamine hirsuta,Cardamine hirsuta,55829,Cardamine hirsuta,55829,55829,L.,,hairy bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,hirsuta,,,,exotic,unlisted,,confirmed,observed,,Kent Brothers,VMS Private List,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566329,,55829,VAS,accepted,55829,Cardamine hirsuta,Cardamine hirsuta
Cardamine nuttallii,Cardamine nuttallii,76002,Cardamine nuttallii,76002,76002,Greene,,slender toothwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,nuttallii,,,,native,S5,,confirmed,observed,1972-05-02,R. Biggs,UBC,V138586,,2017-04-04,Sarah Tweedale,https://www.inaturalist.org/observations/5582977,,76002,VAS,accepted,76002,Cardamine nuttallii,Cardamine nuttallii
Cardamine occidentalis,Cardamine occidentalis,76003,Cardamine occidentalis,76003,76003,(S.Wats. ex B.L.Rob.) Howell,,western bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,occidentalis,,,,native,S4 (2019),,reported,unobserved,2010-05-22,,Hunterston Farms Bioblitz 2010,HUNTERSTON2010:51,,,,,,76003,VAS,accepted,76003,Cardamine occidentalis,Cardamine occidentalis
Cardamine oligosperma,Cardamine oligosperma,52981,Cardamine oligosperma,52981,52981,Nutt.,,little western bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,oligosperma,,,,native,S5,,confirmed,observed,1975-05-10,Angela Wood,RBCM,V097322,1949546308,2015-03-27,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2575038,,52981,VAS,accepted,52981,Cardamine oligosperma,Cardamine oligosperma
Cardamine pensylvanica,Cardamine pensylvanica,76005,Cardamine pensylvanica,76005,76005,Muhl. ex Willd.,,Pennsylvanian bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Cardamine,pensylvanica,,,,native,S5,,confirmed,observed,1975-05-07,Harvey Janszen,RBCM,V083347,1949532327,2016-05-13,Andrew Simon,http://www.inaturalist.org/observations/3318628,,76005,VAS,accepted,76005,Cardamine pensylvanica,Cardamine pensylvanica
Carex aquatilis var. dives,Carex aquatilis dives,80511,Carex aquatilis dives,80511,80511,Wahlenb.,(Holm) Kük.,Sitka sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aquatilis,,,dives,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2017-05-27,Judith Holm,https://www.inaturalist.org/observations/6691105,,80511,VAS,accepted,80511,Carex aquatilis dives,Carex aquatilis dives
Carex arcta,Carex arcta,76014,Carex arcta,76014,76014,Boott,,northern clustered sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,arcta,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-07-01,Andrew Simon,https://www.inaturalist.org/observations/13972301,,76014,VAS,accepted,76014,Carex arcta,Carex arcta
Carex aurea,Carex aurea,76017,Carex aurea,76017,76017,Nutt.,,golden sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,aurea,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-06-12,Andrew Simon,https://www.inaturalist.org/observations/121538452,,76017,VAS,accepted,76017,Carex aurea,Carex aurea
Carex canescens ssp. canescens,Carex canescens canescens,79673,Carex canescens,76023,79673,L.,,hoary sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,canescens,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2022-06-14,Andrew Simon,https://www.inaturalist.org/observations/121838577,,76023,VAS,accepted,79673,Carex canescens canescens,Carex canescens
Carex cusickii,Carex cusickii,76028,Carex cusickii,76028,76028,Mack.,,Cusick's sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,cusickii,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113796,1949562862,2017-05-27,Judith Holm,https://www.inaturalist.org/observations/6452705,,76028,VAS,accepted,76028,Carex cusickii,Carex cusickii
Carex echinata ssp. echinata,Carex echinata echinata,79675,Carex echinata,76035,79675,Murray,,star sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,echinata,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296073,,76035,VAS,accepted,79675,Carex echinata echinata,Carex echinata
Carex echinata ssp. phyllomanica,Carex echinata phyllomanica,79676,Carex echinata phyllomanica,79676,79676,Murray,(W. Boott) B. Boivin,coastal stellate sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,echinata,,phyllomanica,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,79676,VAS,accepted,79676,Carex echinata phyllomanica,Carex echinata phyllomanica
Carex exsiccata,Carex exsiccata,76036,Carex exsiccata,76036,76036,L.H. Bailey,,inflated sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,exsiccata,,,,native,S5,,confirmed,observed,1978-07-26,,RBCM,V112460,1949561545,2021-07-01,Andrew Simon,https://www.inaturalist.org/observations/85291229,Mount Galiano;Carex - Cicuta vegetation; flat ground; organic parent material ; soil development mesisol.,76036,VAS,accepted,76036,Carex exsiccata,Carex exsiccata
Carex flava,Carex flava,1264456,Carex flava,85484,1264456,L.,,yellow sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,flava,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,85484,VAS,accepted,1264456,Carex flava,Carex flava
Carex garberi,Carex garberi,159956,Carex garberi,159956,159956,Fernald,,elk sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,garberi,,,,native,S5 (2019),,new 2022,unobserved,2022-06-15,Frank Lomer,UBC,13053,,,,,,159956,VAS,accepted,159956,Carex garberi,Carex garberi
Carex hendersonii,Carex hendersonii,76048,Carex hendersonii,76048,76048,L.H. Bailey,,Henderson's sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,hendersonii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-03,Andrew Simon,http://www.inaturalist.org/observations/3093575,,76048,VAS,accepted,76048,Carex hendersonii,Carex hendersonii
Carex inops ssp. inops,Carex inops inops,79677,Carex inops,76056,79677,L.H. Bailey,,long-stoloned sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,inops,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-03-22,Andrew Simon,http://www.inaturalist.org/observations/2819492,,76056,VAS,accepted,79677,Carex inops inops,Carex inops
Carex kelloggii var. limnophila,Carex kelloggii limnophila,1091402,Carex lenticularis limnophila,80516,1091402,B.L.Wilson & R.E.Brainerd,(Holm) ,Hind's sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,kelloggii,,,limnophila,native,S4S5,,reported,unobserved,1979-06-28,Harvey Janszen,RBCM,V098003,1949547203,,,,farm field,80516,VAS,unaccepted,1091402,Carex kelloggii limnophila,Carex lenticularis limnophila
Carex laeviculmis,Carex laeviculmis,76062,Carex laeviculmis,76062,76062,Meinsh,,smooth-stemmed sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,laeviculmis,,,,native,S5,,new 2017,observed,,,,,,2017-05-27,Judith Holm,https://www.inaturalist.org/observations/6457046,,76062,VAS,accepted,76062,Carex laeviculmis,Carex laeviculmis
Carex lasiocarpa,Carex lasiocarpa,76063,Carex lasiocarpa,76063,76063,Ehrh.,,slender sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,lasiocarpa,,,,native,S5,,confirmed,observed,1975-07-24,Harvey Janszen,RBCM,V083246,1949532180,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296358,,76063,VAS,accepted,76063,Carex lasiocarpa,Carex lasiocarpa
Carex leporina,Carex leporina,76067,Carex ovalis,160051,76067,L.,,oval sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leporina,,,,native,S5,,reported,unobserved,1966-08-24,B. Turner,BABY,131,,,,,"reported as C. tracyi; Retreat Cove; Shore drainage, swampy area with Juncus, grasses, Veronica, Ranuculus, open, flat. H.L. Roemer.",160051,VAS,accepted,76067,Carex leporina,Carex ovalis
Carex leptalea,Carex leptalea,76069,Carex leptalea,76069,76069,Wahlenb.,,bristle-stalked sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leptalea,,,,native,S5,,confirmed,observed,1979-07-07,Harvey Janszen,RBCM,V098006,1949546933,2017-05-27,Judith Holm,https://www.inaturalist.org/observations/110179262,"B. Wilson et al. (2008) do not recognize the distinction between subspecies; H. Janszen (2003) lists Carex leptalea ssp. pacifica though the specimen cited here is unresolved. We have deferred to Wilson et al. 2008, who state that this group requires more work, and left the taxon unresolved beyond the species rank.",76069,VAS,accepted,76069,Carex leptalea,Carex leptalea
Carex leptopoda,Carex leptopoda,76070,Carex leptopoda,76070,76070,Mack.,,short-scaled sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,leptopoda,,,,native,S5,,new 2016,observed,,,,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3404427,Carex deweyana var. deweyana historically (HJ 2001) misapplied to this taxon,76070,VAS,accepted,76070,Carex leptopoda,Carex leptopoda
Carex livida,Carex livida,76072,Carex livida,76072,76072,(Wahlenb.) Willd.,,pale sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,livida,,,,native,S5,,reported,unobserved,2000-06-12,Hans Roemer,ER 128 Inventory,,,,,,,76072,VAS,accepted,76072,Carex livida,Carex livida
Carex lyngbyei,Carex lyngbyei,76076,Carex lyngbyei,76076,76076,Hornem.,,Lyngbye's Sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,lyngbyei,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,76076,VAS,accepted,76076,Carex lyngbyei,Carex lyngbyei
Carex macrocephala,Carex macrocephala,160006,Carex macrocephala,160006,160006,Willd. ex Spreng,,large-headed sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,macrocephala,,,,native,S4S5,,new 2013,observed,,,,,,2013-05-10,Felix Erhard,http://www.inaturalist.org/observations/2583449,,160006,VAS,accepted,160006,Carex macrocephala,Carex macrocephala
Carex obnupta,Carex obnupta,61000,Carex obnupta,61000,61000,L.H. Bailey,,slough sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,obnupta,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-05-04,Andrew Simon,http://www.inaturalist.org/observations/2567953,,61000,VAS,accepted,61000,Carex obnupta,Carex obnupta
Carex pachystachya,Carex pachystachya,76089,Carex pachystachya,76089,76089,Cham. ex Steud.,,thick-headed sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pachystachya,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,76089,VAS,accepted,76089,Carex pachystachya,Carex pachystachya
Carex pallescens,Carex pallescens,160055,Carex pallescens,160055,160055,L.,,pale meadow sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pallescens,,,,exotic,unlisted,,new 2018,observed,2022-06-08,Frank Lomer,UBC,12985,,2018-05-29,Andrew Simon,https://www.inaturalist.org/observations/12944880,,160055,VAS,accepted,160055,Carex pallescens,Carex pallescens
Carex pellita,Carex pellita,76091,Carex pellita,76091,76091,Muhl. ex Willd.,,woolly sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,pellita,,,,native,S5,,new 2017,observed,,,,,,2017-06-16,Andrew Simon,http://inaturalist.ca/observations/6817819,,76091,VAS,accepted,76091,Carex pellita,Carex pellita
Carex scoparia,Carex scoparia,76104,Carex scoparia,76104,76104,Schkuhr ex Willd.,,pointed broom sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,scoparia,,,,native,S4 (2019),,new 2022,observed,,,,,,2022-06-13,Adam Huggins,https://www.inaturalist.org/observations/122335782,,76104,VAS,accepted,76104,Carex scoparia,Carex scoparia
Carex sylvatica,Carex sylvatica,69640,Carex sylvatica,69640,69640,Huds.,,European woodland sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,sylvatica,,,,exotic,unlisted,,new 2022,observed,2022-06-09,Frank Lomer,UBC,12992,,2022-06-12,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121538574,,69640,VAS,accepted,69640,Carex sylvatica,Carex sylvatica
Carex utriculata,Carex utriculata,76124,Carex utriculata,76124,76124,Boott,,beaked sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,utriculata,,,,native,S5,,reported,unobserved,1979-06-28,Harvey Janszen,RBCM,V098383,1949547645,,,,,76124,VAS,accepted,76124,Carex utriculata,Carex utriculata
Carex viridula ssp. viridula,Carex viridula viridula,79679,Carex viridula,76128,79679,Michx.,,little green sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,viridula,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-05-29,Andrew Simon,https://www.inaturalist.org/observations/12944807,,76128,VAS,accepted,79679,Carex viridula viridula,Carex viridula
Castilleja attenuata,Castilleja attenuata,49341,Castilleja attenuata,49341,49341,(A. Gray) T.I. Chuang & Heckard,,narrow-leaved paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,attenuata,,,,native,S4,,confirmed,observed,1996-05-21,"Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen",RBCM,V186361,1949634759,2020-04-09,Andrew Simon,https://www.inaturalist.org/observations/41788621,,49341,VAS,accepted,49341,Castilleja attenuata,Castilleja attenuata
Castilleja hispida,Castilleja hispida,128204,Castilleja hispida,128204,128204,Benth. ex Hook.,,harsh indian paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,hispida,,,,native,S5,,confirmed,observed,1980-05-04,V. J. Krajina,UBC,V243019,,2010-06-14,Shera Street,http://www.inaturalist.org/observations/2635119,,128204,VAS,accepted,128204,Castilleja hispida,Castilleja hispida
Castilleja miniata var. dixonii,Castilleja miniata dixonii,234941,Castilleja miniata dixonii,234941,234941,Dougl. ex Hook.,(Fernald) A.Nelson & J.F.Gmel.,Dixon's Paintbrush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,Pedicularideae,Castilleja,miniata,,,dixonii,native,S3S4 (2015),,new 2022,observed,,,,,,2022-06-12,Barbara Rennie,https://www.inaturalist.org/observations/121738925,,234941,VAS,accepted,234941,Castilleja miniata dixonii,Castilleja miniata dixonii
Ceanothus sanguineus,Ceanothus sanguineus,76197,Ceanothus sanguineus,76197,76197,Pursh,,redstem ceanothus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rhamnaceae,,,Ceanothus,sanguineus,,,,native,S5,,reported,unobserved,1995-05-11,Hans Roemer,RBCM,V186369,1949634644,,,,"""Bodega Ridge; on SW rocky slope” –collection locality details vague; planted?",76197,VAS,accepted,76197,Ceanothus sanguineus,Ceanothus sanguineus
Centaurea cyanus,Centaurea cyanus,933404,Centaurea cyanus,48159,933404,L.,,cornflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Centaureinae,,Centaurea,cyanus,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-06-12,salishsea,http://inaturalist.ca/observations/3445649,,48159,VAS,accepted,933404,Centaurea cyanus,Centaurea cyanus
Centaurium erythraea,Centaurium erythraea,56236,Centaurium erythraea,56236,56236,Rafn,,common centaury,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Gentianaceae,,,Centaurium,erythraea,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564068,,56236,VAS,accepted,56236,Centaurium erythraea,Centaurium erythraea
Centranthus ruber,Centranthus ruber,57283,Centranthus ruber,57283,57283,(L.) DC.,,red valerian,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Caprifoliaceae,Valerianoideae,,Centranthus,ruber,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-05-04,Kristian Sigvardsen,https://www.inaturalist.org/observations/24543874,,57283,VAS,accepted,57283,Centranthus ruber,Centranthus ruber
Cerastium arvense ssp. strictum,Cerastium arvense strictum,50847,Cerastium arvense strictum,50847,50847,L.,(L.) Reiche,matted field chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,arvense,,strictum,,native,S5,,confirmed,observed,1972-05-02,B. Stephens,UBC,V138583,,2011-05-14,Emma Harrower,https://www.inaturalist.org/observations/78657697,,50847,VAS,accepted,50847,Cerastium arvense strictum,Cerastium arvense strictum
Cerastium fontanum,Cerastium holosteoides,1005385,Cerastium fontanum,53307,53307,Baumg.,,mouse-ear chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,fontanum,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563618,Cerastium fontanum ssp. triviale reported by HJ (2001),53307,VAS,unaccepted,1005385,Cerastium holosteoides,Cerastium fontanum
Cerastium glomeratum,Cerastium glomeratum,52973,Cerastium glomeratum,52973,52973,Thuill.,,sticky chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,glomeratum,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-17,Andrew Simon,http://www.inaturalist.org/observations/2621726,,52973,VAS,accepted,52973,Cerastium glomeratum,Cerastium glomeratum
Cerastium pumilum,Cerastium pumilum,160341,Cerastium pumilum,160341,160341,Curtis,,dwarf mouse-ear,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,pumilum,,,,exotic,unlisted,,new 2017,observed,,,,,,2017-04-20,Andrew Simon,https://www.inaturalist.org/observations/5885311,,160341,VAS,accepted,160341,Cerastium pumilum,Cerastium pumilum
Cerastium tomentosum,Cerastium tomentosum,160347,Cerastium tomentosum,160347,160347,L.,,snow-in-summer,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Cerastium,tomentosum,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-06-02,Andrew Simon,https://www.inaturalist.org/observations/26288932,,160347,VAS,accepted,160347,Cerastium tomentosum,Cerastium tomentosum
Ceratophyllum echinatum,Ceratophyllum echinatum,160354,Ceratophyllum echinatum,160354,160354,A. Gray,,spring hornwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ceratophyllales,,,Ceratophyllaceae,,,Ceratophyllum,echinatum,,,,native,S4?,,confirmed,observed,1996-05-01,"Harvey Janszen, Jenifer Penny & Charlotte Norris",RBCM,V170227,1949618835,2019-05-04,"Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon",https://www.inaturalist.org/observations/24653208,,160354,VAS,accepted,160354,Ceratophyllum echinatum,Ceratophyllum echinatum
Chamaenerion angustifolium,Chamaenerion angustifolium,564969,Chamaenerion angustifolium,564969,564969,(L.) Scop.,,fireweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Chamaenerion,angustifolium,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-31,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2663711,,564969,VAS,accepted,564969,Chamaenerion angustifolium,Chamaenerion angustifolium
Chenopodium album,Chenopodium album,58127,Chenopodium album,58127,58127,L.,,common lamb's-quarters,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Amaranthaceae,Chenopodioideae,,Chenopodium,album,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-31,Andrew Simon,http://www.inaturalist.org/observations/3786976,,58127,VAS,accepted,58127,Chenopodium album,Chenopodium album
Chimaphila umbellata ssp. umbellata,Chimaphila umbellata umbellata,316609,Chimaphila umbellata,62236,316609,(L.) W.P.C. Barton,,common pipsissewa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Chimaphila,umbellata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2011-12-22,T. Abe Lloyd,https://www.inaturalist.org/observations/38191913,,62236,VAS,accepted,316609,Chimaphila umbellata umbellata,Chimaphila umbellata
Cichorium intybus,Cichorium intybus,52913,Cichorium intybus,52913,52913,L.,,chicory,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Cichorium,intybus,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-14,Andrew Simon,http://www.inaturalist.org/observations/3681048,,52913,VAS,accepted,52913,Cichorium intybus,Cichorium intybus
Cicuta douglasii,Cicuta douglasii,76338,Cicuta douglasii,76338,76338,(DC.) J.M. Coult. & Rose,,Douglas' water-hemlock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Cicuta,douglasii,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296098,,76338,VAS,accepted,76338,Cicuta douglasii,Cicuta douglasii
