"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"beetles (Coleoptera)","Diplous aterrimus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Diplous californicus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Diplous filicornis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ditylus gracilis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ditylus quadricollis","Cedar False Blister Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Donacia hirticollis","Hairy-necked pondweed beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dorcasina matthewsii","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Dryocoetes sp.","","","","",""
"beetles (Coleoptera)","Dytiscus sp.","","","","",""
"beetles (Coleoptera)","Elathous nebulosus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Enoclerus schaefferi","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Enoclerus sphegeus","Red-bellied Clerid","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Epitrix tuberis","Tuber Flea Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Eronyxa pallida","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Etorofus obliteratus","","S5? (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Eumichthus oedipus","","S3S4 (2023)","Blue","",""
"beetles (Coleoptera)","Evodinus monticola","","","","",""
"beetles (Coleoptera)","Exomias pellucidus","Hairy Spider Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Fleutiauxellus manki","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Geodercodes latipennis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Glischrochilus quadrisignatus","Four-spotted Sap Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Gnathotrichus retusus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Gnathotrichus sulcatus","Western hemlock wood stainer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Grammoptera subargentata","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Graphoderus liberus","","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Gyrinus picipes","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Harmonia axyridis","Asian Lady Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Harpalus affinis","Metallic Harpalus","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Helops sp.","","","","",""
"beetles (Coleoptera)","Hemicoelus gibbicollis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hemicrepidius pallidipennis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hemicrepidius sp.","","","","",""
"beetles (Coleoptera)","Heterhelus pennatus","","","","",""
"beetles (Coleoptera)","Hippodamia convergens","Convergent Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hippodamia glacialis","Glacial Lady Beetle","S5? (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hippodamia moesta","Sorrowful Lady Beetle","S4? (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hippodamia oregonensis","Oregon Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hippodamia tredecimpunctata","Thirteen-spotted Lady Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Hypherpes sp.","","","","",""
"beetles (Coleoptera)","Hypocaccus estriatus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Idolus occidentalis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ilybiosoma perplexum","","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Ilybiosoma seriatum","Dot-lined Predaceous Diving Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ilybius vancouverensis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ipelates latus","","S3S4 (2023)","Blue","",""
"beetles (Coleoptera)","Iphthiminus serratus","Serrated Darkling Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ischnomera discolor","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Isomira comstocki","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Laccobius borealis","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Laccobius carri","","","","",""
"beetles (Coleoptera)","Laccophilus maculosus","Dingy Diver","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Lacon rorulentus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Larinus carlinae","Canada Thistle Bud Weevil","","","",""
"beetles (Coleoptera)","Lebia viridis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Leiodes lateritia","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Lepturobosca chrysocoma","Yellow Velvet Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Lepturopsis dolorosa","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Lygistopterus dimidiatus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Macrohydnobius crestonensis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Macrohydnobius montanus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Macropogon piceus","Pitchblack Soft-bodied Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Margarinotus umbrosus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Megapenthes caprella","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Megapenthes nigriventris","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Megapenthes sp.","","","","",""
"beetles (Coleoptera)","Megasemum asperum","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Merhynchites bicolor","Rose Curculio","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Microedus austinianus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Microedus fenderi","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Microedus porterae","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Monochamus clamator","Spotted Pine Sawyer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Monochamus obtusus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Monochamus scutellatus","White-spotted Sawyer","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Mulsantina picta","Painted Lady Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Mycetina idahoensis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Myzia subvittata","Subvittate Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nacerdes melanura","Wharf Borer","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Namunaria pacifica","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nebria mannerheimii","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nebria piperi","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nebria sahlbergii","Alps Ground Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nebria sp.","","","","",""
"beetles (Coleoptera)","Nebria vandykei","","","","",""
"beetles (Coleoptera)","Necrophilus hydrophiloides","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nemozoma punctulatum","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nicrophorus defodiens","Boreal Burying Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nicrophorus investigator","Banded Sexton Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nicrophorus nigrita","Black Burying Beetle","S3 (2023)","Blue","",""
"beetles (Coleoptera)","Nitidolimonius resplendens","Resplendent Click Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nitidolimonius sp.","","","","",""
"beetles (Coleoptera)","Notiophilus sylvaticus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Nycteus infumatus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ochthebius vandykei","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ocypus aeneocephalus","","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Omus dejeanii","Greater Night-stalking Tiger Beetle","S4S5 (2024)","Yellow","",""
"beetles (Coleoptera)","Onthophagus nuchicornis","Small black-and-brown Dung Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Opisthius richardsoni","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Opsimus quadrilineatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Oreodytes alaskanus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Ortholeptura valida","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Otiorhynchus ovatus","Strawberry Root Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Otiorhynchus rugosostriatus","Rough strawberry root weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Otiorhynchus singularis","Clay-coloured Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Otiorhynchus sulcatus","Black Vine Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Pachyta armata","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pacificanthia sp.","","","","",""
"beetles (Coleoptera)","Pactopus horni","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Parascythopus intrusus","","","","",""
"beetles (Coleoptera)","Pardalosus pardalis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Paromalus mancus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Peltis pippingskoeldi","Pippingsköld's Bark-gnawing Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Peltodytes callosus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phellopsis porcata","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phlaeopterus castaneus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phlaeopterus houkae","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phlaeopterus lagrandeuri","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phlaeopterus occidentalis","","","","",""
"beetles (Coleoptera)","Phlaeopterus stacesmithi","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phloeosinus punctatus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phloeosinus sequoiae","Redwood Bark Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Photinus corruscus","Winter Firefly","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Photinus faculus","Little torch firefly","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Photinus hatchi","Pacific Northwest firefly","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Phyllobius intrusus","Arborvitae Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Phyllophaga sp.","","","","",""
"beetles (Coleoptera)","Phymatodes nitidus","sequoia cone borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pidonia quadrata","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pidonia scripta","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pityophthorus nitidulus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Planolinoides pectoralis","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Plateumaris germari","Germar's reed beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Plateumaris sp.","Spade reed beetles","","","",""
"beetles (Coleoptera)","Platycerus oregonensis","Oregon Stag Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Platydema sp.","","","","",""
"beetles (Coleoptera)","Plectrura spinicauda","Thorn-tailed Longhorn Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Podabrus pruinosus","Downy Leather-winged Beetle","S4 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Polydrusus formosus","Green Immigrant Leaf Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Polyphylla crinita","Long-haired June Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Polyphylla decemlineata","Ten-lined June Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Proludius comes","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Promecognathus crassus","Straight-jawed Pedunculate Ground Beetle","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Prosternon bombycinum","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Prothalpia holmbergi","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pseudanostirus hoppingi","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pseudohylesinus nebulosus","Douglas-fir pole beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pseudohylesinus sericeus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Psyllobora borealis","Western Fairy Lady Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Psyllobora vigintimaculata","Twenty-spotted Lady Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pterostichus algidus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pterostichus herculaneus","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pterostichus lama","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pterostichus melanarius","Rain Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Ptinus raptor","","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Punicealis hamata","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Pyrrhalta viburni","Viburnum Leaf Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Quedius erythrogaster","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Quedius transparens","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Rhagium inquisitor","Ribbed Pine Borer","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Rhagonycha fulva","Common Red Soldier Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Rhinocyllus conicus","Nodding Thistle Receptacle Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Rhizophagus minutus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Rosalia funebris","Banded Alder Borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Saprinus oregonensis","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Scaphinotus angulatus","Angular Snail-eating Beetle","S3S5 (2023)","Blue","",""
"beetles (Coleoptera)","Scaphinotus angusticollis","Narrow-collared Snail-eating Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Scaphinotus cavicollis","Concave-collared Snail-eating Beetle","","","",""
"beetles (Coleoptera)","Scaphinotus johnsoni","Johnson's Snail-eating Beetle","S1S3 (2023)","Red","",""
"beetles (Coleoptera)","Scaphinotus marginatus","Margined Snail-eating Beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Sciaphilus asperatus","Strawberry Root Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Sciopithes obscurus","obscure root weevil","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Scymnus caurinus","","S4? (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Scymnus lacustris","","S4 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Scymnus nebulosus","Nebulous Lady Beetle","S3S4 (2023)","Blue","",""
"beetles (Coleoptera)","Selatosomus festivus","Festive Click Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Selatosomus montanus","Mount Revelstoke Click Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Selatosomus suckleyi","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Serica sp.","","","","",""
"beetles (Coleoptera)","Silis lutea","","S2S4 (2023)","Blue","",""
"beetles (Coleoptera)","Sinodendron rugosum","Rugose Stag Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Sitona hispidulus","Clover Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Sitona obsoletus","Clover root weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Sphaerites politus","American False Clown Beetle","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Stenocorus flavolineatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Stenus comma","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Steremnius carinatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Sthereus horridus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Stictalia brevicornis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Strophosoma melanogrammum","Nut Leaf Weevil","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Synaphaeta guexi","Spotted Tree Borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tanyrhinus singularis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tasgius ater","","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Temnoscheila chlorodia","Pine Trogossitid Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tenebrio molitor","Yellow Mealworm Beetle","SNA (2023)","Exotic","",""
"beetles (Coleoptera)","Trachykele blondeli","Western Cedar Borer","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Trachypachus holmbergi","","","","",""
"beetles (Coleoptera)","Trachypachus inermis","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tragosoma harrisii","Hairy Pine Borer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Trechus ovipennis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Trichocnemis spiculatus","Spined Woodborer","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Trichocnemis spiculatus spiculatus","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tricholochmaea punctipennis","Pacific Willow Leaf Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Triplax californica","","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Tropisternus columbianus","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Trox sp.","","","","",""
"beetles (Coleoptera)","Trypodendron lineatum","Striped ambrosia beetle","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Upis ceramboides","Roughened Darkling Beetle","S4S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Xanthochroina bicolor","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Xestobium abietis","","SU (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Xestoleptura crassipes","","S5 (2023)","Not Reviewed","",""
"beetles (Coleoptera)","Xylotrechus undulatus","","S4S5 (2023)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Abagrotis apposita","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Abagrotis baueri","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Abagrotis pulchrata","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Abrostola urentis","Spectacled Nettle Moth","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acasis viridata","Olive-and-black Carpet Moth","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acerra normalis","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Achroia grisella","Lesser Wax Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Acleris britannia","","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acleris curvalana","Blueberry Leaftier Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Acleris effractana","Hook-winged Tortrix Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Acleris gloveranus","Western Black-headed Budworm","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acleris maccana","Marbled Button","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acleris macdunnoughi","MacDunnough's Acleris","","","",""
"butterflies and moths (Lepidoptera)","Acleris maximana","","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acleris nivisellana","Snowy-shouldered Acleris Moth","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acleris variegana","Garden Rose Tortrix","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Acrobasis tricolorella","Tricolored Acrobasis Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acronicta cyanescens","Blue-gray Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta grisea","Gray Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta impleta","Powdered Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta innotata","Unmarked Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta insita","Large Gray Dagger","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Acronicta lepusculina","Cottonwood Dagger","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta oblinita","Smeared Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta perdita","Pacific Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Acronicta radcliffei","Radcliffe's Dagger","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Adela septentrionella","Ocean Spray Fairy Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Adelphagrotis indeterminata","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Adelphagrotis stellaris","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Aethalura intertexta","Four-barred Gray","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Aglais milberti","Milbert's Tortoiseshell","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Aglossa cuprina","Grease Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Aglossa pinguinalis","Large Tabby","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Agnippe prunifoliella","Skunk Twirler","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Agonopterix alstroemeriana","Poison hemlock moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Agonopterix canadensis","Canadian Agonopterix Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Agonopterix nervosa","Gorse Tip Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Agonopterix rosaciliella","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Agriades glandon","Arctic Blue","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Agriades glandon franklinii","","","","",""
"butterflies and moths (Lepidoptera)","Agriades glandon megalo","","S5 (2023)","Yellow","",""
"butterflies and moths (Lepidoptera)","Agriphila sp.","","","","",""
"butterflies and moths (Lepidoptera)","Agrotina sp.","","","","",""
"butterflies and moths (Lepidoptera)","Agrotis ipsilon","Ipsilon Dart Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Agrotis vancouverensis","Vancouver Dart","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Albuna pyramidalis","Fireweed Clearwing Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Alucita montana","Montana Six-plume Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Alypia langtoni","Langton's Forester","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Amblyscirtes vialis","Common Roadside-Skipper","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Amorbia cuneanum","Western Avocado Leafroller Moth","S4 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Amphipyra pyramidoides","American Copper Underwing","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Anania hortulata","Small Magpie","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Anania mysippusalis","","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Anania tertialis","Guenée's Pearl","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Anaplectoides prasina","Green Arches","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Anavitrinella pampinaria","North American Common Gray","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Ancylosis undulatella","Sugarbeet Crown Borer Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Androloma maccullochii","MacCulloch's Forester Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Andropolia aedon","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Andropolia theodori","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Anhimella perbrunnea","","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Annaphila diva","White Annaphila","S3S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Antepirrhoe fasciata","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Antepirrhoe semiatrata","Black-banded Carpet","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Antheraea polyphemus","Polyphemus Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Anthocharis julia","Julia Orangetip","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Anthocharis sara","Sara Orangetip","","","",""
"butterflies and moths (Lepidoptera)","Anticlea vasiliata","Variable Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea alia","Fox Apamea","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea amputatrix","Yellow-headed Cutworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Apamea antennata","","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Apamea atriclava","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea cogitata","Thoughtful Apamea","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Apamea cuculliformis","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Apamea devastator","Glassy Cutworm Moth","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Apamea impulsa","","S4S5 (2020)","Not Reviewed","",""
