"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Mycena quiniaultensis","A.H. Sm.","","SU (2021)","Unknown","",""
"Mycena rubromarginata","(Fr.) P. Kumm.","red edge bonnet","S4 (2021)","Yellow","",""
"Mycena sanguinolenta","(Alb. & Schwein.) P. Kumm.","Bleeding Bonnet","S4 (2021)","Yellow","",""
"Mycena strobilinoidea","Peck","flame bonnet","S4 (2021)","Yellow","",""
"Panellus stipticus","(Bull.) P. Karst","Luminescent Panellus","S4 (2021)","Yellow","",""
"Roridomyces roridus","(Fr.) Rexer","Dripping Bonnet","S4 (2021)","Yellow","",""
"Stagnicola perplexa","(F.C. Baker) W.A. Walker","puzzling rootshank","S4 (2021)","Yellow","",""
"Naematelia aurantia","Schwein. Schrift. Naturf. Ges. Leipzig","golden ear","S5 (2025)","Yellow","",""
"Naematelia encephala","(Willd.) Fr.","Conifer Brain","S3S5 (2021)","Yellow","",""
"Naohidea sebacea","(Berk. & Broome) Oberw.","","SU (2021)","Unknown","",""
"Corinectria fuckeliana","(C. Booth) C. González & P. Chaverri","","SU (2021)","Unknown","",""
"Nectria cinnabarina","(Tode) Fries","Coral Spot","S4 (2021)","Yellow","",""
"Crucibulum laeve","(Huds.) Kambly","common bird's nest fungus","S4 (2021)","Yellow","",""
"Cyathus striatus","(Huds.) Willd.","fluted bird's nest fungus","SU (2021)","Unknown","",""
"Nidula candida","(Peck) V.S. White","jellied bird's nest fungus","S4S5 (2021)","Yellow","",""
"Nidula niveotomentosa","(Henn.) Lloyd","woolly bird's nest fungus","S4 (2021)","Yellow","",""
"Infundibulicybe gibba","(Pers.) Harmaja","Common Funnel","S2S4 (2021)","Blue","",""
"Collybiopsis confluens","(Pers.) R.H. Petersen","clustered toughshank","S4 (2021)","Yellow","",""
"Collybiopsis peronata","(Bolton) J.S. Oliveira","Wood Woolly-foot","SNA (2021)","Exotic","",""
"Connopus acervatus","(Fr.) R.H. Petersen","Cluster Cap","SU (2021)","Unknown","",""
"Gymnopus dryophilus","(Bull.) Murrill","Oak-loving Gymnopus","S4? (2021)","Yellow","",""
"Gymnopus striatipes","(Peck) Halling","","SU (2021)","Unknown","",""
"Mycetinis salalis","(Redhead) Desjardin","","S4 (2021)","Yellow","",""
"Rhodocollybia butyracea","(Bull.) Lennox","Buttery Collybia","S4 (2021)","Yellow","",""
"Rhodocollybia maculata","(Alb. & Schwein.) Singer","Spotted Collybia","S4 (2021)","Yellow","",""
"Tolypocladium ophioglossoides","(Ehrh. ex J.F. Gmel.) Quandt, Kepler & Spatafora","Snaketongue Truffleclub","S2S4 (2021)","Blue","",""
"Panus lecomtei","(Fr.) Corner","Hairy Oyster Mushroom","","","",""
"Alpova diplophloeus","(Zeller & C.W. Dodge) Trappe & A.H. Sm.","","S3S5 (2021)","Yellow","",""
"Paxillus cuprinus","P.D. Orton","Coppery Pax","","","",""
"Paxillus involutus","(Batsch) Fr.","Brown Roll-Rim","S4S5 (2021)","Yellow","",""
"Peniophora incarnata","(Pers.) P. Karst.","Rosy Crust","S4 (2021)","Yellow","",""
"Scytinostroma ochroleucum","(Bres.) Donk","","SU (2021)","","",""
"Scytinostroma portentosum","(Berk. & M.A. Curtis) Donk","mothball crust","S4 (2021)","Yellow","",""
"Peziza varia","(Hedw.) Fr.","layered cup","S3 (2021)","Blue","",""
"Rugosporella atrovinosa","(Boud.) Höhn.","","SU (2021)","Unknown","",""
"Calycina citrina","(Hedw.) Gray","Yellow Fairy Cups","S4 (2021)","Yellow","",""
"Phaeolus schweinitzii","(Fr.) Pat.","Dyer's Polypore","S4 (2021)","Yellow","",""
"Ophiobolus acuminatus","(Sowerby) Duby","","","","",""
"Phaeotremella foliacea","(Pers.) Wedin, J.C. Zamora & Millanes","Leafy Brain","S2S4 (2021)","Blue","",""
"Phallus impudicus","L.","common stinkhorn","S3S4 (2021)","Yellow","",""
"Bjerkandera adusta","(Willd.) P. Karst.","Smoky polypore","S2S4 (2021)","Blue","",""
"Rhizochaete sulphurina","(P. Karst.) K.H. Larss.","","SU (2021)","Unknown","",""
"Helicogloea lagerheimii","Pat.","","SU (2021)","Unknown","",""
"Phragmidium montivagum","Arthur","","","","",""
"Spinellus fusiger","(Link) Tiegh.","bonnet mold","","","",""
"Phyllachora graminis","(Pers.) Fuckel","","","","",""
"Phyllotopsis nidulans","(Pers.) Singer","Stinking Orange Oyster","S4 (2021)","Yellow","",""
"Pleurocybella porrigens","(Pers.) Singer","angel's wings","S4S5 (2021)","Yellow","",""
"Tricholomopsis decora","(Fr.) Singer","Decorated Mop","S2S4 (2021)","Blue","",""
"Armillaria gallica","Marxm.","Bulbous Honey Fungus","SU (2021)","Unknown","",""
"Armillaria mellea","(Vahl) P. Kumm.","Honey Mushroom","S4 (2025)","Yellow","",""
"Armillaria nabsnona","T.J. Volk & Burds.","","S2S4 (2021)","Blue","",""
"Armillaria ostoyae","(Romagn.) Herink","Honey Mushroom","S3S4 (2021)","Yellow","",""
"Armillaria sinapina","Bérubé & Dessureault","","S3S4 (2021)","Yellow","",""
"Cylindrobasidium evolvens","(Fr.) Jülich","","SU (2021)","Unknown","",""
"Cylindrobasidium laeve","(Pers.) Chamuris","tear dropper","SU (2021)","Unknown","",""
"Flammulina velutipes","(Curtis) Singer","Velvet Foot","S3S4 (2021)","Yellow","",""
"Strobilurus trullisatus","(Murrill) Lennox","Fir-Cone Mushroom","S4 (2021)","Yellow","",""
"Hohenbuehelia petaloides","(Bull.) Schulzer","Shoehorn Oyster","SU (2021)","Unknown","",""
"Pleurotus dryinus","(Pers.) P. Kumm.","Veiled Oyster","S4 (2021)","Yellow","",""
"Pleurotus ostreatus","(Jacq. ex Fr.) P. Kumm.","Oyster Mushroom","S4S5 (2021)","Yellow","",""
"Pleurotus pulmonarius","(Fr.) Quél.","pale oyster","SU (2021)","Unknown","",""
"Pluteus cervinus","(Schaeff.) P. Kumm.","Deer Mushroom","S4 (2021)","Yellow","",""
"Pluteus tomentosulus","P.D. Orton","","S4 (2021)","Yellow","",""
"Abortiporus biennis","(Bull.) Singer","Blushing Rosette","SU (2021)","Unknown","",""
"Polyozellus multiplex","(Underw.) Murrill","blue chanterelle","","","",""
"Australoporus tasmanicus","(Berk.) P.K. Buchanan & Ryvarden","","SU (2025)","Unknown","",""
"Cryptoporus volvatus","(Peck) Shea","Veiled Polypore","S3S4 (2021)","Yellow","",""
"Fomes fomentarius","(L.) Fr.","Hoof Fungus","S4S5 (2021)","Yellow","",""
"Ganoderma applanatum","(Pers.) Pat.","artist's bracket","S3S5 (2021)","Yellow","",""
"Ganoderma brownii","(Murrill) Gilb.","Artist's Conk","SU (2021)","Unknown","",""
"Ganoderma oregonense","Murrill","West Coast Reishi","S3S4 (2021)","Yellow","",""
"Picipes badius","(Pers.) Zmitr. & Kovalenko","Bay Polypore","S4 (2021)","Yellow","",""
"Polyporus tuberaster","(Jacq. ex Pers.) Fr.","tuberous polypore","S4 (2021)","Yellow","",""
"Poriella subacida","(Peck) Ginns","Stringy Butt Rot","S5 (2021)","Yellow","",""
"Trametes cinnabarina","(Jacq.) Fr.","Northern Cinnabar Polypore","S4 (2021)","","",""
"Trametes gibbosa","(Pers.) Fr.","Lumpy Bracket","SU (2021)","Unknown","",""
"Trametes hirsuta","(Wulfen) Lloyd","Hairy Bracket","S2S4 (2021)","Blue","",""
"Trametes ochracea","(Pers.) Gilb. & Ryvarden","Ochre Bracket","SU (2021)","Unknown","",""
"Trametes pubescens","(Schumach.) Pilát","white-rot fungus","SU (2021)","Unknown","",""
"Trametes versicolor","(L.: Fries) Pilát","turkey-tail","S3S5 (2021)","Yellow","",""
"Atheniella adonis","(Bull.) Redhead, Moncalvo, Vilgalys, Desjardin & B.A. Perry","Scarlet Bonnet","S3S4 (2021)","Yellow","",""
"Atheniella aurantiidisca","(Murrill) Redhead, Moncalvo, Vilgalys, Desjardin, B.A. Perry","tangerine bonnet","S3S4 (2021)","Yellow","",""
"Gerronema atrialbum","(Murrill) Borovička & Kolařík","","SU (2021)","Unknown","",""
"Scytinotus longinquus","(Berk.) Thorn.","Rosy Oysterling","S4 (2021)","Yellow","",""
"Calcipostia guttulata","(Peck) B.K. Cui, L.L. Shen & Y.C. Dai","","S4 (2021)","Yellow","",""
"Cyanosporus caesius","(Schrad.) McGinty","Blue Cheese Polypore","S4 (2021)","Yellow","",""
"Jahnoporus hirtus","(W.A. Murrill) Ryvarden","Bitter Iodine Polypore","S3S4 (2021)","Yellow","",""
"Ptychogaster albus","Corda","Powderpuff Bracket","SU (2021)","Unknown","",""
"Candolleomyces candolleanus","(Fr.) D. Wächt. & A. Melzer","Pale Brittlestem","S4 (2021)","Yellow","",""
"Coprinellus micaceus","(Bull.:Fr.) Vilgalys, Hopple & Jacq. Johnson","mica cap","SU (2021)","Unknown","",""
"Coprinopsis atramentaria","(Bull.:Fr.) Redhead","Common Ink Cap","S3S4 (2021)","Yellow","",""
"Coprinopsis lagopus","(Fr.) Redhead, Vilgalys & Moncalvo","hare's foot inkcap","SU (2021)","Unknown","",""
"Lacrymaria lacrymabunda","(Bull.: Fr.) Pat.","weeping widow","SU (2021)","Unknown","",""
"Psathyrella longistriata","(Peck) A.H. Sm.","Ringed brittlestem","S4S5 (2021)","Yellow","",""
"Psathyrella lutensis","(Romagn.) M.M. Moser","","","","",""
"Puccinia porphyrogenita","Cummins & Y. Hirats.","","","","",""
"Calyptospora columnaris","(Kuehn) Kleb.","Huckleberry Broom Rust Fungus","","","",""
"Pycnoporellus alboluteus","(Ellis & Everh.) Kotl. & Pouzar","","S4 (2021)","Yellow","",""
"Pycnoporellus fulgens","(Fr.) Donk.","","S4 (2021)","Yellow","",""
"Aleuria aurantia","(Pers.) Fuckel","orange peel fungus","S3S4 (2021)","Yellow","",""
"Scutellinia scutellata","(L.) Lambotte","Common Eyelash","S4 (2021)","Yellow","",""
"Coccomyces dentatus","(J.C. Schmidt & Kunze) Sacc.","Map Fungus","SU (2021)","Unknown","",""
"Rhytisma punctatum","(Pers) Fr.","Speckled Tar Spot","S4S5 (2021)","Yellow","",""
"Alloclavaria purpurea","(O.F. Müll.) Dentinger & D.J. McLaughlin","Purple Spindles","S3S4 (2021)","Yellow","",""
"Rickenella fibula","(Bull.) Raithelh.","Orange Moss Navel","S4 (2021)","Yellow","",""
"Rigidoporus corticola","(Fr.) Pouzar","","S4 (2021)","Yellow","",""
"Lactarius controversus","(Pers.) Pers.","Blushing Milkcap","S4 (2021)","Yellow","",""
"Lactarius deliciosus","(L.) Gray","saffron milkcap","S4 (2021)","Yellow","",""
"Lactarius fallax","A.H. Sm. & Hesler","Velvety Milk Cap","S4 (2021)","Yellow","",""
"Lactarius kauffmanii","Hesler & A.H. Sm.","Kauffman's Milk Cap","S4 (2021)","Yellow","",""
"Lactarius luculentus","Burl.","","S4 (2021)","Yellow","",""
"Lactarius montanus","Peck","","SU (2021)","Unknown","",""
"Lactarius pseudomucidus","A.H. Sm. & Hesler","Gray-stemmed Milk Cap","S4 (2021)","Yellow","",""
"Lactarius rubrilacteus","Hesler & A.H. Sm.","Red-bleeding Milk Cap","S4 (2021)","Yellow","",""
"Lactarius rufus","(Fr.) Fr.","Rufous Milkcap","S4 (2021)","Yellow","",""
"Lactarius scrobiculatus","(Scop.) Fr.","spotted milkcap","S4 (2021)","Yellow","",""
"Lactarius trivialis","(Fr.) Fr.","tacked milkcap","SU (2021)","Unknown","",""
"Lactarius turpis","(Weinm.) Fr.","Ugly Milkcap","","","",""
"Russula adusta","(Pers.) Fr.","Blackening Russula","S4 (2021)","Yellow","",""
"Russula atropurpurea","Krombh.","Purple Brittlegill","SU (2021)","Unknown","",""
"Russula betularum","Hora","Birch Brittlegill","SU (2021)","Unknown","",""
"Russula brevipes","Peck","Short-stemmed Russula","S4 (2021)","Yellow","",""
"Russula cascadensis","Shaffer","","S4 (2021)","Yellow","",""
"Russula cavipes","Britzelm.","","S4 (2021)","Yellow","",""
"Russula cessans","A. Pearson","tardy brittlegill","S4 (2021)","Yellow","",""
"Russula crassotunicata","Singer","","S4 (2021)","Yellow","",""
"Russula cyanoxantha","(Schaeff.) Fr.","Charcoal Burner","S4 (2021)","Yellow","",""
"Russula decolorans","(Fr.) Fr.","Copper Brittlegill","S4 (2021)","Yellow","",""
"Russula emetica","(Schaeff.) Pers.","the sickener","S4 (2021)","Yellow","",""
"Russula viscida","Kudrna","","S4 (2021)","Yellow","",""
"Russula xerampelina","(Schaeff.) Fr.","Shellfish-scented Russula","S4S5 (2021)","Yellow","",""
"Sarcomyxa serotina","(Pers.) P. Karst.","Late Oyster","S4 (2021)","Yellow","",""
"Sarcoscypha coccinea","(Scop.) Lambotte","Scarlet Cup","S4 (2021)","Yellow","",""
"Donadinia nigrella","(Seaver) M. Carbone, Agnello & P. Alvarado","Midnight Goblet","S4 (2021)","Yellow","",""
"Plectania melastoma","(Sowerby ex Fr.) Fuckel","corona cup","S4 (2021)","Yellow","",""
"Plectania milleri","Paden & Tylutki","","S2S3 (2021)","Blue","",""
"Pseudoplectania nigrella","(Pers.) Fuckel","ebony cup","S4 (2021)","Yellow","",""
"Urnula padeniana","Tylutki","","SU (2021)","Unknown","",""
"Schizophyllum commune","Fries","splitgill mushroom","S4 (2021)","Yellow","",""
"Scleroderma polyrhizum","(J.F. Gmel.) Pers.","Many-rooted Earthball","SU (2021)","Unknown","",""
"Ciboria rufofusca","(O. Weberb.) Sacc.","Chocolate Cone Cup","S2S4 (2021)","Blue","",""
"Sparassis crispa","(Wulfen) Fr.","Cauliflower Fungus","S4 (2021)","","",""
"Sparassis radicata","Weir","Western cauliflower mushroom","S4 (2021)","Yellow","",""
"Sporormiella australis","Speg.","","","","",""
"Cystoderma amianthinum","(Scop.) Fayod","Earthy Powdercap","S5 (2021)","Yellow","",""
"Cystoderma aureum","(Matt.) Kühner & Romagn","Golden Cap","S4S5 (2021)","Yellow","",""
"Steccherinum ochraceum","(Pers.) Gray","Ochre Spreading Tooth","S4 (2021)","Yellow","",""
"Aleurodiscus penicillatus","Burt","","","","",""
"Stereum complicatum","(Fr.) Fr.","crowded parchment","S4 (2021)","Yellow","",""
"Stereum hirsutum","(Willd.) Pers.","hairy curtain crust","S5 (2021)","Yellow","",""
"Stereum ochraceoflavum","Schwein.) Ellis.","","S4 (2021)","Yellow","",""
"Stereum ostrea","(Blume & T. Nees) Fr.","False Turkey-Tail","S4 (2021)","Yellow","",""
"Stereum sanguinolentum","(Alb. & Schwein.) Fr.","Bleeding Conifer Crust","S5 (2021)","Yellow","",""
"Stereum vellereum","(Ellis & Cragin) Sacc.","","SU (2021)","Unknown","",""
"Stictis radiata","(L.) Pers.","","","","",""
"Hypholoma capnoides","Fr.) P. Kumm","Smoky-gilled Hypholoma","S4 (2021)","Yellow","",""
"Hypholoma elongatum","(Pers.) Ricken","sphagnum brownie","S4 (2021)","Yellow","",""
"Hypholoma fasciculare","(Huds. Fr.) P. Kumm","Sulphur Tuft","S4S5 (2021)","Yellow","",""
"Leratiomyces ceres","(Cooke & Massee) Spooner & Bridge","Chip Cherries","SNA (2021)","Exotic","",""
"Phaeonematoloma myosotis","(Fr.) Singer","olive brownie","S4 (2021)","Yellow","",""
"Pholiota aurivella","(Batsch) P. Kumm.","Golden Pholiota","S4 (2021)","Yellow","",""
"Pholiota flammans","(Fr.) P. Kumm.","flaming scalycap","S4 (2021)","Yellow","",""
"Pholiota limonella","(Peck) Sacc.","","S4 (2021)","Yellow","",""
"Pholiota scamba","(Fr.) M.M. Moser","","S4 (2021)","Yellow","",""
"Pholiota squarrosa","(Vahl) P. Kumm.","shaggy scalycap","S4S5 (2021)","Yellow","",""
"Pholiota squarrosoides","(Peck) Sacc.","Sharp-scaly Pholiota","S4 (2021)","Yellow","",""
"Stropharia aeruginosa","(Curtis) Quél.","Verdigris Agaric","S4 (2021)","Yellow","",""
"Stropharia ambigua","(Peck) Zeller","Questionable Stropharia","S4 (2021)","Yellow","",""
"Stropharia hornemannii","(Fr.) S. Lundell & Nannf.","Conifer roundhead","S4 (2021)","Yellow","",""
"Stropharia rugosoannulata","Farl. ex Murrill","Wine-cap Stropharia","SU (2021)","Unknown","",""
"Suillus caerulescens","A.H. Sm. & Thiers","Fat Jack","S4 (2021)","Yellow","",""
"Suillus lakei","(Murrill) A.H. Sm. and Thiers","Western Painted Suillus","S4 (2021)","Yellow","",""
"Suillus luteus","(L.) Roussel","Purple-veiled Slippery Jack","S4 (2021)","Yellow","",""
"Suillus tomentosus","(Kauffman) Singer","Blue-staining Slippery Jack","S4 (2021)","Yellow","",""
"Tapinella atrotomentosa","(Batsch) Šutara","Velvet-footed Tap","SU (2021)","Unknown","",""
"Tapinella panuoides","(Fr.) E.-J. Gilbert","Oyster Rollrim","S2S4 (2021)","Blue","",""
"Geopyxis carbonaria","(Alb. & Schwein.) Sacc.","Stalked Bonfire Cup","S3 (2021)","Blue","",""
"Thelephora caryophyllea","(Schaeff.) Pers.","","S2S4 (2021)","Blue","",""
"Thelephora terrestris","Ehrh.: Fr.","Common Fiber Vase","S4 (2021)","Yellow","",""
"Tilachlidium brachiatum","(Batsch) P. Karst.","","SU (2021)","Unknown","",""
"Sirotrema pusilla","(Fr.) Donk","","","","",""
"Tremella mesenterica","Retz.","witch's butter","S5? (2021)","Yellow","",""
"Tremellodendropsis tuberosa","(Grev.) D.A. Crawford","ashen coral","SU (2021)","Unknown","",""
"Leucopaxillus gentianeus","(Quél.) Kotl.","Bitter Brown Leucopax","S4 (2021)","Yellow","",""
"Tricholoma albobrunneum","(Pers.) P. Kumm.","","S2S3 (2021)","Blue","",""
"Tricholoma apium","(Jul. Schäff.) Ricken","","S3 (2021)","Blue","",""
"Tricholoma atroviolaceum","A.H. Sm.","","S3S4 (2021)","Yellow","",""
"Tricholoma focale","(Fr.) Ricken","Necklace Tricholoma","S3S4 (2021)","","",""
"Tricholoma murrillianum","A.H. Sm.","Western Matsutake","S4 (2021)","Yellow","",""
"Tricholoma saponaceum","(Fr.) P. Kumm.","Soapy Trich","S4S5 (2021)","Yellow","",""
"Tricholoma terreum","(Schaeff.) P. Kumm.","Grey Knight","SU (2021)","Unknown","",""
"Tricholoma vaccinum","(Schaeff.) P. Kumm.","russet scaly tricholoma","S4 (2021)","Yellow","",""
"Tricholoma virgatum","(Fr.) P. Kumm.","","S3S4 (2021)","Yellow","",""
"Cudoniella clavus","(Alb. & Schwein.) Dennis","spring pin","S3S4 (2021)","Yellow","",""
"Tubaria confragosa","(Fr.) Harmaja","","SU (2021)","Unknown","",""
"Tubulicrinis glebulosus","(Fr.) Donk","","S3S4 (2021)","Yellow","",""
"Tulasnella calospora","(Boud.) Juel","","SU (2021)","Unknown","",""
"Tulasnella pinicola","Bourdot & Galzin","","SU (2021)","Unknown","",""
"Cystodermella cinnabarina","(Alb. & Schwein.) Harmaja","cinnabar powdercap","","","",""
"Guepinia helvelloides","(DC.) Fr.","Apricot Jelly","SU (2021)","Unknown","",""
"Protohydnum sucinum","(Schwein.) Lloyd","","S2S4 (2021)","Blue","",""
"Pruinomycena acicula","Schaeff.) P. Kumm","orange bonnet","S4 (2021)","Yellow","",""
"Pseudohydnum gelatinosum","(Scop.) P. Karst","Toothed Jelly Fungus","S4S5 (2021)","Yellow","",""
"Rimbachia bryophila","(Pers.) Redhead","veined mossear","SU (2021)","Unknown","",""
"Zalerion maritima","(Linder) Anastasiou","","","","",""
"Echinoderma asperum","(Pers.) Bon","Freckled Dapperling","SU (2021)","Unknown","",""
"Lepiota clypeolaria","(Bull.) P. Kumm.","Shield Dapperling","S4S5 (2021)","Yellow","",""
"Lepiota magnispora","Murrill","yellowfoot dapperling","SU (2021)","Unknown","",""
"Vibrissea truncorum","(Alb. & Schwein.) Fr.","water club mushroom","S3S4 (2021)","Yellow","",""
"Volvariella volvacea","(Bull.) Singer","paddy straw mushroom","SU (2021)","Unknown","",""
"Collemopsidium foveolatum","(A.L. Sm.) F. Mohr","","S5 (2023)","Yellow","",""
"Heimiomyces tenuipes","(Schwein.) A.H.Sm.","Orange Faint Foot Mushroom","","","",""
"Xeromphalina campanella","(Batsch) Kühner & Maire","Pinewood Gingertail","SU (2021)","Unknown","",""
"Kretzschmaria deusta","(Hoffm.) P.M.D. Martin","Brittle Cinder","S4S5 (2021)","Yellow","",""
"Xylaria hypoxylon","(L.) Grev.","Candlesnuff Fungus","S5 (2021)","Yellow","",""
"Xylaria polymorpha","(Pers.) Grev.","dead man's fingers","SU (2021)","Unknown","",""
"Zythia resinae","(Fr.) Kuntze","","SU (2021)","Unknown","",""
