"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Sparganium emersum","Rehmann","unbranched bur-reed","S5 (2019)","Yellow","",""
"Sparganium natans","L.","Small Bur-reed","S5 (2019)","Yellow","",""
"Typha angustifolia","L.","narrow-leaved cattail","SNA (2019)","Exotic","",""
"Typha latifolia","L.","broadleaf cattail","S5 (2019)","Yellow","",""
"Woodsia oregana ssp. oregana","D.C. Eaton","Oregon Woodsia (Diploid)","S5 (2019)","Yellow","",""
"Dendrolycopodium dendroideum","(Michx.) A. Haines","prickly tree-clubmoss","S5 (2019)","Yellow","",""
"Diphasiastrum alpinum","(L.) Holub","alpine clubmoss","S5 (2019)","Yellow","",""
"Diphasiastrum complanatum","(L.) Holub","northern ground-cedar","S5 (2019)","Yellow","",""
"Diphasiastrum sitchense","(Rupr.) Holub","Sitka clubmoss","S5 (2019)","Yellow","",""
"Huperzia continentalis","Testo, A. Haines & A.V. Gilman","Alpine firmoss","S5 (2019)","Yellow","",""
"Huperzia haleakalae","(Brack.) Holub","Haleakala Fir-clubmoss","S5 (2019)","Yellow","",""
"Huperzia miyoshiana","(Makino) Ching","Chinese clubmoss","S5 (2019)","Yellow","",""
"Huperzia occidentalis","(Clute) Kartesz & Gandhi","Pacific clubmoss","S5 (2019)","Yellow","",""
"Lycopodiella inundata","(L.) Holub","inundated bog clubmoss","S5 (2019)","Yellow","",""
"Lycopodium clavatum","L.","stag's-horn clubmoss","S5 (2019)","Yellow","",""
"Spinulum annotinum","(L.) A. Haines","interrupted clubmoss","S5 (2019)","Yellow","",""
"Ribes acerifolium","Howell","Maple currant","S5 (2019)","Yellow","",""
"Ribes bracteosum","Dougl.","Stink Currant","S5 (2019)","Yellow","",""
"Ribes divaricatum var. divaricatum","Dougl.","spreading gooseberry","S5 (2019)","Yellow","",""
"Ribes lacustre","(Pers.) Poir.","swamp currant","S5 (2019)","Yellow","",""
"Ribes laxiflorum","Pursh","Trailing Blackcurrant","S5 (2019)","Yellow","",""
"Ribes sanguineum var. sanguineum","Pursh","Winter Currant","S5 (2019)","Yellow","",""
"Ribes triste","Pallas","northern redcurrant","S5 (2019)","Yellow","",""
"Callitropsis nootkatensis","(D.Don) Oerst.","Alaska yellow cedar","S4 (2019)","Yellow","",""
"Juniperus communis","Willd.","common juniper","S5 (2012)","Yellow","",""
"Juniperus maritima","R.P. Adams","Seaside Juniper","S4S5 (2019)","Yellow","",""
"Juniperus scopulorum","Sarg.","Rocky Mountain Juniper","S4 (2019)","Yellow","",""
"Thuja plicata","Donn ex D. Don","western redcedar","S5 (2019)","Yellow","",""
"Ruppia maritima","L.","widgeongrass","S5 (2019)","Yellow","",""
"Apocynum androsaemifolium","L.","spreading dogbane","S5 (2019)","Yellow","",""
"Vinca major","L.","greater periwinkle","SNA (2019)","Exotic","",""
"Vinca minor","L.","lesser periwinkle","SNA (2019)","Exotic","",""
"Cornus canadensis","L.","Canadian bunchberry","S5 (2019)","Yellow","",""
"Cornus nuttallii","Audubon ex Torr. & A. Gray","Pacific Dogwood","S5 (2019)","Yellow","",""
"Cornus sanguinea","L.","common dogwood","SNA (2019)","Exotic","",""
"Cornus sericea","Michx.","red osier dogwood","S5 (2019)","Yellow","",""
"Cornus unalaschkensis","Ledeb.","Western Bunchberry","S5 (2019)","Yellow","",""
"Zostera marina","L.","Eelgrass","S5 (2019)","Yellow","",""
"Chamaenerion angustifolium","(L.) Scop.","fireweed","S5 (2019)","Yellow","",""
"Chamaenerion latifolium","(L.) Sweet","Dwarf Fireweed","S5 (2019)","Yellow","",""
"Circaea alpina ssp. alpina","L.","Small Enchanter's Nightshade","S5 (2020)","Yellow","",""
"Circaea alpina ssp. pacifica","(Aschers. & Magnus) Raven; L.","Pacific enchanter's-nightshade","S5 (2020)","Yellow","",""
"Epilobium anagallidifolium","Lam.","Pimpernel Willowherb","S5 (2019)","Yellow","",""
"Epilobium brachycarpum","C. Presl","panicled willowherb","S5 (2019)","Yellow","",""
"Epilobium ciliatum","Raf.","fringed willowherb","S5 (2020)","Yellow","",""
"Epilobium clavatum","Trelease","Clavate-fruit Willowherb","S5 (2019)","Yellow","",""
"Epilobium hornemannii ssp. behringianum","(Hausskn.) Hoch & Raven","Bering Willowherb","SU (2020)","Unknown","",""
"Epilobium hornemannii ssp. hornemannii","Rchb.","Hornemann’s willowherb","S5 (2020)","Yellow","",""
"Epilobium lactiflorum","Hausskn.","Milkflower Willowherb","S5 (2019)","Yellow","",""
"Epilobium leptocarpum","Hausskn.","Slender-fruited Willowherb","S5? (2019)","Yellow","",""
"Epilobium luteum","Pursh","yellow willowherb","S5 (2019)","Yellow","",""
"Epilobium minutum","Lindl. ex Lehm.","little willowherb","S5 (2019)","Yellow","",""
"Epilobium montanum","L.","Broad-leaved Willowherb","SNA (2019)","Exotic","",""
"Epilobium obscurum","Schreb.","Short-fruited Willowherb","SNA (2019)","Exotic","",""
"Oenothera biennis","L.","common evening-primrose","SNA (2019)","Exotic","",""
"Oenothera glazioviana","Micheli","Large-flowered Evening-primrose","SNA (2019)","Exotic","",""
"Triantha glutinosa","Michx.","Sticky False Asphodel","S5 (2019)","Yellow","",""
"Triantha occidentalis ssp. brevistyla","(S. Watson) R.R. Gates","Short-style Sticky Tofieldia","S5 (2000)","Yellow","",""
"Buddleja davidii","Franch.","Butterfly bush","SNA (2019)","Exotic","",""
"Limosella aquatica","L.","water mudwort","S5 (2019)","Yellow","",""
"Verbascum blattaria","L.","moth mullein","SNA (2019)","Exotic","",""
"Verbascum phlomoides","L.","Orange Mullein","SNA (2019)","Exotic","",""
"Verbascum thapsus","L.","great mullein","SNA (2019)","Exotic","",""
"Verbascum virgatum","Stokes","Wand Mullein","SNA (2019)","Exotic","",""
"Linum usitatissimum","L.","common flax","SNA (2019)","Exotic","",""
"Centaurium erythraea","Rafn","Common centaury","SNA (2019)","Exotic","",""
"Gentiana douglasiana","Bong.","Swamp Gentian","S5 (2019)","Yellow","",""
"Gentiana glauca","Pallas","Glaucous Gentian","S5 (2019)","Yellow","",""
"Gentiana sceptrum","Griseb.","king's scepter gentian","S5 (2019)","Yellow","",""
"Erodium cicutarium","(L.) L'Hér. ex Aiton","Redstem Stork's-bill","SNA (2019)","Exotic","",""
"Geranium carolinianum","L.","Carolina crane's-bill","S5 (2019)","Yellow","",""
"Geranium dissectum","L.","Cut-leaved crane's-bill","SNA (2019)","Exotic","",""
"Geranium molle","L.","Dove's-foot crane's-bill","SNA (2019)","Exotic","",""
"Geranium pusillum","L.","Small-flowered Crane's-bill","SNA (2019)","Exotic","",""
"Geranium robertianum","L.","Herb Robert","SNA (2019)","Exotic","",""
"Hedera helix","L.","common ivy","SNA (2019)","Exotic","",""
"Hedera hibernica","(G.Kirchn.) Bean","Atlantic Ivy","SNA (2018)","Exotic","",""
"Oplopanax horridus","(Sm.) Miq.","Devil's Club","S5 (2019)","Yellow","",""
"Parthenocissus inserta","(A. Kern) Fritsch","thicket creeper","SNA (2019)","Exotic","",""
"Vitis vinifera","L.","wine grape","SNA (2019)","Exotic","",""
"Agrostis canina","L.","Velvet Bent","SNA (2019)","Exotic","",""
"Agrostis capillaris","L.","colonial bent","SNA (2019)","Exotic","",""
"Agrostis exarata","Trin.","Pacific bentgrass","S5 (2019)","Yellow","",""
"Agrostis gigantea","Roth","redtop","SNA (2019)","Exotic","",""
"Agrostis mertensii","Trin.","Arctic Bentgrass","S5 (2019)","Yellow","",""
"Agrostis scabra","Willd.","Rough Bentgrass","S5 (2019)","Yellow","",""
"Agrostis stolonifera","L.","Creeping Bent","SNA (2019)","Exotic","",""
"Agrostis variabilis","Rydb.","mountain bentgrass","S5 (2019)","Yellow","",""
"Aira caryophyllea","L.","Silver Hairgrass","SNA (2019)","Exotic","",""
"Aira praecox","L.","early hair grass","SNA (2019)","Exotic","",""
"Alopecurus geniculatus","Sibth. ex Steudel","Marsh foxtail","SNA (2019)","Exotic","",""
"Alopecurus pratensis","L.","Meadow Foxtail","SNA (2019)","Exotic","",""
"Anthoxanthum hirtum","(Schrank) Y. Schouten & Veldkamp","northern sweetgrass","S5 (2019)","Yellow","",""
"Anthoxanthum odoratum","L.","sweet vernal grass","SNA (2019)","Exotic","",""
"Briza maxima","L.","Greater Quaking Grass","SNA (2019)","Exotic","",""
"Bromus carinatus var. carinatus","Hook. & Arn.","California brome","S5 (2020)","Yellow","",""
"Bromus diandrus","Roth","great brome","SNA (2019)","Exotic","",""
"Bromus hordeaceus","L.","common soft brome","SNA (2019)","Exotic","",""
"Bromus inermis","Leyss.","Smooth Brome","SNA (2019)","Exotic","",""
"Bromus marginatus","Nees ex Steud.","mountain brome","S5 (2020)","Yellow","",""
"Bromus racemosus","L.","Bald Brome","SNA (2019)","Exotic","",""
"Bromus sitchensis","Trin.","sitka brome","S5 (2025)","Yellow","",""
"Bromus sterilis","L.","Barren Brome","SNA (2019)","Exotic","",""
"Bromus tectorum","L.","Cheatgrass","SNA (2019)","Exotic","",""
"Bromus vulgaris","(Hook.) Shear","columbia brome","S5 (2019)","Yellow","",""
"Calamagrostis canadensis","(Michx.) P.Beauv.","canadian bluejoint","S5 (2020)","Yellow","",""
"Calamagrostis inexpansa","A.Gray","Northern Reedgrass","S5 (2020)","Yellow","",""
"Calamagrostis purpurea","(Trin.) Trin.","Scandinavian Small-reed","S5 (2020)","Yellow","",""
"Cinna latifolia","(Trev. ex Goepp.) Griseb.","drooping woodreed","S5 (2019)","Yellow","",""
"Cynosurus echinatus","L.","bristly dogtail grass","SNA (2019)","Exotic","",""
"Dactylis glomerata","L.","orchard grass","SNA (2019)","Exotic","",""
"Danthonia californica","Bolander","California oatgrass","S5 (2019)","Yellow","",""
"Danthonia intermedia ssp. intermedia","Vasey","intermediate oat grass","S5 (2019)","Yellow","",""
"Danthonia spicata","(L.) P. Beauv. ex Roem. & Schult.","Poverty oatgrass","S5 (2019)","Yellow","",""
"Deschampsia cespitosa","(L.) P. Beauv.","tufted hair grass","S5 (2020)","Yellow","",""
"Deschampsia elongata","(Hook.) Munro","slender hairgrass","S5 (2019)","Yellow","",""
"Dichanthelium lanuginosum","(Elliott) Gould","peat grass","S5 (2019)","Yellow","",""
"Dichanthelium oligosanthes ssp. scribnerianum","(Schult.) Gould","Heller's Rosette Grass","S5 (2019)","Yellow","",""
"Digitaria sanguinalis","(L.) Scop.","Hairy Crabgrass","SNA (2019)","Exotic","",""
"Distichlis spicata","(L.) Greene","Saltgrass","S5 (2019)","Yellow","",""
"Echinochloa crus-galli","(L.) P. Beauv.","barnyardgrass","SNA (2019)","Exotic","",""
"Elymus elymoides ssp. californicus","(J.G.Sm.) Barkworth","California squirreltail","S4 (2001)","Yellow","",""
"Elymus glaucus","Buckley","blue wild rye","S5 (2019)","Yellow","",""
"Elymus hirsutus","J. Presl","Boreal Wild Rye","S5 (2019)","Yellow","",""
"Elymus repens","(L.) Gould","Quack Grass","SNA (2019)","Exotic","",""
"Elymus violaceus","Hornem.","high wildrye","S5 (2020)","Yellow","",""
"Eriocoma hymenoides","(Roem. & Schult.) Romasch.","Sand Ricegrass","S5 (2019)","Yellow","",""
"Festuca brachyphylla","Schult. & Schult.f.","Shortleaf Fescue","S5 (2019)","Yellow","",""
"Festuca microstachys var. pauciflora","Scribner ex Beal","Pacific Fescue","S4 (2014)","Yellow","",""
"Festuca myuros","L.","rattail sixweeks grass","SNA (2019)","Exotic","",""
"Festuca occidentalis","Hook.","western fescue","S5 (2019)","Yellow","",""
"Festuca ovina","L.","Sheep's Fescue","SNA (2019)","Exotic","",""
"Festuca roemeri","(Pavlick) E.B.Alexeev","Roemer's Fescue","S4S5 (2019)","Yellow","",""
"Festuca saximontana var. saximontana","Rydb.","Rocky Mountain Fescue","S5 (2020)","Yellow","",""
"Glyceria borealis","(Nash) Batch.","boreal manna grass","S5 (2019)","Yellow","",""
"Glyceria elata","(Nash) M.E. Jones","Tufted Tall Mannagrass","S5 (2019)","Yellow","",""
"Glyceria striata","(Lam.) Hitchc.","Fowl Mannagrass","S5 (2019)","Yellow","",""
"Graphephorum canescens","(A.Gray) P.Beauv.","tall trisetum","S5 (2000)","Yellow","",""
"Graphephorum cernuum","(Nutt.) J.M.Coult.","nodding trisetum","S5 (2019)","Yellow","",""
"Graphephorum wolfii","(Vasey) Coult.","Wolf's trisetum","S3 (2019)","Blue","",""
"Holcus lanatus","L.","Yorkshire fog","SNA (2019)","Exotic","",""
"Holcus mollis","L.","creeping velvet grass","SNA (2019)","Exotic","",""
"Hordeum brachyantherum ssp. brachyantherum","Nevski","northern meadow barley","S5 (2019)","Yellow","",""
"Hordeum jubatum ssp. intermedium","Bowden","Intermediate Barley","SU (2020)","Unknown","",""
"Hordeum murinum ssp. murinum","L.","Barley Grass","SNA (2000)","Exotic","",""
"Hordeum vulgare ssp. vulgare","L.","Six-rowed Barley","SNA (2019)","Exotic","",""
"Koeleria macrantha","J.A. Schultes","Prairie Junegrass","S5 (2019)","Yellow","",""
"Koeleria spicata","(L.) Pers.","spike trisetum","S5 (2019)","Yellow","",""
"Leersia oryzoides","(L.) Sw.","rice cutgrass","S4S5 (2019)","Yellow","",""
"Leymus mollis ssp. mollis","(Trin.) Pilg.","American dunegrass","S5 (2019)","Yellow","",""
"Lolium arundinaceum","(Schreb.) Darbysh.","tall fescue","SNA (2019)","Exotic","",""
"Lolium multiflorum","Lam.","Italian Ryegrass","SNA (2019)","Exotic","",""
"Lolium perenne","L.","Perennial Ryegrass","SNA (2019)","Exotic","",""
"Melica subulata","(Griseb.) Scribn.","Alaska Oniongrass","S5 (2019)","Yellow","",""
"Panicum capillare","L.","witch grass","S5 (2019)","Yellow","",""
"Panicum miliaceum","Blanco","Proso Millet","SNA (2012)","Exotic","",""
"Phalaris arundinacea","L.","reed canary grass","SNA (2019)","Exotic","",""
"Phalaris canariensis","L.","canary grass","SNA (2019)","Exotic","",""
"Phleum alpinum","L.","Alpine Timothy","S5 (2019)","Yellow","",""
"Phleum pratense ssp. pratense","L.","Meadow Timothy","SNA (2019)","Exotic","",""
"Pleuropogon refractus","(A. Gray) Benth. ex Vasey","nodding semaphore grass","S4 (2019)","Yellow","",""
"Poa alpina","L.","Alpine Bluegrass","S5 (2019)","Yellow","",""
"Poa annua","L.","Annual Meadow-grass","SNA (2019)","Exotic","",""
"Poa bulbosa","L.","Bulbous Bluegrass","SNA (2019)","Exotic","",""
"Poa compressa","L.","Canada bluegrass","SNA (2019)","Exotic","",""
"Poa cusickii ssp. epilis","Vasey","skyline bluegrass","S5 (2020)","Yellow","",""
"Poa glauca","Vahl","Glaucous Bluegrass","S5 (2020)","Yellow","",""
"Poa interior","Rydb.","Inland Bluegrass","S5 (2019)","Yellow","",""
"Poa leptocoma","Trin.","marsh bluegrass","S5 (2019)","Yellow","",""
"Poa lettermanii","Vasey","letterman's blue grass","S5 (2019)","Yellow","",""
"Poa macrantha","Vasey","Largeflower Dune Bluegrass","S5 (2019)","Yellow","",""
"Poa nemoralis","L.","Wood Meadow-grass","SNA (2019)","Exotic","",""
"Poa palustris","L.","Swamp Meadow-grass","S5 (2019)","Yellow","",""
"Poa pattersonii","Vasey","Patterson's Bluegrass","S2S3 (2022)","Blue","",""
"Poa paucispicula","Scribn. & Merr.","Alaska Bluegrass","S5 (2019)","Yellow","",""
"Poa pratensis ssp. pratensis","L.","Kentucky bluegrass","SNA (2001)","Exotic","",""
"Poa secunda ssp. secunda","J. Presl","one-sided bluegrass","S5 (2020)","Yellow","",""
"Poa stenantha","Trin.","Narrow-flower Bluegrass","S5 (2019)","Yellow","",""
"Podagrostis aequivalvis","(Trin.) Scribn. & Merr.","Northern Bentgrass","S5 (2019)","Yellow","",""
"Podagrostis humilis","(Vasey) Björkman","mountain bent grass","S5 (2019)","Yellow","",""
"Pseudosasa japonica","(Siebold & Zucc. ex Steud.)","Arrow Bamboo","SNA (2019)","Exotic","",""
"Puccinellia pumila","(Macoun ex Vasey) Hitchc.","dwarf alkali grass","S5 (2019)","Yellow","",""
"Secale cereale","L.","rye","SNA (2019)","Exotic","",""
"Setaria pumila ssp. pumila","(Poir.) Roem. & Shult.","Yellow bristle grass","SNA (2019)","Exotic","",""
"Setaria viridis","(L.) P.Beauv.","Green Bristle Grass","SNA (2000)","Exotic","",""
"Torreyochloa pallida var. pauciflora","(J.Presl) J.I.Davis","weak manna grass","S5 (2019)","Yellow","",""
"Triticum aestivum","L.","Bread Wheat","SNA (2019)","Exotic","",""
"Vahlodea atropurpurea","(Wahlenb.) Fr. ex Hartm.","Mountain Hairgrass","S5 (2019)","Yellow","",""
"Struthiopteris spicant","(L.) F.W. Weiss","deer fern","S5 (2019)","Yellow","",""
"Allotropa virgata","Torr. & A. Gray","sugarstick","S4 (2019)","Yellow","",""
"Andromeda polifolia var. polifolia","L.","Bog Rosemary","S4 (2019)","Yellow","",""
"Arbutus menziesii","Pursh","Pacific madrone","S5 (2019)","Yellow","",""
"Arctostaphylos columbiana","Piper","hairy manzanita","S5 (2019)","Yellow","",""
"Arctostaphylos uva-ursi","(L.) Spreng.","bearberry","S5 (2019)","Yellow","",""
"Arctostaphylos × media","Greene ; Greene","hybrid manzanita","","","",""
"Calluna vulgaris","(L.) Hull","common heather","SNA (2019)","Exotic","",""
"Cassiope mertensiana ssp. mertensiana","(Bong.) D. Don","Western Bell-heather","S5 (2019)","Yellow","",""
"Cassiope tetragona","(L.) D. Don","Arctic bell-heather","S4 (2020)","Yellow","",""
"Chimaphila menziesii","(R. Br. ex D. Don) Spreng","Little Prince's Pine","S5 (2019)","Yellow","",""
"Chimaphila umbellata ssp. umbellata","(L.) W.P.C. Barton","Eurasian Umbellate Wintergreen","S5 (2019)","Yellow","",""
"Elliottia pyroliflora","(Bong.) S.W. Brim & P.F. Stevens","copperbush","S5 (2019)","Yellow","",""
"Empetrum nigrum","L.","black crowberry","S5 (2019)","Yellow","",""
"Gaultheria hispidula","(L.) M+B1378uhl. ex Bigelow","creeping snowberry","S5 (2019)","Yellow","",""
"Gaultheria humifusa","(Graham) Rydb.","alpine wintergreen","S5 (2019)","Yellow","",""
"Gaultheria ovatifolia","A. Gray","slender wintergreen","S5 (2019)","Yellow","",""
"Gaultheria shallon","Pursh","salal","S5 (2019)","Yellow","",""
"Hemitomes congestum","A. Gray","gnome plant","S4S5 (2019)","Yellow","",""
"Kalmia microphylla var. microphylla","(Hooker) A. Heller","bog laurel","S5 (2020)","Yellow","",""
"Kalmia microphylla var. occidentalis","(Small) Ebinger","western bog laurel","S5 (2020)","Yellow","",""
"Kalmia procumbens","(L.) Gift, Kron & P.F.Stevens","alpine azalea","S5 (2019)","Yellow","",""
"Moneses uniflora","(L.) A. Gray","One-flowered Wintergreen","S5 (2019)","Yellow","",""
"Monotropa hypopitys","L.","pinesap","S5 (2019)","Yellow","",""
"Monotropa uniflora","L.","Ghost Pipe","S5 (2019)","Yellow","",""
"Orthilia secunda","L.","one-sided wintergreen","S5 (2019)","Yellow","",""
"Phyllodoce empetriformis","(Sm.) D. Don","pink mountainheath","S5 (2019)","Yellow","",""
"Phyllodoce glanduliflora","(Hook.) Coville","Yellow Mountain-heath","S5 (2019)","Yellow","",""
"Pterospora andromedea","Nutt.","woodland pinedrops","S5 (2019)","Yellow","",""
"Pyrola aphylla","Smith","Leafless wintergreen","S4 (2025)","Yellow","",""
"Pyrola asarifolia ssp. asarifolia","Michx.","liverleaf wintergreen","S5 (2000)","Yellow","",""
"Pyrola asarifolia ssp. bracteata","Michx.","long-bracted wintergreen","S4 (2014)","Yellow","",""
"Pyrola chlorantha","Sw.","green-flowered wintergreen","S5 (2019)","Yellow","",""
"Pyrola dentata","Smith","Toothed Wintergreen","S4 (2025)","Yellow","",""
"Pyrola minor","L.","lesser wintergreen","S5 (2019)","Yellow","",""
"Pyrola picta","Sm.","white-veined wintergreen","S5 (2019)","Yellow","",""
"Rhododendron albiflorum","Hook.","White-flowered Rhododendron","S5 (2019)","Yellow","",""
"Rhododendron groenlandicum","(Oeder) K.A. Kron & W.S. Judd","Bog Labrador Tea","S5 (2019)","Yellow","",""
"Rhododendron macrophyllum","D. Don ex G. Don","Pacific rhododendron","S4 (2019)","Yellow","",""
"Rhododendron menziesii","Craven","mock azalea","S5 (2019)","Yellow","",""
"Rhododendron tomentosum ssp. decumbens","Harmaja","Labrador tea","S5 (2019)","Yellow","",""
"Vaccinium alaskaense","Howell","Alaska Blueberry","S5 (2000)","Yellow","",""
"Vaccinium cespitosum","Michx.","dwarf bilberry","S5 (2019)","Yellow","",""
"Vaccinium deliciosum","Piper","Blue-leaved huckleberry","S5 (2019)","Yellow","",""
"Vaccinium membranaceum","Douglas ex Torr.","thinleaf huckleberry","S5 (2019)","Yellow","",""
"Vaccinium myrtillus","L.","common bilberry","S5 (2019)","Yellow","",""
"Vaccinium ovalifolium","Sm.","Oval-leaf Blueberry","S5 (2019)","Yellow","",""
"Vaccinium ovatum","Pursh","Evergreen Huckleberry","S5 (2019)","Yellow","",""
"Vaccinium oxycoccos","L.","bog cranberry","S5 (2019)","Yellow","",""
"Vaccinium parvifolium","Sm.","Red Huckleberry","S5 (2019)","Yellow","",""
"Vaccinium uliginosum","L.","bog bilberry","S5 (2019)","Yellow","",""
"Humulus lupulus var. lupulus","L.","common hop","SNA (2019)","Exotic","",""
"Ilex aquifolium","L.","European holly","SNA (2019)","Exotic","",""
"Centranthus ruber","(L.) DC.","Red Valerian","SNA (2019)","Exotic","",""
"Dipsacus fullonum","L.","wild teasel","SNA (2019)","Exotic","",""
"Linnaea borealis ssp. longiflora","L.","Longtube Twinflower","S5 (2020)","Yellow","",""
"Lonicera ciliosa","(Pursh) Poir. ex DC.","orange honeysuckle","S5 (2019)","Yellow","",""
"Lonicera hispidula","(Lindl.) Doug. ex Torr. & Gray","Pink Honeysuckle","S5 (2019)","Yellow","",""
"Lonicera involucrata var. involucrata","(Richardson) Banks ex Spreng.","bearberry honeysuckle","S5 (2019)","Yellow","",""
"Lonicera periclymenum","L.","Common Honeysuckle","SNA (2019)","Exotic","",""
"Lonicera utahensis","S.B1124 Wats.","Utah Honeysuckle","S5 (2019)","Yellow","",""
"Plectritis congesta ssp. brachystemon","(Lindl.) DC.","Pink Plectritis","S5 (2006)","Yellow","",""
"Plectritis congesta ssp. congesta","(Lindl.) DC.","shortspur seablush","S5 (2006)","Yellow","",""
"Symphoricarpos albus var. laevigatus","(L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake; (L.) S.F.Blake","garden snowberry","S5 (2000)","Yellow","",""
"Symphoricarpos mollis var. hesperius","(G.N.Jones) Cronquist","Spreading Snowberry","S5 (2019)","Yellow","",""
"Valeriana sitchensis","Bong.","Scouler's Valerian","S5 (2019)","Yellow","",""
"Valerianella locusta","(L.) Laterr.","common cornsalad","SNA (2019)","Exotic","",""
"Equisetum arvense","L.","field horsetail","S5 (2019)","Yellow","",""
"Equisetum fluviatile","L.","water horsetail","S5 (2019)","Yellow","",""
"Equisetum hyemale ssp. affine","L.; L. var. affine (Engelm.) A.A. Eaton","western scouringrush","S5 (2019)","Yellow","",""
"Equisetum palustre","L.","marsh horsetail","S5 (2019)","Yellow","",""
"Equisetum sylvaticum","L.","wood horsetail","S5 (2019)","Yellow","",""
"Equisetum telmateia ssp. braunii","Ehrh.; Ehrh. (Milde) Hauke","Braun's Giant Horsetail","S5 (2019)","Yellow","",""
"Equisetum variegatum","Schleich. ex Weber & Mohr","variegated horsetail","S5 (2019)","Yellow","",""
"Philadelphus lewisii","Pursh","Lewis' mock orange","S5 (2019)","Yellow","",""
"Iris pseudacorus","L.","Yellow Iris","SNA (2019)","Exotic","",""
"Iris sibirica","L.","Siberian Iris","SNA (2019)","Exotic","",""
"Bistorta vivipara","(L.) Delarbre","alpine bistort","S5 (2019)","Yellow","",""
"Oxyria digyna","L.","alpine sorrel","S5 (2019)","Yellow","",""
"Persicaria amphibia","(L.) Gray","water smartweed","S5 (2019)","Yellow","",""
"Persicaria hydropiper","(L.) Spach","waterpepper","SNA (2019)","Exotic","",""
"Persicaria hydropiperoides","(Michaux) Small","swamp smartweed","S4S5 (2019)","Yellow","",""
"Persicaria lapathifolia","(L.) S.F. Gray","pale smartweed","S5 (2019)","Yellow","",""
"Persicaria maculosa","Gray","spotted lady's thumb","SNA (2019)","Exotic","",""
"Polygonum aviculare ssp. neglectum","L.","yard knotweed","SNA (2018)","Exotic","",""
"Polygonum minimum","S. Watson","broadleaf knotweed","S5 (2019)","Yellow","",""
"Polygonum paronychia","Cham. & Schltdl.","beach knotweed","S3 (2019)","Blue","",""
"Polygonum spergulariiforme","Meisn. ex Small","scatter knotweed","S5 (2019)","Yellow","",""
"Reynoutria japonica","Houtt.","Japanese knotweed","SNA (2019)","Exotic","",""
"Rumex acetosa","L.","Common Sorrel","SNA (2019)","Exotic","",""
"Rumex acetosella","L.","Sheep's sorrel","SNA (2019)","Exotic","",""
"Rumex conglomeratus","Murray","Clustered Dock","SNA (2019)","Exotic","",""
"Rumex crispus","L.","curled dock","SNA (2019)","Exotic","",""
"Rumex fueginus","Phil.","golden dock","S5 (2019)","Yellow","",""
"Rumex maritimus","L.","Golden Dock","S5 (2019)","Yellow","",""
"Rumex obtusifolius","L.","broad-leaved dock","SNA (2019)","Exotic","",""
"Rumex occidentalis","S. Watson","western dock","S5 (2019)","Yellow","",""
"Rumex transitorius","L.","Pacific willow dock","S5 (2019)","Yellow","",""
"Athyrium americanum","(Butters) Maxon","American Alpine Lady Fern","S5 (2019)","Yellow","",""
"Athyrium filix-femina var. cyclosorum","Rupr.","western lady fern","S5 (2019)","Yellow","",""
"Clintonia uniflora","(Menzies ex Schult. & Schult. f.) Kunth","Bride's Bonnet","S5 (2019)","Yellow","",""
"Erythronium grandiflorum ssp. grandiflorum","Pursh","Yellow Glacier Lily","S5 (2019)","Yellow","",""
"Erythronium oregonum","Applegate","giant white fawn lily","S4 (2019)","Yellow","",""
"Erythronium revolutum","Sm.","Coast Fawn Lily","S5? (2019)","Yellow","",""
"Fritillaria affinis","(Shult. & Shult.f.) Sealy","checker lily","S5 (2019)","Yellow","",""
"Fritillaria camschatcensis","(L.) Ker Gawl.","Rice root","S5 (2019)","Yellow","",""
"Lilium columbianum","Leichtlin","Columbia lily","S5 (2019)","Yellow","",""
"Prosartes hookeri","Torr.","Hooker's fairybells","S5 (2019)","Yellow","",""
"Streptopus amplexifolius","(L.) DC.","white twisted-stalk","S5 (2019)","Yellow","",""
"Streptopus lanceolatus","(Aiton) Reveal","rose twisted-stalk","S5 (2019)","Yellow","",""
"Streptopus streptopoides","(Ledeb.) Frye & Rigg","Small Twisted-stalk","S5 (2019)","Yellow","",""
"Lythrum salicaria","L.","purple loosestrife","SNA (2019)","Exotic","",""
"Erythranthe alsinoides","(Benth.) G.L. Nesom & N.S. Fraga","wingstem monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe caespitosa","(Greene) G.L. Nesom","Subalpine Monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe guttata","(DC.) G.L. Nesom","seep monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe lewisii","(Pursh) G.L. Nesom & N.S. Fraga","Lewis' monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe microphylla","(Benth.) G.L. Nesom","Small-leaf Monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe moschata","(Douglas ex Lindl.) G.L.Nesom","musk monkeyflower","S5 (2019)","Yellow","",""
"Erythranthe nasuta","(Greene) G.L. Nesom","shy monkeyflower","S4S5 (2019)","Yellow","",""
"Erythranthe ptilota","G. L. Nesom","wing-leaf monkeyflower","S4 (2019)","Yellow","",""
"Galium aparine","L.","catchweed bedstraw","S5 (2019)","Yellow","",""
"Galium boreale","L.","Northern Bedstraw","S5 (2019)","Yellow","",""
