"Scientific name","Authority","Common name","Provincial status","BC list","National status","SARA status"
"Polycauliona rosei","Hasse","","S5 (2020)","Yellow","",""
"Polycauliona verruculifera","(Nyl.) Arup","Ringed Firedot Lichen","S4 (2020)","Yellow","",""
"Rusavskia elegans","(Link) S.Y. Kondr. & Kärnefelt","Elegant Sunburst Lichen","S5 (2018)","Yellow","",""
"Xanthoria parietina","(L.) Th. Fr.","Common Sunburst Lichen","SNA (2010)","Exotic","",""
"Mycoblastus affinis","(Schaer.) Schauer","White Heart Lichen","S5 (2020)","Yellow","",""
"Mycoblastus sanguinarius","(L.) Norman","Bloody-heart Lichen","S5 (2020)","Yellow","",""
"Tephromela atra","(Huds.) Hafellner","Black-eye Lichen","S5 (2020)","Yellow","",""
"Violella fucata","(Stirt.) T. Sprib.","","SU (2020)","Unknown","",""
"Placopsis gelida","(L.) Lindsay","","S5 (2020)","Yellow","",""
"Rimularia actinostoma","Coppins & Fryday","","SU (2020)","Unknown","",""
"Trapelia corticola","Coppins & P. James","","S5 (2020)","Yellow","",""
"Trapeliopsis granulosa","(Hoffm.) Lumbsch","Granular Mottled-disk Lichen","S5 (2020)","Yellow","",""
"Trapeliopsis pseudogranulosa","Coppins & P. James","","SU (2020)","Unknown","",""
"Trapeliopsis viridescens","(Schrader) Coppins & P. James","","SU (2020)","Unknown","",""
"Umbilicaria angulata","Tuck.","Starry Rock Tripe","S4S5 (2019)","Yellow","",""
"Umbilicaria cylindrica","(L.) Delise ex Duby","Fringed Rocktripe Lichen","S5 (2018)","Yellow","",""
"Umbilicaria deusta","(L.) Baumg.","peppered rock tripe","S5 (2019)","Yellow","",""
"Umbilicaria hyperborea","(Ach.) Hoffm.","Blistered Rock Tripe","S5 (2018)","Yellow","",""
"Umbilicaria phaea","Tuck.","Emery Rocktripe Lichen","S5 (2019)","Yellow","",""
"Umbilicaria polyphylla","(L.) Baumg.","Petalled Rocktripe Lichen","S5 (2019)","Yellow","",""
"Umbilicaria polyrrhiza","(L.) Fr.","Ballpoint Rocktripe Lichen","S4 (2019)","Yellow","",""
"Umbilicaria proboscidea","(L.) Schrad.","Greater Salted Rocktripe Lichen","S5 (2019)","Yellow","",""
"Umbilicaria torrefacta","(G. Weber) Ach","Punctured Rocktripe Lichen","S5 (2018)","Yellow","",""
"Myochroidea leprosula","(Arnold) Printzen, T. Sprib. & Tønsberg","","S5 (2020)","Yellow","",""
"Vahliella saubinetii","(Mont.) P.M. Jørg.","Pink-eyed Shingle Lichen","SU (2010)","Unknown","",""
"Dermatocarpon miniatum","(L.) W. Mann","blushing stippleback","S5 (2019)","Yellow","",""
"Dermatocarpon reticulatum","H. Magn.","sandpaper stippleback","S5 (2018)","Yellow","",""
"Hydropunctaria maura","(Wahlenb.) Keller","Wart Lichen","S5 (2020)","Yellow","",""
"Normandina pulchella","(Borrer) Nyl.","Elf Ears lichen","S4 (2020)","Yellow","",""
"Wahlenbergiella mucosa","(Wahlenb.) Gueidan & Thüs","","SU (2020)","Unknown","",""
