scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Botaurus lentiginosus,,American Bittern,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Botaurinae,,Botaurus,lentiginosus,,,,accepted,5034,Botaurus lentiginosus,Botaurus lentiginosus,"breeding?, winter (rare)",
Brachyramphus marmoratus,Gmelin,Marbled Murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Alcidae,,,Brachyramphus,marmoratus,,,,accepted,4531,Brachyramphus marmoratus,Brachyramphus marmoratus,permanent,
Branta bernicla,L.,Brant,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,bernicla,,,,accepted,7087,Branta bernicla,Branta bernicla,passage migrant,
Branta canadensis,,Canada Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,canadensis,,,,accepted,7089,Branta canadensis,Branta canadensis,permanent,
Branta canadensis occidentalis,L.; Baird,Dusky Canada Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,canadensis,,Branta canadensis occidentalis,,accepted,236949,Branta canadensis occidentalis,Branta canadensis occidentalis,winter,
Branta hutchinsii,Richardson,Cackling Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,hutchinsii,,,,accepted,59220,Branta hutchinsii,Branta hutchinsii,passage migrant,
Bubo scandiacus,L.,Snowy Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,scandiacus,,,,accepted,144594,Bubo scandiacus,Bubo scandiacus,winter,
Bubo virginianus,Gmelin,Great Horned Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,virginianus,,,,accepted,20044,Bubo virginianus,Bubo virginianus,permanent,
Bucephala albeola,L.,Bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,albeola,,,,accepted,6993,Bucephala albeola,Bucephala albeola,winter,
Bucephala clangula,L.,Common Goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Bucephala,clangula,,,,accepted,6990,Bucephala clangula,Bucephala clangula,permanent,
