scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,linkName,linkTaxonID,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Marmota monax,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,46095,46095,Marmota monax,,Marmota,monax,,accepted
Marmota vancouverensis,"Swarth, 1911",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,46091,46091,Marmota vancouverensis,,Marmota,vancouverensis,,accepted
Neotamias amoenus,"(J.A. Allen, 1890)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,NA,,NA,225740,225740,Neotamias amoenus,,Neotamias,amoenus,,accepted
Neotamias minimus,"(Bachman, 1839)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,NA,,NA,225743,225743,Neotamias minimus,,Neotamias,minimus,,accepted
Neotamias townsendii,"(Bachman, 1839)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Tamiini,NA,,NA,225756,225756,Neotamias townsendii,,Neotamias,townsendii,,accepted
Sciurus carolinensis,"Gmelin, 1788",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,NA,,NA,46017,46017,Sciurus carolinensis,,Sciurus,carolinensis,,accepted
Sciurus griseus,"Ord, 1818",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,NA,,NA,46023,46023,Sciurus griseus,,Sciurus,griseus,,accepted
Sciurus niger,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,NA,,NA,46020,46020,Sciurus niger,,Sciurus,niger,,accepted
Tamiasciurus douglasii,"Bachman, 1838",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,NA,,NA,46259,46259,Tamiasciurus douglasii,,Tamiasciurus,douglasii,,accepted
Tamiasciurus hudsonicus,"Erxleben, 1777",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Sciurinae,Sciurini,NA,,NA,46260,46260,Tamiasciurus hudsonicus,,Tamiasciurus,hudsonicus,,accepted
Urocitellus columbianus,"(Ord, 1815)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,Marmotini,NA,,NA,179998,179998,Urocitellus columbianus,,Urocitellus,columbianus,,accepted
Zapus hudsonius,"Zimmermann, 1780",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,NA,,NA,43840,43840,Zapus hudsonius,,Zapus,hudsonius,,accepted
Zapus princeps,"Allen, 1893",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,NA,,NA,43846,43846,Zapus princeps,,Zapus,princeps,,accepted
Zapus trinotatus,"Rhoads, 1894",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Dipodoidea,Zapodidae,,,NA,,NA,43844,43844,Zapus trinotatus,,Zapus,trinotatus,,accepted
