Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Solorina spongiosa,(Ach.) Anzi,,blinking owl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,Solorina,spongiosa,,,,native,S4 (2018),,reported,unobserved,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,,,,,,,209792,LIC
Sphaerophorus globosus,(Hudson) Vain.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Sphaerophoraceae,,,Sphaerophorus,globosus,,,,,,,reported,unobserved,1961-06-07,"Schofield, Wilfred, B.",DUKE,NA,,,,,,55241,LIC
Sphaerophorus tuckermanii,Räsänen,,tuckerman's coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,Sphaerophorus,tuckermanii,,,,native,S4S5 (2018),,confirmed,observed,1960-12-14,W.B. Schofield,UBC,12855,,2018-07-08,iamscientistsam,https://www.inaturalist.org/observations/14191270,,123231,LIC
Sphaerophorus venerabilis,"Wedin, H�gnabba & Goward",,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Sphaerophoraceae,,,Sphaerophorus,venerabilis,,,,,,,reported,unobserved,1961-06-07,W.B. Schofield,UBC,14471,,,,,,155226,LIC
Stenocybe clavata,Tibell,,,Fungi,Ascomycota,,,Eurotiomycetes,,,Mycocaliciales,,,Sphinctrinaceae,,,Stenocybe,clavata,,,,,,,reported,unobserved,1974-06-21,C. Beil,UBC,688,,,,,,231546,LIC
Stereocaulon alpinum,Laurer ex Funck,,alpine foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,alpinum,,,,native,S5 (2019),,reported,unobserved,1961-08-16,B. Peterson,UBC,bp113,,,,,,231686,LIC
Stereocaulon dactylophyllum,Fl�rke,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,dactylophyllum,,,,,,,reported,unobserved,1962-08-11,A.C. Archer,UBC,s.n.,,,,,,182570,LIC
Stereocaulon glareosum,(Savicz) H. Magn.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,glareosum,,,,,,,reported,unobserved,1960-09-07,P. Barrett,UBC,bp 62,,,,,,231696,LIC
Stereocaulon intermedium,(Savicz) H. Magn.,,pacific brain foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,intermedium,,,,native,S5 (2019),,reported,unobserved,1969-07-10,"Ohlsson, Karl E",MSC,508,,,,,,231701,LIC
Stereocaulon myriocarpum,Th. Fr.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,myriocarpum,,,,,,,reported,unobserved,1966-06-10,I.M. Brodo,UBC,8244,,,,,,231704,LIC
Stereocaulon paschale,(L.) Hoffm.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,paschale,,,,,,,reported,unobserved,1966-06-09,I.M. Brodo,UBC,8211,,,,,,180488,LIC
Stereocaulon rivulorum,H. Magn.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,Stereocaulon,rivulorum,,,,,,,reported,unobserved,1952-09,B. Dickens,UBC,s.n.,,,,,,231708,LIC
