Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Neogale vison,"(Schreber, 1777)",,American mink,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,,Neogale,vison,NA,,NA,native,S5 (2015),,confirmed,observed,2011-05-14,Kent Brothers,VMS,NA,NA,2017-05-28,Ayla Malcolm,iNat:6485976,,74758,MAM,NA,confirmed,Neogale vison,Chordata,confirmed,2011,2017,NA,2017,Ayla Malcolm,Kent Brothers,https://www.inaturalist.org/observations/6485976,6485976, (VMS),Chordates (Chordata)
Eumetopias jubatus,"(Schreber, 1776)",,Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,,Eumetopias,jubatus,NA,,NA,native,"S3B,S4N (2013)",,confirmed,observed,1985-12-07,Andy Lamb,Ocean Wise,NA,NA,2016-05-11,Karen Steve Smith,iNat:16407423,,41755,MAM,NA,confirmed,Eumetopias jubatus,Chordata,confirmed,1985,2016,NA,2016,Karen Steve Smith,Andy Lamb,https://www.inaturalist.org/observations/16407423,16407423, (Ocean Wise),Chordates (Chordata)
Zalophus californianus,"(Lesson, 1828)",,California sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,,Zalophus,californianus,NA,,NA,native,S5N (2006),,new 2016,observed,NA,NA,NA,NA,NA,2016-05-27,Chessi Miltner,iNat:3598720,,41740,MAM,2016,new,Zalophus californianus,Chordata,new,NA,2016,2016,2016,Chessi Miltner,NA,https://www.inaturalist.org/observations/3598720,3598720,,Chordates (Chordata)
Phoca vitulina richardii,"Linnaeus, 1758","Gray, 1864",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Phocidae,Phocidae,,Phoca,vitulina,NA,richardii,NA,native,S5 (2006),,confirmed,observed,1995-02-24,Andy Lamb,Ocean Wise,NA,NA,2005-05-28,Karolle Wall,iNat:219142750,,41708,MAM,NA,confirmed,Phoca vitulina richardii,Chordata,confirmed,1995,2005,NA,2005,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/219142750,219142750, (Ocean Wise),Chordates (Chordata)
Beroe abyssicola,"Mortensen, 1927",,transluscent comb jelly,Animalia,Ctenophora,,,Nuda,,,Beroida,,,Beroidae,,,Beroe,abyssicola,NA,,NA,native,unlisted,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,NA,NA,2020-05-09,catiemac,iNat:57175255,,1090851,CNI,NA,confirmed,Beroe abyssicola,Ctenophora,confirmed,1993,2020,NA,2020,catiemac,Charlie Gibbs,https://www.inaturalist.org/observations/57175255,57175255, (PMLS),Comb jellies (Ctenophora)
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea ,Ophintegrida ,Amphilepidida,Gnathophiurina ,Amphiuroidea,Amphiuridae,,,Amphiodia,periercta,NA,,NA,native,unlisted,,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,NA,NA,NA,,957349,ECH,NA,reported,Amphiodia periercta,Echinodermata,reported,1975,NA,NA,NA,NA,Philip Lambert,NA,NA," (RBCM, 975-00224-007)","Sea stars, urchins & kin (Echinodermata)"
Ophiopholis kennerlyi,"Lyman, 1860",,daisy brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Ophiactoidea,Ophiopholidae,,,Ophiopholis,kennerlyi,NA,,NA,native,unlisted,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,NA,NA,2014-03-24,Karolle Wall,iNat:3705819,,129228,ECH,NA,confirmed,Ophiopholis kennerlyi,Echinodermata,confirmed,1981,2014,NA,2014,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/3705819,3705819, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Gorgonocephalus eucnemis,"(Müller & Troschel, 1842)",,basket star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Euryalida,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,eucnemis,NA,,NA,native,unlisted,,confirmed,observed,1971-08-21,Andy Lamb,PMLS,NA,NA,2021-06-27,"Dave ""Zeuss"" Cochrane",iNat:84819058,,465153,ECH,NA,confirmed,Gorgonocephalus eucnemis,Echinodermata,confirmed,1971,2021,NA,2021,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/84819058,84819058, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Ophiura luetkenii,"(Lyman, 1860)",,gray brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,Ophiura,luetkenii,NA,,NA,native,unlisted,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-009,1898306018,NA,NA,NA,misspelled 'Ophiura lutkeni' in GBIF dataset,255865,ECH,NA,reported,Ophiura luetkenii,Echinodermata,reported,1973,NA,NA,NA,NA,Philip Lambert,NA,NA," (RBCM, 973-00137-009)","Sea stars, urchins & kin (Echinodermata)"
Ophiura sarsii,"Lütken, 1855",,notched brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,Ophiura,sarsii,NA,,NA,native,unlisted,,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,,202051,ECH,NA,reported,Ophiura sarsii,Echinodermata,reported,1993,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),"Sea stars, urchins & kin (Echinodermata)"
Tubulanus albocinctus,"(Coe, 1904)",,white-ringed ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,,Tubulanus,albocinctus,NA,,NA,native,unlisted,,reported,unobserved,1996-05-29,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,,873878,WOR,NA,reported,Tubulanus albocinctus,Nemertea,reported,1996,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),Ribbon worms (Nemertea)
Tubulanus ruber,"(Griffin, 1898)",,orange ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,,Tubulanus,ruber,NA,,NA,native,unlisted,,confirmed,observed,2008-08-23,Andy Lamb,PMLS,NA,NA,2017-05-26,Karolle Wall,iNat:7674347,,1544641,WOR,NA,confirmed,Tubulanus ruber,Nemertea,confirmed,2008,2017,NA,2017,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/7674347,7674347, (PMLS),Ribbon worms (Nemertea)
Tubulanus sexlineatus,"(Griffin, 1898)",,six-lined ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,,Tubulanus,sexlineatus,NA,,NA,native,unlisted,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2018-08-10,Karolle Wall,iNat:15660001,,121950,WOR,NA,confirmed,Tubulanus sexlineatus,Nemertea,confirmed,1969,2018,NA,2018,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/15660001,15660001, (PMLS),Ribbon worms (Nemertea)
Cerebratulus sp.,,,sandy shore proboscis-worm,Animalia,Nemertea,,,Pilidiophora,,,Heteronemertea,,,Lineidae,,,Cerebratulus,,NA,,NA,,,,new 2019,observed,NA,NA,NA,NA,NA,2019-05-30,"Dave ""Zeuss"" Cochrane",iNat:26605416,,192649,WOR,2019,new,Cerebratulus sp.,Nemertea,new,NA,2019,2019,2019,"Dave ""Zeuss"" Cochrane",NA,https://www.inaturalist.org/observations/26605416,26605416,,Ribbon worms (Nemertea)
Micrura verrilli,"Coe, 1901",,purple ribbon worm,Animalia,Nemertea,,,Pilidiophora,,,Heteronemertea,,,Lineidae,,,Micrura,verrilli,NA,,NA,native,unlisted,,reported,unobserved,2006-09-28,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,117598,WOR,NA,reported,Micrura verrilli,Nemertea,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Ribbon worms (Nemertea)
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,Phyllochaetopterus,prolifica,NA,,NA,native,unlisted,,reported,unobserved,2006-11-11,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,467241,WOR,NA,reported,Phyllochaetopterus prolifica,Annelida,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Phyllochaetopterus sp.,,,three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,Phyllochaetopterus,,NA,,NA,,,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,NA,NA,NA,NA,NA,misspelled Phyllochaeopterus claparedii,374226,WOR,NA,reported,Phyllochaetopterus sp.,Annelida,reported,2007,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,,Diopatra,ornata,NA,,NA,native,unlisted,,confirmed,observed,1999-10-02,Andy Lamb,PMLS,NA,NA,2020-06-07,Jennifer Grant,iNat:49172988,,339286,WOR,NA,confirmed,Diopatra ornata,Annelida,confirmed,1999,2020,NA,2020,Jennifer Grant,Andy Lamb,https://www.inaturalist.org/observations/49172988,49172988, (PMLS),Segmented worms (Annelida)
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia ,,Phyllodocida,Aphroditiformia ,,Aphroditidae,,,Aphrodita,negligens,NA,,NA,native,unlisted,,reported,unobserved,1914-06-26,NA,RBCM,974-00265-001,1898322906,NA,NA,NA,,733687,WOR,NA,reported,Aphrodita negligens,Annelida,reported,1914,NA,NA,NA,NA,NA,NA,NA," (RBCM, 974-00265-001)",Segmented worms (Annelida)
Glycera sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Glyceridae,,,Glycera,,NA,,NA,,,,new 2025,observed,NA,NA,NA,NA,NA,2025-05-14,Andrew Simon,iNat:281879259,,67313,WOR,2025,new,Glycera sp.,Annelida,new,NA,2025,2025,2025,Andrew Simon,NA,https://www.inaturalist.org/observations/281879259,281879259,,Segmented worms (Annelida)
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,Ophiodrominae,,Oxydromus,pugettensis,NA,,NA,native,unlisted,,confirmed,observed,2006-06-23,Andy Lamb,PMLS,NA,NA,2018-08-10,Karolle Wall,iNat:15702535,,494514,WOR,NA,confirmed,Oxydromus pugettensis,Annelida,confirmed,2006,2018,NA,2018,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/15702535,15702535, (PMLS),Segmented worms (Annelida)
Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,giant piling sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Alitta,williami,NA,,NA,native,unlisted,,new 2017,observed,NA,NA,NA,NA,NA,2017-04-17,Kristian Sigvardsen,iNat:5796200,,1115984,WOR,2017,new,Alitta williami,Annelida,new,NA,2017,2017,2017,Kristian Sigvardsen,NA,https://www.inaturalist.org/observations/5796200,5796200,,Segmented worms (Annelida)
Nereis cf zonata,,,ragworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,zonata,NA,,NA,,,,reported,unobserved,1986-09-30,NA,RBCM,986-00197-016,1898310721,NA,NA,NA,,347330,WOR,NA,reported,Nereis cf zonata,Annelida,reported,1986,NA,NA,NA,NA,NA,NA,NA," (RBCM, 986-00197-016)",Segmented worms (Annelida)
Nereis sp.,,,sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,,NA,,NA,,,,reported,unobserved,2008-03-01,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,81791,WOR,NA,reported,Nereis sp.,Annelida,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Nereis vexillosa,"Grube, 1851",,banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,vexillosa,NA,,NA,native,unlisted,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2019-05-04,Lena Dietz Chiasson,iNat:24714358,,81790,WOR,NA,confirmed,Nereis vexillosa,Annelida,confirmed,1969,2019,NA,2019,Lena Dietz Chiasson,Andy Lamb,https://www.inaturalist.org/observations/24714358,24714358, (PMLS),Segmented worms (Annelida)
Platynereis bicanaliculata,"(Baird, 1863)",,algae-dwelling sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Platynereis,bicanaliculata,NA,,NA,native,unlisted,,new 2019,observed,NA,NA,NA,NA,NA,2019-05-04,Emily Adamczyk,iNat:24749850,,129876,WOR,2019,new,Platynereis bicanaliculata,Annelida,new,NA,2019,2019,2019,Emily Adamczyk,NA,https://www.inaturalist.org/observations/24749850,24749850,,Segmented worms (Annelida)
Eulalia sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,Phyllodocidae,Eteoninae,,Eulalia,,NA,,NA,native,unlisted,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-024,1898322763,NA,NA,NA,,345515,WOR,NA,reported,Eulalia sp.,Annelida,reported,1959,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 989-00278-024)",Segmented worms (Annelida)
Pterocirrus montereyensis,"(Hartman, 1936)",,annelid,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Phyllodocidae,Eteoninae,,Pterocirrus,montereyensis,NA,,NA,native,unlisted,,new 2024,observed,NA,NA,NA,NA,NA,2024-04-26,Liam Ragan,iNat:209971075,,963566,WOR,2024,new,Pterocirrus montereyensis,Annelida,new,NA,2024,2024,2024,Liam Ragan,NA,https://www.inaturalist.org/observations/209971075,209971075,,Segmented worms (Annelida)
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,NA,,NA,native,unlisted,,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,2019-05-04,Isabelle M. Côté,iNat:129151052,,69914,WOR,NA,confirmed,Arctonoe fragilis,Annelida,confirmed,1975,2019,NA,2019,Isabelle M. Côté,T. Kessler,https://www.inaturalist.org/observations/129151052,129151052," (RBCM, 975-00227-001)",Segmented worms (Annelida)
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,NA,,NA,native,unlisted,,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,iNat:24535513,,465156,WOR,NA,confirmed,Arctonoe pulchra,Annelida,confirmed,1975,2019,NA,2019,Norah Brown,T. Kessler,https://www.inaturalist.org/observations/24535513,24535513," (RBCM, 975-00227-003)",Segmented worms (Annelida)
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,vittata,NA,,NA,native,unlisted,,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,NA,NA,NA,,122163,WOR,NA,reported,Arctonoe vittata,Annelida,reported,1975,NA,NA,NA,NA,T. Kessler,NA,NA," (RBCM, 975-00227-002)",Segmented worms (Annelida)
Halosydna brevisetosa,"Kinberg, 1856",,eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,Halosydna,brevisetosa,NA,,NA,native,unlisted,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2019-05-05,Dave Metzger,iNat:25586752,,71236,WOR,NA,confirmed,Halosydna brevisetosa,Annelida,confirmed,1969,2019,NA,2019,Dave Metzger,Andy Lamb,https://www.inaturalist.org/observations/25586752,25586752, (PMLS),Segmented worms (Annelida)
Harmothoe fragilis,"Moore, 1910",,chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,,Harmothoe,fragilis,NA,,NA,native,unlisted,,reported,unobserved,2012-10-06,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,873903,WOR,NA,reported,Harmothoe fragilis,Annelida,reported,2012,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Epigamia cf alexandri,,,noble necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,,Epigamia,alexandri,NA,,NA,non-native,unlisted,,reported,unobserved,1986-09-30,NA,RBCM,986-00197-018,1898293180,NA,NA,NA,,1136117,WOR,NA,reported,Epigamia cf alexandri,Annelida,reported,1986,NA,NA,NA,NA,NA,NA,NA," (RBCM, 986-00197-018)",Segmented worms (Annelida)
Epigamia magna,"(Berkeley, 1923)",,necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,,Epigamia,magna,NA,,NA,,,,new 2022,observed,NA,NA,NA,NA,NA,2022-02-22,Catiemac,iNat:107323091,,628178,WOR,2022,new,Epigamia magna,Annelida,new,NA,2022,2022,2022,Catiemac,NA,https://www.inaturalist.org/observations/107323091,107323091,,Segmented worms (Annelida)
Trypanedenta gemmipara,"(Johnson, 1901)",,brown jewel necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,,Trypanedenta,gemmipara,NA,,NA,native,unlisted,,reported,unobserved,1986-09-30,NA,RBCM,986-00197-017,1898311580,NA,NA,NA,,1136121,WOR,NA,reported,Trypanedenta gemmipara,Annelida,reported,1986,NA,NA,NA,NA,NA,NA,NA," (RBCM, 986-00197-017)",Segmented worms (Annelida)
Trypanosyllis sp.,,,necklace-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,,Trypanosyllis,,NA,,NA,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,195014,WOR,NA,reported,Trypanosyllis sp.,Annelida,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Tomopteris sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,,Tomopteris,,NA,,NA,native,unlisted,,confirmed,observed,2010-05-30,Andy Lamb,PMLS,NA,NA,2021-04-11,"Dave ""Zeuss"" Cochrane",iNat:73721942,,693689,WOR,NA,confirmed,Tomopteris sp.,Annelida,confirmed,2010,2021,NA,2021,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/73721942,73721942, (PMLS),Segmented worms (Annelida)
Bispira pacifica,"(Berkeley & Berkeley, 1954)",,twin-eyed feather duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,Sabellinae,,Bispira,pacifica,NA,,NA,,,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,781286,WOR,NA,reported,Bispira pacifica,Annelida,reported,1973,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Neosabellaria cementarium,"(Moore, 1906)",,cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,,Neosabellaria,cementarium,NA,,NA,native,unlisted,,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,reported as Sabellaria cementarium,339237,WOR,NA,reported,Neosabellaria cementarium,Annelida,reported,1996,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),Segmented worms (Annelida)
Chone aurantiaca,"(Johnson, 1901)",,orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Chone,aurantiaca,NA,,NA,native,unlisted,,confirmed,observed,1999-05-04,Andy Lamb,PMLS,NA,NA,2023-05-28,"Dave ""Zeuss"" Cochrane",iNat:164555172,,356415,WOR,NA,confirmed,Chone aurantiaca,Annelida,confirmed,1999,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/164555172,164555172, (PMLS),Segmented worms (Annelida)
Eudistylia vancouveri,"(Kinberg, 1866)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,vancouveri,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2015-01-01,Peter Luckham,iNat:2797277,,84864,WOR,NA,confirmed,Eudistylia vancouveri,Annelida,confirmed,1969,2015,NA,2015,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2797277,2797277, (PMLS),Segmented worms (Annelida)
Myxicola sp.A,,,petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Myxicola,,NA,,NA,native,unlisted,,reported,unobserved,2018-06-19,Andy Lamb,PMLS,NA,NA,NA,NA,NA,"Myxicola sp.A = ""Myxicola aff. aesthetica”; In Europe, M. infundibulum is found in soft-sediments and M. aesthetica on docks & hard-surfaces. However, specimens from the NEP are morphologically and genetically different. In the past, several species of Myxicola were described from California, Puget Sound, and Alaska. This material needs to be re-examined.",492594,WOR,NA,reported,Myxicola sp.A,Annelida,reported,2018,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Myxicola sp.B,,,slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Myxicola,,NA,,NA,native,unlisted,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,NA,NA,2019-05-04,Isabelle M. Côté,iNat:129284413,"Myxicola sp.B = ""Myxicola aff. infundibulum”; In Europe, M. infundibulum is found in soft-sediments and M. aesthetica on docks & hard-surfaces. However, specimens from the NEP are morphologically and genetically different. In the past, several species of Myxicola were described from California, Puget Sound, and Alaska. This material needs to be re-examined.",49533,WOR,NA,confirmed,Myxicola sp.B,Annelida,confirmed,1993,2019,NA,2019,Isabelle M. Côté,Charlie Gibbs,https://www.inaturalist.org/observations/129284413,129284413, (PMLS),Segmented worms (Annelida)
Parasabella media,Bush 1905,,parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Parasabella,media,NA,,NA,native,unlisted,,confirmed,observed,1994-09-10,Andy Lamb,PMLS,NA,NA,2021-03-10,Andrew Simon,iNat:70981826,,367054,WOR,NA,confirmed,Parasabella media,Annelida,confirmed,1994,2021,NA,2021,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/70981826,70981826, (PMLS),Segmented worms (Annelida)
Pseudopotamilla occelata,"Moore, 1905",,feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Pseudopotamilla,occelata,NA,,NA,native,unlisted,,reported,unobserved,1986-09-30,NA,RBCM,1986-09-30,1898311898,NA,NA,NA,,485471,WOR,NA,reported,Pseudopotamilla occelata,Annelida,reported,1986,NA,NA,NA,NA,NA,NA,NA," (RBCM, 1986-09-30)",Segmented worms (Annelida)
Schizobranchia insignis,"Bush, 1905",,split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Schizobranchia,insignis,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2017-05-26,Karolle Wall,iNat:7674363,,339561,WOR,NA,confirmed,Schizobranchia insignis,Annelida,confirmed,1969,2017,NA,2017,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/7674363,7674363, (PMLS),Segmented worms (Annelida)
Apomatus geniculatus,"(Moore & Bush, 1904)",,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Apomatus,geniculatus,NA,,NA,native,unlisted,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,939557,WOR,NA,reported,Apomatus geniculatus,Annelida,reported,2007,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Crucigera zygophora,"(Johnson, 1901)",,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Crucigera,zygophora,NA,,NA,native,unlisted,,reported,unobserved,1986-09-30,NA,RBCM,NA,NA,NA,NA,NA,,543574,WOR,NA,reported,Crucigera zygophora,Annelida,reported,1986,NA,NA,NA,NA,NA,NA,NA, (RBCM),Segmented worms (Annelida)
Pileolaria sp.,,,dwarf calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Spirorbinae,,Pileolaria,,NA,,NA,,,,reported,unobserved,1994-10-23,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,533325,WOR,NA,reported,Pileolaria sp.,Annelida,reported,1994,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Protula pacifica,"Pixell, 1912",,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Protula,pacifica,NA,,NA,native,unlisted,,reported,unobserved,1981-05-31,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,538108,WOR,NA,reported,Protula pacifica,Annelida,reported,1981,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
Pseudochitinopoma occidentalis,"(Bush, 1905)",,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Pseudochitinopoma,occidentalis,NA,,NA,native,unlisted,,reported,unobserved,2006-03-05,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,538107,WOR,NA,reported,Pseudochitinopoma occidentalis,Annelida,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Segmented worms (Annelida)
