"scientificName","ID","Curator.Decision","Curator.Notes"
"Xiphisterinae","788485","DELETE","higher"
"Zirfaea","117473","DELETE","genus"
"Zoarcoidei","1303564","DELETE","higher"
"Carnivora","41573","DELETE","higher"
"Cervidae","42158","DELETE","higher"
"Cricetidae","55986","DELETE","higher"
"Mammalia","40151","DELETE","higher"
"Muroidea","488924","DELETE","higher"
"Otisorex","1431401","DELETE","higher"
"Placentalia","848320","DELETE","higher"
"Procyonidae","41660","DELETE","higher"
"Vespertilionidae","40269","DELETE","higher"
