name,node_class,taxon_status,taxon_year,color,size,label
Leiothlypis celata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Leuconotopicus villosus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Limnodromus scolopaceus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Lophodytes cucullatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Loxia curvirostra,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Mareca americana,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Mareca penelope,taxon,reported,NA,gray60,1,NA
Mareca strepera,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Megaceryle alcyon,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Megascops kennicottii,taxon,reported,NA,gray60,1,NA
Melanitta americana,taxon,reported,NA,gray60,1,NA
Melanitta deglandi,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Melanitta perspicillata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Melospiza georgiana,taxon,reported,NA,gray60,1,NA
Melospiza lincolnii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Melospiza melodia,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Mergus merganser,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Mergus serrator,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Molothrus ater,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Myadestes townsendi,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Nannopterum auritum,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Pandion haliaetus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Passer domesticus,taxon,reported,NA,gray60,1,NA
Passerculus sandwichensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Passerella iliaca,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Passerina amoena,taxon,reported,NA,gray60,1,NA
Patagioenas fasciata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Pelecanus erythrorhynchos,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Petrochelidon pyrrhonota,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Phalaropus lobatus,taxon,reported,NA,gray60,1,NA
Pheucticus melanocephalus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Pipilo maculatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Piranga ludoviciana,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Podiceps auritus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Podiceps grisegena,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Podiceps nigricollis,taxon,reported,NA,gray60,1,NA
Podilymbus podiceps,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Poecile rufescens,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Progne subis arboricola,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Psaltriparus minimus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Regulus satrapa,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Selasphorus rufus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Setophaga aestiva,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Setophaga coronata auduboni,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Setophaga coronata coronata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Setophaga nigrescens,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Setophaga townsendi,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Sitta canadensis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Spatula clypeata,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Sphyrapicus nuchalis,taxon,reported,NA,gray60,1,NA
Sphyrapicus ruber,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Spinus pinus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Spinus tristis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Spizella passerina,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Stelgidopteryx serripennis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Sterna hirundo,taxon,reported,NA,gray60,1,NA
Streptopelia decaocto,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Strix varia,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Sturnella neglecta,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Sturnus vulgaris,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Synthliboramphus antiquus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Tachycineta bicolor,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Tachycineta thalassina,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Thryomanes bewickii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Tringa flavipes,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Tringa melanoleuca,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Troglodytes aedon,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Troglodytes pacificus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Turdus migratorius,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Uria aalge,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Urile pelagicus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Urile penicillatus,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Vireo cassinii,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Vireo huttoni,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Vireo swainsoni,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Xanthocephalus xanthocephalus,taxon,reported,NA,gray60,1,NA
Zenaida macroura,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Zonotrichia albicollis,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Zonotrichia atricapilla,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Zonotrichia leucophrys,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Zonotrichia querula,taxon,confirmed,NA,#009E73,1.0045454545454546,NA
Phalaropus fulicarius,taxon,reported,NA,gray60,1,NA
Branta hutchinsii,taxon,reported,NA,gray60,1,NA
Bonasa umbellus brunnescens,taxon,reported,NA,gray60,1,NA
Hydroprogne caspia,taxon,new,2022,#E28B0C,1,NA
Columba livia domestica,taxon,confirmed,NA,#009E73,1,NA
Sialia currucoides,taxon,new,2023,#DB7406,1,NA
Pheucticus ludovicianus,taxon,new,2020,#EFB918,1,NA
Antigone canadensis,taxon,new,2021,#E9A212,1,NA
Pica hudsonia,taxon,new,2020,#EFB918,1,NA
Rallus limicola,taxon,new,2016,#FDE725,1,NA
Tyto furcata pratincola,taxon,new,2017,#F6D01E,1,NA
Salpinctes obsoletus,taxon,new,2024,#D55E00,1,NA
Melanerpes erythrocephalus,taxon,new,2024,#D55E00,1,NA
