Intended disposition,institutionCode,catalogNumber,scientificName,occurrenceRemarks,habitat,locality,Lat,Long,eventDate,recordedBy,identifiedBy,Date identified,Notes,Image,Checked morphology,,,,,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result,PCR Primer,Date,Result
UBC,SCL,17878,Pugetia cf. fragilissima,tetrasporic,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-08,silica gel voucher,Scan,Isodiametric cells with chains of pigmented cells,,,,,,,,,,,,,,,,
UBC,SCL,17879,Pugetia cf. fragilissima,cystocarpic,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-08,,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17880,Pugetia cf. fragilissima,cystocarpic,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-08,silica gel voucher,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17885,Pugetia cf. fragilissima,,"11.2 m @ 10:45, on worm tube",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,silica gel voucher,Scan,Cross section indicates this genus,,,,,,,,,,,,,,,,
UBC,SCL,17886,Pugetia cf. fragilissima,cystocarpic,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-09,,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17888,Pugetia cf. fragilissima,juvenile,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-09,,Scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17887,Pugetia cryptica,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,Hakai sequencing,2023-10-16,silica gel voucher,Scan,,,,,,,,,,,,,,,,,
UBC,SCL,17889,red blade,,"11.2 m @ 10:45, on rock",Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,Scan,,,,,,,,,,,,,,,,,
UBC,SCL,17865,Saccharina latissima,,,Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,,,Morphologically correct,,,,,,,,,,,,,,,,
UBC,SCL,17898,Sarcodiotheca furcata,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,,,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17855,Sarcodiotheca gaudichaudii,,"bedrock, 2.8 m @ 1448",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,"Bags 008, 016, 017",,Filamentous cells in center of axis,,,,,,,,,,,,,,,,
,,,Sarcodiotheca gaudichaudii,,13.0 m @ 10:29,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 061,,,,,,,,,,,,,,,,,,
UBC,SCL,17904,Sargassum muticum,,drift,N end Retreat Cove,,,2023-05-28,S.C. Lindstrom,S.C. Lindstrom,2023-05-28,fragment,,Yes,,,,,,,,,,,,,,,,
,,,Scagelia occidentalis,sterile,"5.5 m @ 1452, on rock scallop shell",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 005,,,,,,,,,,,,,,,,,,
UBC,SCL,17872,Scagelia occidentalis,,11.2 m @ 10:45,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-09-09,originally ID'd as Herposiphonia cf. plumula,Micrograph; scan,Yes,,,,,,,,,,,,,,,,
UBC,SCL,17858,Schizymenia pacifica,,"bedrock, 14'",Retreat Cove,,,2023-05-26,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 023,,Yes: gland cells!,,,,,,,,,,,,,,,,
UBC,SCL,17870,Schizymenia pacifica,,6.5 m @ 10:56,Spanish Hills,,,2023-05-27,Zach Montieth,S.C. Lindstrom,2023-05-27,Bag 034,,Yes,,,,,,,,,,,,,,,,
