scientificName,polygon,recordedBy,eventDate,datasetName,locality,
Pseudotsuga menziesii,1,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Vaccinium parvaflorum,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Cytisus scoparius,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Racomitrium spp.,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Prunus emarginata,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhytidiadelphus triquetrus,9,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On northeast side of ridge
Pseudotsuga menziesii,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Mainly on mid slope
Thuja plicata,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In CDFmm/01 Poly 12b
Holodiscus discolor,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Mainly on mid slope
Mahonia nervosa,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Mainly on mid slope
Linnaea borealis,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Vaccinium ovatum,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera hispidula,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Mainly on upper slope
Polystichum munitum,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lactuca muralis,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kinbergia praelonga,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On rocks
Kinbergia oregana,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On rocks
Lonicera ciliosa,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In CDFmm/01 Poly 12b
Grass spp.,12,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Arbutus menziesii,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Mahonia nervosa,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kinbergia oregana,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Alnus rubra,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lonicera hispidula,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lactuca muralis,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gallium aparine,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Racomitrium spp.,13,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Lower slope on talus
Alnus rubra,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Abies grandis,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Thuja plicata,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus spectabilis,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Urtica dioica,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Juncos effusus,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Lysichiton americanum,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Scirpus microcarpus,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Equisetum arvense,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Elymus glaucus,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia praelonga,14,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Alnus rubra,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Abies grandis,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Raised micro-sites
Thuja plicata,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus spectabilis,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Climacium dendroides,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Plagiomnium insigne,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia praelonga,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhytididiadelphus triquetrus,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Elymus glaucus,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Carex sp.,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Raised micro-sites
Salix scouleriana,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus ursinus,15,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Pseudotsuga menziesii,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,No A2/A3 in disturbed areas
Thuja plicata,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,No A2/A3 in disturbed areas
Alnus rubra,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,No A2/A3 in disturbed areas
Abies grandis,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,No A2/A3 in disturbed areas
Arbutus menziesii,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,On raised micro-site
Gaultheria shallon,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,Less in flooded areas
Pteridium aquilinum,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Acer macrophyllum,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Equisetum arvense,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus discolor,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In flooded area by road
Vaccinium parvaflorum,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Populus balsamifera trichocarpa,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In flooded areas
Sambucus racemosa,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In flooded areas
Rubus spectabilis,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In flooded areas
Carex spp.,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In flooded areas
Grass spp.,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Urtica dioica,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus ursinus,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia praelonga,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Climacium dendroides,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Plagiothecium undulatum,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Plagiomnium insigne,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Holodiscus discolor,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Gallium aparine,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Crataegus monogyna,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Mahonia nervosa,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Cirsium spp.,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Symphorocarpus albus,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Salix scouleriana,16,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In disturbed areas
Pseudotsuga menziesii,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,1% in 17a/b
Thuja plicata,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,1% in 17a/b
Alnus rubra,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,5% in 17a/b
Abies grandis,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,1% in 17a/b
Prunus emarginata,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Gaultheria shallon,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polystichum munitum,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,20% in polygons 17a/b
Pteridium aquilinum,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,5% in 17a/b
Acer macrophyllum,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia oregana,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Achlys triphylla,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Equisetum arvense,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus discolor,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Scirpus microcarpus,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,In 17b
Sambucus racemosa,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus spectabilis,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Carex spp.,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Grass spp.,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,60% in Polygons 17a/b
Urtica dioica,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rubus ursinus,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Kindbergia praelonga,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Elymus hirsutus,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Rhytidiadelphus triquetrus,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Plagiomnium insigne,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
Polytrichum juniperinum,17,Keith Erikson,09/2009-12/2009,Crystal Mountain Ecosystem-based Land-use Plan,Galiano Island; Crystal Mountain; Parcel A of DL89 except part in plan 27287 & Lot 9 Plan 31200 DL90,
