scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReportedBy,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode
Melosira moniliformis,C.Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,moniliformis,,,,unlisted,unlisted,,,,,,,2012-07-13,Mark Webber,,,,,new 2012,observed,,359966,ALG
Melosira nummuloides,C. Agardh.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Melosiraceae,,,Melosira,nummuloides,,,,unlisted,unlisted,,,,,,,2010-12-26,Mark Webber,,,,,new 2010,observed,,460262,ALG
Stephanopyxis nipponica,Gran & Yendo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Stephanopyxidaceae,,,Stephanopyxis,nipponica,,,,unlisted,unlisted,,,,,,,2020-03-28,Mark Webber,,,,,new 2020,observed,,488075,ALG
Stephanopyxis turris,(Greville) Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Melosirales,,,Stephanopyxidaceae,,,Stephanopyxis,turris,,,,unlisted,unlisted,,,,,,,2005-07-14,Mark Webber,,,,,new 2005,observed,,484129,ALG
Berkeleya sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Neidiineae,,Berkeleyaceae,,,Berkeleya,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,415040,ALG
Parlibellus delognei f. ellipticus,E.J.Cox,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Neidiineae,,Berkeleyaceae,,,Parlibellus,delognei,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465270,ALG
Parlibellus protracta,"(Grunow) Witkowski, Lange-Bertalot & Metzeltin",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Neidiineae,,Berkeleyaceae,,,Parlibellus,protracta,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465271,ALG
Diploneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Diploneidineae,,Diploneidaceae,,,Diploneis,,,,,unlisted,unlisted,,,,,,,2006-01-22,Mark Webber,,,,,new 2006,observed,,345801,ALG
Haslea avium,"M.A.Tiffany, Herwig & Sterrenburg",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Haslea,avium,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465272,ALG
Haslea howeana,(Hagelstein) Giffen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Haslea,howeana,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424564,ALG
Haslea pseudostrearia,"Massé, Rincé & E.J.Cox",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Haslea,pseudostrearia,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424565,ALG
Membraneis challengeri,(Grunow) Paddock,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Membraneis,challengeri,,,,unlisted,unlisted,,,,,,,2005-07-14,Mark Webber,,,,,new 2005,observed,,521233,ALG
Navicula avium,"(M.E.Tiffany, Herwig & Sterrenburg) Yuhang Li & Kuidong Xi",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,avium,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424571,ALG
Navicula cari,Ehrenberg 1836,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,cari,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,492500,ALG
Navicula glaciei,Van Heurck,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,glaciei,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424572,ALG
Navicula hippodontafallax,Ch.Li in Witkowski et al.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,hippodontafallax,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465275,ALG
Navicula kongfjordensis,Stachura et al.,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,kongfjordensis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465261,ALG
Navicula perminuta,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,perminuta,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1000896,ALG
Hippodonta pseudacceptata,"(H.Kobayasi) Lange-Bertalot, Metzeltin & Witkowski",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,pseudacceptata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1454207,ALG
Navicula ramosissima,(C.Agardh) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,ramosissima,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,971073,ALG
Navicula reinhardtii,(Grunow) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,reinhardtii,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,713270,ALG
Navicula rhynchocephala,Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,rhynchocephala var. hankensis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,"reported as Navicula rhynchocephala var. hankensis Skvortzov, nom. illeg. 1929; freshwater species? (AlgaeBase, 2023)",496854,ALG
Navicula rhynchotella,Lange-Bertalot,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,rhynchotella,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,492509,ALG
Navicula septentrionalis,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,septentrionalis,,,,unlisted,unlisted,,,,,,,2008-07-23,Mark Webber,,,,,new 2008,observed,,1269159,ALG
Navicula slesvicensis,Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Navicula,slesvicensis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1450859,ALG
Pseudogomphonema kamtschaticum,(Grunow) Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Pseudogomphonema,kamtschaticum,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465276,ALG
Seminavis robusta,D.B.Danielidis & D.G.Mann,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Seminavis,robusta,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1464071,ALG
Sternimirus shandongensis,Witkowski & Chunlian Li,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Sternimirus,shandongensis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465278,ALG
Pinnularia sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Pinnulariaceae,,,Pinnularia,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,244797,ALG
Ephemera cf planamembranacea,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Plagiotropidaceae,,,Ephemera,plana,,,,unlisted,unlisted,,,,,,,2008-07-19,Mark Webber,,,,,new 2008,observed,,1081588,ALG
Plagiotropis lepidoptera,(W.Gregory) Kuntze,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Plagiotropidaceae,,,Plagiotropis,lepidoptera,,,,unlisted,unlisted,,,,,,,2008-11-19,Mark Webber,,,,,new 2008,observed,,485228,ALG
Pleurosigma normanii,Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Pleurosigmataceae,,,Pleurosigma,normanii,,,,unlisted,unlisted,,,,,,,2007-07-13,Mark Webber,,,,,new 2007,observed,,4873106,ALG
Proschkinia complanatula,(Hustedt ex Simonsen) D.G.Mann,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Proschkiniaceae,,,Proschkinia,complanatula,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465274,ALG
Fallacia laevis,Yuh. Li & Hidek,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Sellaphorineae,,,Fallacia,laevis,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465273,ALG
Fallacia litoricola,(Hustedt) D.G.Mann,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Sellaphorineae,,,Fallacia,litoricola,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,991554,ALG
Paralia sulcata,(Ehrenberg) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Paraliales,,,Paraliaceae,,,Paralia,sulcata,,,,unlisted,unlisted,,,,,,,2006-01-15,Mark Webber,,,,,new 2006,observed,,203738,ALG
Ellerbeckia sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Paraliales,,,Radialiplicataceae,,,Ellerbeckia,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,544124,ALG
Plagiogramma sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Urneidophycidae,,Plagiogrammales,,,Plagiogrammaceae,,,Plagiogramma,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,251136,ALG
Rhabdonema arcuatum,(Lyngbye) Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Rhabdonematales,,,Rhabdonemataceae,,,Rhabdonema,arcuatum,,,,unlisted,unlisted,,,,,,,2006-11-26,Mark Webber,,,,,new 2006,observed,,553701,ALG
Dactyliosolen fragilissimus,(Bergon) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Dactyliosolen,fragilissimus,,,,unlisted,unlisted,,,,,,,2020-04-25,Mark Webber,,,,,new 2020,observed,,429201,ALG
Guinardia delicatula,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,delicatula,,,,unlisted,unlisted,,,,,,,2006-07-21,Mark Webber,,,,,new 2006,observed,,429202,ALG
Guinardia striata,(Stolterfoth) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,striata,,,,unlisted,unlisted,,,,,,,2007-01-23,Mark Webber,,,,,new 2007,observed,,416666,ALG
Neocalyptrella robusta,(G. Norman ex Ralfs) Hernández-Becerril & Meave del Castillo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Neocalyptrella,robusta,,,,unlisted,unlisted,,,,,,,2010-12-26,Mark Webber,,,,,new 2010,observed,,493946,ALG
Rhizosolenia setigera f. pungens,(A.Cleve) Brunel,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Rhizosolenia,setigera,,,,unlisted,unlisted,,,,,,,2009-08-12,Mark Webber,,,,,new 2009,observed,,1271514,ALG
Trigonium arcticum,(Brightwell) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Stellarimales,,,Trigoniaceae,,,Trigonium,arcticum,,,,unlisted,unlisted,,,,,,,2013-01-08,Mark Webber,,,,,new 2013,observed,,841425,ALG
Cyclotella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Cyclotella,,,,,unlisted,unlisted,,,,,,,2006-01-24,Mark Webber,,,,,new 2006,observed,,345199,ALG
Eupyxidicula turris,(Greville) S.Blanco & C.E.Wetzel,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Archaegladiopsophycidae,,Stephanopyxales,,,Stephanopyxidaceae,,,Eupyxidicula,turris,,,,unlisted,unlisted,,,,,,,2005-07-14,Mark Webber,,,,,new 2005,observed,,1268528,ALG
Striatella unipunctata,(Lyngbye) C. Agardh,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Striatellales,,,Striatellaceae,,,Striatella,unipunctata,,,,unlisted,unlisted,,,,,,,2006-11-26,Mark Webber,,,,,new 2006,observed,,372659,ALG
Entomoneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Surirellales,,,Entomoneidaceae,,,Entomoneis,,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,359960,ALG
Thalassionema nitzschioides,(Grunow) Mereschkowsky,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassionematales,,,Thalassionemataceae,,,Thalassionema,nitzschioides,,,,unlisted,unlisted,,,,,,,2006-01-15,Mark Webber,,,,,new 2006,observed,,359995,ALG
Amphora abludens,Simonsen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,abludens,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424506,ALG
Amphora beaufortiana,Hustedt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,beaufortiana,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465260,ALG
Amphora calumetica,(Thomas ex Wolle) M.Peragallo,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,calumetica,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465259,ALG
Amphora helenensis,Giffen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,helenensis,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424507,ALG
Amphora lineolata,"Ehrenberg, nom. illeg.",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,lineolata,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,“the taxonomic or nomenclatural status (or both) of this entity is in some way unresolved and requires further investigation.” (AlgaeBase 2022),970169,ALG
Halamphora margalefii var. lacustris,(P.Sánchez) J.G.Stepanek & Kociolek 2018,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,margalefii,,,lacustris,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465258,ALG
Amphora sulcata,Brébisson ex W.Gregory,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,sulcata,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465255,ALG
Amphora vixvisibilis,Chunlian Li & Witkowski,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Amphora,vixvisibilis,,,,unlisted,unlisted,,2022-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1465254,ALG
Halamphora coffaeiformis,(C. Agardh) Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Halamphora,coffaeiformis,,,,unlisted,unlisted,,,,,,,2005-07-19,Mark Webber,,,,,new 2005,observed,,1269622,ALG
Halamphora montana,(Krasske) Levkov,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Halamphora,montana,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,506346,ALG
Halamphora nagumoi,"J.G.Stepanek, Mayama & Kociolek",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Halamphora,nagumoi,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424979,ALG
Skeletonema costatum,Skeletonema costatum (Greville) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Skeletonemataceae,,,Skeletonema,costatum,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,203742,ALG
Skeletonema japonicum,Zingone & Sarno,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Skeletonemataceae,,,Skeletonema,japonicum,,,,unlisted,unlisted,,,,,,,2005-07-19,Mark Webber,,,,,new 2005,observed,,521234,ALG
Detonula pumila,(Castracane) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,pumila,,,,unlisted,unlisted,,,,,,,2005-07-14,Mark Webber,,,,,new 2005,observed,,468053,ALG
Minidiscus trioculatus,(F.J.R.Taylor) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Minidiscus,trioculatus,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1125489,ALG
Minidiscus variabili,Kaczmarska,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Minidiscus,variabili,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424978,ALG
Planktoniella sol,(G.C. Wallich) Schütt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Planktoniella,sol,,,,unlisted,unlisted,,,,,,,2006-07-21,Mark Webber,,,,,new 2006,observed,,521675,ALG
Thalassiosira angulata,(W.Gregory) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,angulata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,996172,ALG
Thalassiosira angustelineata,(A.W.F.Schmidt) G.Fryxell & Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,angustelineata,,,,unlisted,unlisted,,,,,,,2010-10-19,Mark Webber,,,,,new 2010,observed,,470489,ALG
Thalassiosira curviseriata,Takano,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,curviseriata,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424977,ALG
Thalassiosira eccentrica,(Ehrenberg) Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,eccentrica,,,,unlisted,unlisted,,,,,,,2022-06-25,Andrew Simon & Mark Webber,,,,,new 2022,observed,,359996,ALG
Thalassiosira gravida,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,gravida,,,,unlisted,unlisted,,,,,,,2010-11-03,Mark Webber,,,,,new 2010,observed,,970151,ALG
Thalassiosira minima,Gaarder,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,minima,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1018740,ALG
Thalassiosira nordenskioeldii,Cleve,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,nordenskioeldii,,,,unlisted,unlisted,,,,,,,2022-04-06,Mark Webber,,,,,new 2022,observed,,359968,ALG
Thalassiosira oceanica,Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,oceanica,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424975,ALG
Thalassiosira pacifica,Gran & Angst,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,pacifica,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,549893,ALG
Thalassiosira punctigera,(Castracane) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,punctigera,,,,unlisted,unlisted,,,,,,,2010-12-28,Mark Webber,,,,,new 2010,observed,,488947,ALG
Thalassiosira rotula,Meunier,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,rotula,,,,unlisted,unlisted,,,,,,,2010-11-03,Mark Webber,,,,,new 2010,observed,,437514,ALG
Thalassiosira tenera,Proshkina-Lavrenko,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Thalassiosira,tenera,,,,unlisted,unlisted,,2020-11-15,"Mark Webber, Arjan van Asselt & Siobhan Schenk",Webber et al. 2022,,,,,,,,,new 2020,unobserved,,1424973,ALG
