"","Family","Full.Species","Infra.taxa","Habitat","Islands","Island.Size..min..max.","Typical.Cover","Date.First.Seen","Date.Last.Seen","Notes","iNat_taxon","iNat_Family"
"197","Boraginaceae","Amsinckia spectabilis Fisch. & C.A. Mey.","var. spectabilis","Open",5,NA,NA,NA,NA,NA,"Amsinckia spectabilis","Boraginaceae"
"198","Boraginaceae","Anchusa azurea Mill.*","","Open",2,NA,NA,NA,NA,NA,"Anchusa azurea","Boraginaceae"
"199","Boraginaceae","Anchusa officinalis L.*","","Open",1,NA,NA,NA,NA,NA,"Anchusa officinalis","Boraginaceae"
"200","Boraginaceae","Borago officinalis L.*","","Open",1,NA,NA,NA,NA,NA,"Borago officinalis","Boraginaceae"
"201","Boraginaceae","Buglossoides arvensis (L.) I.M. Johnst.*","","Open",1,NA,NA,NA,NA,NA,"Buglossoides arvensis","Boraginaceae"
"202","Boraginaceae","Lycopsis arvensis L.*","","Open",1,NA,NA,NA,NA,NA,"Anchusa arvensis","Boraginaceae"
"203","Boraginaceae","Myosotis arvensis (L.) Hill*","","Open",4,NA,NA,NA,NA,NA,"Myosotis arvensis","Boraginaceae"
"204","Boraginaceae","Myosotis discolor Pers.*","","Open",43,NA,NA,NA,NA,NA,"Myosotis discolor","Boraginaceae"
"205","Boraginaceae","Myosotis latifolia Poir.*","","Open",1,NA,NA,NA,NA,NA,"Myosotis latifolia","Boraginaceae"
"206","Boraginaceae","Myosotis laxa Lehm.","","Wetland",4,NA,NA,NA,NA,NA,"Myosotis laxa","Boraginaceae"
"207","Boraginaceae","Myosotis stricta Link ex Roem. & Schult.*","","Open",12,NA,NA,NA,NA,NA,"Myosotis stricta","Boraginaceae"
"208","Boraginaceae","Myosotis sylvatica Ehrh. ex Hoffm.*","","Forest",1,NA,NA,NA,NA,NA,"Myosotis sylvatica","Boraginaceae"
"209","Boraginaceae","Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey*","","Forest",1,NA,NA,NA,NA,NA,"Pentaglottis sempervirens","Boraginaceae"
"210","Boraginaceae","Plagiobothrys scouleri (Hook. & Arn.) I.M. Johnst.","","Shoreline",28,NA,NA,NA,NA,NA,"Plagiobothrys scouleri","Boraginaceae"
"211","Boraginaceae","Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray","","Open",4,NA,NA,NA,NA,NA,"Plagiobothrys tenellus","Boraginaceae"
"212","Boraginaceae","Symphytum officinale L.*","","Open",1,NA,NA,NA,NA,NA,"Symphytum officinale","Boraginaceae"
"213","Boraginaceae","Symphytum uplandicum Nyman*","","Open",1,NA,NA,NA,NA,NA,"Symphytum × uplandicum","Boraginaceae"
"214","Brassicaceae","Alliaria petiolata (M. Bieb.) Cavara & Grande*","","Forest",2,NA,NA,NA,NA,NA,"Alliaria petiolata","Brassicaceae"
"215","Brassicaceae","Arabidopsis thaliana (L.) Heynh.*","","Open",8,NA,NA,NA,NA,NA,"Arabidopsis thaliana","Brassicaceae"
"216","Brassicaceae","Arabis caucasica Willd.*","","Open",1,NA,NA,NA,NA,NA,"Arabis caucasica","Brassicaceae"
"217","Brassicaceae","Arabis eschscholtziana Andrz.","","Open",23,NA,NA,NA,NA,NA,"Arabis eschscholtziana","Brassicaceae"
"218","Brassicaceae","Aubrieta deltoidea (L.) DC.*","","Open",1,NA,NA,NA,NA,NA,"Aubrieta deltoidea","Brassicaceae"
"219","Brassicaceae","Barbarea orthoceras Ledeb.","","Open",15,NA,NA,NA,NA,NA,"Barbarea orthoceras","Brassicaceae"
"220","Brassicaceae","Barbarea vulgaris W.T. Aiton*","","Open",1,NA,NA,NA,NA,NA,"Barbarea vulgaris","Brassicaceae"
"221","Brassicaceae","Brassica juncea (L.) Czern.*","","Open",4,NA,NA,NA,NA,NA,"Brassica juncea","Brassicaceae"
"222","Brassicaceae","Brassica nigra (L.) W.D.J. Koch*","","Open",3,NA,NA,NA,NA,NA,"Brassica nigra","Brassicaceae"
"223","Brassicaceae","Brassica rapa L.*","","Open",4,NA,NA,NA,NA,NA,"Brassica rapa","Brassicaceae"
"224","Brassicaceae","Cakile edentula (Bigelow) Hook.*","var. edentula","Shoreline",17,NA,NA,NA,NA,NA,"Cakile edentula","Brassicaceae"
"225","Brassicaceae","Cakile maritima Scop.*","ssp. maritima","Shoreline",44,NA,NA,NA,NA,NA,"Cakile maritima","Brassicaceae"
"226","Brassicaceae","Camelina microcarpa Andrz. ex DC.*","","Open",1,NA,NA,NA,NA,NA,"Camelina microcarpa","Brassicaceae"
"227","Brassicaceae","Capsella bursa-pastoris (L.) Medik.*","","Open",10,NA,NA,NA,NA,NA,"Capsella bursa-pastoris","Brassicaceae"
"228","Brassicaceae","Cardamine flexuosa With.*","","Forest",6,NA,NA,NA,NA,NA,"Cardamine flexuosa","Brassicaceae"
"229","Brassicaceae","Cardamine hirsuta L.*","","Open",66,NA,NA,NA,NA,NA,"Cardamine hirsuta","Brassicaceae"
"230","Brassicaceae","Cardamine nuttallii Greene","","Forest",2,NA,NA,NA,NA,NA,"Cardamine nuttallii","Brassicaceae"
"231","Brassicaceae","Cardamine occidentalis (S. Watson) Howell","","Wetland",2,NA,NA,NA,NA,NA,"Cardamine occidentalis","Brassicaceae"
"232","Brassicaceae","Cardamine oligosperma Nutt.","","Forest",50,NA,NA,NA,NA,NA,"Cardamine oligosperma","Brassicaceae"
"233","Brassicaceae","Cardamine pensylvanica Muhl. ex Willd.","","Forest",4,NA,NA,NA,NA,NA,"Cardamine pensylvanica","Brassicaceae"
"234","Brassicaceae","Draba verna L.*","","Open",30,NA,NA,NA,NA,NA,"Draba verna","Brassicaceae"
"235","Brassicaceae","Erysimum cheiri (L.) Crantz*","","Open",1,NA,NA,NA,NA,NA,"Erysimum cheiri","Brassicaceae"
"236","Brassicaceae","Hesperis matronalis L.*","","Open",2,NA,NA,NA,NA,NA,"Hesperis matronalis","Brassicaceae"
"237","Brassicaceae","Hornungia procumbens (L.) Hayek","","Shoreline",11,NA,NA,NA,NA,NA,"Hornungia procumbens","Brassicaceae"
"238","Brassicaceae","Lepidium campestre (L.) W.T. Aiton*","","Open",1,NA,NA,NA,NA,NA,"Lepidium campestre","Brassicaceae"
"239","Brassicaceae","Lepidium densiflorum Schrad.","","Open",3,NA,NA,NA,NA,NA,"Lepidium densiflorum","Brassicaceae"
"240","Brassicaceae","Lepidium didymum L.*","","Open",1,NA,NA,NA,NA,NA,"Lepidium didymum","Brassicaceae"
"241","Brassicaceae","Lepidium draba L.*","","Open",1,NA,NA,NA,NA,NA,"Lepidium draba","Brassicaceae"
"242","Brassicaceae","Lepidium heterophyllum Benth.*","","Open",1,NA,NA,NA,NA,NA,"Lepidium heterophyllum","Brassicaceae"
"243","Brassicaceae","Lepidium latifolium L.*","","Open",1,NA,NA,NA,NA,NA,"Lepidium latifolium","Brassicaceae"
"244","Brassicaceae","Lepidium oxycarpum Torr. & A. Gray","","Shoreline",2,NA,NA,NA,NA,NA,"Lepidium oxycarpum","Brassicaceae"
"245","Brassicaceae","Lepidium perfoliatum L.*","","Open",1,NA,NA,NA,NA,NA,"Lepidium perfoliatum","Brassicaceae"
"246","Brassicaceae","Lepidium virginicum L.","ssp. menziesii","Shoreline",72,NA,NA,NA,NA,NA,"Lepidium virginicum","Brassicaceae"
"247","Brassicaceae","Lobularia maritima (L.) Desv.*","","Open",2,NA,NA,NA,NA,NA,"Lobularia maritima","Brassicaceae"
"248","Brassicaceae","Lunaria annua L.*","","Forest",3,NA,NA,NA,NA,NA,"Lunaria annua","Brassicaceae"
"249","Brassicaceae","Nasturtium officinale W.T. Aiton*","","Wetland",2,NA,NA,NA,NA,NA,"Nasturtium officinale","Brassicaceae"
"250","Brassicaceae","Raphanus raphanistrum L.*","","Open",3,NA,NA,NA,NA,NA,"Raphanus raphanistrum","Brassicaceae"
"251","Brassicaceae","Raphanus sativus L.*","","Open",2,NA,NA,NA,NA,NA,"Raphanus sativus","Brassicaceae"
"252","Brassicaceae","Rorippa curvisiliqua (Hook.) Bessey ex Britton","","Wetland",2,NA,NA,NA,NA,NA,"Rorippa curvisiliqua","Brassicaceae"
"253","Brassicaceae","Rorippa palustris (L.) Besser","ssp. palustris","Wetland",1,NA,NA,NA,NA,NA,"Rorippa palustris","Brassicaceae"
"254","Brassicaceae","Sinapis arvensis L.*","","Open",3,NA,NA,NA,NA,NA,"Sinapis arvensis","Brassicaceae"
"255","Brassicaceae","Sisymbrium altissimum L.*","","Open",1,NA,NA,NA,NA,NA,"Sisymbrium altissimum","Brassicaceae"
"256","Brassicaceae","Sisymbrium officinale (L.) Scop.*","","Open",3,NA,NA,NA,NA,NA,"Sisymbrium officinale","Brassicaceae"
"257","Brassicaceae","Teesdalia nudicaulis (L.) W.T. Aiton*","","Open",5,NA,NA,NA,NA,NA,"Teesdalia nudicaulis","Brassicaceae"
"258","Brassicaceae","Thlaspi arvense L.*","","Open",1,NA,NA,NA,NA,NA,"Thlaspi arvense","Brassicaceae"
"259","Brassicaceae","Turritis glabra L.","","Open",49,NA,NA,NA,NA,NA,"Turritis glabra","Brassicaceae"
"260","Buddleja","Buddleja davidii Franch.*","","Open",1,NA,NA,NA,NA,NA,"Buddleja davidii","Scrophulariaceae"
"261","Cabombaceae","Brasenia schreberi J.F. Gmel.","","Wetland",2,NA,NA,NA,NA,NA,"Brasenia schreberi","Cabombaceae"
"262","Cactaceae","Opuntia fragilis (Nutt.) Haw.","","Shoreline",27,NA,NA,NA,NA,NA,"Opuntia fragilis","Cactaceae"
"263","Campanulaceae","Campanula medium L.*","","Open",2,NA,NA,NA,NA,NA,"Campanula medium","Campanulaceae"
"264","Campanulaceae","Campanula persicifolia L.*","","Open",1,NA,NA,NA,NA,NA,"Campanula persicifolia","Campanulaceae"
"265","Campanulaceae","Campanula rapunculoides L.*","","Open",1,NA,NA,NA,NA,NA,"Campanula rapunculoides","Campanulaceae"
"266","Campanulaceae","Campanula rotundifolia L.","","Open",14,NA,NA,NA,NA,NA,"Campanula rotundifolia","Campanulaceae"
"267","Campanulaceae","Campanula scouleri Hook. ex A. DC.","","Forest",4,NA,NA,NA,NA,NA,"Campanula scouleri","Campanulaceae"
"268","Campanulaceae","Githopsis specularioides Nutt.","","Open",1,NA,NA,NA,NA,NA,"Githopsis specularioides","Campanulaceae"
"269","Campanulaceae","Lobelia dortmanna L.","","Wetland",1,NA,NA,NA,NA,NA,"Lobelia dortmanna","Campanulaceae"
"270","Campanulaceae","Triodanis perfoliata (L.) Nieuwl.","","Wetland",6,NA,NA,NA,NA,NA,"Triodanis perfoliata","Campanulaceae"
"271","Caprifoliaceae","Lonicera ciliosa (Pursh) Poir. ex DC.","","Forest",52,NA,NA,NA,NA,NA,"Lonicera ciliosa","Caprifoliaceae"
"272","Caprifoliaceae","Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray","","Forest",56,NA,NA,NA,NA,NA,"Lonicera hispidula","Caprifoliaceae"
"273","Caprifoliaceae","Lonicera involucrata (Richardson) Banks ex Spreng.","var. involucrata","Forest",9,NA,NA,NA,NA,NA,"Lonicera involucrata","Caprifoliaceae"
"274","Caprifoliaceae","Symphoricarpos albus (L.) S.F. Blake","var. laevigatus","Forest",94,NA,NA,NA,NA,NA,"Symphoricarpos albus","Caprifoliaceae"
"275","Caryophyllaceae","Agrostemma githago L.*","","Open",1,NA,NA,NA,NA,NA,"Agrostemma githago","Caryophyllaceae"
"276","Caryophyllaceae","Arenaria serpyllifolia L.*","var. serpylilfolia","Open",5,NA,NA,NA,NA,NA,"Arenaria serpyllifolia","Caryophyllaceae"
"277","Caryophyllaceae","Cerastium arvense L.","ssp. strictum","Open",106,NA,NA,NA,NA,NA,"Cerastium arvense","Caryophyllaceae"
"278","Caryophyllaceae","Cerastium fontanum Baumg.*","ssp. vulgare","Open",12,NA,NA,NA,NA,NA,"Cerastium fontanum","Caryophyllaceae"
"279","Caryophyllaceae","Cerastium glomeratum Thuill.*","","Open",82,NA,NA,NA,NA,NA,"Cerastium glomeratum","Caryophyllaceae"
"280","Caryophyllaceae","Cerastium pumilum Curtis*","","Open",71,NA,NA,NA,NA,NA,"Cerastium pumilum","Caryophyllaceae"
"281","Caryophyllaceae","Cerastium semidecandrum L.*","","Open",47,NA,NA,NA,NA,NA,"Cerastium semidecandrum","Caryophyllaceae"
"282","Caryophyllaceae","Cerastium tomentosum L.*","","Open",1,NA,NA,NA,NA,NA,"Cerastium tomentosum","Caryophyllaceae"
"283","Caryophyllaceae","Dianthus armeria L.*","ssp. armeria","Open",5,NA,NA,NA,NA,NA,"Dianthus armeria","Caryophyllaceae"
"284","Caryophyllaceae","Dianthus barbatus L.*","ssp. barbatus","Open",1,NA,NA,NA,NA,NA,"Dianthus barbatus","Caryophyllaceae"
"285","Caryophyllaceae","Holosteum umbellatum L.*","ssp. umbellatum","Open",2,NA,NA,NA,NA,NA,"Holosteum umbellatum","Caryophyllaceae"
"286","Caryophyllaceae","Honckenya peploides (L.) Ehrh.","ssp. major","Shoreline",11,NA,NA,NA,NA,NA,"Honckenya peploides","Caryophyllaceae"
"287","Caryophyllaceae","Lychnis coronaria (L.) Desr.*","","Open",4,NA,NA,NA,NA,NA,"Silene coronaria","Caryophyllaceae"
"288","Caryophyllaceae","Moehringia macrophylla (Hook.) Fenzl","","Forest",5,NA,NA,NA,NA,NA,"Moehringia macrophylla","Caryophyllaceae"
"289","Caryophyllaceae","Moenchia erecta (L.) P. Gaertn., B. Mey. & Scherbius*","","Open",2,NA,NA,NA,NA,NA,"Moenchia erecta","Caryophyllaceae"
"290","Caryophyllaceae","Sabulina macra (A. Nelson & J.F. Macbr.) Dillenb. & Kadereit","","Open",17,NA,NA,NA,NA,NA,"Sabulina macra","Caryophyllaceae"
"291","Caryophyllaceae","Sagina apetala Ard.*","","Shoreline",17,NA,NA,NA,NA,NA,"Sagina apetala","Caryophyllaceae"
"292","Caryophyllaceae","Sagina decumbens (Elliott) Torr. & A. Gray","ssp. occidentalis","Shoreline",88,NA,NA,NA,NA,NA,"Sagina decumbens","Caryophyllaceae"
"293","Caryophyllaceae","Sagina maxima A. Gray","ssp. crassicaulis","Shoreline",31,NA,NA,NA,NA,NA,"Sagina maxima","Caryophyllaceae"
"294","Caryophyllaceae","Sagina procumbens L.*","","Shoreline",12,NA,NA,NA,NA,NA,"Sagina procumbens","Caryophyllaceae"
"295","Caryophyllaceae","Scleranthus annuus L.*","","Open",1,NA,NA,NA,NA,NA,"Scleranthus annuus","Caryophyllaceae"
"296","Caryophyllaceae","Silene antirrhina L.","","Open",16,NA,NA,NA,NA,NA,"Silene antirrhina","Caryophyllaceae"
"297","Caryophyllaceae","Silene douglasii Hook.","","Open",1,NA,NA,NA,NA,NA,"Silene douglasii","Caryophyllaceae"
"298","Caryophyllaceae","Silene gallica L.*","","Open",28,NA,NA,NA,NA,NA,"Silene gallica","Caryophyllaceae"
"299","Caryophyllaceae","Silene latifolia Poir.*","","Open",2,NA,NA,NA,NA,NA,"Silene latifolia","Caryophyllaceae"
"300","Caryophyllaceae","Silene menziesii Hook.","","Forest",12,NA,NA,NA,NA,NA,"Silene menziesii","Caryophyllaceae"
"301","Caryophyllaceae","Silene scouleri Hook.","ssp. scouleri","Open",5,NA,NA,NA,NA,NA,"Silene scouleri","Caryophyllaceae"
"302","Caryophyllaceae","Spergula arvensis L.*","","Shoreline",2,NA,NA,NA,NA,NA,"Spergula arvensis","Caryophyllaceae"
"303","Caryophyllaceae","Spergularia canadensis (Pers.) G. Don","var. occidentalis","Shoreline",7,NA,NA,NA,NA,NA,"Spergularia canadensis","Caryophyllaceae"
"304","Caryophyllaceae","Spergularia macrotheca (Hornem.) Heynh.","var. macrotheca","Shoreline",55,NA,NA,NA,NA,NA,"Spergularia macrotheca","Caryophyllaceae"
"305","Caryophyllaceae","Spergularia rubra (L.) J. Presl & C. Presl*","","Shoreline",35,NA,NA,NA,NA,NA,"Spergularia rubra","Caryophyllaceae"
"306","Caryophyllaceae","Spergularia salina J. Presl & C. Presl","","Shoreline",7,NA,NA,NA,NA,NA,"Spergularia marina","Caryophyllaceae"
"307","Caryophyllaceae","Stellaria borealis Bigelow","ssp. borealis, ssp. sitchana","Wetland",6,NA,NA,NA,NA,NA,"Stellaria borealis","Caryophyllaceae"
"308","Caryophyllaceae","Stellaria crispa Cham. & Schltdl.","","Forest",10,NA,NA,NA,NA,NA,"Stellaria crispa","Caryophyllaceae"
"309","Caryophyllaceae","Stellaria graminea L.*","","Open",1,NA,NA,NA,NA,NA,"Stellaria graminea","Caryophyllaceae"
"310","Caryophyllaceae","Stellaria longifolia Muhl. ex Willd.","","Wetland",2,NA,NA,NA,NA,NA,"Stellaria longifolia","Caryophyllaceae"
"311","Caryophyllaceae","Stellaria longipes Goldie","ssp. longipes","Wetland",2,NA,NA,NA,NA,NA,"Stellaria longipes","Caryophyllaceae"
"312","Caryophyllaceae","Stellaria media (L.) Vill.*","","Open",86,NA,NA,NA,NA,NA,"Stellaria media","Caryophyllaceae"
"313","Caryophyllaceae","Stellaria nitens Nutt.","","Open",14,NA,NA,NA,NA,NA,"Stellaria nitens","Caryophyllaceae"
"314","Caryophyllaceae","Stellaria pallida (Dumort.) Crépin*","","Open",21,NA,NA,NA,NA,NA,"Stellaria apetala","Caryophyllaceae"
"315","Caryophyllaceae","Vaccaria hispanica (Mill.) Rauschert*","","Open",1,NA,NA,NA,NA,NA,"Vaccaria hispanica","Caryophyllaceae"
"316","Celastraceae","Paxistima myrsinites (Pursh) Raf.","","Forest",21,NA,NA,NA,NA,NA,"Paxistima myrsinites","Celastraceae"
"317","Ceratophyllaceae","Ceratophyllum demersum L.","","Wetland",5,NA,NA,NA,NA,NA,"Ceratophyllum demersum","Ceratophyllaceae"
"318","Convolvulaceae","Calystegia lucana (Ten.) G. Don*","","Open",1,NA,NA,NA,NA,NA,"Calystegia × lucana","Convolvulaceae"
"319","Convolvulaceae","Calystegia sepium (L.) R. Br.","","Shoreline",4,NA,NA,NA,NA,NA,"Calystegia sepium","Convolvulaceae"
"320","Convolvulaceae","Calystegia soldanella (L.) R. Br.","","Shoreline",1,NA,NA,NA,NA,NA,"Calystegia soldanella","Convolvulaceae"
"321","Convolvulaceae","Convolvulus arvensis L.*","","Open",3,NA,NA,NA,NA,NA,"Convolvulus arvensis","Convolvulaceae"
"322","Convolvulaceae","Cuscuta epithymum Murray*","var. epithymum","Shoreline",1,NA,NA,NA,NA,NA,"Cuscuta epithymum","Convolvulaceae"
"323","Convolvulaceae","Cuscuta pacifica Costea & M.A.R. Wright","var. pacifica","Shoreline",8,NA,NA,NA,NA,NA,"Cuscuta pacifica","Convolvulaceae"
"324","Cornaceae","Cornus occidentalis (Torr. & A. Gray) Coville","","Forest",2,NA,NA,NA,NA,NA,"Cornus sericea occidentalis","Cornaceae"
"325","Cornaceae","Cornus stolonifera Michx.","","Forest",3,NA,NA,NA,NA,NA,"Cornus sericea","Cornaceae"
"326","Cornaceae","Cornus unalaschkensis Ledeb.","","Forest",2,NA,NA,NA,NA,NA,"Cornus unalaschkensis","Cornaceae"
"327","Crassulaceae","Crassula connata (Ruiz & Pav.) A. Berger","","Shoreline",2,NA,NA,NA,NA,NA,"Crassula connata","Crassulaceae"
"328","Crassulaceae","Crassula tillaea Lester-Garl.*","","Shoreline",9,NA,NA,NA,NA,NA,"Crassula tillaea","Crassulaceae"
"329","Crassulaceae","Sedum acre L.*","","Shoreline",3,NA,NA,NA,NA,NA,"Sedum acre","Crassulaceae"
"330","Crassulaceae","Sedum album L.*","","Shoreline",9,NA,NA,NA,NA,NA,"Sedum album","Crassulaceae"
"331","Crassulaceae","Sedum divergens S. Watson","","Open",1,NA,NA,NA,NA,NA,"Sedum divergens","Crassulaceae"
"332","Crassulaceae","Sedum lanceolatum Torr.","","Shoreline",93,NA,NA,NA,NA,NA,"Sedum lanceolatum","Crassulaceae"
"333","Crassulaceae","Sedum oreganum Nutt.","","Open",2,NA,NA,NA,NA,NA,"Sedum oreganum","Crassulaceae"
"334","Crassulaceae","Sedum spathulifolium Hook.","","Shoreline",79,NA,NA,NA,NA,NA,"Sedum spathulifolium","Crassulaceae"
"335","Cucurbitaceae","Marah oregana (Torr. & A. Gray) Howell","","Open",5,NA,NA,NA,NA,NA,"Marah oregana","Cucurbitaceae"
"336","Cupressaceae","Juniperus scopulorum Sarg.","","Open",61,NA,NA,NA,NA,NA,"Juniperus scopulorum","Cupressaceae"
"337","Cupressaceae","Thuja plicata Donn ex D. Don","","Forest",24,NA,NA,NA,NA,NA,"Thuja plicata","Cupressaceae"
"338","Cyperaceae","Bolboschoenus maritimus (L.) Palla","ssp. paludosus","Wetland",8,NA,NA,NA,NA,NA,"Bolboschoenus maritimus","Cyperaceae"
"339","Cyperaceae","Carex aquatilis Wahlenb.","var. aquatilis, var. dives","Wetland",4,NA,NA,NA,NA,NA,"Carex aquatilis","Cyperaceae"
"340","Cyperaceae","Carex arcta Boott","","Wetland",3,NA,NA,NA,NA,NA,"Carex arcta","Cyperaceae"
"341","Cyperaceae","Carex aurea Nutt.","","Wetland",3,NA,NA,NA,NA,NA,"Carex aurea","Cyperaceae"
"342","Cyperaceae","Carex canescens L.","","Wetland",2,NA,NA,NA,NA,NA,"Carex canescens","Cyperaceae"
"343","Cyperaceae","Carex canescens L.*","","Wetland",2,NA,NA,NA,NA,NA,"Carex canescens","Cyperaceae"
"344","Cyperaceae","Carex cusickii Mack. ex Piper & Beattie","","Wetland",4,NA,NA,NA,NA,NA,"Carex cusickii","Cyperaceae"
"345","Cyperaceae","Carex densa (L.H. Bailey) L.H. Bailey","","Open",1,NA,NA,NA,NA,NA,"Carex densa","Cyperaceae"
"346","Cyperaceae","Carex echinata Murray","ssp. echinata, ssp. phyllomanica","Wetland",2,NA,NA,NA,NA,NA,"Carex echinata","Cyperaceae"
"347","Cyperaceae","Carex exsiccata L.H. Bailey","","Wetland",5,NA,NA,NA,NA,NA,"Carex exsiccata","Cyperaceae"
"348","Cyperaceae","Carex hendersonii L.H. Bailey","","Wetland",4,NA,NA,NA,NA,NA,"Carex hendersonii","Cyperaceae"
"349","Cyperaceae","Carex hoodii Boott","","Open",1,NA,NA,NA,NA,NA,"Carex hoodii","Cyperaceae"
"350","Cyperaceae","Carex inops L.H. Bailey","ssp. Inops","Open",17,NA,NA,NA,NA,NA,"Carex inops","Cyperaceae"
"351","Cyperaceae","Carex interior L.H. Bailey","","Wetland",2,NA,NA,NA,NA,NA,"Carex interior","Cyperaceae"
"352","Cyperaceae","Carex kelloggii W. Boott","var. impressa, var. kelloggii, var. limnophila","Wetland",5,NA,NA,NA,NA,NA,"Carex kelloggii","Cyperaceae"
"353","Cyperaceae","Carex laeviculmis Meinsh.","","Wetland",1,NA,NA,NA,NA,NA,"Carex laeviculmis","Cyperaceae"
"354","Cyperaceae","Carex lasiocarpa Ehrh.","","Wetland",1,NA,NA,NA,NA,NA,"Carex lasiocarpa","Cyperaceae"
"355","Cyperaceae","Carex leporina L.","","Wetland",2,NA,NA,NA,NA,NA,"Carex leporina","Cyperaceae"
"356","Cyperaceae","Carex leptalea Wahlenb.","","Wetland",2,NA,NA,NA,NA,NA,"Carex leptalea","Cyperaceae"
"357","Cyperaceae","Carex leptopoda Mack.","","Forest",17,NA,NA,NA,NA,NA,"Carex leptopoda","Cyperaceae"
"358","Cyperaceae","Carex leptopoda Mack.","","Forest",17,NA,NA,NA,NA,NA,"Carex leptopoda","Cyperaceae"
"359","Cyperaceae","Carex lyngbyei Hornem.","","Shoreline",15,NA,NA,NA,NA,NA,"Carex lyngbyei","Cyperaceae"
"360","Cyperaceae","Carex macrocephala Willd. ex Spreng.","","Shoreline",5,NA,NA,NA,NA,NA,"Carex macrocephala","Cyperaceae"
"361","Cyperaceae","Carex obnupta L.H. Bailey","","Wetland",12,NA,NA,NA,NA,NA,"Carex obnupta","Cyperaceae"
"362","Cyperaceae","Carex pachystachya Cham. ex Steud.","","Wetland",7,NA,NA,NA,NA,NA,"Carex pachystachya","Cyperaceae"
"363","Cyperaceae","Carex pansa L.H. Bailey","","Open",3,NA,NA,NA,NA,NA,"Carex pansa","Cyperaceae"
"364","Cyperaceae","Carex pauciflora Lightf.","","Open",1,NA,NA,NA,NA,NA,"Carex pauciflora","Cyperaceae"
"365","Cyperaceae","Carex pendula Huds.*","","Forest",1,NA,NA,NA,NA,NA,"Carex pendula","Cyperaceae"
"366","Cyperaceae","Carex praticola Rydb.","","Open",2,NA,NA,NA,NA,NA,"Carex praticola","Cyperaceae"
"367","Cyperaceae","Carex rossii Boott","","Open",13,NA,NA,NA,NA,NA,"Carex rossii","Cyperaceae"
"368","Cyperaceae","Carex stipata Muhl. ex Willd.","var. stipata","Wetland",3,NA,NA,NA,NA,NA,"Carex stipata","Cyperaceae"
"369","Cyperaceae","Carex subbracteata Mack.","","Wetland",1,NA,NA,NA,NA,NA,"Carex subbracteata","Cyperaceae"
"370","Cyperaceae","Carex tumulicola Mack.","","Open",3,NA,NA,NA,NA,NA,"Carex tumulicola","Cyperaceae"
"371","Cyperaceae","Carex unilateralis Mack.","","Wetland",1,NA,NA,NA,NA,NA,"Carex unilateralis","Cyperaceae"
"372","Cyperaceae","Carex utriculata Boott","","Wetland",6,NA,NA,NA,NA,NA,"Carex utriculata","Cyperaceae"
"373","Cyperaceae","Carex vesicaria L.","var. major","Wetland",2,NA,NA,NA,NA,NA,"Carex vesicaria","Cyperaceae"
"374","Cyperaceae","Carex viridula Michx.","var. viridula","Shoreline",3,NA,NA,NA,NA,NA,"Carex viridula","Cyperaceae"
"375","Cyperaceae","Carex vulpinoidea Michx.","","Open",1,NA,NA,NA,NA,NA,"Carex vulpinoidea","Cyperaceae"
"376","Cyperaceae","Carex zikae E.H. Roalson & M.J. Waterway","","Open",9,NA,NA,NA,NA,NA,"Carex zikae","Cyperaceae"
"377","Cyperaceae","Dulichium arundinaceum (L.) Britton","","Wetland",4,NA,NA,NA,NA,NA,"Dulichium arundinaceum","Cyperaceae"
"378","Cyperaceae","Eleocharis acicularis (L.) Roem. & Schult.","","Wetland",1,NA,NA,NA,NA,NA,"Eleocharis acicularis","Cyperaceae"
"379","Cyperaceae","Eleocharis macrostachya Britton","","Wetland",4,NA,NA,NA,NA,NA,"Eleocharis macrostachya","Cyperaceae"
"380","Cyperaceae","Eleocharis obtusa (Willd.) Schult.","","Wetland",1,NA,NA,NA,NA,NA,"Eleocharis obtusa","Cyperaceae"
"381","Cyperaceae","Eleocharis palustris (L.) Roem. & Schult.","","Wetland",7,NA,NA,NA,NA,NA,"Eleocharis palustris","Cyperaceae"
"382","Cyperaceae","Eleocharis parvula (Roem. & Schultes) Link ex Bluff Nees, & Schauer","","Wetland",1,NA,NA,NA,NA,NA,"Eleocharis parvula","Cyperaceae"
"383","Cyperaceae","Eriophorum chamissonis C.A. Mey.","","Wetland",1,NA,NA,NA,NA,NA,"Eriophorum chamissonis","Cyperaceae"
"384","Cyperaceae","Eriophorum gracile W.D.J. Koch ex Roth","","Wetland",1,NA,NA,NA,NA,NA,"Eriophorum gracile","Cyperaceae"
"385","Cyperaceae","Rhynchospora alba (L.) Vahl","","Wetland",1,NA,NA,NA,NA,NA,"Rhynchospora alba","Cyperaceae"
"386","Cyperaceae","Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve","","Wetland",6,NA,NA,NA,NA,NA,"Schoenoplectus acutus","Cyperaceae"
"387","Cyperaceae","Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller","","Shoreline",2,NA,NA,NA,NA,NA,"Schoenoplectus americanus","Cyperaceae"
"388","Cyperaceae","Schoenoplectus subterminalis (Torr.) Soják","","Wetland",1,NA,NA,NA,NA,NA,"Schoenoplectus subterminalis","Cyperaceae"
