"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"155","ogi","Asteraceae","Tanacetum parthenium","Tanacetum parthenium","FL Galiano, HJ N Pender. Escaping in waste areas; HJ Otter Bay Ferry Landing, waste areas Magic Lake and Neptune Estates 1975. FL notes growing on sandstone ledges above shore at Sturdies Bay ferry terminal.","","","AS","Tanacetum parthenium"
"156","ogi","Asteraceae","Tanacetum vulgare","Tanacetum vulgare","Roadside and waste places, Saturna, Galiano.","","","AS","Tanacetum vulgare"
"157","ogi","Asteraceae","Taraxacum erythrospermum","Taraxacum erythrospermum","Lawns, roadsides, waste areas, grassy bluffs, all islands.","","Taraxacum needs attention; but probably beyond scope for this project","AS","Taraxacum erythrospermum"
"158","ogi","Asteraceae","Taraxacum officinale","Taraxacum officinale","Lawns cultivated ground and disturbed places, all islands.","","Taraxacum needs attention; but probably beyond scope for this project","AS","Taraxacum officinale"
"159","ogi","Asteraceae","Tragopogon porrifolius","Tragopogon porrifolius","Roadside, fields, all islands.","","","","Tragopogon porrifolius"
"160","ogi","Asteraceae","Tragopogon pratensis","Tragopogon pratensis","HJ Roadside and fields, Saturna 1976.","","","","Tragopogon pratensis"
"161","ogi","Asteraceae","Tripleurospermum inodorum","Tripleurospermum inodorum","HJ vacant lot Magic Lake, N Pender 1981.","","","","Tripleurospermum inodorum"
"162","ogi","Asteraceae","Tussilago farfara","Tussilago farfara","Robinson inland cliffs North Galiano 2019. Not on later lists? Photo on inaturalist looks convincing.","","no longer on iNat; must have been reidentified...?; remove AS","AS","Tussilago farfara"
"163","ogi","Asteraceae","Uropappus lindleyi","Uropappus lindleyi","Steep, rocky slopes, Saturna, Galiano, N Pender.","","","AS","Uropappus lindleyi"
"164","ogi","Athyriaceae","Athyrium filix-femina ssp. cyclosorum","Athyrium filix-femina cyclosorum","Common throughout in moist forest, wetland edges, seepy spots.","","","AS","Athyrium filix-femina cyclosorum"
"165","ogi","Balsaminaceae","Impatiens capensis","Impatiens capensis","Rocky shoreline and beach Winter Cove, Saturna HJ 1994. Zika Galiano 2004. iNaturalist report Morning Beach, Galiano 2020.","","","","Impatiens capensis"
"166","ogi","Balsaminaceae","Impatiens glandulifera","Impatiens glandulifera","Zika 50 m from trailhead on Grace Trail, west of Georgeson Bay Road, northeast slope of Mount Galiano, southeast end of Galiano.","","","","Impatiens glandulifera"
"167","ogi","Berberidaceae","Achlys triphylla","Achlys triphylla","Shady, moist woods, occasionally in open, moist places and along streams. Forming dense stands under Alder regen. All islands.","","","AS","Achlys triphylla"
"168","ogi","Berberidaceae","Berberis aquifolium","Berberis aquifolium","Woods, thickets, and open exposed slopes, all islands.","","","AS","Berberis aquifolium"
"169","ogi","Berberidaceae","Berberis nervosa","Berberis nervosa","Dry, open woods, all islands.","","","AS","Berberis nervosa"
"170","ogi","Betulaceae","Alnus rubra","Alnus rubra","Lowland early second growth, forest edges. All islands","","","AS","Alnus rubra"
"171","ogi","Betulaceae","Betula papyrifera","Betula papyrifera","Rare on islands. Galiano. Single occurance Samuel Island.","","","AS","Betula papyrifera"
"172","ogi","Betulaceae","Corylus cornuta ssp. californica","Corylus cornuta californica","TRA Gallager Bay Rd, Mayne.Check id of HJ collection same place.","","","AS","Corylus cornuta californica"
"173","ogi","Blechnaceae","Struthiopteris spicant","Struthiopteris spicant","All islands, common in mesic to subhygric forest, usually with North exposure.","","","","Struthiopteris spicant"
"174","ogi","Boraginaceae","Amsinckia intermedia","Amsinckia menziesii intermedia","HJ Dinner Point, Mayne 1980. HJ Saturna 1975.","","","","Amsinckia menziesii intermedia"
"175","ogi","Boraginaceae","Amsinckia lycopsoides","Amsinckia lycopsoides","Macoun Mayne 1913.","","","","Amsinckia lycopsoides"
"176","ogi","Boraginaceae","Amsinckia menziesii","Amsinckia menziesii","Dry, open places, rocky islets, all islands.","","","AS","Amsinckia menziesii"
"177","ogi","Boraginaceae","Amsinckia retrorsa","Amsinckia menziesii menziesii","HJ Oaks Bluff, N Pender 1979, HJ Bellhouse Point 1984. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.","","removed from the BC Flora FL","FL","Amsinckia menziesii menziesii"
"178","ogi","Boraginaceae","Amsinckia spectabilis","Amsinckia spectabilis","HJ Cabbage Island. 1995.","","","","Amsinckia spectabilis"
"179","ogi","Boraginaceae","Borago officinalis","Borago officinalis","AS Cable Bay Farm, Galiano 2018. Persisting in old gardens and flower beds Saturna.","","","","Borago officinalis"
"180","ogi","Boraginaceae","Cynoglossum officinale","Cynoglossum officinale","AS Mt Heck,Mayne 2020.","","","","Cynoglossum officinale"
"181","ogi","Boraginaceae","Echium vulgare","Echium vulgare","Clement roadside Sturdies Bay, Galiano 1978. AW same location?, Galiano 1975. HJ Primal Point, Galiano 1975.","","","","Echium vulgare"
"182","ogi","Boraginaceae","Myosotis arvensis","Myosotis arvensis","Macoun Mayne 1914, roadsides and waste areas, Mayne, Galiano, N Pender.","","","AS","Myosotis arvensis"
"183","ogi","Boraginaceae","Myosotis discolor","Myosotis discolor","Grassy bluffs, rocky meadows and disturbed open places, all islands.","","","AS","Myosotis discolor"
"184","ogi","Boraginaceae","Myosotis laxa","Myosotis laxa","Moist soils, fen edges and shallow water, all islands.","","","AS","Myosotis laxa"
"185","ogi","Boraginaceae","Myosotis micrantha","Myosotis stricta","A&OC Tumbo Island 1976, FL Oaks Bluff, N Pender 2006.","","","","Myosotis stricta"
"186","ogi","Boraginaceae","Myosotis scorpioides","Myosotis scorpioides","HJ wet farm fields, Galiano 1975","","","AS","Myosotis scorpioides"
"187","ogi","Boraginaceae","Myosotis sylvatica","Myosotis sylvatica","AW collection Georgeson Bay Road not found at V. re-identified?","","","","Myosotis sylvatica"
"188","ogi","Boraginaceae","Nemophila parviflora var. parviflora","Nemophila parviflora parviflora","Moist open forest and edges, all islands.","","","AS","Nemophila parviflora parviflora"
"189","ogi","Boraginaceae","Nemophila pedunculata","Nemophila pedunculata","Grassy ridges and bluffs, Saturna, Galiano","","","AS","Nemophila pedunculata"
"190","ogi","Boraginaceae","Phacelia linearis","Phacelia linearis","Grassy bluffs, Saturna, Mayne, Galiano.","","","","Phacelia linearis"
"191","ogi","Boraginaceae","Phacelia tanacetifolia","Phacelia tanacetifolia","Garden weed Saturna, Galiano. On Lomer & Penny's non-established list.","","","","Phacelia tanacetifolia"
"192","ogi","Boraginaceae","Plagiobothrys scouleri","Plagiobothrys scouleri","Vernal seeps Saturna, Mayne","","","AS","Plagiobothrys scouleri"
"193","ogi","Boraginaceae","Plagiobothrys tenellus","Plagiobothrys tenellus","Grassy bluffs, all islands.","","","AS","Plagiobothrys tenellus"
"194","ogi","Boraginaceae","Symphytum asperum","Symphytum asperum","FL edge of cleared lot Otter Bay, N Pender 2006.","","","","Symphytum asperum"
"195","ogi","Boraginaceae","Symphytum officinale","Symphytum officinale","Adventive or escaped along roadsides and waste places Saturna, Mayne, Galiano, N Pender.","","","","Symphytum officinale"
"196","ogi","Boraginaceae","Symphytum uplandicum","Symphytum × uplandicum","Galiano details? Commonly grown as a permaculture plant in the SGI (usually as the Bocking selections) and may escape and persist; spreads by root fragments; probably retain.","","","","Symphytum × uplandicum"
"197","ogi","Brassicaceae","Arabidopsis thaliana","Arabidopsis thaliana","Waste ground, gardens, Mayne, Saturna, N Pender","","","AS","Arabidopsis thaliana"
"198","ogi","Brassicaceae","Arabis eschscholtziana","Arabis eschscholtziana","Grassy bluffs and ledges. HJ Taylor Point, Monarch Head, Saturna. HJ Mt Galiano 1981, Mt Sutil. HJ Helen Point, Mayne. HJ N Pender 1980. HJ Prevost Island 1981.","","","AS","Arabis eschscholtziana"
"199","ogi","Brassicaceae","Athysanus pusillus","Athysanus pusillus","Grassy bluffs. All islands.","","","AS","Athysanus pusillus"
"200","ogi","Brassicaceae","Barbarea orthoceras","Barbarea orthoceras","Roadsides, wet ditches, cultivated ground all islands. HJ Cain Peninsula, Galiano 1981.","","","","Barbarea orthoceras"
"201","ogi","Brassicaceae","Barbarea verna","Barbarea verna","AS Mayne, Galiano 2016.","","","","Barbarea verna"
"202","ogi","Brassicaceae","Barbarea vulgaris","Barbarea vulgaris","Wet places, Mayne, Galiano","","","","Barbarea vulgaris"
"203","ogi","Brassicaceae","Brassica juncea","Brassica juncea","RLT Chads Island 1978.","","","","Brassica juncea"
"204","ogi","Brassicaceae","Brassica rapa","Brassica rapa","Waste ground, cultivated ground, all islands. TRA Portland Island.","","","","Brassica rapa"
"205","ogi","Brassicaceae","Cakile edentula","Cakile edentula","Beaches. TRA Brackman Island, HJ All islands.","","","","Cakile edentula"
"206","ogi","Brassicaceae","Cakile maritima","Cakile maritima","Beach HJ Fiddlers Cove, Saturna 1993. Galiano location?","","","","Cakile maritima"
"207","ogi","Brassicaceae","Capsella bursa-pastoris","Capsella bursa-pastoris","Roadsides, cultivated ground, all islands.","","","AS","Capsella bursa-pastoris"
"208","ogi","Brassicaceae","Cardamine flexuosa","Cardamine flexuosa","Galiano location? AC N Pender 2001. FL Bluffs Park, Galiano 2003.","","","AS","Cardamine flexuosa"
"209","ogi","Brassicaceae","Cardamine hirsuta","Cardamine hirsuta","AS many sites Galiano 2015, Tessa Wissink S Pender 2020.","","","AS","Cardamine hirsuta"
"210","ogi","Brassicaceae","Cardamine nuttallii","Cardamine nuttallii","Grassy ridges Saturna, Galiano","","","AS","Cardamine nuttallii"
"211","ogi","Brassicaceae","Cardamine occidentalis","Cardamine occidentalis","HJ Magic Lake and Browning, N Pender 1983. HJ ER15, Saturna 1985.","","","","Cardamine occidentalis"
"212","ogi","Brassicaceae","Cardamine oligosperma","Cardamine oligosperma","Cultivated ground, waste ground, all islands.","","","AS","Cardamine oligosperma"
"213","ogi","Brassicaceae","Cardamine pensylvanica","Cardamine pensylvanica","Wet to swampy ground, creeks. Saturna, Mayne, Galiano.","","","AS","Cardamine pensylvanica"
"214","ogi","Brassicaceae","Descurainia pinnata ssp. brachycarpa","Descurainia pinnata brachycarpa","HJ Cabbage Island beach 1996.","","","","Descurainia pinnata brachycarpa"
"215","ogi","Brassicaceae","Draba nemorosa","Draba nemorosa","W.A. Newcombe 1930 two collections Galiano. Not recently located.","","There were no RBCM specimens of Draba nemorosa from Galiano at RBCM. W.A. Newcombe collected Arabis eschscholtziana from Galiano on April 14, 1930. Perhaps this was a transcription error. FL; this likely reflects an error in the georeferencing of the specimen (V8914), which may have showed up for Galiano Island when we queried GBIF using a polygon; remove record","FL March 30, 2022; AS","Draba nemorosa"
"216","ogi","Brassicaceae","Draba verna","Draba verna","Dry waste ground, roadsides, all islands","","","","Draba verna"
"217","ogi","Brassicaceae","Erysimum cheiranthoides","Erysimum cheiranthoides","Occasional escape gardens, ditchs and fields, Saturna, Galiano, N Pender.","","","","Erysimum cheiranthoides"
"218","ogi","Brassicaceae","Erysimum cheiri","Erysimum cheiri","Galiano location? FL Seaside sandstone rocks 60m north of boat dock, just above high tide spray zone, Port Washington N Pender 2006.","","","","Erysimum cheiri"
"219","ogi","Brassicaceae","Hesperis matronalis","Hesperis matronalis","HJ Georgeson Bay, Galiano 1996, HJ N Pender 1993","","","","Hesperis matronalis"
"220","ogi","Brassicaceae","Hornungia procumbens","Hornungia procumbens","A&OC,RTO location witheld Gulf Islands 1982.","","","","Hornungia procumbens"
"221","ogi","Brassicaceae","Idahoa scapigera","Idahoa scapigera","HJ Grassy bluffs Saturna, Galiano","","","AS","Idahoa scapigera"
"222","ogi","Brassicaceae","Lepidium campestre","Lepidium campestre","Roadsides and waste areas. Saturna, Galiano.","","","","Lepidium campestre"
"223","ogi","Brassicaceae","Lepidium densiflorum","Lepidium densiflorum","Grassy bluff above Saturna Beach, Saturna HJ 1973, JP Heck Hill, Mayne 1996, JP Oaks Bluff, N Pender 1996.","s. lat.","","","Lepidium densiflorum"
"224","ogi","Brassicaceae","Lepidium didymum","Lepidium didymum","HJ Disturbed ground, East Point Road, Saturna 2009.","","","","Lepidium didymum"
"225","ogi","Brassicaceae","Lepidium heterophyllum","Lepidium heterophyllum","Huggins Porlier Pass Rd, Galiano iNaturalist observation 2020.","","","","Lepidium heterophyllum"
"226","ogi","Brassicaceae","Lepidium ramosissimum","Lepidium ramosissimum","WAN Galiano location? WAN Java Islets 1934.","","","","Lepidium ramosissimum"
"227","ogi","Brassicaceae","Lepidium strictum","Lepidium strictum","JKH lists for Gulf Islands. No vouchers found.","","","","Lepidium strictum"
"228","ogi","Brassicaceae","Lepidium virginicum","Lepidium virginicum","Grassy bluffs, dry sandy ground, all islands. Var. menziesii (DC.) Thell.","","","","Lepidium virginicum"
"229","ogi","Brassicaceae","Lunaria annua","Lunaria annua","Heffley Penfold Rd, Galiano 2019. Marginally escaping Saturna.","","","","Lunaria annua"
"230","ogi","Brassicaceae","Nasturtium microphyllum","Nasturtium microphyllum","HJ Montague Harbour, Galiano 1979.","","","","Nasturtium microphyllum"
"231","ogi","Brassicaceae","Nasturtium officinale","Nasturtium officinale","Ditches and ponds, all islands.","","","","Nasturtium officinale"
"232","ogi","Brassicaceae","Neslia paniculata","Neslia paniculata","Gardens, waste ground Saturna, Mayne.","","","","Neslia paniculata"
"233","ogi","Brassicaceae","Raphanus raphanistrum","Raphanus raphanistrum","Meadows and waste ground, Saturna, N Pender, Galiano.","","","","Raphanus raphanistrum"
"234","ogi","Brassicaceae","Raphanus sativus","Raphanus sativus","Disturbed ground, gardens, Saturna, Mayne, Galiano.","","","","Raphanus sativus"
"235","ogi","Brassicaceae","Rorippa curvisiliqua","Rorippa curvisiliqua","Roadsides and fields, Saturna, N Pender.","","","","Rorippa curvisiliqua"
"236","ogi","Brassicaceae","Rorippa palustris","Rorippa palustris","Farm ditches and wet fields, Galiano HJ 1982.","","","","Rorippa palustris"
"237","ogi","Brassicaceae","Sinapis arvensis","Sinapis arvensis","HJ Browning Harbour, N Pender roadside 1980. Galiano location?","","","","Sinapis arvensis"
"238","ogi","Brassicaceae","Sisymbrium altissimum","Sisymbrium altissimum","Roadsides, waste ground, all islands.","","","","Sisymbrium altissimum"
"239","ogi","Brassicaceae","Sisymbrium officinale","Sisymbrium officinale","Agricultural weed throughout, all islands.","","","","Sisymbrium officinale"
"240","ogi","Brassicaceae","Teesdalia nudicaulis","Teesdalia nudicaulis","Roadsides, parking areas, especially view areas, sandy ground, Saturna, N Pender, Galiano","","","AS","Teesdalia nudicaulis"
"241","ogi","Brassicaceae","Thlaspi arvense","Thlaspi arvense","Gardens, farm yards, especially where hay is fed, Saturna, N Pender, S Pender.","","","AS","Thlaspi arvense"
"242","ogi","Brassicaceae","Thysanocarpus curvipes","Thysanocarpus curvipes","Grassy bluffs and ledges, all islands.","","","AS","Thysanocarpus curvipes"
"243","ogi","Brassicaceae","Turritis glabra","Turritis glabra","Grassy bluffs and ledges, all islands.","","","AS","Turritis glabra"
"244","ogi","Cactaceae","Opuntia fragilis","Opuntia fragilis","Grassy bluffs and ledges, rocky islets; all islands.","","","","Opuntia fragilis"
"245","ogi","Campanulaceae","Campanula medium","Campanula medium","C. medium L., persicifolia L., and rapunculoides L., glomerata L. persisting and marginally escaped and naturalized from area.","","","","Campanula medium"
"246","ogi","Campanulaceae","Campanula rotundifolia","Campanula rotundifolia","HJ Galiano Cemetary 1975, roadside Mayne 1975 rare.","","Campanula persicifolia apparently also occurs in these environs and may be conflated; check","AS","Campanula rotundifolia"
"247","ogi","Campanulaceae","Campanula scouleri","Campanula scouleri","Open forest, ridgelines, all islands.","","","AS","Campanula scouleri"
"248","ogi","Campanulaceae","Triodanis perfoliata","Triodanis perfoliata","Open, grassy bluffs and ledges, all islands.","","","","Triodanis perfoliata"
"249","ogi","Cannabaceae","Humulus lupulus var. lupulus","Humulus lupulus lupulus","Valley Rd, Galiano iNaturalist report 2019.","","","","Humulus lupulus lupulus"
"250","ogi","Caprifoliaceae","Centranthus ruber","Centranthus ruber","Shoreline rock around Saturna Point. Ganner Drive, Galiano 2019.","","","","Centranthus ruber"
"251","ogi","Caprifoliaceae","Dipsacus fullonum","Dipsacus fullonum","Marginally escaping Galiano, Saturna.","","","","Dipsacus fullonum"
"252","ogi","Caprifoliaceae","Linnaea borealis ssp. longiflora","Linnaea borealis longiflora","Open, mesic forest, all islands.","","","","Linnaea borealis longiflora"
"253","ogi","Caprifoliaceae","Lonicera ciliosa","Lonicera ciliosa","Open, mesic forest, all islands.","","","AS","Lonicera ciliosa"
"254","ogi","Caprifoliaceae","Lonicera hispidula","Lonicera hispidula","Mesic forest, all islands.","","","AS","Lonicera hispidula"
"255","ogi","Caprifoliaceae","Lonicera involucrata var. involucrata","Lonicera involucrata involucrata","Rare on outer islands; known from brackish low ground on Cabbage island. FL Prevost 2004.","","","AS","Lonicera involucrata involucrata"
"256","ogi","Caprifoliaceae","Plectritis brachystemon","Plectritis congesta brachystemon","Galiano location? A Hill collections Mayne and Curlew 1899.","","","","Plectritis congesta brachystemon"
"257","ogi","Caprifoliaceae","Plectritis congesta","Plectritis congesta","Rocky shorelines and cliffs, grassy bluffs, all islands.","","","","Plectritis congesta"
"258","ogi","Caprifoliaceae","Plectritis macrocera","Plectritis macrocera","HJ Bodega Ridge, Galiano 2004","","","","Plectritis macrocera"
"259","ogi","Caprifoliaceae","Symphoricarpos albus","Symphoricarpos albus","Open ground, woods, and thickets, all islands.","","","","Symphoricarpos albus"
"260","ogi","Caprifoliaceae","Symphoricarpos mollis var. hesperius","Symphoricarpos mollis hesperius","Moist mixed forest edge and adjacent gravelly slopes, Saturna, Mayne, Galiano","","","","Symphoricarpos mollis hesperius"
"261","ogi","Caprifoliaceae","Valerianella locusta","Valerianella locusta","FL Prevost Island 2004. Portland Island iNaturalist observation 2021.","","","","Valerianella locusta"
"262","ogi","Caryophyllaceae","Arenaria serpyllifolia","Arenaria serpyllifolia","Dry, open bluffs, dry slopes, all islands.","","","","Arenaria serpyllifolia"
"263","ogi","Caryophyllaceae","Cerastium arvense ssp. strictum","Cerastium arvense strictum","Grassy bluffs; rocky hillsides and dry to moist grassland; common throughout. All islands.","","","","Cerastium arvense strictum"
"264","ogi","Caryophyllaceae","Cerastium brachypodum","Cerastium brachypodum","HJ East Point, Saturna 1996 On erroded earth just above rocky seashore recently colonized by adventives; no direct associates but near Sagina decumbens, Plantago elongata & Myosurus minimus.","","","","Cerastium brachypodum"
"265","ogi","Caryophyllaceae","Cerastium fontanum ssp. vulgare","Cerastium holosteoides","Lawns and gardens; weedy and common throughout. All islands.","","","","Cerastium holosteoides"
"266","ogi","Caryophyllaceae","Cerastium glomeratum","Cerastium glomeratum","Disturbed ground, fields and waste places throughout. All islands.","","","","Cerastium glomeratum"
"267","ogi","Caryophyllaceae","Cerastium pumilum","Cerastium pumilum","FL East Point, Saturna, Tumbo 1999 and S Pender 2003. FL Prevost Island 2004.","","","","Cerastium pumilum"
"268","ogi","Caryophyllaceae","Cerastium semidecandrum","Cerastium semidecandrum","FL East Point, Brown Ridge, Saturna 1999. RTO Oak Bluffs N Pender 1983.","","","","Cerastium semidecandrum"
"269","ogi","Caryophyllaceae","Dianthus armeria","Dianthus armeria","Frequently escaping., dry fields, grassy bluffs. Saturna, Mayne, Galiano.","","","","Dianthus armeria"
"270","ogi","Caryophyllaceae","Honckenya peploides ssp. major","Honckenya peploides major","HJ Tumbo Island 2007. With Salicornia on mud flats.","","","","Honckenya peploides major"
"271","ogi","Caryophyllaceae","Lychnis coronaria","Silene coronaria","Roadsides and waste ground, spreading agressivly into native bluff grasslands. All islands.","","","AS","Silene coronaria"
"272","ogi","Caryophyllaceae","Moehringia macrophylla","Moehringia macrophylla","Shaded to open woods and rocky slopes, all islands.","","","","Moehringia macrophylla"
"273","ogi","Caryophyllaceae","Moenchia erecta","Moenchia erecta","AS Lions Field, Galiano (iNaturalist obs.)","","","","Moenchia erecta"
"274","ogi","Caryophyllaceae","Sabulina macra","Sabulina macra","TRA S Pender 1959. HJ Brown Ridge, Saturna 1976. A&OC Gooch Island 1982.","","","","Sabulina macra"
"275","ogi","Caryophyllaceae","Sagina apetala","Sagina apetala","FL 2003 Otter Bay Marina, Port Browning N&S Pender, Bluffs Park, Galiano","","","","Sagina apetala"
"276","ogi","Caryophyllaceae","Sagina decumbens ssp. occidentalis","Sagina decumbens occidentalis","Straley Bellhouse Park 1988. FL Tumbo 1999.TRA Gowland Point, S Pender 1957.","","","","Sagina decumbens occidentalis"
"277","ogi","Caryophyllaceae","Sagina maxima ssp. crassicaulis","Sagina maxima crassicaulis","HJ Saturna 1998. FL Montague, Galiano 2014. FL & HLR S Pender. Macoun Mayne 1914.","","","","Sagina maxima crassicaulis"
"278","ogi","Caryophyllaceae","Sagina procumbens","Sagina procumbens","Wet, grassy spots Saturna, Mayne, Galiano, S Pender","","","","Sagina procumbens"
"279","ogi","Caryophyllaceae","Scleranthus annuus","Scleranthus annuus","HJ 2013-2020 Picnic area Winter Cove Park,Saturna. Galiano location? Collector?","","","","Scleranthus annuus"
"280","ogi","Caryophyllaceae","Silene antirrhina","Silene antirrhina","Grassy bluffs, all islands. Macoun Mayne 1914.","","","","Silene antirrhina"
"281","ogi","Caryophyllaceae","Silene gallica","Silene gallica","Grassy bluffs, occasionaly cultivated ground. Saturna, Mayne, N Pender.","","","","Silene gallica"
"282","ogi","Caryophyllaceae","Silene latifolia","Silene latifolia","Roadsides and waste ground. Saturna, Mayne, Galiano.","","","","Silene latifolia"
"283","ogi","Caryophyllaceae","Silene noctiflora","Silene noctiflora","Disturbed ground Otter Bay Ferry Landing HJ 1999.","","","","Silene noctiflora"
"284","ogi","Caryophyllaceae","Silene vulgaris","Silene vulgaris","HJ roadside Montague Harbour 1975.","","","","Silene vulgaris"
"285","ogi","Caryophyllaceae","Spergula arvensis","Spergula arvensis","Cultivated land, gardens, waste ground. All islands.","","","","Spergula arvensis"
"286","ogi","Caryophyllaceae","Spergularia canadensis var. occidentalis","Spergularia canadensis occidentalis","Tidal mud flats, all islands.","","","","Spergularia canadensis occidentalis"
"287","ogi","Caryophyllaceae","Spergularia macrotheca","Spergularia macrotheca","Mud flats and salt marshes, Mayne, Galiano, S Pender.","","","","Spergularia macrotheca"
"288","ogi","Caryophyllaceae","Spergularia rubra","Spergularia rubra","Roadside and waste ground, all islands.","","","","Spergularia rubra"
"289","ogi","Caryophyllaceae","Spergularia salina","Spergularia marina","Mud flats and salt marshes,","","","","Spergularia marina"
"290","ogi","Caryophyllaceae","Stellaria borealis ssp. sitchana","Stellaria borealis sitchana","Edges of fens, lakes and other wetlands. All Islands.","","","","Stellaria borealis sitchana"
"291","ogi","Caryophyllaceae","Stellaria crispa","Stellaria crispa","Deep, moist woods and stream banks. All islands.","","","","Stellaria crispa"
"292","ogi","Caryophyllaceae","Stellaria graminea","Stellaria graminea","AS Millard Learning Centre, Galiano 2016.","","","","Stellaria graminea"
"293","ogi","Caryophyllaceae","Stellaria longipes","Stellaria longipes","Questionable collection Lyall Harbour, Saturna 1975.","","","","Stellaria longipes"
"294","ogi","Caryophyllaceae","Stellaria media","Stellaria media","Disturbed moist ground, all islands.","","","","Stellaria media"
"295","ogi","Caryophyllaceae","Stellaria nitens","Stellaria nitens","Grassy bluffs and gravelly soil; all islands.","","","","Stellaria nitens"
"296","ogi","Celastraceae","Paxistima myrsinites","Paxistima myrsinites","Rocky ledges in forest, all islands.","","","","Paxistima myrsinites"
"297","ogi","Ceratophyllaceae","Ceratophyllum demersum","Ceratophyllum demersum","TRA Greenburn Lake, S Pender.","","","","Ceratophyllum demersum"
"298","ogi","Ceratophyllaceae","Ceratophyllum echinatum","Ceratophyllum echinatum","HJ Greenburn Lake, S Pender 1975. HJ Missing Link Fen, Saturna 1996. Sphagnum Bog, Galiano HJ & JP 1996","","","","Ceratophyllum echinatum"
"299","ogi","Convolvulaceae","Calystegia sepium","Calystegia sepium","Moist soils, along roads, ditches, hedgerows and waste places, all islands.","","","","Calystegia sepium"
"300","ogi","Convolvulaceae","Calystegia silvatica","Calystegia silvatica","Wright Galiano 2017; location?","","","","Calystegia silvatica"
"301","ogi","Convolvulaceae","Convolvulus arvensis","Convolvulus arvensis","Fields and disturbed ground, all islands.","","","","Convolvulus arvensis"
"302","ogi","Convolvulaceae","Cuscuta epithymum","Cuscuta epithymum","Mayne, Eastham lists in Prelim Flora of VI and QCI. collection date? location?","","","","Cuscuta epithymum"
"303","ogi","Convolvulaceae","Cuscuta pacifica var. pacifica","Cuscuta pacifica pacifica","On Salicornia in salt marshes, all islands.","","","","Cuscuta pacifica pacifica"
"304","ogi","Cornaceae","Cornus nuttallii","Cornus nuttallii","Mesic forest; common on Galiano becoming very rare at southeast end of chain, Saturna and South Pender.","","","AS","Cornus nuttallii"
"305","ogi","Cornaceae","Cornus stolonifera","Cornus sericea","Moist places along streams, lakes and boggy areas, never common on outer Gulf Islands.","","","AS","Cornus sericea"
"306","ogi","Crassulaceae","Crassula connata","Crassula connata","Grassy bluffs and ledges, East Point, Potatoe Hill and Brown Ridge, Saturna. Oaks Bluff, N Pender.Bellhouse Point, Galiano. NW cliffs, Valdez.","","","","Crassula connata"
"307","ogi","Crassulaceae","Sedum acre","Sedum acre","Esacping and marginally persisting, Galiano, Mayne, N Pender.","","","","Sedum acre"
"308","ogi","Crassulaceae","Sedum album","Sedum album","Rocky slopes above sea, N Pender, Galiano.","","","","Sedum album"
"309","ogi","Crassulaceae","Sedum forsterianum","Petrosedum forsterianum","AS Galiano DL57 and Sphagnum bog ER128.","","","","Petrosedum forsterianum"
"310","ogi","Crassulaceae","Sedum lanceolatum","Sedum lanceolatum","Grassy buff ledges. All islands","recorded by HJ: Sedum lanceolatum var. nesioticum; Sedum lanceolatum var. nesioticum not recognized in FPNW2","","","Sedum lanceolatum"
"311","ogi","Crassulaceae","Sedum spathulifolium","Sedum spathulifolium","Coastal cliffs, ledges, and rocky outcrops; common throughout, all islands.","","","","Sedum spathulifolium"
"312","ogi","Crassulaceae","Sedum stenopetalum","Sedum stenopetalum","Hill Mayne 1895 location?","","","","Sedum stenopetalum"
"313","ogi","Cucurbitaceae","Marah oreganus","Marah oregana","TRA S Pender, HJ site relocated 1996 - owners report plant disappeared. HJ&JP shoreline below Jan Kirkby home N Pender 1996.","","","","Marah oregana"
"314","ogi","Cupressaceae","Juniperus communis var. kelleyi","Juniperus communis kelleyi","This is present at St. John Point on Mayne Island, on the tip of the southeast-facing peninsula, along with Juniperus maritima (scopulorum) AS.","","","","Juniperus communis kelleyi"
"315","ogi","Cupressaceae","Juniperus scopulorum","Juniperus scopulorum","Rocky points, low, open south shorelines. Occasionaly in upland forest close to sea. Some Galiano reports as J. maritima. iNaturalist reports N Pender, Saturna, Galiano, Mayne as J. maritima.","","""Genetically this is J. maritima, but you follow the Flora of the PNW (2nd Ed.) so this is fine with the note they are the same thing."" FL E-Flora BC and other PNW collections are using J. maritima","FL","Juniperus scopulorum"
"316","ogi","Cupressaceae","Thuja plicata","Thuja plicata","Moist bottom lands to rarely dry, exposed ridges; common throughout. All islands.","","","AS","Thuja plicata"
"317","ogi","Cyperaceae","Bolboschoenus maritimus ssp. paludosus","Bolboschoenus maritimus paludosus","Fens with salt water intrusion in Winter Cove area, Cabbage Island. All islands.","","","","Bolboschoenus maritimus paludosus"
"318","ogi","Cyperaceae","Carex aquatilis var. dives","Carex aquatilis dives","AS Bog in DL66 also farm fields SE of there, Galiano. (Comp C. pellita?) AS Mayne 2019 location?","","","","Carex aquatilis dives"
"319","ogi","Cyperaceae","Carex arcta","Carex arcta","Sedge fens and bogs throughout, all islands","","","","Carex arcta"
"320","ogi","Cyperaceae","Carex aurea","Carex aurea","Wet, grassy places, meadows. Mayne, Galiano, North and South Pender.","","","","Carex aurea"
