Polygon #,habitat,Dominance,Common name,scientificName,% cover
26,,3,Reed canary grass ,Phalaris arundinacea,10
28,Log Island in lake; abundant salamander eggs along log,,Reed canary grass ,Phalaris arundinacea,8
30,,1,Reed canary grass ,Phalaris arundinacea,35
31,,3,Reed canary grass ,Phalaris arundinacea,5
33,Transitional area B/N 26 & 32,1,Reed canary grass ,Phalaris arundinacea,35
17,Lake shore-grass,,Salal ,Gaultheria shallon,P
28,Log Island in lake; abundant salamander eggs along log,,Salal ,Gaultheria shallon,P
35,,3,Salal ,Gaultheria shallon,7
36,,,Salal ,Gaultheria shallon,5
39,Forest-100yr. Old forest-perhaps '01' site series,2,Salal ,Gaultheria shallon,35
40,Forest-upper riparian,3,Salal ,Gaultheria shallon,17
41,Forest-60-80 yr. Old stand,3,Salal ,Gaultheria shallon,15
45,,1,Salal ,Gaultheria shallon,60
34,,3,Salmonberry ,Rubus spectabilis,6
35,,2,Salmonberry ,Rubus spectabilis,15
37,,3,Salmonberry ,Rubus spectabilis,10
38,Forest-with some apparent seasonal flooding,,Salmonberry ,Rubus spectabilis,10
43,,3,Salmonberry ,Rubus spectabilis,17
9,,,Scotch broom ,Cytisus scoparius,2
17,Lake shore-grass,,Scotch broom ,Cytisus scoparius,P
41,Forest-60-80 yr. Old stand,,Scotch broom ,Cytisus scoparius,P
9,,,Shore pine ,Pinus contorta var. contorta,seedling
32,Muddy Shore/Back of lake,,Sitka sedge ,Carex sitchensis,P
25,,3,Skunk cabbage ,Lysichiton americanum,4
26,,2,Skunk cabbage ,Lysichiton americanum,10
36,,,Skunk cabbage ,Lysichiton americanum,5
14,Wetland grasses,,Slough sedge ,Carex obnupta,P
17,Lake shore-grass,,Slough sedge ,Carex obnupta,P
18,Lake shore-shaded forest,2,Slough sedge ,Carex obnupta,25
19,Lake shore-rock/grass,,Slough sedge ,Carex obnupta,P
21,,3,Slough sedge ,Carex obnupta,10
22,,3,Slough sedge ,Carex obnupta,5
26,,1,Slough sedge ,Carex obnupta,85
28,Log Island in lake; abundant salamander eggs along log,,Slough sedge ,Carex obnupta,P
30,,,Slough sedge ,Carex obnupta,P
36,,1,Slough sedge ,Carex obnupta,30
26,,,Small bedstraw ,Galium trifidum,P
6,,1,Small-flowered bulrush,Scirpus microcarpus,80
25,,1,Small-flowered bulrush,Scirpus microcarpus,60
30,,2,Small-flowered bulrush,Scirpus microcarpus,12
12,,,Small-flowered bulrush ,Scirpus microcarpus,7
17,Lake shore-grass,,Small-flowered bulrush ,Scirpus microcarpus,P
19,Lake shore-rock/grass,,Small-flowered bulrush ,Scirpus microcarpus,P
21,,1,Small-flowered bulrush ,Scirpus microcarpus,60
22,,2,Small-flowered bulrush ,Scirpus microcarpus,10
23,,,Small-flowered bulrush ,Scirpus microcarpus,3
34,,1,Small-flowered bulrush ,Scirpus microcarpus,20
37,,1,Small-flowered bulrush ,Scirpus microcarpus,45
15,,,Small-flowered forget-me-not ,Myosotis laxa,1
26,,,Small-flowered forget-me-not ,Myosotis laxa,P
33,Transitional area B/N 26 & 32,3,Small-flowered forget-me-not ,Myosotis laxa,6
44,,1,Small-flowered forget-me-not ,Myosotis laxa,35
8,,,Small-flowered wood-rush ,Luzula parviflora,6
15,,,Spreading rush ,Juncus supiniformis,1
9,,,Stinging nettle ,Urtica dioica,3
42,,1,Stinging nettle ,Urtica dioica,55
35,,,Sword fern ,Polystichum munitum,P
36,,3,Sword fern ,Polystichum munitum,17
38,Forest-with some apparent seasonal flooding,3,Sword fern ,Polystichum munitum,30
5,,2,Tall mannagrass,Glyceria elata,25
26,,,Tall mannagrass,Glyceria elata,P
14,Wetland grasses,,Tall mannagrass ,Glyceria elata,6
23,,,Tall mannagrass ,Glyceria elata,3
33,Transitional area B/N 26 & 32,,Tall mannagrass ,Glyceria elata,P
41,Forest-60-80 yr. Old stand,,Thimbleberry ,Rubus parviflorus,P
9,,,Timothy ,Phleum pratense,1
40,Forest-upper riparian,2,Vanilla leaf,Achlys triphylla,30
16,Lake shore-aquatic,2,Water smartweed ,Polygonum amphibium,10
27,,3,Water smartweed ,Polygonum amphibium,1
32,Muddy Shore/Back of lake,,Water smartweed ,Polygonum amphibium,P
33,Transitional area B/N 26 & 32,,Water smartweed ,Polygonum amphibium,P
15,,,Western dock ,Rumex occidentalis,3
17,Lake shore-grass,,Western dock ,Rumex occidentalis,P
26,,,Western dock ,Rumex occidentalis,P
4,,2,Western redcedar,Thuja plicata,60
31,,1,Western redcedar,Thuja plicata,40
7,,,Western redcedar ,Thuja plicata,4
36,,,Western redcedar ,Thuja plicata,15
38,Forest-with some apparent seasonal flooding,2,Western redcedar ,Thuja plicata,30
40,Forest-upper riparian,1,Western redcedar ,Thuja plicata,40
41,Forest-60-80 yr. Old stand,1,Western redcedar ,Thuja plicata,45
21,,,Western trumpet honeysuckle,Lonicera ciliosa,P
20,Aquatic Vegetation and Algae (including stumps),2,,Unknown #1,n
20,Aquatic Vegetation and Algae (including stumps),3,,Unknown #2,n
20,Aquatic Vegetation and Algae (including stumps),,,Unknown #3,n
27,,,,Unknown horestail-like aquatic,n
27,,,,Unknown leafy aquatic,n
