"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Grebes (Podicipedidae)","Podicipedidae","Remaining historical report","Podiceps nigricollis","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of grebes, which has not been seen since."
"Grebes (Podicipedidae)","Podicipedidae","Confirmed record","Podiceps auritus","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2014-01-04",NA,"4046939","https://www.inaturalist.org/observations/4046939","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of grebes, which was later confirmed by Michael Hoebel in 2014."
"Gulls, terns & skimmers (Laridae)","Laridae","Remaining historical report","Sterna hirundo","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of gulls, terns & skimmers, which has not been seen since."
"Gulls, terns & skimmers (Laridae)","Laridae","Confirmed record","Larus californicus","Galiano Naturalist","bobmcd’","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2017-09-11",NA,"7917878","https://www.inaturalist.org/observations/7917878","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of gulls, terns & skimmers, which was later confirmed by bobmcd’ in 2017."
"Hawks, eagles & allies (Accipitridae)","Accipitridae","Remaining historical report","Accipiter gentilis","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of hawks, eagles & allies, which has not been seen since."
"Hawks, eagles & allies (Accipitridae)","Accipitridae","Confirmed record","Accipiter striatus","Galiano Naturalist","Sarah Tweedale","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2016-04-12",NA,"2929563","https://www.inaturalist.org/observations/2929563","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of hawks, eagles & allies, which was later confirmed by Sarah Tweedale in 2016."
"Herons, egrets & bitterns (Ardeidae)","Ardeidae","Confirmed record","Ardea herodias fannini","Galiano Naturalist","Shera Street","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2009-05-03",NA,"2635593","https://www.inaturalist.org/observations/2635593","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of herons, egrets & bitterns, which was later confirmed by Shera Street in 2009."
"Hummingbirds (Trochilidae)","Trochilidae","Confirmed record","Calypte anna","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2014-03-14",NA,"4046916","https://www.inaturalist.org/observations/4046916","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of hummingbirds, which was later confirmed by Michael Hoebel in 2014."
"Kingfishers (Alcedinidae)","Alcedinidae","Confirmed record","Megaceryle alcyon","Galiano Naturalist","Karolle Wall","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2009-07-28",NA,"97176968","https://www.inaturalist.org/observations/97176968","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of kingfishers, which was later confirmed by Karolle Wall in 2009."
"Kinglets (Regulidae)","Regulidae","Confirmed record","Corthylio calendula","Galiano Naturalist","Kristian Sigvardsen","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2016-03-26",NA,"2926950","https://www.inaturalist.org/observations/2926950","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of kinglets, which was later confirmed by Kristian Sigvardsen in 2016."
