"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"55","Mastocarpus species complex","","","Turkish washcloth","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Phyllophoraceae","","","Mastocarpus","",NA,NA,"",NA,"unlisted","unlisted","2015-08-05","Andrew Simon","iNaturalist","iNat:2599389",NA,"2023-05-28","Carolyn Prentice","iNaturalist","iNat:164234724",NA,33,"confirmed","observed","",117821,"ALG"
"56","Mazzaella oregona","(Doty) Hughey, P.C.Silva & Hommersand","","northern mazza weed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Gigartinaceae","","","Mazzaella","Mazzaella oregona",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861031",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861031",NA,2,"new 2019","observed","",362211,"ALG"
"57","Mazzaella splendens","(Setchell & N.L. Gardner) Fredericq","","iridescent seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Gigartinaceae","","","Mazzaella","Mazzaella splendens",NA,NA,"",NA,"unlisted","unlisted","2016-07-11","Adam Huggins","iNaturalist","iNat:3684445",NA,"2024-04-26","Liam Ragan","iNaturalist","iNat:209969650",NA,33,"new 2016","observed","",71118,"ALG"
"58","Membranoptera platyphylla","(Setchell & N.L.Gardner) Kylin","","feather-veined red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","Delesserioideae","","Membranoptera","Membranoptera platyphylla",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57497",NA,"2022-02-25","Andrew Simon","iNaturalist","iNat:107457362",NA,18,"confirmed","observed","reported as Membranoptera multiramosa",873897,"ALG"
"59","Neogastroclonium subarticulatum","(Turner) L.Le Gall, Dalen & G.W.Saunders","","sea belly","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Champiaceae","","","Neogastroclonium","Neogastroclonium subarticulatum",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861014",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861014",NA,1,"new 2019","observed","",339052,"ALG"
"60","Neoporphyra perforata","(J. Agardh) L.-E.Yang & J.Brodie","","red laver","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","",NA,"Bangiales","",NA,"Bangiaceae","","","Neoporphyra","Neoporphyra perforata",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25859054",NA,"2023-05-28","S.C. Lindstrom","SCL","17901",NA,2,"new 2019","observed","",1497897,"ALG"
"61","Neorhodomela larix","(Turner) Masuda","","black pine seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Neorhodomela","Neorhodomela larix",NA,NA,"",NA,"unlisted","unlisted","2017-01-27","tyrelfroese","iNaturalist","iNat:5020868",NA,"2023-05-27","Jackson W.F. Chu","iNaturalist","iNat:164152112",NA,12,"new 2017","observed","",67413,"ALG"
"62","Neorhodomela oregona","(Doty) Masuda","","Oregon pine","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Neorhodomela","Neorhodomela oregona",NA,NA,"",NA,"unlisted","unlisted","2023-05-28","S.C. Lindstrom","SCL","17899",NA,"2023-05-28","S.C. Lindstrom","SCL","17899",NA,1,"new 2023","unobserved","",709410,"ALG"
"63","Odonthalia floccosa","(Esper) Falkenberg","","sea brush","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Odonthalia","Odonthalia floccosa",NA,NA,"",NA,"unlisted","unlisted","2008-02-17","Andy Lamb","PMLS","PMLS2021:1393",NA,"2023-03-15","Andrew Simon","iNaturalist","iNat:151258144",NA,5,"confirmed","observed","",322180,"ALG"
"64","Opuntiella californica","(Farlow) Kylin","","prickly pear seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Areschougiaceae","","","Opuntiella","Opuntiella californica",NA,NA,"",NA,"unlisted","unlisted","1994-09-10","Andy Lamb","PMLS","PMLS2021:1061",NA,"2012-10-06","Andy Lamb","PMLS","PMLS2021:2101",NA,35,"confirmed","unobserved","",349218,"ALG"
"65","Osmundea spectabilis","(Postels & Ruprecht) K.W. Nam","","sea laurel","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Osmundea","Osmundea spectabilis",NA,NA,"",NA,"unlisted","unlisted","2006-03-05","Andy Lamb","PMLS","PMLS2021:1131",NA,"2023-07-09","Andrew Simon","iNaturalist","iNat:172087615",NA,21,"confirmed","observed","",339015,"ALG"
"66","Phycodrys isabellae","R.E.Norris & M.J.Wynne","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","","Phycodrys","Phycodrys isabellae",NA,NA,"",NA,"unlisted","unlisted","2011-05-03","G.W. Saunders & K. Hind","BOLD","GWS027395",NA,"2011-05-03","G.W. Saunders & K. Hind","BOLD","GWS027395",NA,1,"reported","unobserved","COI Sequenced; found D sequence in genbank, for some reason isn't on BOLD site. Is listed on Genbank as part of kelp conveyor hypothesis paper. Several more of this species barcoded, assuming is correct ID",1292329,"ALG"
"67","Pleonosporium vancouverianum","(J. Agardh) Setchell","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Pleonosporium","Pleonosporium vancouverianum",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57491",NA,"2023-05-27","Zach Montieth","SCL","17882",NA,4,"confirmed","unobserved","",500288,"ALG"
"68","Plocamium pacificum","Kylin","","sea comb","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Plocamiales","",NA,"Plocamiaceae","","","Plocamium","Plocamium pacificum",NA,NA,"",NA,"unlisted","unlisted","2007-10-21","Andy Lamb","PMLS","PMLS2021:1333",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861013",NA,7,"confirmed","observed","",1557592,"ALG"
"69","Polyneura latissima","(Harvey) Kylin","","crisscross network","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Delesseriaceae","","","Polyneura","Polyneura latissima",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57495",NA,"2023-05-26","Zach Montieth","SCL","17857",NA,14,"confirmed","observed","",339014,"ALG"
"70","Polysiphonia cf. villum","J.Agardh","","filamentous red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","Polysiphonieae","Polysiphonia","",NA,NA,"",NA,"unlisted","unlisted","2023-05-26","Zach Montieth","SCL","17868",NA,"2023-05-26","Zach Montieth","SCL","17868",NA,1,"new 2023","unobserved","",1480501,"ALG"
"71","Polysiphonia pacifica","Hollenberg","","pretty polly","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","Polysiphonieae","Polysiphonia","Polysiphonia pacifica",NA,NA,"",NA,"unlisted","unlisted","2022-02-24","Andrew Simon","iNaturalist","iNat:107423002",NA,"2023-05-27","Zach Montieth","Lindstrom 2023","",NA,4,"new 2022","observed","",345132,"ALG"
"72","Porphyrella gardneri","G.M.Smith & Hollenberg","","red laver","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","",NA,"Bangiales","",NA,"Bangiaceae","","","Porphyrella","Porphyrella gardneri",NA,NA,"",NA,"unlisted","unlisted","2006-09-28","Andy Lamb","PMLS","PMLS2021:1174",NA,"2012-08-09","Andy Lamb","PMLS","PMLS2021:2080",NA,19,"confirmed","unobserved","reported as Pyropia gardneri",1338182,"ALG"
"73","Prionitis sternbergii","(C.Agardh) J.Agardh","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Halymeniales","",NA,"Halymeniaceae","","","Prionitis","Prionitis sternbergii",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25861017",NA,"2023-07-09","Andrew Simon","iNaturalist","iNat:172087637",NA,6,"new 2019","observed","",347988,"ALG"
"74","Pseudolithophyllum sp.","","","encrusting coralline algae","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae",NA,"Corallinales","",NA,"Corallinaceae","","","Pseudolithophyllum","",NA,NA,"",NA,"unlisted","unlisted","2021-02-19","Dave Zeuss Cochrane","iNaturalist","iNat:69845928",NA,"2024-04-13","Dave Zeuss Cochrane","iNaturalist","iNat:207078093",NA,4,"new 2021","observed","",345846,"ALG"
"75","Pterothamnion pectinatum","(Kylin) Athanasiadis & Kraft","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Pterothamnion","Pterothamnion pectinatum",NA,NA,"",NA,"unlisted","unlisted","2019-05-25","Bridgette Clarkston","iNaturalist","iNat:25861436",NA,"2023-05-27","Zach Montieth","SCL","17871",NA,3,"new 2019","observed","",345150,"ALG"
"76","Pterothamnion villosum","(Kylin) Athanasiadis & Kraft","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Pterothamnion","Pterothamnion villosum",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027455",NA,"2023-05-27","Zach Montieth","SCL","17869",NA,4,"confirmed","unobserved","barcoded",345149,"ALG"
"77","Pugetia cryptica","Clarkston & G.W.Saunders 2012","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Pugetia","Pugetia cryptica",NA,NA,"",NA,"unlisted","unlisted","2023-05-27","Zach Montieth","SCL","17887",NA,"2023-05-27","Zach Montieth","SCL","17887",NA,1,"new 2023","unobserved","",1509788,"ALG"
"78","Pugetia fragilissima","Kylin","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Kallymeniaceae","","","Pugetia","Pugetia fragilissima",NA,NA,"",NA,"unlisted","unlisted","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027444",NA,"2023-05-27","Zach Montieth","SCL","17878",NA,7,"confirmed","unobserved","barcoded",1292330,"ALG"
"79","Pyropia nereocystis","(C.L.Anderson) S.C.Lindstrom","","red laver","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","",NA,"Bangiales","",NA,"Bangiaceae","","","Pyropia","Pyropia nereocystis",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57505",NA,"2013-10-10","Andy Lamb","PMLS","PMLS2021:2163",NA,24,"confirmed","unobserved","reported as Porphyra nereocystis",542165,"ALG"
"80","Rhodymenia californica","Kylin","","California rose seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Rhodymeniaceae","","","Rhodymenia","Rhodymenia californica",NA,NA,"",NA,"unlisted","unlisted","2007-08-20","Andy Lamb","PMLS","PMLS2021:1278",NA,"2009-02-14","Andy Lamb","PMLS","PMLS2021:1689",NA,2,"confirmed","unobserved","",133214,"ALG"
"81","Rhodymenia pacifica","Kylin","","Pacific rose seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Rhodymeniaceae","","","Rhodymenia","Rhodymenia pacifica",NA,NA,"",NA,"unlisted","unlisted","2007-10-21","Andy Lamb","PMLS","PMLS2021:1324",NA,"2013-10-10","Andy Lamb","PMLS","PMLS2021:2162",NA,4,"confirmed","unobserved","",359801,"ALG"
"82","Sarcodiotheca furcata","(Setchell & N.L.Gardner) Kylin","","furcated fleshy red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Solieriaceae","","","Sarcodiotheca","Sarcodiotheca furcata",NA,NA,"",NA,"unlisted","unlisted","2007-10-21","Andy Lamb","PMLS","PMLS2021:1329",NA,"2023-05-27","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:2532",NA,17,"confirmed","observed","",327100,"ALG"
"83","Sarcodiotheca gaudichaudii","(Montagne) P.W. Gabrielson","","succulent seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Solieriaceae","","","Sarcodiotheca","Sarcodiotheca gaudichaudii",NA,NA,"",NA,"unlisted","unlisted","1996-02-24","Charlie Gibbs","PMLS","PMLS2021:1081",NA,"2024-07-21","Catiemac","iNaturalist","iNat:232035465",NA,38,"confirmed","observed","",327099,"ALG"
"84","Scagelia occidentalis","(Kylin) E.M. Wollaston","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Ceramiaceae","","","Scagelia","Scagelia occidentalis",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57487",NA,"2023-05-27","Zach Montieth","SCL","17872",NA,3,"confirmed","unobserved","reported as Scagelia corallina var. occidentale",957344,"ALG"
"85","Schizymenia pacifica","(Kylin) Kylin","","slimy leaf","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Schizymeniaceae","","","Schizymenia","Schizymenia pacifica",NA,NA,"",NA,"unlisted","unlisted","2006-06-30","Andy Lamb","PMLS","PMLS2021:1148",NA,"2023-05-28","risao","iNaturalist","iNat:164369469",NA,20,"confirmed","observed","in BioBlitz; Barcoded http://bins.boldsystems.org/index.php/Public_RecordView?processid=ABMMC15146-11",339050,"ALG"
"86","Smithora naiadum","(C.L.Anderson) Hollenberg","","seagrass laver","Plantae","Rhodophyta","","","Compsopogonophyceae","",NA,"Erythropeltidales","",NA,"Erythrotrichiaceae","","","Smithora","Smithora naiadum",NA,NA,"",NA,"unlisted","unlisted","2007-12-15","Andy Lamb","PMLS","PMLS2021:1355",NA,"2024-07-06","Dave Zeuss Cochrane","iNaturalist","iNat:227821504",NA,18,"confirmed","observed","",339024,"ALG"
"87","Sparlingia pertusa","(Postels & Ruprecht) Kuntze","","red eyelet silk","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Rhodymeniaceae","","","Sparlingia","Sparlingia pertusa",NA,NA,"",NA,"unlisted","unlisted","1993-05-09","Charlie Gibbs","PMLS","PMLS2021:1053",NA,"2023-05-27","Zach Montieth","SCL","17876",NA,18,"confirmed","observed","",429855,"ALG"
"88","Stenogramma californicum","Harvey","","midrib seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Gigartinales","",NA,"Phyllophoraceae","","","Stenogramma","Stenogramma californicum",NA,NA,"",NA,"unlisted","unlisted","2007-10-21","Andy Lamb","PMLS","PMLS2021:1328",NA,"2016-02-07","Andy Lamb","PMLS","PMLS2021:2219",NA,2,"confirmed","unobserved","reported as Stenogramma interruptum",497325,"ALG"
"89","Symphyocladiella dendroidea","(Montagne) Bustamante, B.Y.Won, S.C.Lindstrom & T.O.Cho","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Symphyocladiella","Symphyocladiella dendroidea",NA,NA,"",NA,"unlisted","unlisted","2023-05-26","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:2744",NA,"2023-05-27","Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey","Galiano BioBlitz 2023","GBB2023:2753",NA,13,"new 2023","unobserved","",1435213,"ALG"
"90","Symphyocladiella gracilis","(Kylin) D.Bustamante, B.Y.Won, S.C.Lindstrom & T.O.Cho","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Symphyocladiella","Symphyocladiella gracilis",NA,NA,"",NA,"unlisted","unlisted","2011-05-03","G.W. Saunders & K. Hind","BOLD","GWS027410",NA,"2023-05-27","Zach Montieth","SCL","17881",NA,3,"confirmed","unobserved","""Symphyocladiella gracilis"" Barcoded; name updated from Pterosiphonia gracilis; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.",1339929,"ALG"
"91","Vertebrata woodii","(Harvey) Kuntze","","cartilage-wing seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Ceramiales","",NA,"Rhodomelaceae","","","Vertebrata","Vertebrata woodii",NA,NA,"",NA,"unlisted","unlisted","2005-12-10","Andy Lamb","PMLS","PMLS2021:1123",NA,"2016-03-27","Andy Lamb","PMLS","PMLS2021:2254",NA,15,"confirmed","unobserved","reported as Pterochondria woodii in PMLS records; barcoded",1339931,"ALG"
"92","Wildemania cuneiformis","(Setchell & Hus) S.C.Lindstrom","","red cellophane","Plantae","Rhodophyta","Eurhodophytina","","Bangiophyceae","",NA,"Bangiales","",NA,"Bangiaceae","","","Wildemania","Wildemania cuneiformis",NA,NA,"",NA,"unlisted","unlisted","2023-05-28","S.C. Lindstrom","SCL","17905",NA,"2023-05-28","S.C. Lindstrom","SCL","17905",NA,1,"new 2023","unobserved","",866993,"ALG"
"93","Yendoa hakodatensis","(Yendo) C.C.Santos, Lyra & J.M.C.Nunes","","red alga","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae",NA,"Rhodymeniales","",NA,"Lomentariaceae","","","Yendoa","Yendoa hakodatensis",NA,NA,"",NA,"unlisted","unlisted","2019-05-24","Bridgette Clarkston","iNaturalist","iNat:25861437",NA,"2019-05-24","Bridgette Clarkston","iNaturalist","iNat:25861437",NA,1,"new 2019","observed","",1584073,"ALG"
