"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","coordinateUncertaintyInMeters"
"5199","Pentatomoidea",47743,"Pentatomoidea",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Pentatomoidea","","","","","","iNat:163991870",48.889137,-123.383229,"2023-05-26",NA,NA,"Dave Zeuss Cochrane","false",NA
"5200","Anthophila",630955,"Anthophila",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","","","","","","iNat:164023707",48.943162,-123.512992,"2023-05-27",NA,NA,"","false",8
"5201","Araneidae",47535,"Araneidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","","","","","iNat:164047053",48.944707,-123.510723,"2023-05-27",NA,NA,"","false",936
"5202","Phellopsis porcata",370695,"Phellopsis porcata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Zopheridae","Zopherinae","Phellopsini","Phellopsis","porcata","iNat:164047421",48.949197,-123.48417,"2023-05-27",NA,NA,"","false",4
"5203","Phellopsis porcata",370695,"Phellopsis porcata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Zopheridae","Zopherinae","Phellopsini","Phellopsis","porcata","iNat:164071058",48.939972,-123.479278,"2023-05-27",NA,NA,"","false",782
"5204","Spilosoma virginica",60839,"Spilosoma virginica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Spilosoma","virginica","iNat:164071273",48.939984,-123.479395,"2023-05-26",NA,NA,"","false",741
"5205","Phanias",172351,"Phanias",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Salticoidea","Salticidae","Salticinae","Dendryphantini","Phanias","","iNat:164072073",48.945083,-123.512863,"2023-05-27",NA,NA,"","false",20
"5206","Chernetidae",172612,"Chernetidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Pseudoscorpiones","Iocheirata","Panctenata","Cheliferoidea","Chernetidae","","","","","iNat:164074875",48.9441,-123.513,"2023-05-27",NA,NA,"","false",100
"5207","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:164078646",48.942973,-123.507698,"2023-05-27",NA,NA,"","false",7
"5208","Araneus",52629,"Araneus",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae","Araneinae","","Araneus","","iNat:164079142",48.945053,-123.516167,"2023-05-27",NA,NA,"","false",4
"5209","Araneoidea",319384,"Araneoidea",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Araneoidea","","","","","","iNat:164081144",48.945087,-123.516175,"2023-05-27",NA,NA,"","false",4
"5210","Dermaptera",47793,"Dermaptera",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Dermaptera","","","","","","","","","iNat:164081407",48.945888,-123.51603,"2023-05-27",NA,NA,"","false",4
"5211","Buprestis aurulenta",215596,"Buprestis aurulenta",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Elateriformia","Buprestoidea","Buprestidae","Buprestinae","Buprestini","Buprestis","aurulenta","iNat:164084701",48.900783,-123.406669,"2023-05-27",NA,NA,"Kelly Fretwell","false",NA
"5212","Papilio eurymedon",55521,"Papilio eurymedon",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Papilionidae","Papilioninae","Papilionini","Papilio","eurymedon","iNat:164086836",48.866957,-123.314358,"2023-05-27",NA,NA,"","false",41
"5213","Podabrus pruinosus",210418,"Podabrus pruinosus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Cantharidae","Cantharinae","Podabrini","Podabrus","pruinosus","iNat:164088810",48.943512,-123.515503,"2023-05-27",NA,NA,"","false",4
"5214","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:164092539",48.944091,-123.511725,"2023-05-27",NA,NA,"","false",305
"5215","Sympetrum",51556,"Sympetrum",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Libelluloidea","Libellulidae","","","Sympetrum","","iNat:164092564",48.94379,-123.511532,"2023-05-27",NA,NA,"","false",27
"5216","Erynnis propertius",59187,"Erynnis propertius",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Hesperiidae","Pyrginae","Erynnini","Erynnis","propertius","iNat:164093669",48.867968,-123.376491,"2023-05-27",NA,NA,"Andrew Simon","false",177
"5217","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:164094770",48.930169,-123.467121,"2023-05-23",NA,NA,"Myung Jin (John) Kang","false",NA
"5218","Chlorochroa",84094,"Chlorochroa",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Pentatomoidea","Pentatomidae","Pentatominae","Nezarini","Chlorochroa","","iNat:164095259",48.880123,-123.383468,"2023-05-24",NA,NA,"Myung Jin (John) Kang","false",2448
